Date,MSCI Emerging Markets 50 Index
2014-09-03,2906.835077318647
2014-09-04,2904.8171028171337
2014-09-05,2893.980466959852
2014-09-08,2881.140352012781
2014-09-09,2865.944859971948
2014-09-10,2819.4567001714854
2014-09-11,2804.8767779635155
2014-09-12,2783.8921810555044
2014-09-15,2770.6310968857424
2014-09-16,2769.2306414710483
2014-09-17,2801.359673302119
2014-09-18,2775.079427921767
2014-09-19,2763.2484031753347
2014-09-22,2720.292715734429
2014-09-23,2696.799241105325
2014-09-24,2704.7043554768875
2014-09-25,2678.1819576460684
2014-09-26,2675.635516649131
2014-09-29,2631.561329008092
2014-09-30,2612.992500117702
2014-10-01,2588.8522151273146
2014-10-02,2579.2681754013292
2014-10-03,2600.2026584038017
2014-10-06,2652.2133621848607
2014-10-07,2656.7449910870228
2014-10-08,2612.42086693202
2014-10-09,2637.657642485869
2014-10-10,2582.4552250695137
2014-10-13,2606.943578959356
2014-10-14,2610.569176587936
2014-10-15,2583.4952985117543
2014-10-16,2542.719863388275
2014-10-17,2558.21433890939
2014-10-20,2567.3120071067165
2014-10-21,2558.5849074435305
2014-10-22,2577.5041500210878
2014-10-23,2552.913374991054
2014-10-24,2564.9755700237197
2014-10-27,2538.6886155336424
2014-10-28,2585.4072653102576
2014-10-29,2616.3303874314556
2014-10-30,2635.024977958118
2014-10-31,2667.929742209616
2014-11-03,2648.3251131354536
2014-11-04,2634.5731348801464
2014-11-05,2607.803203467451
2014-11-06,2589.111711435162
2014-11-07,2578.728680975057
2014-11-10,2618.3057541010694
2014-11-11,2597.9017525484232
2014-11-12,2602.7722765852845
2014-11-13,2589.180115422367
2014-11-14,2587.0002283909666
2014-11-17,2567.2649729285326
2014-11-18,2566.552126657746
2014-11-19,2571.384044815329
2014-11-20,2575.0957755506856
2014-11-21,2622.925381551415
2014-11-24,2643.844991075223
2014-11-25,2633.6600528548784
2014-11-26,2643.2493415543127
2014-11-27,2649.4819045036625
2014-11-28,2622.32171332534
2014-12-01,2564.1192547951764
2014-12-02,2562.5905364420437
2014-12-03,2566.5726923140514
2014-12-04,2573.223366770849
2014-12-05,2572.797944419545
2014-12-08,2551.0763264147126
2014-12-09,2520.664583602327
2014-12-10,2492.0824726436804
2014-12-11,2462.5832786303718
2014-12-12,2435.026588956122
2014-12-15,2394.3270886500227
2014-12-16,2360.247652039473
2014-12-17,2388.019694879152
