Date,EM ASIA VALUE WEIGHTED
2002-08-28,1659.4082113328627
2002-08-29,1649.9307400041457
2002-08-30,1669.5357358000952
2002-09-02,1670.3478860941295
2002-09-03,1630.2904226656244
2002-09-04,1612.317949643078
2002-09-05,1610.051263465823
2002-09-06,1600.6425555748372
2002-09-09,1595.7816940023113
2002-09-10,1639.567223108168
2002-09-11,1654.5757323251203
2002-09-12,1664.8186230915608
2002-09-13,1622.596084274237
2002-09-16,1593.1695526479325
2002-09-17,1646.1164409594066
2002-09-18,1593.288041756434
2002-09-19,1586.134819784527
2002-09-20,1576.5475548059871
2002-09-23,1528.6394785304926
2002-09-24,1513.8826567276676
2002-09-25,1482.9437433309042
2002-09-26,1493.8932873810877
2002-09-27,1497.4737768174953
2002-09-30,1453.1643490555236
2002-10-01,1462.0900054815904
2002-10-02,1460.0519349219512
2002-10-03,1446.4342084103098
2002-10-04,1458.7460728128945
2002-10-07,1414.3966851222967
2002-10-08,1429.5514560608851
2002-10-09,1400.4757159219728
2002-10-10,1350.8733271950762
2002-10-11,1347.050301316644
2002-10-14,1375.3207678358435
2002-10-15,1413.704595773904
2002-10-16,1443.3298607154406
2002-10-17,1480.2777127497443
2002-10-18,1528.1735624851465
2002-10-21,1503.4028031580485
2002-10-22,1476.4434842895898
2002-10-23,1529.405661460006
2002-10-24,1529.184584355612
2002-10-25,1524.1762778412503
2002-10-28,1549.852642600633
2002-10-29,1533.159283896965
2002-10-30,1509.040881429135
2002-10-31,1517.085644753237
2002-11-01,1483.1264424399697
2002-11-04,1534.1307186905456
2002-11-05,1515.8967108894053
2002-11-06,1546.965267661544
2002-11-07,1537.8579650888248
2002-11-08,1535.770871886708
2002-11-11,1513.0166362880582
2002-11-12,1504.8622104507929
2002-11-13,1507.729502169901
2002-11-14,1503.5696947674305
2002-11-15,1544.6941387652926
2002-11-18,1531.2794100643036
2002-11-19,1525.5625599483628
2002-11-20,1540.1461705706924
2002-11-21,1556.0263949538746
2002-11-22,1575.6483560049155
2002-11-25,1606.6151814429415
2002-11-26,1605.8962427903264
2002-11-27,1613.9159763277096
2002-11-28,1611.7119374221998
2002-11-29,1628.581147550081
2002-12-02,1635.6270936490582
