Date,AUSTRALIA SMALL CAP QUALITY
2011-10-04,3012.1246856493717
2011-10-05,3109.662498395313
2011-10-06,3233.965141624374
2011-10-07,3367.0879418757345
2011-10-10,3429.570077566048
2011-10-11,3469.59628144221
2011-10-12,3529.9433825646247
2011-10-13,3566.6238050065394
2011-10-14,3600.8268237578545
2011-10-17,3636.153270918307
2011-10-18,3526.3042865076472
2011-10-19,3588.3641904179754
2011-10-20,3492.3109963366487
2011-10-21,3558.87918621241
2011-10-24,3694.8416520107985
2011-10-25,3683.564668966153
2011-10-26,3670.216782951807
2011-10-27,3892.8605268735128
2011-10-28,3919.969292974556
2011-10-31,3816.697621396297
2011-11-01,3637.3584438124494
2011-11-02,3625.3465117983274
2011-11-03,3591.017560653136
2011-11-04,3677.1350981053133
2011-11-07,3673.8347832438885
2011-11-08,3692.1141554347505
2011-11-09,3686.4376056386973
2011-11-10,3594.759541639261
2011-11-11,3704.288135181735
2011-11-14,3714.6196308298554
2011-11-15,3689.5302580903194
2011-11-16,3647.0785867528066
2011-11-17,3614.01004687513
2011-11-18,3552.0269189350975
2011-11-21,3454.0423014140556
2011-11-22,3425.6329899004327
2011-11-23,3306.108226533049
2011-11-24,3293.630270189314
2011-11-25,3268.9314854913264
2011-11-28,3368.4502207521746
2011-11-29,3414.878273722527
2011-11-30,3518.930128564286
2011-12-01,3588.415669243762
2011-12-02,3658.5516059158144
2011-12-05,3688.156172230488
2011-12-06,3611.1242317431934
2011-12-07,3645.4905052760246
2011-12-08,3609.9118042655546
2011-12-09,3545.1672224251643
2011-12-12,3553.819218034156
2011-12-13,3502.775724051777
2011-12-14,3438.2398279667414
2011-12-15,3417.1798831640353
2011-12-16,3467.0893676217997
2011-12-19,3321.989465348759
2011-12-20,3386.9912920243655
2011-12-21,3461.1894654847524
2011-12-22,3404.0458221365266
2011-12-23,3460.0606679556204
2011-12-26,3460.0606679556195
2011-12-27,3461.764879484929
2011-12-28,3388.8833745105744
2011-12-29,3360.899009356414
2011-12-30,3410.4189831923673
2012-01-02,3410.4189831923673
2012-01-03,3506.318575856019
2012-01-04,3550.447470587975
2012-01-05,3494.4880919361854
2012-01-06,3466.907427001358
2012-01-09,3456.4552647441064
2012-01-10,3518.086423965606
2012-01-11,3548.9595689218695
2012-01-12,3560.471698518893
2012-01-13,3569.014138916281
2012-01-16,3539.268012336187
2012-01-17,3623.3132966010953
2012-01-18,3656.4693585599734
2012-01-19,3679.9135193103016
2012-01-20,3730.9169315975896
2012-01-23,3755.7699568142843
2012-01-24,3703.805597354817
2012-01-25,3708.135890199673
2012-01-26,3769.0207523174113
2012-01-27,3798.3205534178314
2012-01-30,3778.1536954214216
2012-01-31,3793.623639200041
2012-02-01,3810.545328530316
2012-02-02,3863.1389655359403
2012-02-03,3887.672766084839
2012-02-06,3916.241844013026
2012-02-07,3927.121527964679
