Date,FM EMEA SMALL CAP
2021-02-05,1033.9083993786799
2021-02-08,1034.0765493103988
2021-02-09,1033.240180418638
2021-02-10,1026.9474982662427
2021-02-11,1025.8557539149983
2021-02-12,1029.3430770463058
2021-02-15,1028.8803162019617
2021-02-16,1028.1657216557917
2021-02-17,1025.6977992051713
2021-02-18,1026.6623510213535
2021-02-19,1033.5229430982624
2021-02-22,1033.96622209449
2021-02-23,1033.3514487060888
2021-02-24,1031.566665021521
2021-02-25,1038.1763430531344
2021-02-26,1032.7887246589444
2021-03-01,1030.1478776377776
2021-03-02,1032.1783422686576
2021-03-03,1036.9223225141848
2021-03-04,1032.2298494785364
2021-03-05,1028.3510000048007
2021-03-08,1027.4528805494972
2021-03-09,1027.89988230322
2021-03-10,1025.8118122220453
2021-03-11,1029.8440852769834
2021-03-12,1033.4477744690969
2021-03-15,1034.8060145091122
2021-03-16,1034.5322930582956
2021-03-17,1032.6812813698202
2021-03-18,1035.3994509564075
2021-03-19,1036.305310475878
2021-03-22,1035.998353182822
2021-03-23,1032.2432599301885
2021-03-24,1030.375392672184
2021-03-25,1026.3901426908967
2021-03-26,1031.5562755241363
2021-03-29,1031.3889073991957
2021-03-30,1035.3970013834805
2021-03-31,1038.6731743110226
2021-04-01,1043.7616137447228
2021-04-02,1043.1971096168834
2021-04-05,1045.535134529176
2021-04-06,1049.293593264452
2021-04-07,1055.9800246842667
2021-04-08,1057.5943189386119
2021-04-09,1059.3015604770349
2021-04-12,1062.483307084665
2021-04-13,1065.2605554754107
2021-04-14,1066.7825153452
2021-04-15,1066.6858449321528
2021-04-16,1068.182172822773
2021-04-19,1069.9545756763387
2021-04-20,1073.1585000148089
2021-04-21,1071.3358790107836
2021-04-22,1076.129855026588
2021-04-23,1079.9984975783282
2021-04-26,1083.1904189035752
2021-04-27,1083.1180606135376
2021-04-28,1084.596431925653
2021-04-29,1088.5395129489846
2021-04-30,1085.8694879860432
2021-05-03,1094.0574897626616
2021-05-04,1094.6690244911933
2021-05-05,1097.0973256228694
2021-05-06,1102.9083932742105
2021-05-07,1109.5034928744194
2021-05-10,1115.1111968010837
2021-05-11,1114.1301332068597
2021-05-12,1113.6480705186848
2021-05-13,1112.307623297685
2021-05-14,1115.3201131204248
2021-05-17,1120.7853634334413
2021-05-18,1125.6295369924494
2021-05-19,1123.3284782806516
2021-05-20,1125.0969708917619
2021-05-21,1129.0191562179004
2021-05-24,1138.9727989510536
2021-05-25,1140.1420433725652
2021-05-26,1143.0887982376018
2021-05-27,1142.313499925329
2021-05-28,1137.714866093062
2021-05-31,1135.8887980337572
2021-06-01,1138.331509298402
2021-06-02,1141.3799259081236
2021-06-03,1136.1346756127987
2021-06-04,1137.6537112250198
2021-06-07,1142.875611230825
2021-06-08,1145.2280721261313
2021-06-09,1152.3457212190983
2021-06-10,1152.6682147319214
2021-06-11,1153.3898535387475
2021-06-14,1154.25955521933
2021-06-15,1157.3949165613803
2021-06-16,1157.8278421380578
2021-06-17,1146.9727361610874
2021-06-18,1145.211368492249
2021-06-21,1147.8797518322513
2021-06-22,1152.041331383205
2021-06-23,1154.8030271669484
2021-06-24,1154.9773381386162
2021-06-25,1158.9523976033622
2021-06-28,1161.7140525906727
2021-06-29,1158.9236293675342
2021-06-30,1154.3009932603288
2021-07-01,1153.049218347646
2021-07-02,1153.5327070828564
2021-07-05,1156.8381159696805
2021-07-06,1154.5986059928139
2021-07-07,1159.85474844272
2021-07-08,1165.5526142856718
2021-07-09,1167.9165594652247
2021-07-12,1167.0666753676685
2021-07-13,1164.2122184491766
2021-07-14,1165.1269452777833
2021-07-15,1166.0348870276553
2021-07-16,1166.3256696709968
2021-07-19,1157.9619243388847
2021-07-20,1154.0014020891044
2021-07-21,1153.112696081675
2021-07-22,1150.9046021239283
2021-07-23,1151.6170090221922
2021-07-26,1152.3992605433011
2021-07-27,1155.5514031412708
2021-07-28,1157.2904467325372
2021-07-29,1166.8760732282685
2021-07-30,1167.1618527168632
2021-08-02,1170.2162894762985
2021-08-03,1169.7595078422712
2021-08-04,1169.8573945030953
2021-08-05,1172.782274044876
2021-08-06,1167.0671269302113
2021-08-09,1164.7567619250487
2021-08-10,1166.4770167061113
2021-08-11,1171.842806677457
2021-08-12,1175.223863437553
2021-08-13,1183.9390353461217
2021-08-16,1184.8429169037684
2021-08-17,1180.163556920972
2021-08-18,1177.4885423521503
2021-08-19,1168.2949992244364
2021-08-20,1167.659034550219
2021-08-23,1170.9240376951645
2021-08-24,1175.5238419437949
2021-08-25,1177.1633285261867
2021-08-26,1178.2639020133165
2021-08-27,1183.4085093202627
2021-08-30,1185.8503487361152
2021-08-31,1188.5627755063879
2021-09-01,1185.278110758249
2021-09-02,1187.7645812771082
2021-09-03,1194.8847537649126
2021-09-06,1192.3437151629403
2021-09-07,1188.2473688754671
2021-09-08,1180.932750941584
2021-09-09,1182.3911857118446
2021-09-10,1183.7991905337656
2021-09-13,1179.1004722914913
2021-09-14,1175.7234802048088
2021-09-15,1172.91198246883
2021-09-16,1172.5836056932992
2021-09-17,1172.9949648529862
2021-09-20,1157.5832795888869
2021-09-21,1152.5879402800297
2021-09-22,1158.4420253988897
2021-09-23,1163.7004533008183
2021-09-24,1166.0067729828213
2021-09-27,1179.7087629172604
2021-09-28,1179.0036758290057
2021-09-29,1177.5139551409409
2021-09-30,1177.877783064766
2021-10-01,1185.5006636944252
2021-10-04,1188.838490728239
2021-10-05,1185.4412017620323
2021-10-06,1180.7704577808524
2021-10-07,1186.2891330158582
2021-10-08,1186.127790724803
2021-10-11,1187.1377757529451
2021-10-12,1187.194068679905
2021-10-13,1195.0339350595639
2021-10-14,1205.116899447789
2021-10-15,1215.6059800575076
2021-10-18,1211.2338459284704
2021-10-19,1213.1632895859912
2021-10-20,1212.0479337373401
2021-10-21,1212.3910768901317
2021-10-22,1213.1954061004346
2021-10-25,1218.6409075509605
2021-10-26,1221.191223429872
2021-10-27,1223.9082367560738
2021-10-28,1239.0298421375078
2021-10-29,1231.905055318535
2021-11-01,1229.0647419637214
2021-11-02,1228.2340143910776
2021-11-03,1235.023601189271
2021-11-04,1236.368928321311
2021-11-05,1237.0590779210372
2021-11-08,1239.0412332682488
2021-11-09,1239.464909101912
2021-11-10,1231.3585673998596
2021-11-11,1229.2297944304355
2021-11-12,1227.841008566956
2021-11-15,1226.3845213349584
2021-11-16,1221.1934322414568
2021-11-17,1225.4610364858042
2021-11-18,1232.6187941605572
2021-11-19,1234.7764658143929
2021-11-22,1224.983009998504
2021-11-23,1222.790212717118
2021-11-24,1223.7549601607611
2021-11-25,1223.70719997901
2021-11-26,1217.8388416988532
2021-11-29,1207.7028595169832
2021-11-30,1203.9251160953029
2021-12-01,1217.422150607504
2021-12-02,1210.9669690566257
2021-12-03,1212.2536951651944
2021-12-06,1210.6370686798532
2021-12-07,1215.2651555536813
2021-12-08,1226.4294335704526
2021-12-09,1227.1236945233422
2021-12-10,1231.1310951389246
2021-12-13,1229.0139578288624
2021-12-14,1228.3699750371545
2021-12-15,1226.0511429190374
2021-12-16,1236.440401461532
2021-12-17,1235.9081290288498
2021-12-20,1225.8818946877986
2021-12-21,1227.5628704697215
2021-12-22,1237.7510195394152
2021-12-23,1240.2271049470505
2021-12-24,1241.6324073478236
2021-12-27,1243.2632843262709
2021-12-28,1249.2430740769298
2021-12-29,1255.975012846212
2021-12-30,1253.790239323287
2021-12-31,1256.3740911138698
2022-01-03,1260.3567862126831
2022-01-04,1269.1273903546767
2022-01-05,1273.4609860578016
2022-01-06,1271.9070852637788
2022-01-07,1278.729713132327
2022-01-10,1278.7277397222067
2022-01-11,1278.8670747965964
2022-01-12,1289.1558272547081
2022-01-13,1294.5236467959191
2022-01-14,1297.4912622743773
2022-01-17,1297.7320441534464
2022-01-18,1294.8672128828339
2022-01-19,1298.2626926488854
2022-01-20,1295.6600656360204
2022-01-21,1288.4426957440423
2022-01-24,1269.3593971249504
2022-01-25,1261.8805846585049
2022-01-26,1275.2523033211492
2022-01-27,1266.2133729511438
2022-01-28,1269.285044075675
2022-01-31,1273.7902330970187
2022-02-01,1278.0054095595578
2022-02-02,1285.7699895353571
2022-02-03,1289.744589705408
2022-02-04,1288.8081653709937
2022-02-07,1288.92956054907
2022-02-08,1290.6494799773964
2022-02-09,1298.0632834347107
2022-02-10,1305.303485817254
2022-02-11,1303.1706594903603
2022-02-14,1286.0919240894207
2022-02-15,1299.9029205443474
2022-02-16,1304.4605480087573
2022-02-17,1306.5170067403044
2022-02-18,1301.7486698728565
2022-02-21,1290.618477102436
2022-02-22,1281.5967942398993
2022-02-23,1282.1074858769243
2022-02-24,1223.5807075479481
2022-02-25,1257.673116578912
2022-02-28,1239.6928949169373
2022-03-01,1221.1471290442491
2022-03-02,1211.0671372148347
2022-03-03,1215.6571084777574
2022-03-04,1188.128293371654
2022-03-07,1163.1738702325183
2022-03-08,1159.541051455014
2022-03-09,1191.6572336124755
2022-03-10,1197.2757893025757
2022-03-11,1211.4725557927316
2022-03-14,1226.6890229751434
2022-03-15,1230.231811283332
2022-03-16,1249.737861237247
2022-03-17,1256.1853499112874
2022-03-18,1258.160552869347
2022-03-21,1260.1609567488767
2022-03-22,1258.4487926341426
2022-03-23,1256.6059447461168
2022-03-24,1251.37699564508
2022-03-25,1248.9047897849014
2022-03-28,1251.6623017533605
2022-03-29,1272.1902308048063
2022-03-30,1275.948897653999
2022-03-31,1278.6788832382379
2022-04-01,1274.8302099371992
2022-04-04,1275.9360301198587
2022-04-05,1275.7958711566414
2022-04-06,1270.0895475809587
2022-04-07,1273.5129001781952
2022-04-08,1282.8849594926105
2022-04-11,1286.8163471318817
2022-04-12,1285.1617496276356
2022-04-13,1286.7360490487804
2022-04-14,1284.785331214278
2022-04-15,1287.7203267099162
2022-04-18,1292.3517379170569
2022-04-19,1291.512621450911
2022-04-20,1300.7842619468684
2022-04-21,1299.42206004227
2022-04-22,1298.5473836636327
2022-04-25,1289.8214776121717
2022-04-26,1286.2019585212947
2022-04-27,1275.5189992534645
2022-04-28,1281.5287023369215
2022-04-29,1275.6842348066962
2022-05-02,1268.8950279290486
2022-05-03,1266.6745049454082
2022-05-04,1259.3361504585744
2022-05-05,1253.9959746857933
2022-05-06,1245.6613895415194
2022-05-09,1230.0805230990518
2022-05-10,1228.0693328256782
2022-05-11,1229.3897904903167
2022-05-12,1203.862854763965
2022-05-13,1217.4370962513688
2022-05-16,1216.8535401076842
2022-05-17,1230.8670275563259
2022-05-18,1219.1547985227137
2022-05-19,1212.3800174609948
2022-05-20,1216.9734489463378
2022-05-23,1223.2875563779417
2022-05-24,1214.8243343302904
2022-05-25,1216.9145674628571
2022-05-26,1223.082265512727
2022-05-27,1229.3436060498207
2022-05-30,1244.5953782236033
2022-05-31,1237.2330493166162
2022-06-01,1232.2524159589477
2022-06-02,1237.096887520133
2022-06-03,1235.5733218872556
2022-06-06,1236.0259964621944
2022-06-07,1230.881242256139
2022-06-08,1231.6447802815744
2022-06-09,1229.8601792906486
2022-06-10,1218.6096403934546
2022-06-13,1199.613005342995
2022-06-14,1189.7720128609656
2022-06-15,1190.0654008332428
2022-06-16,1187.3457629509367
2022-06-17,1180.9892377589265
2022-06-20,1182.7854620265528
2022-06-21,1183.381509173575
2022-06-22,1183.1800219065667
2022-06-23,1178.0212269685921
2022-06-24,1182.1074417874347
2022-06-27,1197.9001095805875
2022-06-28,1194.939038535542
2022-06-29,1187.2122111152903
2022-06-30,1183.9708033004256
2022-07-01,1177.1753842751143
2022-07-04,1185.5311475609874
2022-07-05,1171.0177080649526
2022-07-06,1175.3911093069567
2022-07-07,1187.0030399732484
2022-07-08,1190.651034787005
2022-07-11,1185.9916193878473
