Date,FM (FRONTIER MARKETS) SMALL CAP
2017-01-16,1421.5885730507152
2017-01-17,1420.0128541939523
2017-01-18,1423.3099591847551
2017-01-19,1437.6652144014831
2017-01-20,1434.3378150064643
2017-01-23,1454.0000904536464
2017-01-24,1467.8930695833012
2017-01-25,1462.2053434209445
2017-01-26,1474.2931672578604
2017-01-27,1471.1107635796313
2017-01-30,1451.0632440797244
2017-01-31,1453.7366548584596
2017-02-01,1463.3447109941394
2017-02-02,1456.1651054680794
2017-02-03,1459.9898961174001
2017-02-06,1458.1572663894988
2017-02-07,1466.79361333177
2017-02-08,1467.7212278689883
2017-02-09,1470.1001611672812
2017-02-10,1478.5882204411764
2017-02-13,1485.1342018347336
2017-02-14,1495.6104462093238
2017-02-15,1496.2707205358063
2017-02-16,1490.8389895000848
2017-02-17,1498.8325811875116
2017-02-20,1499.4729140328177
2017-02-21,1510.5739723290335
2017-02-22,1509.2411803523823
2017-02-23,1501.1257184830274
2017-02-24,1503.8921637362512
2017-02-27,1502.3283356077202
2017-02-28,1499.9497469063194
2017-03-01,1506.2969599907046
2017-03-02,1508.4031606695212
2017-03-03,1505.489253803826
2017-03-06,1494.346655264078
2017-03-07,1494.3430866118022
2017-03-08,1504.2189927957352
2017-03-09,1499.7624155583005
2017-03-10,1493.553243621264
2017-03-13,1493.2338626014125
2017-03-14,1497.6971006149406
2017-03-15,1506.5974125508035
2017-03-16,1502.4322336163711
2017-03-17,1503.3466059605782
2017-03-20,1503.3505082631045
2017-03-21,1500.8601333503182
2017-03-22,1500.9339040177204
2017-03-23,1503.2925059116153
2017-03-24,1502.5140877364645
2017-03-27,1491.4118646444376
2017-03-28,1493.902378465935
2017-03-29,1504.2878321515564
2017-03-30,1508.8135746228509
2017-03-31,1515.91999947659
2017-04-03,1523.9457210531734
2017-04-04,1528.3934693660008
2017-04-05,1527.7092454822966
2017-04-06,1527.3744015498453
2017-04-07,1534.517701630748
2017-04-10,1536.308645476041
2017-04-11,1535.7029633030902
2017-04-12,1532.365101808023
2017-04-13,1529.1915839598319
2017-04-14,1525.4820755329604
2017-04-17,1510.9224493401969
2017-04-18,1503.4049227326545
2017-04-19,1500.8098891044576
2017-04-20,1492.3014761470386
2017-04-21,1502.5478189642636
2017-04-24,1479.535458142159
2017-04-25,1469.132983466013
2017-04-26,1481.1890340017167
2017-04-27,1482.8385375845014
2017-04-28,1481.3370985638485
2017-05-01,1476.2772724488163
2017-05-02,1487.022043900948
2017-05-03,1483.4307530067967
2017-05-04,1483.1431305155045
2017-05-05,1482.890332816349
2017-05-08,1487.854223906351
2017-05-09,1495.6440016596316
2017-05-10,1500.96468416524
2017-05-11,1505.8887205753383
2017-05-12,1500.1367521923517
2017-05-15,1491.2039672757842
2017-05-16,1479.7399923660573
2017-05-17,1472.5630000744834
2017-05-18,1458.9781974442012
2017-05-19,1458.2921427240474
2017-05-22,1453.2905215591195
2017-05-23,1454.346606171498
2017-05-24,1463.752312289674
2017-05-25,1463.531929122306
2017-05-26,1471.8838119514476
2017-05-29,1465.7842806636918
2017-05-30,1463.1650193490843
2017-05-31,1458.3197634768403
2017-06-01,1462.8001820186776
2017-06-02,1462.8860954608776
2017-06-05,1463.4239153390458
2017-06-06,1466.6785481115066
2017-06-07,1466.4505496104073
2017-06-08,1467.2646290632977
2017-06-09,1472.427705672293
2017-06-12,1465.2815757911371
2017-06-13,1467.8647833265381
2017-06-14,1463.3937903487206
2017-06-15,1475.405631211965
2017-06-16,1473.611438898484
2017-06-19,1485.0265572519959
2017-06-20,1491.629610742347
2017-06-21,1483.5223683315662
2017-06-22,1488.0985647961304
2017-06-23,1481.5072166453947
2017-06-26,1484.2986330204992
2017-06-27,1470.6934116048615
2017-06-28,1468.502476369794
2017-06-29,1462.2383412052814
2017-06-30,1468.2762868562377
2017-07-03,1471.7880341058462
2017-07-04,1478.5595496075814
2017-07-05,1483.680052976611
2017-07-06,1472.289860582265
2017-07-07,1476.7000149074197
2017-07-10,1486.851948305059
2017-07-11,1489.5730792512154
2017-07-12,1487.4839854320512
2017-07-13,1490.9821116589521
2017-07-14,1483.482280471714
2017-07-17,1478.535482682731
2017-07-18,1463.955796549565
2017-07-19,1465.7081639294504
2017-07-20,1457.816575827283
2017-07-21,1455.5263183163893
2017-07-24,1462.4709635486206
2017-07-25,1465.6230723894435
2017-07-26,1470.1090280702022
2017-07-27,1464.9728489158572
2017-07-28,1459.223863582454
2017-07-31,1453.6183548572824
2017-08-01,1443.9593860098787
2017-08-02,1438.872688588023
2017-08-03,1433.3810149231022
2017-08-04,1451.7136121781775
2017-08-07,1449.9282014293638
2017-08-08,1450.5850742517364
2017-08-09,1444.8013802928
2017-08-10,1443.8449273391745
2017-08-11,1443.4504259723951
2017-08-14,1455.5264342711534
2017-08-15,1456.4218196729523
2017-08-16,1454.3209263590152
2017-08-17,1445.7013342394077
2017-08-18,1447.746297198133
2017-08-21,1438.0199002201452
2017-08-22,1443.713574162667
2017-08-23,1438.8496919072722
2017-08-24,1438.1676616955008
2017-08-25,1434.9590544228179
2017-08-28,1430.5730788602866
2017-08-29,1424.4751876784233
2017-08-30,1438.17765614977
2017-08-31,1446.6809489933935
2017-09-01,1449.9834253673553
2017-09-04,1444.8203304214285
2017-09-05,1446.754459764457
2017-09-06,1445.995702589869
2017-09-07,1442.9591154518125
2017-09-08,1441.6207914267309
2017-09-11,1448.1297047457763
2017-09-12,1444.4541112688719
2017-09-13,1451.8960155878272
2017-09-14,1456.2946964209928
2017-09-15,1449.3976890640902
2017-09-18,1451.1984490435088
2017-09-19,1447.461235029989
2017-09-20,1440.2410905862841
2017-09-21,1448.857905218363
2017-09-22,1448.1322396498824
2017-09-25,1443.4023843184577
2017-09-26,1452.967228325838
2017-09-27,1456.6922383418191
2017-09-28,1453.7186218273318
2017-09-29,1457.197921657874
2017-10-02,1470.9993982359827
2017-10-03,1470.9855627016134
2017-10-04,1474.8386821449674
2017-10-05,1481.6651663386306
2017-10-06,1477.5463779748782
2017-10-09,1473.1649120721058
2017-10-10,1466.2284472407732
2017-10-11,1464.3676264708379
2017-10-12,1463.0813309901475
2017-10-13,1468.344823531714
2017-10-16,1468.1265383384855
2017-10-17,1473.1971991466494
2017-10-18,1464.94802167254
2017-10-19,1457.772678098534
2017-10-20,1463.0234251529741
2017-10-23,1470.3809068479807
2017-10-24,1470.8052252976854
2017-10-25,1463.8975784321074
2017-10-26,1474.5952751377092
2017-10-27,1483.5878883211924
2017-10-30,1473.8960325518867
2017-10-31,1477.9600849315425
2017-11-01,1491.0821542911233
2017-11-02,1484.6960896463274
2017-11-03,1489.5929818664445
2017-11-06,1485.2248161103419
2017-11-07,1477.5168006698466
2017-11-08,1481.6213343084294
2017-11-09,1482.742980674808
2017-11-10,1475.474367047608
2017-11-13,1476.6802094446625
2017-11-14,1459.0306324880353
2017-11-15,1454.1953616237213
