Date,FM ASIA INDEX SMALL CAP
2013-10-03,498.2131739185486
2013-10-04,499.25523942929874
2013-10-07,493.5635852495258
2013-10-08,490.2327464871085
2013-10-09,493.2952909400122
2013-10-10,494.31642614477346
2013-10-11,493.10284198676027
2013-10-14,492.0827476337851
2013-10-15,495.77534792008504
2013-10-16,497.0933022265189
2013-10-17,491.71831518312706
2013-10-18,491.61758895791854
2013-10-21,489.6884845016347
2013-10-22,491.2103380286786
2013-10-23,498.74536085746917
2013-10-24,489.4821468323061
2013-10-25,489.91917572834075
2013-10-28,504.11906961353714
2013-10-29,508.89697222345626
2013-10-30,502.782708348089
2013-10-31,511.02894072420855
2013-11-01,515.319086242722
2013-11-04,524.1728937736899
2013-11-05,529.9084933521481
2013-11-06,534.990789119029
2013-11-07,548.9608823111242
2013-11-08,550.3011827327174
2013-11-11,551.337028087226
2013-11-12,547.9473365972001
2013-11-13,547.964166977935
2013-11-14,551.9518257818077
2013-11-15,551.0415350859827
2013-11-18,552.804259450918
2013-11-19,562.3389192890526
2013-11-20,570.1307297058949
2013-11-21,563.8940239562827
2013-11-22,562.4032927647197
2013-11-25,559.7970477437947
2013-11-26,551.7256421917572
2013-11-27,548.8981132814492
2013-11-28,545.7721970705595
2013-11-29,546.3263616517954
2013-12-02,547.075098323745
2013-12-03,557.2220353150635
2013-12-04,556.1151656802363
2013-12-05,552.2161692787973
2013-12-06,551.1038382882197
2013-12-09,550.1639514183867
2013-12-10,551.1820405512509
2013-12-11,549.4987973381074
2013-12-12,548.8534337457404
2013-12-13,551.5455539050805
2013-12-16,551.8012543879225
2013-12-17,549.5409461714443
2013-12-18,548.3268601321142
2013-12-19,553.5917525844588
2013-12-20,552.8159175584285
2013-12-23,556.1500219269248
2013-12-24,555.3539904214564
2013-12-25,554.9343275447427
2013-12-26,551.4932008621764
2013-12-27,547.8232006775411
2013-12-30,550.6787083339215
2013-12-31,554.2295642594295
2014-01-01,558.5783909807371
2014-01-02,567.3062497046565
2014-01-03,569.5412053281383
2014-01-06,567.8374685275078
2014-01-07,571.4678491690211
2014-01-08,578.7084697135032
2014-01-09,582.6004716560628
2014-01-10,580.2117865581862
2014-01-13,586.8167194911377
2014-01-14,585.8685267871351
2014-01-15,594.3478767004308
2014-01-16,597.4483533829856
2014-01-17,598.9700544755109
2014-01-20,601.4542138781591
2014-01-21,608.090725676487
2014-01-22,612.0026294066553
2014-01-23,613.1683337238522
2014-01-24,612.1124091033698
2014-01-27,617.5147032758204
2014-01-28,613.7816868908076
2014-01-29,617.6691923543873
2014-01-30,621.0978107637554
2014-01-31,626.3859252118741
2014-02-03,632.6715653852849
2014-02-04,631.0193402671619
2014-02-05,629.1419037654953
2014-02-06,628.8784486800271
2014-02-07,626.6414012238325
2014-02-10,618.8685063225412
2014-02-11,613.6087370284858
2014-02-12,619.2200713420548
2014-02-13,614.8432749208434
2014-02-14,614.2607041394467
2014-02-17,609.5445739425187
2014-02-18,609.6280117464944
2014-02-19,615.7883389496784
2014-02-20,612.8875472219746
2014-02-21,612.0497097370759
2014-02-24,612.1439818999218
2014-02-25,611.8293069276151
2014-02-26,614.6907534165781
2014-02-27,609.990067829185
2014-02-28,608.6441857024982
2014-03-03,600.720763077916
2014-03-04,606.73536539695
2014-03-05,609.4910827306272
2014-03-06,607.3858893513482
2014-03-07,607.7228645328117
2014-03-10,610.2524256191176
2014-03-11,613.7445266588574
2014-03-12,612.3663272483283
2014-03-13,607.3962637919154
2014-03-14,606.5930603333372
2014-03-17,602.8357327190188
2014-03-18,604.1327143258262
2014-03-19,606.3421293757632
2014-03-20,616.0076329280954
2014-03-21,614.1660467538147
2014-03-24,608.239519791275
2014-03-25,608.212459789357
2014-03-26,607.1232725866848
2014-03-27,613.4924764553075
2014-03-28,611.075643657023
2014-03-31,608.1466609059747
2014-04-01,610.4778516009576
2014-04-02,619.3341882898629
2014-04-03,631.1286145132815
2014-04-04,632.0167754030441
2014-04-07,628.0605761315279
2014-04-08,625.2776853107569
2014-04-09,629.6159423156109
2014-04-10,630.1137744033533
2014-04-11,630.4309470154279
2014-04-14,629.603220586353
2014-04-15,629.3875089735272
2014-04-16,630.2582201325026
2014-04-17,630.0874366078797
2014-04-18,624.9410539189935
2014-04-21,629.2119955578772
2014-04-22,633.7883238883247
2014-04-23,630.2908833671133
2014-04-24,632.9166268371838
2014-04-25,632.6628906623578
2014-04-28,626.9760804829571
2014-04-29,619.2960410207975
2014-04-30,619.1431131571394
2014-05-01,619.1431131571394
2014-05-02,619.3804899460314
2014-05-05,608.3075277139246
2014-05-06,606.8812284961878
2014-05-07,608.6498838194025
2014-05-08,605.9921973060618
2014-05-09,613.0456170234464
2014-05-12,602.5923628952945
2014-05-13,604.6000458781041
2014-05-14,603.9628189018745
2014-05-15,604.9670742796055
2014-05-16,607.9087731333178
2014-05-19,605.6411042006897
2014-05-20,607.071946460463
2014-05-21,614.192497658205
2014-05-22,613.4167808731944
2014-05-23,613.898359454393
2014-05-26,611.886928137572
2014-05-27,619.3366327021996
2014-05-28,621.3352118197954
2014-05-29,623.248743569241
2014-05-30,622.5558414690433
2014-06-02,625.1146536004112
2014-06-03,618.8546103097648
2014-06-04,614.1538848026179
2014-06-05,615.8832802753271
2014-06-06,616.0819461139034
2014-06-09,619.5763590286725
2014-06-10,620.0208988009514
2014-06-11,623.8333747904934
2014-06-12,622.3227139579981
2014-06-13,623.7206098200963
2014-06-16,617.7033597430417
2014-06-17,617.9383487714191
2014-06-18,616.3920225002228
2014-06-19,608.3634804619645
2014-06-20,610.2943410642176
2014-06-23,614.5995444774815
2014-06-24,618.4475829076061
2014-06-25,616.7568589604189
2014-06-26,620.7881599660635
2014-06-27,619.980434073211
2014-06-30,624.718845069965
2014-07-01,626.1425166243235
2014-07-02,631.300069540949
2014-07-03,634.2811670401762
2014-07-04,634.916312425091
2014-07-07,627.586975249856
2014-07-08,627.5348514847733
2014-07-09,625.6306152750349
2014-07-10,626.0651602761151
2014-07-11,624.7995794905229
2014-07-14,629.999481088506
2014-07-15,633.5386775847519
2014-07-16,637.6551732043699
2014-07-17,643.559226234276
2014-07-18,644.5635804322765
2014-07-21,647.2275709345173
2014-07-22,650.5154405252907
2014-07-23,648.5116523251199
2014-07-24,651.3864014648959
2014-07-25,651.8242133502733
2014-07-28,647.4725849640346
2014-07-29,649.4735299365695
2014-07-30,650.9046620246392
2014-07-31,652.6114860052064
2014-08-01,649.7107931774536
