Date,DENMARK SMALL CAP
2009-11-09,294.6405139260917
2009-11-10,289.5799013013508
2009-11-11,291.33996891163275
2009-11-12,290.9744518014634
2009-11-13,291.2941434012648
2009-11-16,298.99643891992145
2009-11-17,295.6044869316294
2009-11-18,301.7064182123208
2009-11-19,296.39432844019166
2009-11-20,297.0037840795822
2009-11-23,299.2619800009044
2009-11-24,295.4827586235828
2009-11-25,294.0996566017113
2009-11-26,288.01271632455064
2009-11-27,288.3903756943642
2009-11-30,286.34316035064916
2009-12-01,295.650220985655
2009-12-02,299.81395354272377
2009-12-03,300.2521325696834
2009-12-04,298.4592353150106
2009-12-07,298.63491700945224
2009-12-08,293.416701645597
2009-12-09,293.79944017017436
2009-12-10,293.1296347534943
2009-12-11,292.9557205049224
2009-12-14,295.97836294995597
2009-12-15,294.4759066532828
2009-12-16,296.64116381399054
2009-12-17,296.1125502748543
2009-12-18,291.58968580309966
2009-12-21,290.784043585044
2009-12-22,291.20887505576826
2009-12-23,295.33939788639134
2009-12-24,295.83781053302016
2009-12-25,295.83781053302016
2009-12-28,298.12918838056265
2009-12-29,300.16709536019414
2009-12-30,299.1815106088623
2009-12-31,300.17661903171177
2010-01-01,300.17661903171177
2010-01-04,312.6696899990527
2010-01-05,311.7541978148587
2010-01-06,310.1413605424726
2010-01-07,313.5841778948857
2010-01-08,314.6255482031728
2010-01-11,320.93097287812463
2010-01-12,317.96502392077304
2010-01-13,318.27572478273385
2010-01-14,324.4945514743479
2010-01-15,321.15662214989226
2010-01-18,321.97471823758735
2010-01-19,319.3845737179879
2010-01-20,312.85612984898137
2010-01-21,306.7133998745044
2010-01-22,303.89472683801847
2010-01-25,305.7691336634129
2010-01-26,300.14848183836375
2010-01-27,299.98291699032666
2010-01-28,300.21083386515863
2010-01-29,301.2651617412943
2010-02-01,302.9266192497347
2010-02-02,307.0451090864496
2010-02-03,309.48529735912484
2010-02-04,302.09490227077515
2010-02-05,296.1076982290139
2010-02-08,289.58413435769666
2010-02-09,290.7160810420822
2010-02-10,286.9057561845492
2010-02-11,283.6285323485517
2010-02-12,283.3231219230527
2010-02-15,282.8928151057842
2010-02-16,290.3266525563873
2010-02-17,292.9681427998637
2010-02-18,294.06364936582366
2010-02-19,291.69584472639303
2010-02-22,295.4634514926827
2010-02-23,289.76683761871885
2010-02-24,288.8244254608409
2010-02-25,285.0393219901469
2010-02-26,290.7824345084402
2010-03-01,293.54393032528725
2010-03-02,297.55604922530534
2010-03-03,302.4531912287914
2010-03-04,299.2558093096514
2010-03-05,303.5140509352542
2010-03-08,303.58664059162396
2010-03-09,300.0630047091527
2010-03-10,305.8221928368952
2010-03-11,307.17576075047435
2010-03-12,309.4780270789999
2010-03-15,307.1697266081272
2010-03-16,312.59042035602954
2010-03-17,312.24642066142513
2010-03-18,310.1031022360201
2010-03-19,307.3029433660109
2010-03-22,306.34178099792297
2010-03-23,309.7210914761445
2010-03-24,306.11412964864314
2010-03-25,308.9153915620949
2010-03-26,309.24919712022216
2010-03-29,309.186200548635
2010-03-30,307.11304609518186
2010-03-31,310.0564837333417
2010-04-01,310.1692335956059
2010-04-02,310.1692335956059
2010-04-05,309.4209837938897
2010-04-06,310.9313814463808
2010-04-07,313.7056330037114
2010-04-08,311.7804691031815
2010-04-09,318.29341410458727
2010-04-12,324.56647668939564
2010-04-13,323.76656515972303
2010-04-14,328.9804763760143
2010-04-15,328.09778512680487
2010-04-16,325.152342573589
2010-04-19,320.97771797315
2010-04-20,328.0444170582421
2010-04-21,327.48799030526874
2010-04-22,322.6798193861232
2010-04-23,329.0996498611119
2010-04-26,330.32474959655127
2010-04-27,328.98441761842713
2010-04-28,316.9035087914707
2010-04-29,323.41784556388967
2010-04-30,324.6918834730597
2010-05-03,321.54869808702136
2010-05-04,305.61060751284396
2010-05-05,290.3663832891856
2010-05-06,283.6167880331093
2010-05-07,268.9363756390391
2010-05-10,295.9979621409324
2010-05-11,284.8489500384813
2010-05-12,289.5554017471587
2010-05-13,287.02655496939497
2010-05-14,283.79297285892744
