Date,NORWAY SMALL CAP
2013-07-15,306.35702430001703
2013-07-16,311.70203735789676
2013-07-17,309.2728291750924
2013-07-18,310.4113711333209
2013-07-19,315.4028235041046
2013-07-22,317.79572689412214
2013-07-23,321.00831885992966
2013-07-24,319.8859147332295
2013-07-25,318.6374309662302
2013-07-26,318.21365242226983
2013-07-29,317.4456057268593
2013-07-30,317.8500536010383
2013-07-31,317.4964089666922
2013-08-01,318.0660758133796
2013-08-02,316.9311627056334
2013-08-05,318.2067694688126
2013-08-06,318.3196294774039
2013-08-07,318.0925949120918
2013-08-08,321.7402090975468
2013-08-09,327.3813627249599
2013-08-12,325.3200429199062
2013-08-13,322.25574868726244
2013-08-14,324.8143686471334
2013-08-15,316.97525445494426
2013-08-16,320.26805037080777
2013-08-19,324.88815565595337
2013-08-20,318.23811028981663
2013-08-21,312.68859225457265
2013-08-22,312.6363964973449
2013-08-23,315.9498102026475
2013-08-26,312.4699072920838
2013-08-27,308.6285971735891
2013-08-28,307.10771364857226
2013-08-29,306.05505189389925
2013-08-30,301.42487370422845
2013-09-02,309.0334222784471
2013-09-03,309.32634364701914
2013-09-04,309.5680194434966
2013-09-05,307.4030587010986
2013-09-06,309.37653711602945
2013-09-09,314.4242308428654
2013-09-10,323.0230584245329
2013-09-11,325.7653376083978
2013-09-12,324.98341229797495
2013-09-13,323.78053048665055
2013-09-16,327.03775242649624
2013-09-17,325.3850821809865
2013-09-18,325.7448758635379
2013-09-19,331.3330089789156
2013-09-20,324.89681839392705
2013-09-23,323.4346217730553
2013-09-24,316.80741346609835
2013-09-25,314.42907835607474
2013-09-26,315.8044959528552
2013-09-27,314.6012943530014
2013-09-30,308.39491625548607
2013-10-01,312.8455272643135
2013-10-02,311.49107336554727
2013-10-03,319.5937349843518
2013-10-04,319.13090623825775
2013-10-07,316.12226387640777
2013-10-08,308.41084466999047
2013-10-09,303.9091240556715
2013-10-10,307.55461515609244
2013-10-11,311.6107989990133
2013-10-14,313.4759080952348
2013-10-15,314.7803527845732
2013-10-16,315.37913466181175
2013-10-17,320.09603734541963
