Date,SWITZERLAND SMALL CAP
2015-04-14,376.3669860739557
2015-04-15,378.1799238709192
2015-04-16,377.9901875907286
2015-04-17,372.811834431795
2015-04-20,375.9020717797678
2015-04-21,378.1973394694188
2015-04-22,374.4914422988213
2015-04-23,376.5917677128789
2015-04-24,375.47686183554436
2015-04-27,374.53082590474736
2015-04-28,369.6711206008541
2015-04-29,367.7204574305962
2015-04-30,368.1260780768644
2015-05-01,369.69926705419965
2015-05-04,372.51093657651813
2015-05-05,371.209431375376
2015-05-06,367.5292251777394
2015-05-07,367.44297619163825
2015-05-08,370.3150332077765
2015-05-11,372.14137061289296
2015-05-12,367.02326419612575
2015-05-13,368.4357683277338
2015-05-14,368.48919871236353
2015-05-15,370.5380224465777
2015-05-18,371.29154666645616
2015-05-19,375.58355725817995
2015-05-20,376.54909324263605
2015-05-21,376.7628259428046
2015-05-22,378.02275616427283
2015-05-25,378.0227561642728
2015-05-26,375.92758945233396
2015-05-27,377.86814420188904
2015-05-28,379.3843211680838
2015-05-29,376.3137491556646
2015-06-01,379.9466346845284
2015-06-02,375.25769599616984
2015-06-03,374.97409249403785
2015-06-04,373.9533705308322
2015-06-05,369.97036903362607
2015-06-08,370.9264195879491
2015-06-09,369.89506944594524
2015-06-10,369.1540405090452
2015-06-11,368.27840569428946
2015-06-12,367.67607547723475
2015-06-15,359.7189260170559
2015-06-16,363.21044181213074
2015-06-17,361.0298325461116
2015-06-18,358.88480575918084
2015-06-19,360.29796323258387
2015-06-22,362.9305562661367
2015-06-23,365.94214747453185
2015-06-24,364.31520961927
2015-06-25,360.8607188929017
2015-06-26,362.9690978312862
2015-06-29,359.74206726701243
2015-06-30,356.9086348243689
2015-07-01,359.12279213641546
2015-07-02,359.6206279234347
2015-07-03,359.5018890042061
2015-07-06,355.2391879599561
2015-07-07,353.1673340100715
2015-07-08,349.1994020774042
2015-07-09,354.91491062892743
2015-07-10,358.74420548639887
2015-07-13,365.0509016266821
2015-07-14,367.2417478310185
2015-07-15,367.24573873954296
2015-07-16,372.1149865159424
2015-07-17,372.32094910919994
2015-07-20,372.9687187459847
2015-07-21,371.1730944082878
2015-07-22,369.11297520261786
2015-07-23,369.66985471979996
2015-07-24,367.99631373098197
2015-07-27,361.09377921793634
2015-07-28,361.79604335569314
2015-07-29,364.8301641059422
2015-07-30,366.3377421163299
2015-07-31,367.41063958397694
2015-08-03,369.9668243804818
2015-08-04,368.1270523539223
2015-08-05,370.0830186028213
2015-08-06,365.7461372297053
2015-08-07,362.0098459208333
2015-08-10,362.28225790905674
2015-08-11,360.89903234887294
2015-08-12,354.696366075882
2015-08-13,358.6487787443989
2015-08-14,359.71933538278074
2015-08-17,361.21742647861095
2015-08-18,361.45785922670206
2015-08-19,359.9988526763373
2015-08-20,352.1037015517595
2015-08-21,343.8961066855616
2015-08-24,330.61588107499597
2015-08-25,343.8105465905899
2015-08-26,341.2932649074791
2015-08-27,346.92148823707794
2015-08-28,346.72077843690073
2015-08-31,345.8688075195191
2015-09-01,339.797756992948
2015-09-02,337.96156754135336
2015-09-03,343.0259983814983
2015-09-04,340.3616146666531
2015-09-07,338.76649108125196
2015-09-08,341.0172812779312
2015-09-09,343.6367646882874
2015-09-10,341.28899073935077
2015-09-11,339.5245551138926
2015-09-14,340.20283270817
2015-09-15,340.9689351674569
2015-09-16,342.9753320500747
2015-09-17,342.26530673304273
2015-09-18,340.8854039687578
2015-09-21,344.2142281594442
2015-09-22,338.5846417353682
2015-09-23,336.1841619987125
2015-09-24,329.1626249691997
2015-09-25,334.33414902214577
2015-09-28,328.4184622063048
2015-09-29,326.12332420425037
2015-09-30,331.0895349894363
2015-10-01,331.72401418917644
2015-10-02,332.11983102189356
2015-10-05,338.87819375104345
2015-10-06,342.8225068075555
2015-10-07,339.480040118515
2015-10-08,342.47289475910037
2015-10-09,343.05614552300364
2015-10-12,343.6890755957928
2015-10-13,341.62066844269606
2015-10-14,339.3003190896357
2015-10-15,342.7303277308455
2015-10-16,344.77158082795466
2015-10-19,344.52734706002076
2015-10-20,345.13551043514144
2015-10-21,345.4121672882948
2015-10-22,348.9332642256773
2015-10-23,356.5697792415693
2015-10-26,354.30002143679013
2015-10-27,349.12367847875015
2015-10-28,350.4087313362653
2015-10-29,352.6138748446228
2015-10-30,351.6216753132615
2015-11-02,356.2461345234925
2015-11-03,356.94627025242175
2015-11-04,359.21810521801154
2015-11-05,358.69262868924824
2015-11-06,362.667428879032
2015-11-09,360.2958249262448
2015-11-10,359.2795363551217
2015-11-11,361.4811804131134
2015-11-12,357.5192165304534
2015-11-13,355.80897393034564
2015-11-16,357.57899746978336
2015-11-17,363.2889924377382
2015-11-18,363.0874686904923
2015-11-19,362.0636181567414
2015-11-20,364.6278750637031
2015-11-23,364.15943431396784
2015-11-24,359.9887796107557
2015-11-25,361.2167050968976
2015-11-26,361.5696765643745
2015-11-27,361.9691071856033
2015-11-30,365.07577512042644
2015-12-01,365.65564765295255
2015-12-02,367.83809247077494
2015-12-03,364.7794215144716
2015-12-04,363.347320651186
2015-12-07,365.64226404897374
2015-12-08,361.61306264264704
2015-12-09,358.56660323418345
2015-12-10,356.2634581586182
2015-12-11,353.1707426900558
2015-12-14,351.5444269255424
2015-12-15,357.2689863985076
2015-12-16,358.9558141623803
2015-12-17,362.2765751596824
2015-12-18,361.36921702390754
2015-12-21,358.94188435810906
2015-12-22,358.4026592852612
2015-12-23,364.1728656504071
2015-12-24,363.763037142208
2015-12-25,363.763037142208
2015-12-28,364.8561055483834
2015-12-29,369.4421402648285
2015-12-30,369.00542485761497
2015-12-31,366.73959220543713
2016-01-01,366.73959220543713
2016-01-04,361.25804973622184
2016-01-05,362.02183161532395
2016-01-06,357.4693818714483
2016-01-07,350.2352888927558
2016-01-08,346.0979177564849
2016-01-11,344.1203481274758
2016-01-12,347.21187755866913
2016-01-13,346.21184175406415
2016-01-14,340.1444519798377
2016-01-15,331.5709216901107
2016-01-18,329.8197318394099
2016-01-19,336.38764431705874
2016-01-20,328.88314098947905
2016-01-21,330.7129432101487
2016-01-22,337.2946157791198
2016-01-25,337.788759341399
2016-01-26,338.0910054609514
2016-01-27,339.7694109075207
2016-01-28,337.21869256348157
2016-01-29,342.5333592258776
2016-02-01,342.46552120121777
2016-02-02,338.7923647777734
2016-02-03,336.9646987301825
2016-02-04,333.67380698931606
2016-02-05,335.85851456515616
2016-02-08,324.25728908232907
2016-02-09,317.40452734286873
2016-02-10,323.0610391897537
2016-02-11,314.09339009823884
2016-02-12,320.55842679694007
2016-02-15,329.4105709287854
2016-02-16,329.1027763270593
2016-02-17,332.2685293175219
2016-02-18,336.81156281142336
2016-02-19,335.6700527092059
2016-02-22,339.3182976939636
2016-02-23,340.7413282873034
2016-02-24,338.157141386015
2016-02-25,342.40435979469447
2016-02-26,347.0826266183774
2016-02-29,351.20796861587877
2016-03-01,355.4375052743163
2016-03-02,355.398458541398
2016-03-03,354.66599178575905
2016-03-04,356.4796240539814
2016-03-07,356.3343649847028
2016-03-08,354.9953766188137
2016-03-09,355.2844099298414
2016-03-10,352.10615874912304
2016-03-11,359.450650855362
2016-03-14,363.37444844984833
2016-03-15,360.0439448110412
2016-03-16,362.35110903760386
2016-03-17,361.65633669418463
2016-03-18,365.4609926038269
2016-03-21,365.22242614141646
2016-03-22,364.9808588595748
2016-03-23,365.3128626954781
2016-03-24,361.23649363681034
2016-03-25,361.2364936368102
2016-03-28,360.92655068308875
2016-03-29,361.1934588565127
2016-03-30,363.4675340504691
2016-03-31,365.62596520484783
2016-04-01,364.52082101417625
2016-04-04,364.5590375888497
2016-04-05,362.5621344657465
2016-04-06,364.60600425879414
2016-04-07,363.89298726043677
2016-04-08,366.057148147903
2016-04-11,367.334473801521
2016-04-12,367.18776299102575
2016-04-13,371.64789954760136
2016-04-14,372.78771404018926
2016-04-15,369.19285831169407
2016-04-18,370.283795932558
2016-04-19,372.9712225287938
2016-04-20,370.8879880687717
2016-04-21,365.28201107930585
2016-04-22,364.4247667899629
2016-04-25,362.88480556294445
2016-04-26,361.1387273661278
2016-04-27,362.34238037562
2016-04-28,364.35412004194774
2016-04-29,363.035950033186
2016-05-02,363.8777889209914
2016-05-03,362.1104471935439
2016-05-04,359.23596435695737
2016-05-05,358.1632063299087
2016-05-06,358.07135931043547
2016-05-09,359.04776080616017
2016-05-10,359.75538036567076
2016-05-11,359.6630401849461
2016-05-12,360.94593651580885
2016-05-13,362.1662429597015
2016-05-16,360.8501288892637
2016-05-17,361.63516197260867
2016-05-18,361.6091697060084
2016-05-19,359.40103359942316
2016-05-20,362.1852868114745
2016-05-23,366.06784707316774
2016-05-24,368.5799599196548
2016-05-25,371.58862217249055
2016-05-26,372.7966671349048
2016-05-27,373.27981981086936
2016-05-30,373.4140936211328
2016-05-31,373.729401036547
2016-06-01,374.089590046684
2016-06-02,373.8625730728778
2016-06-03,372.35600029619
2016-06-06,375.2789689733803
2016-06-07,379.97045700885246
2016-06-08,378.70219976224286
2016-06-09,377.84989415526206
2016-06-10,373.3182790730793
2016-06-13,364.38518795426995
2016-06-14,362.0970303683161
2016-06-15,364.72077674537553
2016-06-16,360.5267450196444
2016-06-17,364.29735296723777
2016-06-20,371.3814639653095
2016-06-21,374.5150643929527
2016-06-22,373.66706373858494
2016-06-23,375.1381640402984
2016-06-24,367.54005551946807
2016-06-27,351.16669657200765
2016-06-28,358.0317652143387
2016-06-29,364.398720973579
2016-06-30,369.1852126448246
