Date,MALAYSIA IMI VALUE WEIGHTED
2013-05-21,9401.649164761886
2013-05-22,9352.949594213243
2013-05-23,9212.84267869014
2013-05-24,9192.536734113932
2013-05-27,9189.660083362385
2013-05-28,9286.77533504448
2013-05-29,9140.958285421539
2013-05-30,9043.21780019692
2013-05-31,9014.630250510632
2013-06-03,8938.52824925179
2013-06-04,8991.351933302161
2013-06-05,9006.348240470212
2013-06-06,8878.378120847707
2013-06-07,8889.341843876442
2013-06-10,8884.926272285924
2013-06-11,8720.835131765365
2013-06-12,8700.433039957064
2013-06-13,8539.260396924386
2013-06-14,8652.43683849448
2013-06-17,8644.021123534007
2013-06-18,8574.514293366525
2013-06-19,8574.92677326377
2013-06-20,8538.949333194978
2013-06-21,8483.825924173647
2013-06-24,8371.191525642846
2013-06-25,8431.197903475122
2013-06-26,8515.842752013943
2013-06-27,8666.455580826665
2013-06-28,8819.005430691353
2013-07-01,8795.319879487271
2013-07-02,8772.921692729973
2013-07-03,8754.50201112344
2013-07-04,8828.020816734466
2013-07-05,8885.640635963477
2013-07-08,8754.74948640285
2013-07-09,8898.004514155013
2013-07-10,8877.061755161976
2013-07-11,8831.250741819737
2013-07-12,8820.722917195244
2013-07-15,8805.525036628587
2013-07-16,8768.540342004191
2013-07-17,8810.035250188805
2013-07-18,8846.300397502016
2013-07-19,8843.845756293647
2013-07-22,8831.62162856248
2013-07-23,8858.133861726657
2013-07-24,8829.266574815987
2013-07-25,8796.474110857202
2013-07-26,8745.029419253664
2013-07-29,8648.25535957059
2013-07-30,8625.951320877857
2013-07-31,8419.703203711671
2013-08-01,8484.190529430532
2013-08-02,8435.786477959218
2013-08-05,8547.902822853463
2013-08-06,8471.618922037076
2013-08-07,8427.50676213598
2013-08-08,8385.63838219634
2013-08-09,8406.99266486081
2013-08-12,8489.994028934472
2013-08-13,8553.865281408363
2013-08-14,8493.675337283456
2013-08-15,8481.949411665993
2013-08-16,8416.54385863426
2013-08-19,8330.604555499252
2013-08-20,8105.581636075711
2013-08-21,8104.62634188009
2013-08-22,7950.78752681717
2013-08-23,7938.672229671913
2013-08-26,7941.36944710346
2013-08-27,7768.876499617634
2013-08-28,7691.865992350916
2013-08-29,7897.832411223914
2013-08-30,8108.487372557411
2013-09-02,8076.725877103873
2013-09-03,8112.388846625887
2013-09-04,8058.751450418771
2013-09-05,8089.151540553144
2013-09-06,8021.060408500649
2013-09-09,8153.749770812228
2013-09-10,8273.54701424052
2013-09-11,8304.514936765938
2013-09-12,8286.86090938242
2013-09-13,8282.158116624656
2013-09-16,8224.47298613628
2013-09-17,8351.5151963568
2013-09-18,8375.716668429845
2013-09-19,8585.901843315285
2013-09-20,8610.549368360791
2013-09-23,8509.413387071423
2013-09-24,8460.804294737069
2013-09-25,8399.68127132232
2013-09-26,8385.090000919272
2013-09-27,8334.245878032432
2013-09-30,8229.201942711177
2013-10-01,8301.632459798828
2013-10-02,8288.932787978425
2013-10-03,8350.231348497662
2013-10-04,8422.418243862563
2013-10-07,8425.492414915254
2013-10-08,8393.250957239727
2013-10-09,8400.229000810938
2013-10-10,8453.53372398422
2013-10-11,8502.938388381737
2013-10-14,8475.880555163902
2013-10-15,8527.664177617415
2013-10-16,8579.061141235128
2013-10-17,8554.355917130237
2013-10-18,8546.3017820903
2013-10-21,8542.586408227044
2013-10-22,8467.325540785261
2013-10-23,8511.991621025767
2013-10-24,8530.231344735486
2013-10-25,8545.504900991473
2013-10-28,8598.999307859085
2013-10-29,8560.084334600042
2013-10-30,8571.127521910643
2013-10-31,8620.32069567975
2013-11-01,8656.156664083917
2013-11-04,8630.92238702951
2013-11-05,8653.981736610798
2013-11-06,8591.887280692756
2013-11-07,8686.878784243048
2013-11-08,8708.126719625327
2013-11-11,8617.684383813712
2013-11-12,8536.939556877476
2013-11-13,8494.461795461617
2013-11-14,8486.628170799318
2013-11-15,8509.536273375996
2013-11-18,8532.688165556474
2013-11-19,8611.830369060091
2013-11-20,8589.126906632298
2013-11-21,8511.36854647846
2013-11-22,8452.801357837292
2013-11-25,8472.532460671322
2013-11-26,8431.651364746542
2013-11-27,8396.013485078412
2013-11-28,8408.050124038395
2013-11-29,8433.582886647504
2013-12-02,8525.605872063683
2013-12-03,8527.752567239162
2013-12-04,8505.302847545865
2013-12-05,8438.225496244904
2013-12-06,8409.358937585102
2013-12-09,8511.682124296278
2013-12-10,8501.143805066717
2013-12-11,8483.845190067934
2013-12-12,8418.744960867447
2013-12-13,8426.801216877495
2013-12-16,8387.917165673827
2013-12-17,8429.055218947893
2013-12-18,8369.625889936444
2013-12-19,8393.8727566529
2013-12-20,8336.978302156735
2013-12-23,8287.900481351377
2013-12-24,8310.177427743078
2013-12-25,8310.177427743078
2013-12-26,8315.310012146658
2013-12-27,8362.457735319722
2013-12-30,8353.622231771895
2013-12-31,8398.69965781347
2014-01-01,8398.69965781347
2014-01-02,8406.407491912134
2014-01-03,8379.666795239418
2014-01-06,8352.365223853783
2014-01-07,8364.420452130773
2014-01-08,8413.192063618319
2014-01-09,8410.984023549328
2014-01-10,8375.45893724047
2014-01-13,8431.487575318073
2014-01-14,8410.543606181209
2014-01-15,8353.396529225925
2014-01-16,8270.926913295134
2014-01-17,8297.7696781253
2014-01-20,8218.703062578255
2014-01-21,8259.186668944416
2014-01-22,8236.222438054716
2014-01-23,8110.470902446787
2014-01-24,8084.571109869275
2014-01-27,7931.939054524112
2014-01-28,7974.695121307947
2014-01-29,8025.746103801497
2014-01-30,8118.57135332511
2014-01-31,8165.529090565804
2014-02-03,8145.596223754496
2014-02-04,8078.661288805678
2014-02-05,8119.883522662776
2014-02-06,8119.476704593312
2014-02-07,8145.538032266539
2014-02-10,8149.970772428099
2014-02-11,8185.098855116548
2014-02-12,8268.003317122635
2014-02-13,8187.777627773521
2014-02-14,8235.75878645826
2014-02-17,8286.675493534536
2014-02-18,8234.117560379747
2014-02-19,8277.922522761752
2014-02-20,8267.996448391255
2014-02-21,8284.912046553054
2014-02-24,8308.068895147862
2014-02-25,8328.725761189247
2014-02-26,8335.989135056843
2014-02-27,8340.627650261018
2014-02-28,8291.10573242816
2014-03-03,8243.415346641912
2014-03-04,8291.152660030715
2014-03-05,8324.948387190241
2014-03-06,8342.173510036004
2014-03-07,8321.786462315402
2014-03-10,8199.820415215883
2014-03-11,8243.070687531459
2014-03-12,8162.431339578474
2014-03-13,8183.691098249617
2014-03-14,8113.869977742568
2014-03-17,8150.554252239414
2014-03-18,8188.607449751752
2014-03-19,8175.706076514145
2014-03-20,8197.531450922797
2014-03-21,8187.438815606847
2014-03-24,8251.04925775457
2014-03-25,8249.72082165319
2014-03-26,8266.169620419194
2014-03-27,8335.514535473478
2014-03-28,8403.745173535433
2014-03-31,8417.17393900019
2014-04-01,8405.885185276038
2014-04-02,8413.808707169084
2014-04-03,8408.079865664755
2014-04-04,8431.59058229586
2014-04-07,8470.329921342136
2014-04-08,8484.634042564881
2014-04-09,8528.558353869856
2014-04-10,8539.809586072595
2014-04-11,8471.4936652105
2014-04-14,8481.784665107927
2014-04-15,8503.775199045653
2014-04-16,8504.071439795034
2014-04-17,8516.452508077651
2014-04-18,8520.925679948636
2014-04-21,8550.794759286264
2014-04-22,8530.894237929306
2014-04-23,8526.990179155999
2014-04-24,8510.52359548232
2014-04-25,8476.201098176909
2014-04-28,8456.420916293207
2014-04-29,8502.627504924387
2014-04-30,8497.578501719621
2014-05-01,8497.578501719621
