Date,HUNGARY IMI
2014-06-17,477.47443907193315
2014-06-18,485.2407663944531
2014-06-19,491.28272934664835
2014-06-20,485.4606277485188
2014-06-23,490.3460777314648
2014-06-24,487.45499184916156
2014-06-25,482.3615399334408
2014-06-26,470.5976308042452
2014-06-27,474.76605790435576
2014-06-30,471.3500737396334
2014-07-01,463.40750501687955
2014-07-02,465.6531907704303
2014-07-03,469.94977946479065
2014-07-04,464.91553150860585
2014-07-07,468.28458911970097
2014-07-08,463.7339013465887
2014-07-09,454.7130759142495
2014-07-10,451.3916108575323
2014-07-11,451.253496092526
2014-07-14,456.8897838081134
2014-07-15,457.2929140976929
2014-07-16,458.2020728052926
2014-07-17,453.43383037283326
2014-07-18,451.1777678109745
2014-07-21,451.81616280184653
2014-07-22,457.45276521742875
2014-07-23,456.17412036942545
2014-07-24,454.4320959467626
2014-07-25,450.88599795187366
2014-07-28,452.2121469291669
2014-07-29,448.686821224332
2014-07-30,447.0162164558248
2014-07-31,433.76509094964297
2014-08-01,438.24574398088686
2014-08-04,437.3535458383866
2014-08-05,434.24357492372667
2014-08-06,424.1920944318673
2014-08-07,420.28685508579633
2014-08-08,421.25184783125076
2014-08-11,426.6996847398814
2014-08-12,420.53806925553096
2014-08-13,429.5713600643713
2014-08-14,430.6799277251229
2014-08-15,432.0519004237812
2014-08-18,436.9752441453002
2014-08-19,439.68938144741054
2014-08-20,438.2905978853402
2014-08-21,445.3454826342776
2014-08-22,440.66090270521676
2014-08-25,443.5255905252235
2014-08-26,447.36032437909915
2014-08-27,448.4503848004917
2014-08-28,434.6798228565907
2014-08-29,438.830065816239
2014-09-01,443.3964091132041
2014-09-02,442.7347286574108
2014-09-03,458.6931231281921
2014-09-04,465.1610956130796
2014-09-05,463.6416979126026
2014-09-08,461.9032456310834
2014-09-09,462.4390532269468
2014-09-10,465.4591774727513
2014-09-11,464.65353373341577
2014-09-12,465.1308519811472
2014-09-15,465.0718401663614
2014-09-16,467.2627258197753
2014-09-17,469.92725111753793
2014-09-18,471.6767922528566
2014-09-19,464.53822115571677
2014-09-22,466.37387411591226
2014-09-23,459.8644099390363
2014-09-24,455.28916587848124
2014-09-25,444.97265421068516
2014-09-26,438.01924146025044
2014-09-29,444.2524139745944
2014-09-30,448.9069507012013
2014-10-01,451.2754173010452
2014-10-02,444.15242409255984
2014-10-03,449.24521518199407
2014-10-06,456.58402742243084
2014-10-07,455.0218602232493
2014-10-08,448.3542616296521
2014-10-09,452.5633959173389
2014-10-10,449.71402598145136
2014-10-13,452.0624315940506
2014-10-14,449.28397231096415
2014-10-15,442.4851851622895
2014-10-16,436.5980495454333
2014-10-17,448.69801185417265
