Date,AC ASIA PACIFIC EQUAL WEIGHTED
2020-10-20,5936.791608856252
2020-10-21,5971.327386068007
2020-10-22,5937.186977686969
2020-10-23,5922.1978448479595
2020-10-26,5894.858646496281
2020-10-27,5888.008674556414
2020-10-28,5867.191814972469
2020-10-29,5850.353670303785
2020-10-30,5765.761575856488
2020-11-02,5817.045070096664
2020-11-03,5893.028493725952
2020-11-04,5932.570171197269
2020-11-05,6076.2786254261655
2020-11-06,6112.825931301513
2020-11-09,6168.686977890996
2020-11-10,6235.172615499523
2020-11-11,6259.017822537992
2020-11-12,6257.983013874304
2020-11-13,6231.95606175909
2020-11-16,6318.935440716796
2020-11-17,6334.1746171026
2020-11-18,6344.921364441434
2020-11-19,6334.354269942445
2020-11-20,6373.586939570664
2020-11-23,6405.1044498493175
2020-11-24,6429.610037403111
2020-11-25,6400.796312842362
2020-11-26,6428.0163165296135
2020-11-27,6453.638867115954
2020-11-30,6368.8370121311655
2020-12-01,6453.0890905783635
2020-12-02,6471.633998540432
2020-12-03,6514.584377799098
2020-12-04,6544.360524327859
2020-12-07,6524.093304276191
2020-12-08,6519.7636390896905
2020-12-09,6511.067542323817
2020-12-10,6492.550731643956
2020-12-11,6489.437583783901
2020-12-14,6509.682404999535
2020-12-15,6507.282430585314
2020-12-16,6547.567998004713
2020-12-17,6585.888998446885
2020-12-18,6568.311831095441
2020-12-21,6547.001853523738
2020-12-22,6448.984636136444
2020-12-23,6497.985188745595
2020-12-24,6510.7154285441575
2020-12-25,6540.6200293925185
2020-12-28,6539.752287520972
2020-12-29,6583.374327412739
2020-12-30,6642.907022019378
2020-12-31,6687.213123991912
2021-01-01,6690.344385689961
2021-01-04,6762.206414107906
2021-01-05,6834.897719991379
2021-01-06,6824.168663830163
2021-01-07,6868.937713057074
2021-01-08,6961.338175144161
2021-01-11,6894.146848799308
2021-01-12,6945.471274099091
2021-01-13,6968.825145609637
2021-01-14,6955.527060690554
2021-01-15,6891.287562990471
2021-01-18,6893.366277824251
2021-01-19,6942.668638151462
2021-01-20,6991.940174024857
2021-01-21,7038.9673090496635
2021-01-22,7003.729515437873
2021-01-25,7031.433264329101
2021-01-26,6961.070887976896
2021-01-27,6944.292083635145
2021-01-28,6814.501156791372
2021-01-29,6733.284583162183
2021-02-01,6823.223021340209
2021-02-02,6918.824052027936
2021-02-03,6951.49467806742
2021-02-04,6897.077912753234
2021-02-05,6915.051642337074
2021-02-08,7003.350229140874
2021-02-09,7074.481356178179
2021-02-10,7131.177877120837
2021-02-11,7143.768494454356
2021-02-12,7137.27283670456
2021-02-15,7167.498383024586
2021-02-16,7196.964158596298
2021-02-17,7182.988552514774
2021-02-18,7129.47523049424
2021-02-19,7145.355545445046
2021-02-22,7073.900416313071
2021-02-23,7089.809886378514
2021-02-24,6967.959725797832
2021-02-25,7032.494727749096
2021-02-26,6824.514246122753
2021-03-01,6928.176739944738
2021-03-02,6902.488233058876
2021-03-03,6988.202189386756
2021-03-04,6862.923526602526
2021-03-05,6828.695654630522
2021-03-08,6724.175851723574
2021-03-09,6719.93713807475
2021-03-10,6737.330132225744
2021-03-11,6846.312031621083
2021-03-12,6850.322649432543
2021-03-15,6833.395945984731
2021-03-16,6880.2867836564
2021-03-17,6880.998004759417
2021-03-18,6919.83161797764
2021-03-19,6877.439676036683
2021-03-22,6902.462984023597
2021-03-23,6838.621185170385
2021-03-24,6729.752299750013
2021-03-25,6730.6497486415465
2021-03-26,6814.475860909766
2021-03-29,6825.946962717893
2021-03-30,6844.246684811357
2021-03-31,6803.42470321716
2021-04-01,6837.09787057982
2021-04-02,6851.236625433222
2021-04-05,6863.503333386106
2021-04-06,6867.502395626379
2021-04-07,6889.650373079947
2021-04-08,6897.728513909119
2021-04-09,6867.043218892753
2021-04-12,6792.218582596853
2021-04-13,6794.263447348322
2021-04-14,6843.876117161303
2021-04-15,6854.091280941264
2021-04-16,6898.476028772962
2021-04-19,6953.1547109474
2021-04-20,6939.875431221267
2021-04-21,6889.694470511029
2021-04-22,6925.056244437935
2021-04-23,6936.529363908001
2021-04-26,6960.940614007386
2021-04-27,6946.222285419811
2021-04-28,6963.070981789205
2021-04-29,6983.621528157244
2021-04-30,6935.423942575069
2021-05-03,6913.352210520597
2021-05-04,6901.808523105904
2021-05-05,6892.969730981674
2021-05-06,6927.948134575662
2021-05-07,6951.24495033056
2021-05-10,7000.91783818311
2021-05-11,6931.367582924898
2021-05-12,6852.7178809578145
2021-05-13,6775.093038899032
2021-05-14,6859.084089519188
2021-05-17,6868.40306041943
2021-05-18,6965.841881891
2021-05-19,6936.8355862242715
2021-05-20,6921.750713506223
2021-05-21,6919.612624694766
2021-05-24,6948.81275455594
2021-05-25,7028.119210572169
2021-05-26,7053.854386964765
2021-05-27,7085.270538228954
2021-05-28,7094.77648829049
2021-05-31,7127.594558824767
2021-06-01,7152.087749769658
2021-06-02,7142.510585180058
2021-06-03,7124.705638565015
2021-06-04,7135.485447203935
2021-06-07,7153.524877799102
2021-06-08,7143.198840537238
2021-06-09,7131.479539146542
2021-06-10,7157.628995137918
2021-06-11,7149.928397589256
2021-06-14,7146.568725531802
2021-06-15,7118.245219270786
2021-06-16,7068.116856182983
2021-06-17,7035.715108489299
2021-06-18,7028.6212670785235
2021-06-21,6973.357867161004
2021-06-22,7022.446901478235
2021-06-23,7051.5078238672795
2021-06-24,7057.017128689818
2021-06-25,7121.272800695918
2021-06-28,7132.575184080523
2021-06-29,7091.443207707683
2021-06-30,7098.208544154006
2021-07-01,7055.9074781076215
2021-07-02,7007.157206073109
2021-07-05,7043.427206219886
2021-07-06,7022.105207812099
2021-07-07,7025.5743358731615
2021-07-08,6957.578352488814
2021-07-09,6946.586825205171
2021-07-12,7026.151358892444
2021-07-13,7060.7900829680675
2021-07-14,7029.053974885181
2021-07-15,7047.966196580339
2021-07-16,7018.826972786966
2021-07-19,6955.527079321408
2021-07-20,6908.36905147066
2021-07-21,6944.950436138106
2021-07-22,6993.468887402071
2021-07-23,6927.720329879474
2021-07-26,6833.593237598842
2021-07-27,6724.621656398259
2021-07-28,6728.495039710193
2021-07-29,6846.398575939005
2021-07-30,6793.186489739371
2021-08-02,6914.867498392306
2021-08-03,6908.292282006626
2021-08-04,6948.491819943542
2021-08-05,6930.166817709604
2021-08-06,6894.415701125927
2021-08-09,6914.622325266122
2021-08-10,6933.762301199647
2021-08-11,6947.529182932492
2021-08-12,6937.938319325102
2021-08-13,6912.970066712092
2021-08-16,6880.4103042265
2021-08-17,6785.58577117397
2021-08-18,6842.325897916888
2021-08-19,6759.078616284182
2021-08-20,6700.387795017968
2021-08-23,6813.421266057221
2021-08-24,6910.583450485688
2021-08-25,6940.685326229621
2021-08-26,6891.562402690958
2021-08-27,6915.442427804836
2021-08-30,6990.41453827921
2021-08-31,7050.947624095715
2021-09-01,7088.900984154143
2021-09-02,7113.639843946061
2021-09-03,7161.325007532658
2021-09-06,7204.3263138614275
2021-09-07,7233.113900637676
2021-09-08,7217.8610483813045
2021-09-09,7202.913780562954
2021-09-10,7243.183878537281
2021-09-13,7223.424027421084
2021-09-14,7190.991375128014
2021-09-15,7153.812199246344
2021-09-16,7076.921949672001
2021-09-17,7083.316620214407
2021-09-20,7012.03981730124
2021-09-21,7014.503963306059
2021-09-22,7010.061374858026
2021-09-23,7065.947118691292
2021-09-24,7032.211441582399
2021-09-27,6995.196188500345
2021-09-28,6983.929140331151
2021-09-29,6899.259419841888
2021-09-30,6944.535859926151
2021-10-01,6903.867354270324
2021-10-04,6888.148420934079
2021-10-05,6861.789187643175
2021-10-06,6828.619526996873
2021-10-07,6892.229959419302
2021-10-08,6905.774377809537
2021-10-11,6911.381775899277
2021-10-12,6856.203420969263
2021-10-13,6903.741597488017
2021-10-14,6921.81687644271
2021-10-15,6967.9383620314675
2021-10-18,6961.8606444773395
2021-10-19,7031.839177088577
2021-10-20,7023.377521510895
2021-10-21,7007.730379247195
2021-10-22,7007.656900112717
2021-10-25,7012.02318360047
2021-10-26,7008.436472018502
2021-10-27,6958.612712920537
2021-10-28,6907.900999320488
2021-10-29,6900.3490752400285
2021-11-01,6934.572418326206
2021-11-02,6890.603918141917
2021-11-03,6894.371699008093
2021-11-04,6930.782366430324
2021-11-05,6899.495253452088
2021-11-08,6925.66536549522
2021-11-09,6930.090465734837
2021-11-10,6908.941140300544
2021-11-11,6949.03737206813
2021-11-12,7001.115189343061
2021-11-15,6999.483162948721
2021-11-16,6996.1645690426285
2021-11-17,6990.4363942910595
2021-11-18,6942.840314800975
2021-11-19,6982.57245601134
2021-11-22,6969.329308744525
2021-11-23,6955.152328510477
2021-11-24,6934.373970739318
2021-11-25,6938.708276121362
2021-11-26,6833.402400828755
