Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2012-04-27,1292.0147200155975
2012-04-30,1285.9858487816655
2012-05-01,1289.1409538179496
2012-05-02,1279.325230789732
2012-05-03,1281.1143081670361
2012-05-04,1264.660088032367
2012-05-07,1261.4191602015812
2012-05-08,1245.2097219511124
2012-05-09,1235.9495344832244
2012-05-10,1242.496761455948
2012-05-11,1245.3279804290569
2012-05-14,1219.9381971236949
2012-05-15,1210.6411530097873
2012-05-16,1199.3381854445765
2012-05-17,1188.8963732835402
2012-05-18,1179.7914000731473
2012-05-21,1183.9810999998572
2012-05-22,1201.631867755868
2012-05-23,1168.7510687764918
2012-05-24,1177.8554436883312
2012-05-25,1176.333602019823
2012-05-28,1177.907938322892
2012-05-29,1180.0054685966352
2012-05-30,1156.4152411417963
2012-05-31,1154.7871761570336
2012-06-01,1138.075086373235
2012-06-04,1141.413789007555
2012-06-05,1143.3212278234055
2012-06-06,1164.0869606489357
2012-06-07,1176.6044569252665
2012-06-08,1169.357511787196
2012-06-11,1173.9883823945918
2012-06-12,1179.5143995455242
2012-06-13,1188.6203755292095
2012-06-14,1188.4442562670915
2012-06-15,1198.5481644249828
2012-06-18,1198.0040342941886
2012-06-19,1224.2381565483743
2012-06-20,1230.79327902606
2012-06-21,1218.213666416327
2012-06-22,1207.8857330774438
2012-06-25,1192.7989662591306
2012-06-26,1194.566366734647
2012-06-27,1207.0413518509854
2012-06-28,1204.2992064781563
2012-06-29,1245.528794482189
2012-07-02,1250.85525221064
2012-07-03,1264.4581495885157
2012-07-04,1259.9713678594092
2012-07-05,1248.5499503554015
2012-07-06,1236.2308561466527
2012-07-09,1233.3643486544624
2012-07-10,1234.275475937475
2012-07-11,1238.1106376347373
2012-07-12,1220.5609057969946
2012-07-13,1239.318629482329
2012-07-16,1243.0150015755378
2012-07-17,1240.208002156637
2012-07-18,1256.9371270627864
2012-07-19,1267.143389974398
2012-07-20,1247.2123706029545
2012-07-23,1219.7081930441968
2012-07-24,1209.7704445074605
2012-07-25,1210.1145608977233
2012-07-26,1243.1581049465422
2012-07-27,1261.4818998673468
2012-07-30,1268.2957597610687
2012-07-31,1269.8980211056908
2012-08-01,1273.5030517506004
2012-08-02,1255.36117743937
2012-08-03,1286.7212386878311
2012-08-06,1296.720237384692
2012-08-07,1307.804520069738
2012-08-08,1304.814373618101
2012-08-09,1303.5311598910434
2012-08-10,1301.9967214931937
2012-08-13,1301.1227516726622
2012-08-14,1307.0408175984155
2012-08-15,1305.9825404653684
2012-08-16,1314.7119910393121
2012-08-17,1312.5373187390937
2012-08-20,1314.1875618914823
2012-08-21,1326.009849389406
2012-08-22,1310.1821051880424
2012-08-23,1314.4134295800643
2012-08-24,1311.9089911529495
2012-08-27,1315.2003423059414
2012-08-28,1313.1222964460192
2012-08-29,1308.6503629315425
2012-08-30,1299.2506735385728
2012-08-31,1309.0714645223402
2012-09-03,1315.20641120209
2012-09-04,1302.8134128329634
2012-09-05,1303.9999736111436
2012-09-06,1326.0119471460753
2012-09-07,1338.9166509806319
2012-09-10,1333.9793947615613
2012-09-11,1345.3110907852752
2012-09-12,1349.9647031150873
