Date,UNITED ARAB EMIRATES DOMESTIC
2007-09-10,572.0398682691617
2007-09-11,574.5148990448039
2007-09-12,575.4173846214203
2007-09-13,573.4605567682397
2007-09-14,573.5854920075242
2007-09-17,573.4971941836759
2007-09-18,574.8890548870924
2007-09-19,580.6878485205016
2007-09-20,581.4645992161721
2007-09-21,581.4645992161721
2007-09-24,582.9220534201625
2007-09-25,585.740779468611
2007-09-26,585.9311055210084
2007-09-27,585.7579588091004
2007-09-28,585.8217799009693
2007-10-01,593.8959993845073
2007-10-02,600.2423568711482
2007-10-03,601.9021144206785
2007-10-04,606.3993367143269
2007-10-05,606.4241062426835
2007-10-08,613.8030714304049
2007-10-09,620.7960495773963
2007-10-10,625.2802737932714
2007-10-11,625.246216669738
2007-10-12,625.2377029685306
2007-10-15,634.6755629843001
2007-10-16,646.8821992823341
2007-10-17,658.5743016328594
2007-10-18,680.3595317564565
2007-10-19,680.368797930075
2007-10-22,706.7748418659572
2007-10-23,712.2493099083271
2007-10-24,723.429407823634
2007-10-25,721.8936965990488
2007-10-26,722.247725139618
2007-10-29,730.1512837324891
2007-10-30,729.0401986012569
2007-10-31,742.5920934545026
2007-11-01,757.2678474778838
2007-11-02,757.2678474778838
2007-11-05,770.5951112509687
2007-11-06,774.4931987064434
2007-11-07,745.7656631681322
2007-11-08,729.894127532734
2007-11-09,729.9438295583876
2007-11-12,738.8166101244391
2007-11-13,732.9170506061231
2007-11-14,731.8678819686967
2007-11-15,737.3952265824013
2007-11-16,737.9178597710161
2007-11-19,741.0877604457884
2007-11-20,740.8709550998841
2007-11-21,728.3552446157014
2007-11-22,715.8716591974683
2007-11-23,717.1313433338272
2007-11-26,716.4075065508115
2007-11-27,695.9861811421938
2007-11-28,690.8965891803097
2007-11-29,707.5610291587845
2007-11-30,709.9611158098321
2007-12-03,706.886519121455
2007-12-04,725.4681000941196
2007-12-05,736.1382808635298
2007-12-06,738.938191305877
2007-12-07,739.1394271967556
2007-12-10,755.7898709754264
2007-12-11,765.4542081865922
2007-12-12,763.7805984408616
2007-12-13,760.1844182989502
2007-12-14,760.2037846084382
2007-12-17,754.4441192169367
2007-12-18,756.9237943193699
2007-12-19,756.6440949163081
2007-12-20,756.7212313216518
2007-12-21,756.7212313216518
2007-12-24,775.6322102702842
2007-12-25,788.1950518145559
2007-12-26,791.5570301189487
2007-12-27,785.8791373347204
2007-12-28,788.1546525235286
2007-12-31,779.3568340299463
2008-01-01,779.3568340299463
2008-01-02,791.8017908094472
2008-01-03,800.3340340552694
2008-01-04,799.8987368220274
2008-01-07,812.691688953115
2008-01-08,810.9255433342457
2008-01-09,802.53392861985
2008-01-10,802.5544678793351
2008-01-11,802.119041311811
2008-01-14,818.0470043754938
2008-01-15,830.88367319082
2008-01-16,810.6845286621405
2008-01-17,801.7200747673955
2008-01-18,801.6582590997172
2008-01-21,743.3599698549817
2008-01-22,690.7873515442054
2008-01-23,754.1407769260911
2008-01-24,744.6235592760814
2008-01-25,744.3481443476521
2008-01-28,735.3525126532218
2008-01-29,731.5171304510376
2008-01-30,734.477986176411
2008-01-31,737.3383547643227
2008-02-01,737.5472931061411
2008-02-04,765.491006359906
2008-02-05,766.4842688917352
2008-02-06,747.6477216803397
2008-02-07,756.3571876991922
2008-02-08,755.942300391153
2008-02-11,730.7160657343162
2008-02-12,732.8150381285778
2008-02-13,734.9175926435378
2008-02-14,746.6927665957494
2008-02-15,747.5418903628364
2008-02-18,741.8498676247854
2008-02-19,742.5525740282915
2008-02-20,753.5746828779106
2008-02-21,767.4903116525119
2008-02-22,767.4903116525119
2008-02-25,768.0745878182768
2008-02-26,770.6157716270504
2008-02-27,767.7984169399498
2008-02-28,769.0565188253966
2008-02-29,768.6416315173575
2008-03-03,748.130054939177
2008-03-04,758.5268517486661
2008-03-05,753.2936236221633
2008-03-06,756.5497222967919
2008-03-07,756.0316563096228
2008-03-10,749.8743827853447
2008-03-11,742.5261866904073
2008-03-12,751.5703557355498
2008-03-13,742.3687087334188
2008-03-14,743.3787444320197
2008-03-17,715.5454614483291
2008-03-18,718.8096958019465
2008-03-19,726.0898621941438
2008-03-20,726.1087339876927
2008-03-21,726.1087339876927
2008-03-24,709.2707910776772
2008-03-25,719.2741168419373
2008-03-26,723.9997186703722
2008-03-27,720.3718729749097
2008-03-28,722.0201801993996
2008-03-31,710.2760308728116
2008-04-01,719.4776226001443
2008-04-02,727.8119553718492
2008-04-03,737.9979744577389
2008-04-04,738.4549610715252
2008-04-07,737.5818995643215
2008-04-08,735.2321807970491
2008-04-09,738.3732196094862
2008-04-10,744.9277741807609
2008-04-11,744.5190660492215
2008-04-14,737.9932838145826
2008-04-15,743.7618241734622
2008-04-16,749.080504806793
2008-04-17,755.187152975651
2008-04-18,756.3742223393384
2008-04-21,773.8064265223682
2008-04-22,781.6467971049923
2008-04-23,777.4449121194656
2008-04-24,780.6313616111462
2008-04-25,781.5648321667105
2008-04-28,776.379616986284
2008-04-29,776.1077391477374
2008-04-30,776.910546393442
2008-05-01,784.3661304272127
2008-05-02,784.776284397807
2008-05-05,789.4177061587454
2008-05-06,785.9381676326351
2008-05-07,783.1936501327408
2008-05-08,783.5832406713618
2008-05-09,783.1831954410493
2008-05-12,782.0481994488708
2008-05-13,776.5170276698922
2008-05-14,773.0381646808872
2008-05-15,771.293887707821
2008-05-16,772.0943029507907
2008-05-19,766.0898205204486
2008-05-20,762.2111812349639
2008-05-21,757.5667663008575
2008-05-22,766.8003394434745
2008-05-23,765.6291934658864
2008-05-26,768.4109239081974
2008-05-27,767.9125051465902
2008-05-28,767.4900217286114
2008-05-29,772.1121649117284
2008-05-30,772.5422354844661
2008-06-02,787.4739828898495
2008-06-03,787.7629288646219
2008-06-04,791.052626172993
2008-06-05,793.3841623202705
2008-06-06,793.4048516303004
2008-06-09,786.8224412105061
2008-06-10,781.591117536641
2008-06-11,783.0306290244362
2008-06-12,775.9367438566412
2008-06-13,775.6048151416345
2008-06-16,781.3871209693865
2008-06-17,770.3599229045441
2008-06-18,768.9189947338409
2008-06-19,765.7718228857589
2008-06-20,766.2439181788493
2008-06-23,762.1882100166422
2008-06-24,754.9563443404229
2008-06-25,749.992844284919
2008-06-26,749.7384466777393
2008-06-27,749.7580148329668
2008-06-30,748.5214409673988
2008-07-01,763.5091966786798
2008-07-02,770.6085992754273
2008-07-03,765.1901140654977
2008-07-04,765.1700677070378
2008-07-07,752.1042723446184
2008-07-08,746.3393424816481
2008-07-09,749.024535731295
2008-07-10,745.5610068945508
2008-07-11,745.9131696342262
2008-07-14,739.4024800692443
2008-07-15,735.6978894667001
2008-07-16,725.1867929258575
2008-07-17,724.6200944508445
2008-07-18,724.2774317755085
2008-07-21,736.4371299809696
2008-07-22,737.616701077298
2008-07-23,753.6020719776565
2008-07-24,755.246702903184
2008-07-25,755.9028390751351
2008-07-28,750.6867099693459
2008-07-29,738.9437772711003
2008-07-30,747.1595130231761
2008-07-31,747.1791060042148
2008-08-01,746.7871119298969
2008-08-04,741.5658827766539
2008-08-05,732.9906951900695
2008-08-06,724.9420589648481
2008-08-07,720.6425515143677
2008-08-08,720.6425515143677
2008-08-11,670.6441802433224
2008-08-12,656.6856090369262
2008-08-13,671.0480352263382
2008-08-14,677.7906443444745
2008-08-15,677.4201606054065
2008-08-18,681.8751996622694
2008-08-19,684.8228032934859
2008-08-20,679.1812475601524
2008-08-21,666.7597300187797
2008-08-22,665.3311958953157
2008-08-25,658.6536900680336
2008-08-26,638.462934793155
2008-08-27,643.7370251684594
2008-08-28,650.7391145668122
2008-08-29,650.3863053877496
2008-09-01,640.2672425789327
2008-09-02,635.7543774498687
2008-09-03,636.3783409877097
2008-09-04,627.8724892161376
2008-09-05,626.4599992204201
2008-09-08,597.4504006105124
2008-09-09,598.6232125419174
2008-09-10,576.1912104041985
2008-09-11,560.8370021970244
2008-09-12,560.8663488207062
2008-09-15,519.5297790948696
2008-09-16,515.1286192776735
2008-09-17,527.9020862810426
2008-09-18,509.4994084776878
2008-09-19,512.6042966641141
2008-09-22,563.9463246738228
2008-09-23,541.9461245792459
2008-09-24,524.8676225375867
2008-09-25,532.8455954073545
2008-09-26,533.5518404052133
2008-09-29,555.1717868533805
2008-09-30,555.1573554890728
2008-10-01,555.1068519012235
