Date,SWEDEN VALUE WEIGHTED
2001-07-09,1417.613182400072
2001-07-10,1431.6981085789437
2001-07-11,1416.7436504217847
2001-07-12,1449.4696477410587
2001-07-13,1468.0509982962737
2001-07-16,1489.6366337940385
2001-07-17,1450.4661449097425
2001-07-18,1424.7818399226003
2001-07-19,1452.0654266449212
2001-07-20,1433.1201180010173
2001-07-23,1436.8635097543274
2001-07-24,1424.6014551499518
2001-07-25,1413.0785149417395
2001-07-26,1427.298529103072
2001-07-27,1460.9490896715404
2001-07-30,1483.4450675445619
2001-07-31,1499.3745100639012
2001-08-01,1496.080273551438
2001-08-02,1505.9354554021277
2001-08-03,1501.3384618227963
2001-08-06,1504.9959032852364
2001-08-07,1516.3094102092434
2001-08-08,1508.0204213580387
2001-08-09,1471.8924781593455
2001-08-10,1451.816129879222
2001-08-13,1462.0203687669257
2001-08-14,1483.0331825367011
2001-08-15,1473.8917657628588
2001-08-16,1453.898003116922
2001-08-17,1423.5753242123217
2001-08-20,1385.0578953191434
2001-08-21,1396.584687735726
2001-08-22,1421.927372713612
2001-08-23,1443.5913881849806
2001-08-24,1475.2770055407268
2001-08-27,1478.8009753059061
2001-08-28,1457.8459402441058
2001-08-29,1440.4965330295126
2001-08-30,1402.5139177984227
2001-08-31,1395.0629204436607
2001-09-03,1363.810521153134
2001-09-04,1365.5101957206189
2001-09-05,1372.0656459811416
2001-09-06,1357.335085112854
2001-09-07,1319.7110635392628
2001-09-10,1310.2772961067794
2001-09-11,1217.4755731749735
2001-09-12,1243.7800883691816
2001-09-13,1249.5294965023731
2001-09-14,1233.3164212071792
2001-09-17,1236.8007489494344
2001-09-18,1190.1851801941903
2001-09-19,1182.3660937837376
2001-09-20,1116.3335318831544
2001-09-21,1081.1946484378332
2001-09-24,1127.5172128507438
2001-09-25,1151.182495026385
2001-09-26,1133.3981837054407
2001-09-27,1132.2631481246935
2001-09-28,1173.7140792896976
2001-10-01,1160.941245845919
2001-10-02,1167.2332986580968
2001-10-03,1151.0662571503167
2001-10-04,1216.2732452777252
2001-10-05,1215.957926622589
2001-10-08,1214.694249404559
2001-10-09,1220.374581843033
2001-10-10,1239.4131104957216
2001-10-11,1303.432540233476
2001-10-12,1304.6194089762234
2001-10-15,1280.118898379947
2001-10-16,1283.2409628281778
2001-10-17,1329.927685172032
2001-10-18,1296.1101143357296
2001-10-19,1267.1214790950673
2001-10-22,1261.2703677181157
2001-10-23,1301.8736431625866
2001-10-24,1316.973248293409
2001-10-25,1287.732205689886
2001-10-26,1325.974409505562
2001-10-29,1293.5298630895672
2001-10-30,1235.9671001962536
2001-10-31,1251.5826571884766
2001-11-01,1244.8735900124998
2001-11-02,1249.1115109064547
2001-11-05,1288.9642229315675
2001-11-06,1304.9376420648853
2001-11-07,1322.512157810679
2001-11-08,1359.8546742720325
2001-11-09,1338.1223742035393
2001-11-12,1320.4911556264158
2001-11-13,1377.2977670333328
2001-11-14,1393.205147767358
2001-11-15,1417.3916117952167
2001-11-16,1431.564580248563
2001-11-19,1447.5473102602446
2001-11-20,1408.1685736836523
2001-11-21,1411.4364105550676
2001-11-22,1443.2076438978816
