Date,ACWI ex NEW ZEALAND
2020-07-02,2910.316431407206
2020-07-03,2912.2960759268108
2020-07-06,2965.4688614827805
2020-07-07,2938.787792785781
2020-07-08,2955.9007028875953
2020-07-09,2946.3219485223176
2020-07-10,2964.3352095453743
2020-07-13,2958.4371425625072
2020-07-14,2973.9340449351225
2020-07-15,3008.7011660084877
2020-07-16,2990.2791516952097
2020-07-17,2999.433760881071
2020-07-20,3024.6550911352806
2020-07-21,3041.9613834808506
2020-07-22,3046.2959003974406
2020-07-23,3023.999953506658
2020-07-24,2999.1165311312016
2020-07-27,3026.583830868663
2020-07-28,3016.3135937651855
2020-07-29,3040.67359408776
2020-07-30,3021.2915824724664
2020-07-31,3021.469273960261
2020-08-03,3043.1203175805363
2020-08-04,3061.840059091773
2020-08-05,3088.518186305886
2020-08-06,3094.7378716579083
2020-08-07,3084.5259236198735
2020-08-10,3089.2093700363343
2020-08-11,3089.3216351480414
2020-08-12,3127.6332388980645
2020-08-13,3127.348273510563
2020-08-14,3119.7132409152073
2020-08-17,3133.3328519847023
2020-08-18,3141.4571664870773
2020-08-19,3134.1959407628556
2020-08-20,3121.7806942243
2020-08-21,3129.229124350368
2020-08-24,3163.8585879354205
2020-08-25,3173.00958950804
2020-08-26,3201.2220703824587
2020-08-27,3196.8999866379713
2020-08-28,3214.850543468421
2020-08-31,3206.5397285223717
2020-09-01,3226.75327781441
2020-09-02,3257.31616912194
2020-09-03,3175.818212249293
2020-09-04,3142.55388340586
2020-09-07,3150.6144995793943
2020-09-08,3086.67605806229
2020-09-09,3131.3704403653965
2020-09-10,3101.5309282983467
2020-09-11,3104.3048560005755
2020-09-14,3141.5440187503896
2020-09-15,3157.8849182189674
2020-09-16,3154.399734959317
2020-09-17,3128.0673783239763
2020-09-18,3110.892600412352
2020-09-21,3060.3667284565317
2020-09-22,3073.7745230439677
2020-09-23,3028.587086204174
2020-09-24,3015.54470294451
2020-09-25,3046.669465147592
2020-09-28,3096.043514586312
2020-09-29,3089.726660217818
2020-09-30,3103.2589338789057
2020-10-01,3119.2128405086096
2020-10-02,3098.0308332626405
2020-10-05,3148.869528618259
2020-10-06,3128.8147295257827
2020-10-07,3161.628063957588
2020-10-08,3186.087699402746
2020-10-09,3211.3602376667122
2020-10-12,3251.246979085096
2020-10-13,3235.1510115775145
2020-10-14,3222.826003115217
2020-10-15,3197.287002038676
2020-10-16,3203.427508747654
2020-10-19,3179.046936153598
2020-10-20,3186.94584635378
2020-10-21,3182.7626382324124
2020-10-22,3186.0864839684964
2020-10-23,3197.141375188644
2020-10-26,3148.5591225763797
2020-10-27,3140.1360053509984
2020-10-28,3049.1980809761767
2020-10-29,3062.7893067512605
