Date,ACWI ex COLOMBIA
2013-02-05,1670.853147509329
2013-02-06,1673.550034292376
2013-02-07,1666.2910714503382
2013-02-08,1675.4488090622867
2013-02-11,1670.1445630947594
2013-02-12,1678.7569086818582
2013-02-13,1680.4853534557042
2013-02-14,1678.455151102671
2013-02-15,1673.820410856791
2013-02-18,1675.199641939432
2013-02-19,1687.118522571833
2013-02-20,1678.0237990772953
2013-02-21,1656.4926742127773
2013-02-22,1666.9762510407431
2013-02-25,1655.9781772058861
2013-02-26,1648.6728546107752
2013-02-27,1663.5458183166406
2013-02-28,1671.2328866863343
2013-03-01,1667.4304757127238
2013-03-04,1668.5915938796818
2013-03-05,1686.3303049367146
2013-03-06,1690.7930526272064
2013-03-07,1693.4167868850698
2013-03-08,1699.0771976311175
2013-03-11,1705.0351408606107
2013-03-12,1702.281544177667
2013-03-13,1697.4681105842312
2013-03-14,1708.0315548228089
2013-03-15,1711.4222110275027
2013-03-18,1695.131852917471
2013-03-19,1689.7598828906685
2013-03-20,1698.2258215882844
2013-03-21,1689.5995779930256
2013-03-22,1694.2294468023467
2013-03-25,1689.7712998645263
2013-03-26,1697.4799561402608
2013-03-27,1695.4910996676053
2013-03-28,1701.5675170029635
2013-03-29,1701.919434593991
2013-04-01,1694.510293020481
2013-04-02,1701.8317722849622
2013-04-03,1690.9899564074208
2013-04-04,1685.9654266115094
2013-04-05,1680.9878444201847
2013-04-08,1688.8663402330553
2013-04-09,1697.5263362592277
2013-04-10,1719.672245135117
2013-04-11,1731.650548436664
2013-04-12,1723.4830538890685
2013-04-15,1694.0177485892075
2013-04-16,1703.19170516172
2013-04-17,1682.9419990859637
2013-04-18,1674.9529110549765
2013-04-19,1686.8446530188123
2013-04-22,1692.1969250062784
2013-04-23,1709.376959524536
2013-04-24,1718.5879482805883
2013-04-25,1729.507613135843
2013-04-26,1727.3667956778434
2013-04-29,1739.9611293020691
2013-04-30,1750.7015629576795
2013-05-01,1740.4909036791034
2013-05-02,1743.9984539670743
2013-05-03,1758.4459591049908
2013-05-06,1758.8040699080436
2013-05-07,1770.9586139587782
2013-05-08,1785.5139272933343
2013-05-09,1777.7781642573507
2013-05-10,1776.054163543767
2013-05-13,1776.2325144902368
2013-05-14,1786.5235396056216
2013-05-15,1792.1362179453936
2013-05-16,1789.3258602711433
2013-05-17,1794.6089768418037
2013-05-20,1801.0944774647364
2013-05-21,1803.55440581389
2013-05-22,1795.7285900704662
2013-05-23,1770.9768573538636
2013-05-24,1770.5495429260188
2013-05-27,1767.6643449562762
2013-05-28,1776.1138597986721
2013-05-29,1766.2006433506026
2013-05-30,1768.1922289497522
2013-05-31,1746.067997661916
2013-06-03,1744.8971247247787
2013-06-04,1746.9168350634102
2013-06-05,1721.0905052945561
2013-06-06,1724.114836536915
2013-06-07,1739.4003578312168
2013-06-10,1740.9641564102956
2013-06-11,1727.0734756077093
2013-06-12,1721.5154773707525
2013-06-13,1726.5326437803076
2013-06-14,1728.1838958163555
2013-06-17,1742.8207911705583
2013-06-18,1748.4725436483925
2013-06-19,1738.6290582887818
2013-06-20,1677.5168777953081
2013-06-21,1673.1472692875236
2013-06-24,1648.6670532223332
2013-06-25,1661.3721847876163
2013-06-26,1678.6235426817968
2013-06-27,1693.372374339063
2013-06-28,1695.0326049441678
2013-07-01,1706.7881336882556
2013-07-02,1705.4751112812028
2013-07-03,1697.0985260188602
2013-07-04,1707.1655962379086
2013-07-05,1707.1901966674752
2013-07-08,1713.9337590651708
2013-07-09,1726.8375261869814
2013-07-10,1732.6548013041192
2013-07-11,1762.755384318509
2013-07-12,1764.9520701757535
2013-07-15,1769.0858965012412
2013-07-16,1768.840429827094
2013-07-17,1773.2488863151282
2013-07-18,1781.06985878115
2013-07-19,1782.2000800492178
2013-07-22,1790.4233880705247
2013-07-23,1792.6235881054874
2013-07-24,1790.661513178025
2013-07-25,1789.1592016448835
2013-07-26,1787.4269678121152
2013-07-29,1778.2061988096198
2013-07-30,1779.7714452852583
2013-07-31,1776.1577366777728
2013-08-01,1795.448310814098
2013-08-02,1805.0821136738975
2013-08-05,1801.8288388591359
2013-08-06,1797.2764581007912
2013-08-07,1786.9406407290664
2013-08-08,1797.8302057963176
2013-08-09,1798.0115911277521
2013-08-12,1796.3769711567886
2013-08-13,1801.5074826006712
2013-08-14,1802.3252980190039
2013-08-15,1781.1219312335854
2013-08-16,1781.446997344654
2013-08-19,1771.1919111779866
2013-08-20,1767.8770160575034
2013-08-21,1755.0479975851124
2013-08-22,1763.2491847808687
2013-08-23,1776.770200448727
2013-08-26,1772.5995796785005
2013-08-27,1748.0665024483942
2013-08-28,1742.5252618657178
2013-08-29,1746.075058817654
2013-08-30,1739.0931441392381
2013-09-02,1749.992379697001
2013-09-03,1754.3421740528436
2013-09-04,1766.144363367787
2013-09-05,1769.7584047912073
2013-09-06,1776.5970131081856
2013-09-09,1794.6721487650943
2013-09-10,1812.2061275981919
2013-09-11,1819.4181304158337
2013-09-12,1816.3607250629989
2013-09-13,1816.487933350606
2013-09-16,1833.1223894206835
2013-09-17,1834.0331771749027
2013-09-18,1848.8489575429699
2013-09-19,1865.577859790955
2013-09-20,1853.2624706152849
2013-09-23,1848.3086823947945
2013-09-24,1844.8522108278078
2013-09-25,1842.4148654786186
2013-09-26,1845.7658614608488
2013-09-27,1843.4127573302328
2013-09-30,1828.970778401978
2013-10-01,1841.2373621202528
2013-10-02,1839.0500097117954
2013-10-03,1831.9035286102053
2013-10-04,1837.4439301377377
2013-10-07,1825.1107723055914
2013-10-08,1812.1655698755621
2013-10-09,1808.1398622186616
2013-10-10,1837.5387694127162
2013-10-11,1851.491231332764
2013-10-14,1857.0983544825963
2013-10-15,1853.7367437340295
2013-10-16,1866.9123866548446
2013-10-17,1884.7047631582777
2013-10-18,1898.5824893682454
2013-10-21,1900.413131102959
2013-10-22,1912.5610077225044
2013-10-23,1900.7967402839217
2013-10-24,1906.88399510517
2013-10-25,1906.2105066844847
2013-10-28,1910.0880717260504
2013-10-29,1914.9632183207098
2013-10-30,1913.6813427957952
2013-10-31,1902.5670700011308
2013-11-01,1895.9782349270492
2013-11-04,1902.1333112007196
2013-11-05,1895.436481695732
2013-11-06,1904.7684643027803
2013-11-07,1883.648387009408
2013-11-08,1889.127468423891
2013-11-11,1893.4936663772462
2013-11-12,1890.9321457486915
2013-11-13,1892.155187213966
2013-11-14,1906.6525022877372
2013-11-15,1918.612515272235
2013-11-18,1924.265207509727
2013-11-19,1917.5084111174797
2013-11-20,1911.3449712213637
2013-11-21,1913.5644627112772
2013-11-22,1921.868570009887
2013-11-25,1922.8079828612106
2013-11-26,1919.9489464391565
2013-11-27,1923.9338738473334
2013-11-28,1928.9101430864707
2013-11-29,1929.777875632949
2013-12-02,1921.3811440931056
2013-12-03,1910.7492261901916
2013-12-04,1900.566612675349
2013-12-05,1894.9269826008208
2013-12-06,1910.3328156952261
2013-12-09,1917.8236974459592
2013-12-10,1914.1737313534363
2013-12-11,1897.340334078015
2013-12-12,1883.1740913328729
2013-12-13,1881.9313152750299
2013-12-16,1893.1670981587642
2013-12-17,1887.44597314124
2013-12-18,1910.1573045611415
2013-12-19,1914.736494251679
2013-12-20,1922.9508514751785
2013-12-23,1935.3951694503846
2013-12-24,1938.5129371826722
2013-12-25,1938.4952634891126
2013-12-26,1945.2195759985323
2013-12-27,1954.6685203820919
2013-12-30,1957.756467968977
2013-12-31,1963.1622869272378
2014-01-01,1963.1831560490864
2014-01-02,1944.060929600408
2014-01-03,1942.6636088252308
2014-01-06,1936.0359330580668
2014-01-07,1942.7380555212665
2014-01-08,1945.9680297302625
2014-01-09,1939.8647351037216
2014-01-10,1950.593837720591
2014-01-13,1941.9291095865285
2014-01-14,1948.1861466585822
2014-01-15,1957.608939348387
2014-01-16,1956.2770989021014
2014-01-17,1953.6842953732494
2014-01-20,1953.1909540561935
2014-01-21,1955.7382051314376
2014-01-22,1959.432899705792
2014-01-23,1944.983038287021
2014-01-24,1908.138096164818
2014-01-27,1890.2079405241607
2014-01-28,1897.6336552956914
2014-01-29,1890.2963223236725
2014-01-30,1894.2988336488627
2014-01-31,1884.816450989069
2014-02-03,1854.7698004245517
2014-02-04,1850.824418069806
2014-02-05,1853.390515312693
2014-02-06,1877.9497286287015
2014-02-07,1899.7466311032083
2014-02-10,1904.723511035791
2014-02-11,1925.4531885446065
2014-02-12,1931.1966958718624
2014-02-13,1935.5418332428583
2014-02-14,1945.320758485179
2014-02-17,1950.5843705929792
2014-02-18,1956.9895538379874
2014-02-19,1951.6175587874304
2014-02-20,1951.0545309608399
2014-02-21,1957.038162267249
2014-02-24,1965.9570720743586
2014-02-25,1966.6238686791487
2014-02-26,1962.2035631223239
2014-02-27,1967.8039580051898
2014-02-28,1975.8896050379258
2014-03-03,1951.6456288002903
2014-03-04,1976.5478007300892
2014-03-05,1978.8008178309283
2014-03-06,1988.9204895948194
2014-03-07,1983.0758877338926
2014-03-10,1975.7909249163042
2014-03-11,1971.4032323954432
2014-03-12,1962.7294171560964
2014-03-13,1947.814259965385
2014-03-14,1935.5000775017302
2014-03-17,1950.3195292508833
2014-03-18,1964.5555255223994
2014-03-19,1956.3297533837492
2014-03-20,1950.3392012172037
2014-03-21,1950.407469419456
2014-03-24,1944.6144626725982
2014-03-25,1955.894737718262
2014-03-26,1956.6719937955752
2014-03-27,1958.1485555756542
2014-03-28,1969.487857459465
2014-03-31,1984.3641685900589
2014-04-01,1996.1890682387211
2014-04-02,2001.2657260704007
2014-04-03,1998.0196255369613
2014-04-04,1989.1777007981857
2014-04-07,1971.7169114869666
2014-04-08,1978.2541003910183
2014-04-09,1991.4428030323622
2014-04-10,1972.5562799629345
2014-04-11,1952.613887975433
2014-04-14,1958.5022487974088
2014-04-15,1958.6569779601919
2014-04-16,1978.6110135865983
2014-04-17,1985.4034796834449
2014-04-18,1986.805473878791
2014-04-21,1988.5237164729963
2014-04-22,1998.476632571868
2014-04-23,1994.8796680669905
2014-04-24,1997.1345557932957
2014-04-25,1983.9126334106913
2014-04-28,1986.022316705137
2014-04-29,1997.9936816048291
2014-04-30,2003.2045284184426
2014-05-01,2006.2308099352015
2014-05-02,2006.709086259521
2014-05-05,2007.465503732741
2014-05-06,2001.4738897419845
2014-05-07,2002.7780010955846
2014-05-08,2006.9770203300957
2014-05-09,2003.25545385105
2014-05-12,2017.860076117808
2014-05-13,2022.9174082416635
2014-05-14,2022.533220639755
2014-05-15,2008.8429227834324
2014-05-16,2011.1842186006215
2014-05-19,2014.5728614197033
2014-05-20,2005.2557673533956
2014-05-21,2014.990506127849
2014-05-22,2023.4533834886834
2014-05-23,2029.9121438377483
2014-05-26,2035.3745783292852
2014-05-27,2038.4222651375833
2014-05-28,2038.2212126277518
2014-05-29,2046.0637358284541
2014-05-30,2045.8625674058367
2014-06-02,2048.7095982340843
2014-06-03,2048.6246425420713
2014-06-04,2049.9569588337704
2014-06-05,2059.2604891157357
2014-06-06,2071.030705942042
2014-06-09,2073.5620112196616
2014-06-10,2074.7250948765036
2014-06-11,2070.372092522583
2014-06-12,2064.38742152146
2014-06-13,2065.040871355383
2014-06-16,2064.3327426095084
2014-06-17,2065.678361060466
2014-06-18,2075.6911272499206
2014-06-19,2088.398980450297
2014-06-20,2086.0678886345213
2014-06-23,2084.614310210894
2014-06-24,2076.949835384078
2014-06-25,2076.1725831846325
2014-06-26,2076.699886723559
2014-06-27,2080.5254001407384
2014-06-30,2084.318939147804
2014-07-01,2096.7081687106574
2014-07-02,2101.333198903639
2014-07-03,2109.445421234399
2014-07-04,2108.8698840314014
2014-07-07,2100.178872821278
2014-07-08,2086.4464118121377
2014-07-09,2090.4925337217164
2014-07-10,2078.5256943932905
2014-07-11,2079.39929159435
2014-07-14,2092.444428567357
2014-07-15,2087.13704023196
2014-07-16,2098.2374678967813
2014-07-17,2079.9354891547696
2014-07-18,2089.92548420759
2014-07-21,2085.475909244335
2014-07-22,2099.289659909318
2014-07-23,2103.631872063291
2014-07-24,2106.6405671057664
2014-07-25,2097.623784468828
2014-07-28,2097.754974730515
2014-07-29,2093.8328458639016
2014-07-30,2089.3450001818214
2014-07-31,2059.0079666447505
2014-08-01,2048.6355426498285
2014-08-04,2055.3517894363936
2014-08-05,2041.3630076002914
2014-08-06,2035.1610178697492
2014-08-07,2025.1509185242437
2014-08-08,2030.2414794214312
2014-08-11,2045.5927113254959
2014-08-12,2043.930392389238
2014-08-13,2056.150419651713
2014-08-14,2064.029792712651
2014-08-15,2063.0319089022914
2014-08-18,2077.7086660181008
2014-08-19,2087.705086685997
2014-08-20,2089.159278091508
2014-08-21,2095.0573427717204
2014-08-22,2089.082091682944
2014-08-25,2099.6080223359722
2014-08-26,2104.3448882020057
2014-08-27,2107.63187882613
2014-08-28,2099.5649222380057
2014-08-29,2104.4963125448735
2014-09-01,2104.7589456020696
2014-09-02,2102.836398861737
2014-09-03,2111.4423170803693
2014-09-04,2107.79779500784
2014-09-05,2109.290490951451
2014-09-08,2102.3738552242157
2014-09-09,2088.937169035258
2014-09-10,2089.2193775274677
2014-09-11,2089.5767442171414
2014-09-12,2079.887066070139
2014-09-15,2075.9076207744542
2014-09-16,2081.640983125409
2014-09-17,2086.4844047197953
2014-09-18,2093.186642896038
2014-09-19,2090.096642555085
2014-09-22,2072.4403600404953
2014-09-23,2060.0547171622807
2014-09-24,2068.6537117170965
2014-09-25,2044.5808556706875
2014-09-26,2050.46251428323
2014-09-29,2041.305883634679
2014-09-30,2036.4147822870984
2014-10-01,2014.149456162243
2014-10-02,2001.2750863680374
2014-10-03,2010.1425972875604
2014-10-06,2017.9040677773246
2014-10-07,1998.2632808689464
2014-10-08,2008.8758513560206
2014-10-09,1989.0603601315731
2014-10-10,1957.0476027188847
2014-10-13,1943.4290660997565
2014-10-14,1940.5048396681339
2014-10-15,1921.8890289870142
2014-10-16,1916.5194732535865
2014-10-17,1940.3470818206715
2014-10-20,1954.8009614343782
2014-10-21,1981.7258533784304
2014-10-22,1978.7855413084767
2014-10-23,1991.5007662673927
2014-10-24,2000.5841276443155
2014-10-27,1998.050381922096
2014-10-28,2020.2803388050927
2014-10-29,2025.0058936184428
2014-10-30,2028.7495760317345
2014-10-31,2050.855639952012
2014-11-03,2039.9923071675678
2014-11-04,2038.399838937677
2014-11-05,2045.652500143011
2014-11-06,2045.6657261941662
2014-11-07,2044.7164596876491
2014-11-10,2055.2283208258846
2014-11-11,2056.830085130759
2014-11-12,2055.701836238476
2014-11-13,2056.553852721103
2014-11-14,2057.303853613723
2014-11-17,2053.8878507478444
2014-11-18,2068.942226034312
2014-11-19,2065.5182422958965
2014-11-20,2066.539367514638
2014-11-21,2082.4010780300073
2014-11-24,2087.0575248406417
2014-11-25,2089.648123144635
2014-11-26,2096.0655484374493
2014-11-27,2092.7240136719424
2014-11-28,2085.4813813189576
2014-12-01,2070.9999704699617
2014-12-02,2077.521145015968
2014-12-03,2082.0045229048737
2014-12-04,2078.986916734353
2014-12-05,2080.7836916343986
2014-12-08,2066.0697555854335
2014-12-09,2058.776500770962
2014-12-10,2032.1840521643664
2014-12-11,2030.4169507835056
2014-12-12,2003.0094774918678
2014-12-15,1978.0254744011047
2014-12-16,1975.9697367569638
2014-12-17,1995.86055222463
2014-12-18,2035.986121562852
2014-12-19,2049.547047249927
2014-12-22,2059.1739568759886
2014-12-23,2058.925163770889
2014-12-24,2061.0996381043406
2014-12-25,2060.5247613821566
2014-12-26,2065.0196202580405
2014-12-29,2069.444940437914
2014-12-30,2057.139532676703
2014-12-31,2045.3360603275407
2015-01-01,2045.338979242581
2015-01-02,2039.6669942874605
2015-01-05,2001.0224141197107
2015-01-06,1981.6011666679317
2015-01-07,1991.6573744544762
2015-01-08,2029.8887734816863
2015-01-09,2019.3355092839065
2015-01-12,2010.441535549907
2015-01-13,2013.111411640402
2015-01-14,1998.4765144441644
2015-01-15,1996.3483498914825
2015-01-16,2009.443554261133
2015-01-19,2015.5905204726855
2015-01-20,2020.3059951166215
2015-01-21,2034.2677158700853
2015-01-22,2053.314721342719
2015-01-23,2052.0064888998836
2015-01-26,2056.7104913315443
2015-01-27,2049.4939490005745
2015-01-28,2030.9485187213222
2015-01-29,2033.4840430783383
2015-01-30,2013.4949556555907
2015-02-02,2032.0782464081221
2015-02-03,2057.280978013055
2015-02-04,2058.3756676742705
2015-02-05,2072.2426649941467
2015-02-06,2064.180651461573
2015-02-09,2056.1692296664146
2015-02-10,2067.416127266409
2015-02-11,2062.0246845388474
2015-02-12,2085.7884459463057
2015-02-13,2101.049231431069
2015-02-16,2101.284555324252
2015-02-17,2103.384929734941
2015-02-18,2108.4595965989834
2015-02-19,2110.7804239474012
2015-02-20,2118.597338349769
2015-02-23,2120.8757449342684
2015-02-24,2126.907020804809
2015-02-25,2130.3608965789804
2015-02-26,2127.698592517482
2015-02-27,2125.7270998031386
2015-03-02,2129.5215152502983
2015-03-03,2120.728638740282
2015-03-04,2110.4735561797534
2015-03-05,2113.7385712477367
2015-03-06,2089.755804594799
2015-03-09,2087.068243919522
2015-03-10,2052.2301806704972
2015-03-11,2050.4610225384868
2015-03-12,2071.254638403904
2015-03-13,2059.82760343474
2015-03-16,2081.9681290071303
2015-03-17,2080.1449665386167
2015-03-18,2100.742986656469
2015-03-19,2099.822118560577
2015-03-20,2126.0396940342343
2015-03-23,2131.2145734094597
2015-03-24,2125.9255700836716
2015-03-25,2108.3531107618837
2015-03-26,2093.0355222441876
2015-03-27,2093.3392567140577
2015-03-30,2109.3172176536364
2015-03-31,2092.8773975608397
2015-04-01,2091.9638378251143
2015-04-02,2106.545679389875
2015-04-03,2107.859540185837
2015-04-06,2125.7659306069213
2015-04-07,2125.7801039069113
2015-04-08,2131.7918759048616
2015-04-09,2139.4373271997442
2015-04-10,2149.0560199345
2015-04-13,2142.7327217110937
2015-04-14,2150.0978952024934
2015-04-15,2154.4855396043126
2015-04-16,2161.0734591688065
2015-04-17,2140.1146313803906
2015-04-20,2149.3933917123277
2015-04-21,2154.489021779082
2015-04-22,2160.962172895933
2015-04-23,2168.8473238879824
2015-04-24,2178.641979772458
2015-04-27,2181.687588399622
2015-04-28,2184.055660079058
2015-04-29,2174.465423358226
2015-04-30,2153.4225208177704
2015-05-01,2162.749508717454
2015-05-04,2167.326664069788
2015-05-05,2148.6668179459252
2015-05-06,2146.717291573462
2015-05-07,2140.022664912818
2015-05-08,2170.065772949166
2015-05-11,2164.8439414411596
2015-05-12,2159.0178882595533
2015-05-13,2166.013248301719
2015-05-14,2181.4894317766175
2015-05-15,2187.4058828668813
2015-05-18,2189.020178978414
2015-05-19,2183.865296136543
2015-05-20,2183.2655738771077
2015-05-21,2190.2624530111125
2015-05-22,2183.7167603232047
2015-05-25,2183.5700732649757
2015-05-26,2157.193840915087
2015-05-27,2169.2500600737226
2015-05-28,2165.015166691984
2015-05-29,2150.8067005389776
2015-06-01,2149.581358956998
2015-06-02,2153.436273680424
2015-06-03,2160.8651467750715
2015-06-04,2143.7525583312045
2015-06-05,2126.256638485764
2015-06-08,2116.435688069121
2015-06-09,2114.490023029146
