Date,ACWI FM ex USA
2020-03-04,1135.2912939984208
2020-03-05,1134.0004914686428
2020-03-06,1106.662955544306
2020-03-09,1036.900005601753
2020-03-10,1036.626306492882
2020-03-11,1016.6922197535431
2020-03-12,920.4228703728606
2020-03-13,923.766566400958
2020-03-16,877.7528471610556
2020-03-17,881.3064559157401
2020-03-18,839.7375480220081
2020-03-19,838.1681939947279
2020-03-20,853.2771521649424
2020-03-23,820.7493848662282
2020-03-24,878.8557769370658
2020-03-25,919.6037518144129
2020-03-26,943.1262595891495
2020-03-27,932.4454921308704
2020-03-30,936.1036328489387
2020-03-31,942.9637395545186
2020-04-01,917.8184725639708
2020-04-02,917.6484396709916
2020-04-03,907.3917309482877
2020-04-06,937.9217010196486
2020-04-07,960.7840955362004
2020-04-08,962.2692536120777
2020-04-09,978.1766005165452
2020-04-10,979.7031660081424
2020-04-13,975.6693920081872
2020-04-14,991.0922979594224
2020-04-15,970.0521720416041
2020-04-16,965.6916504161678
2020-04-17,989.3852664289711
2020-04-20,988.5471127146691
2020-04-21,960.3004542960782
2020-04-22,970.4170628705085
2020-04-23,978.3140623977853
2020-04-24,969.614614411179
2020-04-27,989.444602209489
2020-04-28,1000.0715410105332
2020-04-29,1017.3865737572282
2020-04-30,1014.3836093215481
2020-05-01,1001.6347260729738
2020-05-04,978.9835338560422
2020-05-05,989.5249466992512
2020-05-06,988.1761339267838
2020-05-07,990.2047815112867
2020-05-08,1008.0555533050862
2020-05-11,1007.619237335328
2020-05-12,1006.9800543480961
2020-05-13,994.9396573251339
2020-05-14,978.4277048644976
2020-05-15,981.9217648616801
2020-05-18,1005.0797650965933
2020-05-19,1015.5738688448024
2020-05-20,1025.7681864767744
2020-05-21,1017.6891504304647
2020-05-22,1003.972044807659
2020-05-25,1016.2055156666758
2020-05-26,1036.987468921451
2020-05-27,1039.7473312276152
2020-05-28,1054.0199987913177
2020-05-29,1047.7031889061477
2020-06-01,1064.4146193929546
2020-06-02,1081.4780399329543
2020-06-03,1104.5893807525829
2020-06-04,1107.399954375823
2020-06-05,1123.9962929022163
2020-06-08,1129.1321283880222
2020-06-09,1128.505635483008
2020-06-10,1127.607602419842
2020-06-11,1094.40833640521
2020-06-12,1084.6496969759698
2020-06-15,1071.581975466575
2020-06-16,1100.5362457847693
2020-06-17,1105.448282958526
2020-06-18,1102.0162041055164
2020-06-19,1104.9404828438412
2020-06-22,1104.2843237593295
2020-06-23,1121.5503730675705
2020-06-24,1101.703748430667
2020-06-25,1096.8107737217401
2020-06-26,1093.2048064644891
2020-06-29,1091.578920666579
2020-06-30,1094.9016620975171
2020-07-01,1098.423005528937
2020-07-02,1115.7878883097426
2020-07-03,1117.5938912783195
2020-07-06,1140.6094369920663
2020-07-07,1132.184035323829
2020-07-08,1134.8052518038503
2020-07-09,1133.3499698993562
2020-07-10,1133.5451059303905
2020-07-13,1144.7525184392146
2020-07-14,1138.2041923352535
2020-07-15,1155.1380562755583
2020-07-16,1144.1460545755642
2020-07-17,1147.1167893726922
2020-07-20,1154.6003671606138
2020-07-21,1168.861027799585
2020-07-22,1163.6948552704025
2020-07-23,1164.0866447049468
2020-07-24,1152.3840434643348
2020-07-27,1163.8211541956766
2020-07-28,1165.6801452504199
2020-07-29,1167.4507681214482
2020-07-30,1155.0540523602006
2020-07-31,1143.4443353951708
2020-08-03,1150.6135710438055
2020-08-04,1162.0040896853936
2020-08-05,1175.652894799765
2020-08-06,1171.7536748123468
2020-08-07,1162.9216836520577
2020-08-10,1164.3063240584736
2020-08-11,1177.7657462819798
2020-08-12,1188.5339328312384
2020-08-13,1189.7581023657942
2020-08-14,1183.3203207012932
2020-08-17,1188.6998133863085
2020-08-18,1191.5476531436186
2020-08-19,1192.4406835895813
2020-08-20,1174.9265328097279
2020-08-21,1175.7920217900244
2020-08-24,1191.7359128341354
2020-08-25,1193.9800931466377
2020-08-26,1201.3319646431837
2020-08-27,1194.5600072640375
2020-08-28,1199.6055267397437
2020-08-31,1192.5983152181211
2020-09-01,1196.286920884616
2020-09-02,1200.093994830034
2020-09-03,1190.016267683927
2020-09-04,1174.5549542072292
2020-09-07,1181.725226697592
2020-09-08,1173.1952730222085
2020-09-09,1179.4610560780025
2020-09-10,1180.5684164307813
2020-09-11,1182.6387971283016
2020-09-14,1192.7225024798786
2020-09-15,1197.3028507331617
2020-09-16,1202.1243522192472
2020-09-17,1192.9930570700585
2020-09-18,1193.764326940904
2020-09-21,1164.6259480925742
2020-09-22,1160.8045915251316
2020-09-23,1159.2005265807586
2020-09-24,1143.349733027265
2020-09-25,1144.6159113990793
2020-09-28,1162.9284248712258
2020-09-29,1164.4280881085942
2020-09-30,1163.4618905081998
2020-10-01,1166.7799184185872
2020-10-02,1164.167352932228
2020-10-05,1180.2480093744948
2020-10-06,1184.6596780333884
2020-10-07,1185.7041828636045
2020-10-08,1194.5327228459348
2020-10-09,1202.1961321143374
2020-10-12,1210.7645679542638
2020-10-13,1205.378555565719
2020-10-14,1205.1416591220664
2020-10-15,1184.7888856380187
2020-10-16,1190.6503332545565
2020-10-19,1195.5127235799594
2020-10-20,1195.8614929385137
2020-10-21,1196.332863171713
2020-10-22,1190.8772918911613
2020-10-23,1195.0122698373057
2020-10-26,1182.0922993229055
2020-10-27,1178.750658351179
2020-10-28,1154.1999391546426
2020-10-29,1147.906579560723
2020-10-30,1138.6314657409246
2020-11-02,1153.2891582410564
2020-11-03,1174.5546224724546
2020-11-04,1190.2099740440656
2020-11-05,1218.0924507738614
2020-11-06,1224.446082770177
2020-11-09,1248.8453075464658
2020-11-10,1254.1955534589003
2020-11-11,1260.7644721076852
2020-11-12,1258.5824983981436
2020-11-13,1259.4033159185633
2020-11-16,1277.7117822009254
2020-11-17,1279.9581858676834
2020-11-18,1284.0874840439426
2020-11-19,1276.4163971108758
2020-11-20,1283.4687949103943
2020-11-23,1283.3918990037193
2020-11-24,1299.811583115946
2020-11-25,1300.4499073065865
2020-11-26,1304.6664770417428
2020-11-27,1310.9283440362103
2020-11-30,1291.2551390208419
2020-12-01,1306.0613694287829
2020-12-02,1310.7991834104748
2020-12-03,1321.1521239658744
2020-12-04,1327.9451330527932
2020-12-07,1326.0210953424846
2020-12-08,1326.4709963222328
2020-12-09,1330.089993279328
2020-12-10,1329.9782331839933
2020-12-11,1326.3556276940997
2020-12-14,1326.963046410585
2020-12-15,1329.2422030123457
2020-12-16,1341.822740471184
2020-12-17,1352.8130378191297
2020-12-18,1346.6194293906058
2020-12-21,1327.3255982460369
2020-12-22,1323.8800370666256
2020-12-23,1335.8842098757152
2020-12-24,1336.5087774599044
2020-12-25,1337.2983421254633
2020-12-28,1342.2318516869327
2020-12-29,1357.7707536823536
2020-12-30,1366.2682584479512
2020-12-31,1361.059767826602
2021-01-01,1361.2199868239604
2021-01-04,1371.7339648989916
2021-01-05,1378.1967100870413
2021-01-06,1383.5976173526228
2021-01-07,1392.468260996675
2021-01-08,1411.8760176021294
2021-01-11,1398.505780343543
2021-01-12,1402.177405062805
2021-01-13,1407.5364141889388
2021-01-14,1415.0287207698073
2021-01-15,1400.277607875885
2021-01-18,1399.2913437627801
2021-01-19,1410.9871835936071
2021-01-20,1421.2308020905346
2021-01-21,1426.758291104545
2021-01-22,1417.438404624912
2021-01-25,1418.1916385428233
2021-01-26,1413.684884943721
2021-01-27,1396.0728633046622
2021-01-28,1385.9798337866484
2021-01-29,1364.024084858055
2021-02-01,1381.5288730422915
2021-02-02,1395.8921078510355
2021-02-03,1404.879810526404
2021-02-04,1402.6656398361285
2021-02-05,1412.662879677448
2021-02-08,1423.1703698699557
2021-02-09,1430.2268843999545
2021-02-10,1436.9764912727985
2021-02-11,1440.9754639976063
2021-02-12,1444.0290906348664
2021-02-15,1458.0788022750958
2021-02-16,1460.4907638283928
2021-02-17,1451.2859668107465
2021-02-18,1440.1257915656768
2021-02-19,1447.2620398583526
2021-02-22,1437.3054206926377
2021-02-23,1437.5486560188294
2021-02-24,1425.0671482602834
2021-02-25,1433.1031862582872
2021-02-26,1390.9551321377346
2021-03-01,1411.7647804098087
2021-03-02,1412.0524916032678
2021-03-03,1419.983555931738
2021-03-04,1401.8562567995973
2021-03-05,1388.5930568998926
2021-03-08,1385.7592857881693
2021-03-09,1398.7365411735004
2021-03-10,1404.5791681955832
2021-03-11,1423.928437691468
2021-03-12,1421.0372693087365
2021-03-15,1419.6864706973527
2021-03-16,1428.267437098195
2021-03-17,1424.3263875444968
2021-03-18,1432.869401646916
2021-03-19,1422.767253481614
2021-03-22,1422.2509888670975
2021-03-23,1410.9572929728606
2021-03-24,1394.8480507838765
2021-03-25,1390.9377876531912
2021-03-26,1407.5098650027976
2021-03-29,1408.3380958532775
2021-03-30,1412.1027699613114
2021-03-31,1408.5032643551663
2021-04-01,1420.6283003027086
2021-04-02,1423.3749482234166
2021-04-05,1429.3239670411929
2021-04-06,1435.5176624219146
2021-04-07,1435.7709883666453
2021-04-08,1442.0958037049493
2021-04-09,1438.1523831768525
2021-04-12,1432.783588543321
2021-04-13,1435.8188709271503
2021-04-14,1444.526279939505
2021-04-15,1451.8099480782164
2021-04-16,1460.5177709901004
2021-04-19,1463.2261605439924
2021-04-20,1447.8834002112171
2021-04-21,1443.51929428583
2021-04-22,1453.0050236049415
2021-04-23,1456.9919576637847
2021-04-26,1465.0068225438602
2021-04-27,1462.1513012998128
2021-04-28,1465.4297961268676
2021-04-29,1465.6718469630448
2021-04-30,1450.1204266348254
2021-05-03,1453.7555169068614
2021-05-04,1441.5622192151307
2021-05-05,1452.1152093266828
2021-05-06,1461.6122379386356
2021-05-07,1477.1369589659153
2021-05-10,1481.5652935627597
2021-05-11,1456.9960285666339
2021-05-12,1443.6878634087886
2021-05-13,1430.5779042590973
2021-05-14,1452.056673834054
2021-05-17,1454.783523802525
2021-05-18,1472.1420693090051
2021-05-19,1457.370388293547
2021-05-20,1467.3732839606257
2021-05-21,1470.5477484291669
2021-05-24,1473.4387623931248
2021-05-25,1483.0837898768075
2021-05-26,1484.7508112472099
2021-05-27,1484.763567614993
2021-05-28,1493.897711956319
2021-05-31,1495.5177259343773
2021-06-01,1508.4766172730367
2021-06-02,1509.1710390611736
2021-06-03,1503.165242729765
2021-06-04,1508.818786178866
2021-06-07,1512.1306874501593
2021-06-08,1511.3927945354662
2021-06-09,1508.570161111021
2021-06-10,1510.8552690026586
2021-06-11,1512.2982251783246
2021-06-14,1515.5276362464774
2021-06-15,1517.026580857383
2021-06-16,1515.6469865641557
2021-06-17,1498.9824322882512
2021-06-18,1480.0901580050183
2021-06-21,1478.292644876459
2021-06-22,1484.5831535774362
2021-06-23,1487.4932910206417
2021-06-24,1493.5815187403275
2021-06-25,1502.9286400809306
2021-06-28,1497.6810028212897
