Date,AC ASIA PACIFIC ex JAPAN GROWTH
2006-11-08,239.62860768111287
2006-11-09,240.66483591652795
2006-11-10,241.52594843442094
2006-11-13,240.18577775959892
2006-11-14,242.0341226654865
2006-11-15,242.8341917642372
2006-11-16,243.24117303061607
2006-11-17,243.26110387025534
2006-11-20,241.76350090423807
2006-11-21,242.90898815085154
2006-11-22,247.14188834614058
2006-11-23,247.26512371140004
2006-11-24,247.11406971684042
2006-11-27,248.10749904915258
2006-11-28,243.69650796041722
2006-11-29,246.53345341547643
2006-11-30,250.03424925717005
2006-12-01,249.60115664998486
2006-12-04,249.02099418481703
2006-12-05,250.7896190507951
2006-12-06,252.88728908229314
2006-12-07,252.20644903908956
2006-12-08,248.9690646085299
2006-12-11,247.98823409815267
2006-12-12,246.07098881699676
2006-12-13,246.62433332417706
2006-12-14,250.2333803603402
2006-12-15,251.49676766883837
2006-12-18,252.76955504473813
2006-12-19,249.2719458144229
2006-12-20,253.2008384351856
2006-12-21,252.335351888046
2006-12-22,253.28088127745923
2006-12-25,253.07320760927772
2006-12-26,253.08471221831863
2006-12-27,256.6982014132925
2006-12-28,258.3314663847291
2006-12-29,259.2458866110608
2007-01-01,259.2458866110608
2007-01-02,263.51190011500427
2007-01-03,262.9394044098225
2007-01-04,257.4958346313319
2007-01-05,255.59109151374372
2007-01-08,252.10603618509086
2007-01-09,252.79836682409396
2007-01-10,248.4316239522893
2007-01-11,249.7927332095968
2007-01-12,254.66147827138028
2007-01-15,258.75611138285984
2007-01-16,258.7575414862501
2007-01-17,258.5691643375143
2007-01-18,259.7762304931052
2007-01-19,258.46266189947005
2007-01-22,261.0853933892681
2007-01-23,261.57264457620266
2007-01-24,262.7167448553591
2007-01-25,261.3957691329096
2007-01-26,257.62508673610904
2007-01-29,256.6816297506169
2007-01-30,258.0873790689314
2007-01-31,256.24378292897444
2007-02-01,258.7047284750531
2007-02-02,261.8385458571928
2007-02-05,262.1048172941265
2007-02-06,264.2013933225497
2007-02-07,266.1926978500702
2007-02-08,266.46112176138416
2007-02-09,266.5606874864004
2007-02-12,264.0528450533716
2007-02-13,261.85787697868517
2007-02-14,265.07788895995367
2007-02-15,268.2162402977645
2007-02-16,268.24593825325957
2007-02-19,268.7569698735272
2007-02-20,268.691234714235
2007-02-21,268.7607650815073
2007-02-22,269.793804210221
2007-02-23,270.38599756408723
2007-02-26,270.93280709985453
2007-02-27,267.9168660617955
2007-02-28,259.2792521819937
2007-03-01,257.29947596187463
2007-03-02,255.48604370362932
2007-03-05,244.90275848291222
2007-03-06,250.33034752035115
2007-03-07,252.02032492125497
2007-03-08,255.26207751614072
2007-03-09,256.39904563088277
2007-03-12,260.4069504395432
2007-03-13,260.49171540732203
2007-03-14,253.6127699753119
2007-03-15,257.61387153496156
2007-03-16,258.1351417256652
2007-03-19,261.4886731178932
2007-03-20,263.1143657471472
2007-03-21,264.6442988990376
2007-03-22,268.77038103323184
2007-03-23,268.223828859028
2007-03-26,270.22354679702914
2007-03-27,269.33365325732825
2007-03-28,266.3242867393981
2007-03-29,267.9999370546442
2007-03-30,268.84796768181815
2007-04-02,268.113486729529
2007-04-03,271.63098197478615
2007-04-04,276.4517732727835
2007-04-05,276.47534200681474
2007-04-06,276.5273554438133
2007-04-09,277.57777889440376
