Date,AC EUROPE ESG LEADERS
2019-09-20,1212.8851263079523
2019-09-23,1202.458794900217
2019-09-24,1203.2384588046596
2019-09-25,1191.2698217628663
2019-09-26,1199.0114231883424
2019-09-27,1205.6236050009077
2019-09-30,1204.6725733790065
2019-10-01,1192.0690180057275
2019-10-02,1163.3461497809365
2019-10-03,1167.0326459470866
2019-10-04,1176.0755812095617
2019-10-07,1185.7467644491487
2019-10-08,1167.4672350357084
2019-10-09,1175.4512036175117
2019-10-10,1185.7417396864685
2019-10-11,1215.8217350544835
2019-10-14,1210.3372922408848
2019-10-15,1224.8215277883803
2019-10-16,1224.178198985734
2019-10-17,1232.3867265367335
2019-10-18,1232.6714485347782
2019-10-21,1242.4536089916971
2019-10-22,1243.6216800225227
2019-10-23,1243.551705595358
2019-10-24,1249.506217439431
2019-10-25,1250.7830073791545
2019-10-28,1254.6750190026416
2019-10-29,1254.688052072844
2019-10-30,1257.8927155736958
2019-10-31,1257.3190084374376
2019-11-01,1267.2263507578368
2019-11-04,1276.1757792346582
2019-11-05,1269.0569306128525
2019-11-06,1271.227535546555
2019-11-07,1273.4783068246866
2019-11-08,1267.844843010767
2019-11-11,1267.6706729080377
2019-11-12,1269.254468412948
2019-11-13,1266.3911901610747
2019-11-14,1262.0212836620922
2019-11-15,1273.6333048668628
2019-11-18,1276.9620337797671
2019-11-19,1274.985904267547
2019-11-20,1266.8517374370053
2019-11-21,1262.2779475638686
2019-11-22,1262.8243129578207
2019-11-25,1271.6238725648973
2019-11-26,1273.4700954677096
2019-11-27,1275.3946536350206
2019-11-28,1275.456303066128
2019-11-29,1274.0175192981978
2019-12-02,1258.5644125538363
2019-12-03,1252.972275480631
2019-12-04,1268.2065720474966
2019-12-05,1269.0036614579674
2019-12-06,1278.9204087039461
2019-12-09,1278.397445591874
2019-12-10,1277.3304291619847
2019-12-11,1280.5379161144378
2019-12-12,1287.865793795322
2019-12-13,1303.1795676105728
2019-12-16,1320.1374502074761
2019-12-17,1312.0011896780147
2019-12-18,1306.1243200153747
2019-12-19,1306.7701648256161
2019-12-20,1313.9466068596976
2019-12-23,1314.2519348690616
2019-12-24,1315.8218975622362
2019-12-25,1315.8252557561477
2019-12-26,1317.0541123839198
2019-12-27,1327.6316588506563
2019-12-30,1321.3905440397632
2019-12-31,1322.8198101237872
2020-01-01,1322.8198101237872
2020-01-02,1331.6221094343791
2020-01-03,1321.4871584343962
2020-01-06,1318.6096029049904
2020-01-07,1315.5583334425542
2020-01-08,1315.5718679933984
2020-01-09,1318.3321175769618
2020-01-10,1318.5436021887647
2020-01-13,1318.6743100877975
2020-01-14,1320.1408394323432
2020-01-15,1324.769472633847
2020-01-16,1326.2021230690414
2020-01-17,1333.4302049094413
2020-01-20,1331.0497879578227
2020-01-21,1332.4903845505976
2020-01-22,1329.6106206279205
2020-01-23,1316.7560896195719
2020-01-24,1327.2900358478437
2020-01-27,1295.3974204196857
2020-01-28,1302.865324155086
2020-01-29,1308.2981427976854
2020-01-30,1302.2127130484994
2020-01-31,1293.9711643247929
2020-02-03,1295.4790057122027
2020-02-04,1312.9009661373384
2020-02-05,1326.8977992540122
2020-02-06,1328.0186823221716
2020-02-07,1322.6679029059162
2020-02-10,1319.2163058093286
2020-02-11,1329.1656616312864
2020-02-12,1334.2836770882616
2020-02-13,1330.1568860803193
2020-02-14,1329.8125345137923
2020-02-17,1332.625352782877
2020-02-18,1328.4151555873348
2020-02-19,1334.9382547831033
2020-02-20,1323.4874976246363
2020-02-21,1323.690864186445
2020-02-24,1275.9343140751603
2020-02-25,1254.3828988923894
2020-02-26,1255.3708679759493
2020-02-27,1224.6569769060839
2020-02-28,1181.179574049009
2020-03-02,1200.2327426388551
2020-03-03,1225.0112718958023
2020-03-04,1237.7558165063615
2020-03-05,1226.9596182516839
2020-03-06,1196.5405862917792
2020-03-09,1122.053800155206
2020-03-10,1099.6383596568985
2020-03-11,1085.3266464461833
2020-03-12,946.8874424864828
2020-03-13,957.8864965853301
2020-03-16,920.3448883785863
2020-03-17,929.0687049025036
2020-03-18,881.1857797720392
2020-03-19,898.4328291153497
2020-03-20,910.3154643009814
2020-03-23,880.0787261923219
2020-03-24,954.7091922359004
2020-03-25,986.634275450777
2020-03-26,1030.5355885499396
2020-03-27,1002.3303043035961
2020-03-30,1015.456592971474
2020-03-31,1028.0774954649194
2020-04-01,995.5136515383791
2020-04-02,991.9357992504658
2020-04-03,978.2748714777102
2020-04-06,1011.6375825774686
2020-04-07,1040.052386615583
2020-04-08,1036.791087933692
2020-04-09,1058.718274394211
2020-04-10,1058.6137519290817
2020-04-13,1055.9370675863709
2020-04-14,1070.977550816913
2020-04-15,1030.9430560195647
2020-04-16,1033.2260051656726
2020-04-17,1061.7320392158854
2020-04-20,1069.297961018076
2020-04-21,1032.7005585811592
2020-04-22,1048.4813633558251
2020-04-23,1056.752285297834
2020-04-24,1042.542580949154
2020-04-27,1062.1854303224757
2020-04-28,1080.2157625038985
2020-04-29,1098.4696960504793
2020-04-30,1089.0209875999885
2020-05-01,1087.5391811506386
2020-05-04,1051.0604321316962
2020-05-05,1064.6623443101037
2020-05-06,1054.671529231046
2020-05-07,1064.167693612437
2020-05-08,1082.4051867240817
2020-05-11,1074.2899446008119
2020-05-12,1083.0660364437633
2020-05-13,1060.2555778478318
2020-05-14,1036.494595138462
2020-05-15,1041.304043908108
2020-05-18,1086.257686410695
2020-05-19,1089.4951068321177
2020-05-20,1105.1468712647372
2020-05-21,1092.4796762070446
2020-05-22,1087.5345372066747
2020-05-25,1103.99326504627
2020-05-26,1122.6557628419534
2020-05-27,1123.788536574201
2020-05-28,1152.2375099475623
2020-05-29,1144.0851906388846
2020-06-01,1155.2016823892607
2020-06-02,1177.3850445815765
2020-06-03,1212.6528794206836
2020-06-04,1217.5190636596124
2020-06-05,1239.871993269008
2020-06-08,1231.8722880519974
2020-06-09,1225.401629033726
2020-06-10,1220.3544838376833
2020-06-11,1180.1550802510756
2020-06-12,1168.7409138932774
2020-06-15,1167.7603173714283
2020-06-16,1197.027856136102
2020-06-17,1205.0079001891945
2020-06-18,1198.4696702263927
2020-06-19,1204.173350146212
2020-06-22,1203.2195993506332
2020-06-23,1227.760478369118
2020-06-24,1189.7250341325998
2020-06-25,1191.6570602125328
2020-06-26,1187.1672320815032
2020-06-29,1195.9431633921172
2020-06-30,1196.664900035642
2020-07-01,1202.6697945213486
2020-07-02,1222.3426698460528
2020-07-03,1214.7013546299802
2020-07-06,1239.5492723687762
2020-07-07,1228.8676634352232
2020-07-08,1227.0579680423868
2020-07-09,1218.2377995230956
2020-07-10,1230.2564863541154
2020-07-13,1247.267216330733
2020-07-14,1239.7332691309516
2020-07-15,1261.2000612450495
2020-07-16,1258.544437261522
2020-07-17,1257.7577573059916
2020-07-20,1270.8333101630694
2020-07-21,1280.7641920978285
2020-07-22,1282.636187554268
2020-07-23,1282.9166230496633
2020-07-24,1264.8239682296278
2020-07-27,1279.3514424263592
2020-07-28,1279.6343522058705
2020-07-29,1284.0945870525363
2020-07-30,1256.1309778707316
2020-07-31,1248.7558381322415
2020-08-03,1264.9915221671336
2020-08-04,1264.5003295265824
2020-08-05,1284.6738461081713
2020-08-06,1271.380204660133
2020-08-07,1270.822503946241
2020-08-10,1270.6176584125683
2020-08-11,1289.6174177878036
2020-08-12,1309.267796514519
2020-08-13,1305.6910950881847
2020-08-14,1289.1981022389357
2020-08-17,1297.1158507442703
2020-08-18,1295.626116484891
2020-08-19,1301.6698996522696
2020-08-20,1283.1063557517462
2020-08-21,1274.3076086043166
2020-08-24,1297.3902685587905
2020-08-25,1294.6101253968557
2020-08-26,1305.926276944526
2020-08-27,1294.384286322087
2020-08-28,1299.0724133700153
2020-08-31,1296.8456556593085
2020-09-01,1295.0799211746669
2020-09-02,1303.8710563947825
2020-09-03,1285.4834164383371
2020-09-04,1265.1520146657508
2020-09-07,1288.0894837088144
2020-09-08,1270.0591297680871
2020-09-09,1295.430124063505
2020-09-10,1296.069616687128
2020-09-11,1294.1462945895694
2020-09-14,1298.1712883993612
2020-09-15,1304.7317151313437
2020-09-16,1310.237319903411
2020-09-17,1300.554388996546
2020-09-18,1298.9722428368682
2020-09-21,1247.0636449429478
2020-09-22,1245.7513664988735
2020-09-23,1248.4653982918333
2020-09-24,1231.9769210267777
2020-09-25,1226.7686309036535
2020-09-28,1257.0153604109435
2020-09-29,1260.464876261307
2020-09-30,1258.1558384294121
2020-10-01,1263.1755316796764
2020-10-02,1263.8195585589178
2020-10-05,1281.3456696147477
2020-10-06,1281.2177353420238
2020-10-07,1276.4448587005475
2020-10-08,1284.0664994824776
2020-10-09,1300.230191614518
2020-10-12,1310.8438370453414
2020-10-13,1298.3512673956473
2020-10-14,1299.9408925158164
2020-10-15,1263.4122585925409
2020-10-16,1280.232180939446
2020-10-19,1282.904277
2020-10-20,1283.0311100614424
2020-10-21,1270.0139882492804
2020-10-22,1262.634165948615
2020-10-23,1268.6469224397788
2020-10-26,1240.0431931068736
2020-10-27,1231.778519067129
2020-10-28,1187.2411770298086
2020-10-29,1176.0763018831294
2020-10-30,1175.1331885309141
2020-11-02,1193.005860186195
2020-11-03,1230.0385694234421
2020-11-04,1253.1568616297632
2020-11-05,1282.2484676709516
2020-11-06,1287.0046165969536
2020-11-09,1332.218248789282
