Date,ACWI ESG LEADERS
2020-09-04,1981.8392991905005
2020-09-07,1986.2523297115356
2020-09-08,1946.8985270673934
2020-09-09,1976.3037398612225
2020-09-10,1960.4055067546713
2020-09-11,1965.0916052012633
2020-09-14,1987.7983474440555
2020-09-15,1998.4189543278537
2020-09-16,1998.9225460615062
2020-09-17,1983.158382114639
2020-09-18,1974.0949463718414
2020-09-21,1939.914922896686
2020-09-22,1945.9464740384558
2020-09-23,1918.9630322309245
2020-09-24,1910.6391690533578
2020-09-25,1927.0326711682633
2020-09-28,1957.1923629609641
2020-09-29,1954.607992993253
2020-09-30,1965.165057003177
2020-10-01,1972.9037530033695
2020-10-02,1960.1780070671166
2020-10-05,1989.760354493189
2020-10-06,1979.4477345745513
2020-10-07,1999.356720378993
2020-10-08,2014.7519077408463
2020-10-09,2030.7370406500813
2020-10-12,2051.7581967118895
2020-10-13,2044.3132836891214
2020-10-14,2038.9877545314985
2020-10-15,2020.490555444671
2020-10-16,2026.152401481182
2020-10-19,2010.5878691441017
2020-10-20,2014.471128114469
2020-10-21,2012.976150916854
2020-10-22,2013.9510012321023
2020-10-23,2019.7090404223559
2020-10-26,1984.505201457985
2020-10-27,1981.342125590091
2020-10-28,1923.211055068463
2020-10-29,1929.515148894211
2020-10-30,1917.5343873556262
2020-11-02,1944.1008559747595
2020-11-03,1977.593084862867
2020-11-04,2011.1273685319081
2020-11-05,2054.6348661732072
2020-11-06,2059.763682332913
2020-11-09,2090.370745219522
2020-11-10,2086.762020991119
2020-11-11,2095.5825542141115
2020-11-12,2084.0323224823646
2020-11-13,2101.1709656544854
2020-11-16,2124.914377194737
2020-11-17,2121.6026067473595
2020-11-18,2114.198780251181
2020-11-19,2113.301516136887
2020-11-20,2110.7198399573426
2020-11-23,2120.2891467855916
2020-11-24,2148.693445703235
2020-11-25,2147.675381875594
2020-11-26,2151.236859338365
2020-11-27,2159.8950976484152
2020-11-30,2137.8612722094695
2020-12-01,2158.144417895564
2020-12-02,2158.851745593499
2020-12-03,2165.9885354316166
2020-12-04,2181.8610853732184
2020-12-07,2177.85502044691
2020-12-08,2184.412240862312
2020-12-09,2176.963079246322
2020-12-10,2171.965947648889
2020-12-11,2170.8969904453297
2020-12-14,2165.6931148247313
2020-12-15,2178.213478686265
2020-12-16,2190.857550655787
2020-12-17,2209.7495760660527
2020-12-18,2204.4099652196583
2020-12-21,2184.8588118182947
2020-12-22,2179.191459955879
2020-12-23,2186.235800345872
2020-12-24,2188.780753881439
2020-12-25,2189.3685819132947
2020-12-28,2199.7324005759565
2020-12-29,2209.752595195286
2020-12-30,2219.8847545970116
2020-12-31,2225.5493291549037
2021-01-01,2225.713800421608
2021-01-04,2216.6569274985122
2021-01-05,2226.9911578093293
2021-01-06,2240.5322356104125
2021-01-07,2265.195987520983
2021-01-08,2289.218310078117
2021-01-11,2272.5165590556103
2021-01-12,2275.426206098732
2021-01-13,2281.199866137563
2021-01-14,2281.2677916484263
2021-01-15,2266.038218370332
2021-01-18,2266.2718741006356
2021-01-19,2286.1208164043055
2021-01-20,2312.861584544603
2021-01-21,2314.9359218635773
2021-01-22,2303.9750798741456
2021-01-25,2310.4980274829395
2021-01-26,2304.173927428394
2021-01-27,2257.987133857659
2021-01-28,2268.841147128993
2021-01-29,2227.5864691940665
2021-02-01,2263.625382008649
2021-02-02,2291.4188840431125
2021-02-03,2304.042136952291
2021-02-04,2313.978488669826
2021-02-05,2326.7590996021754
2021-02-08,2342.3184104116526
2021-02-09,2345.1997954054546
2021-02-10,2348.439074440603
2021-02-11,2357.635092883847
2021-02-12,2363.277869645167
2021-02-15,2371.6032730659326
2021-02-16,2370.9121518925467
2021-02-17,2366.014304177903
2021-02-18,2354.4497367814274
2021-02-19,2355.299969291048
2021-02-22,2335.041469025649
2021-02-23,2333.1969683008624
2021-02-24,2339.889091471663
2021-02-25,2312.996413193165
2021-02-26,2275.5150016242656
2021-03-01,2317.439000666657
2021-03-02,2307.6156250993477
2021-03-03,2293.969154274453
2021-03-04,2262.3154431077596
2021-03-05,2277.8019233066925
2021-03-08,2270.5553632518277
2021-03-09,2297.4596700022435
2021-03-10,2311.4828844182953
2021-03-11,2340.447894890876
2021-03-12,2335.817901895432
2021-03-15,2343.0193122103015
2021-03-16,2347.2799758851656
2021-03-17,2346.831519560912
2021-03-18,2336.0698687928684
2021-03-19,2325.4404928936005
2021-03-22,2335.4579689731427
2021-03-23,2321.2740951483242
2021-03-24,2304.89483065562
2021-03-25,2308.313773509885
2021-03-26,2343.544382908883
2021-03-29,2344.522213306487
2021-03-30,2342.911227027494
2021-03-31,2344.7393828376685
2021-04-01,2371.6760535420126
2021-04-02,2373.381482733941
2021-04-05,2398.1531011727698
2021-04-06,2399.6401140194484
2021-04-07,2398.138990428207
2021-04-08,2408.0309670948463
2021-04-09,2416.18345982238
2021-04-12,2415.1476837431283
2021-04-13,2420.5748822880173
2021-04-14,2421.6871911706608
2021-04-15,2442.301433286409
2021-04-16,2454.295756303949
2021-04-19,2446.8126194034817
2021-04-20,2430.062222114914
2021-04-21,2440.9608031481275
2021-04-22,2434.586480505333
2021-04-23,2452.6820297326467
2021-04-26,2458.534188318138
2021-04-27,2453.803008450946
