Date,EM ASIA MINIMUM VOLATILITY (USD)
2012-02-07,4492.919545462703
2012-02-08,4545.210634279309
2012-02-09,4539.524008186198
2012-02-10,4484.194421673859
2012-02-13,4500.167427680144
2012-02-14,4480.136475436555
2012-02-15,4535.264931024813
2012-02-16,4493.947015692697
2012-02-17,4529.522967083694
2012-02-20,4534.149622511509
2012-02-21,4536.640035548766
2012-02-22,4565.114437261962
2012-02-23,4552.07003091991
2012-02-24,4566.332733379499
2012-02-27,4530.9734963236215
2012-02-28,4564.01979660622
2012-02-29,4631.26301451151
2012-03-01,4603.952958218996
2012-03-02,4629.93887137328
2012-03-05,4571.280765984963
2012-03-06,4531.046088533738
2012-03-07,4509.9721103937645
2012-03-08,4559.668320623405
2012-03-09,4589.452165179157
2012-03-12,4575.221024543324
2012-03-13,4616.3748848561145
2012-03-14,4642.296743780141
2012-03-15,4639.193060843943
2012-03-16,4638.051987010509
2012-03-19,4639.829271102887
2012-03-20,4606.9586687902965
2012-03-21,4600.745232454195
2012-03-22,4606.213244165319
2012-03-23,4592.135330311956
2012-03-26,4556.84785059378
2012-03-27,4615.036773004625
2012-03-28,4598.824990448088
2012-03-29,4564.875517757634
2012-03-30,4612.643211081901
2012-04-02,4616.672670722531
2012-04-03,4643.3477965267575
2012-04-04,4613.1727018574475
2012-04-05,4592.0908657597165
2012-04-06,4591.662927614558
2012-04-09,4556.957831734974
2012-04-10,4542.396199153839
2012-04-11,4532.227960427338
2012-04-12,4547.106074995147
2012-04-13,4582.756600809721
2012-04-16,4558.915298243318
2012-04-17,4544.975677354704
2012-04-18,4566.845559288416
2012-04-19,4591.767820571562
2012-04-20,4587.659283792431
2012-04-23,4568.7824877107305
2012-04-24,4568.690744482782
2012-04-25,4580.012011849953
2012-04-26,4597.402555527182
2012-04-27,4605.776760507813
2012-04-30,4661.498670361714
2012-05-01,4661.698054351003
2012-05-02,4693.812878364224
2012-05-03,4683.200664641456
2012-05-04,4669.775159274626
2012-05-07,4603.364855065989
2012-05-08,4619.498895800437
2012-05-09,4572.9104646007845
2012-05-10,4566.205555327941
2012-05-11,4530.711987793958
2012-05-14,4504.684132276023
2012-05-15,4503.383605117872
2012-05-16,4388.375123056359
2012-05-17,4426.03067288337
2012-05-18,4344.043450849105
2012-05-21,4352.783436138208
2012-05-22,4389.534189208116
2012-05-23,4333.582447946512
2012-05-24,4319.253893465145
2012-05-25,4316.999724634757
2012-05-28,4338.655002701779
2012-05-29,4395.191638955342
2012-05-30,4348.152012628029
2012-05-31,4365.373900449691
2012-06-01,4328.896298406339
2012-06-04,4264.037805242511
2012-06-05,4284.006468691359
2012-06-06,4335.764924111932
2012-06-07,4383.045954636919
2012-06-08,4352.633093756455
