Date,EM EASTERN EUROPE ex RUSSIA IMI
2009-07-21,558.0755988591706
2009-07-22,549.603421142683
2009-07-23,566.2476371581041
2009-07-24,575.9639737893482
2009-07-27,580.525007843693
2009-07-28,572.8309523721966
2009-07-29,574.6681585086781
2009-07-30,599.4165584206772
2009-07-31,606.2761216842154
2009-08-03,621.9633425528582
2009-08-04,614.4990932984205
2009-08-05,603.9951658741261
2009-08-06,607.7832316594219
2009-08-07,615.27671165242
2009-08-10,626.3262504801679
2009-08-11,605.9420234731195
2009-08-12,610.7197784876611
2009-08-13,627.1699173022823
2009-08-14,619.5368170465304
2009-08-17,597.6912326558961
2009-08-18,607.1948691051058
2009-08-19,610.3470195293103
2009-08-20,624.5779181076015
2009-08-21,642.8696300453965
2009-08-24,665.7702690614791
2009-08-25,675.9735525387827
2009-08-26,656.0721493084342
2009-08-27,644.8643427597063
2009-08-28,654.3776847983171
2009-08-31,649.631013338694
2009-09-01,641.3480289935824
2009-09-02,610.6497069936803
2009-09-03,620.0190211032445
2009-09-04,626.8800440188953
2009-09-07,644.338275898676
2009-09-08,646.4648762812812
2009-09-09,644.7672739979673
2009-09-10,634.2936129909654
2009-09-11,631.3806354632022
2009-09-14,618.9960209073347
2009-09-15,623.7708256231601
2009-09-16,643.2010710939497
2009-09-17,651.871650103064
2009-09-18,650.6447280941566
2009-09-21,638.8274115418477
2009-09-22,661.2223885529306
2009-09-23,663.9339916221355
2009-09-24,661.5575420109667
2009-09-25,654.0418104354167
2009-09-28,658.1727933662623
2009-09-29,644.5379057828801
2009-09-30,642.2076311054685
2009-10-01,650.9425805892947
2009-10-02,635.6679455112262
2009-10-05,636.3116462642755
2009-10-06,655.5014775479287
2009-10-07,639.2791352080986
2009-10-08,641.0781720882001
2009-10-09,639.828360268322
2009-10-12,656.1009759775969
2009-10-13,651.9199210537388
2009-10-14,671.4403578458167
2009-10-15,664.8579402037999
2009-10-16,660.8048752286034
2009-10-19,674.6248385923507
2009-10-20,684.5687457272029
2009-10-21,686.2216241814754
2009-10-22,679.867264163754
2009-10-23,691.5251997764316
2009-10-26,684.6052004377785
2009-10-27,666.9406498681258
2009-10-28,643.2758915206838
2009-10-29,657.8105126138026
2009-10-30,647.0181000275402
2009-11-02,643.0121724652687
2009-11-03,622.7800315686911
2009-11-04,642.3356483284697
2009-11-05,656.6283104135849
2009-11-06,648.4204440946432
2009-11-09,675.1631809124023
2009-11-10,682.2755697021367
2009-11-11,691.9868174363321
2009-11-12,696.3422590589059
2009-11-13,689.3342521371287
2009-11-16,705.5375067157142
2009-11-17,701.6572234760696
2009-11-18,694.447036675395
2009-11-19,675.0120600376571
2009-11-20,676.0006919699765
2009-11-23,695.4643232607391
2009-11-24,684.7837661000665
2009-11-25,681.1593604394155
2009-11-26,659.8682852464341
2009-11-27,662.5532905256666
2009-11-30,672.0790252980871
2009-12-01,681.40027398806
2009-12-02,685.778763393068
2009-12-03,689.4650584642164
2009-12-04,709.5061009393
2009-12-07,702.9766128344905
2009-12-08,675.9992554403918
2009-12-09,663.1434199238535
2009-12-10,665.2596947943005
2009-12-11,672.1680435172533
2009-12-14,674.2473841082067
2009-12-15,665.353732826123
2009-12-16,670.0945615711236
2009-12-17,662.7815022740623
2009-12-18,659.1816230622289
2009-12-21,666.4551541010067
2009-12-22,670.8053842014883
2009-12-23,672.4741341131747
2009-12-24,673.7447347748703
2009-12-25,673.7447347748703
2009-12-28,680.5336046905558
2009-12-29,688.400320400168
2009-12-30,683.6052080319705
2009-12-31,685.5019392166147
2010-01-01,685.5019392166147
2010-01-04,702.1537924358627
2010-01-05,710.087601840961
2010-01-06,711.4887322313417
2010-01-07,702.476830156823
2010-01-08,710.9996420713012
2010-01-11,726.1893628825121
2010-01-12,718.5683838396682
2010-01-13,722.4513534650932
2010-01-14,726.5687944906954
2010-01-15,721.3094571826281
2010-01-18,731.2493496598058
2010-01-19,737.1949624886871
2010-01-20,730.940094746854
2010-01-21,722.5199119172229
2010-01-22,703.9749399534596
2010-01-25,707.9398385887441
2010-01-26,697.5104979851207
2010-01-27,691.800012885557
2010-01-28,695.5393351035636
2010-01-29,706.5497188159659
2010-02-01,710.0540188034547
2010-02-02,710.4274707301473
2010-02-03,707.6673496845319
2010-02-04,670.8143807898454
2010-02-05,647.3395231589017
2010-02-08,646.9917288082576
2010-02-09,654.5000308253175
2010-02-10,659.6469807083549
2010-02-11,656.3522525928798
2010-02-12,664.9059373335826
2010-02-15,674.3988883116367
2010-02-16,677.8230330266717
2010-02-17,690.3875123113645
2010-02-18,681.7604276177893
2010-02-19,681.28760096452
2010-02-22,689.9445804717552
2010-02-23,678.7693545867257
2010-02-24,673.5580759652075
2010-02-25,664.904130906363
2010-02-26,687.3563592873437
2010-03-01,695.6030472685026
2010-03-02,709.4864647194437
2010-03-03,712.6278635037564
2010-03-04,714.4442239179128
2010-03-05,728.6977217638918
2010-03-08,734.6089188531412
2010-03-09,733.240577219913
2010-03-10,741.3485632969648
2010-03-11,738.5191319623794
2010-03-12,745.9161557890445
2010-03-15,742.2492102942937
2010-03-16,760.867389720176
2010-03-17,768.1257572565066
2010-03-18,764.2608182549003
2010-03-19,756.1795744757021
2010-03-22,756.3849537090578
2010-03-23,762.661898077716
2010-03-24,763.6524260812242
2010-03-25,780.4210272443911
2010-03-26,772.2221264265488
2010-03-29,769.8926260889574
2010-03-30,773.7230617765695
2010-03-31,771.7960738985545
2010-04-01,793.3125344134273
2010-04-02,794.4568704518833
2010-04-05,794.6579807304071
2010-04-06,802.9095162713992
2010-04-07,800.9759743454235
2010-04-08,781.8898675934669
2010-04-09,791.934235367174
2010-04-12,800.2094772847377
2010-04-13,799.1477150214316
2010-04-14,809.2957699148994
2010-04-15,809.4375728459627
2010-04-16,800.7679149812063
2010-04-19,778.8242408084789
2010-04-20,787.6037912724728
2010-04-21,789.0213813937743
2010-04-22,773.5208692383083
2010-04-23,785.4819871273838
2010-04-26,802.8987717978296
2010-04-27,787.1901163009745
2010-04-28,767.6869329857109
