Date,EM LATIN AMERICA SMALL GROWTH
2001-02-14,309.7800946634215
2001-02-15,316.2915117653425
2001-02-16,307.91567794735374
2001-02-19,305.36635606505064
2001-02-20,307.2863354255222
2001-02-21,303.09986047699016
2001-02-22,303.6205092250137
2001-02-23,302.9353443065433
2001-02-26,304.0117893535528
2001-02-27,300.15160841711014
2001-02-28,297.70225391075394
2001-03-01,295.5754657953497
2001-03-02,294.6873940551026
2001-03-05,298.12020718777376
2001-03-06,297.4021256700254
2001-03-07,298.52664762132275
2001-03-08,295.72257306960097
2001-03-09,296.1919268793689
2001-03-12,293.87199717457145
2001-03-13,300.6414869148319
2001-03-14,299.7025604860917
2001-03-15,300.84011497805216
2001-03-16,303.06367965354934
2001-03-19,299.4431286663497
2001-03-20,302.99815264173674
2001-03-21,304.42089869426326
2001-03-22,301.47545706008685
2001-03-23,297.4183973362191
2001-03-26,301.2297088748487
2001-03-27,300.1788161945544
2001-03-28,302.85701950285835
2001-03-29,302.87038897844656
2001-03-30,302.52715537801066
2001-04-02,301.6842616368266
2001-04-03,297.89678748499597
2001-04-04,293.77226963902734
2001-04-05,295.5294986123236
2001-04-06,291.7993571901377
2001-04-09,290.725682732442
2001-04-10,297.9527696585343
2001-04-11,300.03120576361783
2001-04-12,297.0060832065906
2001-04-13,297.0060832065906
2001-04-16,296.4363684917565
2001-04-17,297.0313021079757
2001-04-18,307.43784961154125
2001-04-19,301.34787331113387
2001-04-20,289.73748234860335
2001-04-23,288.03496324918973
2001-04-24,288.1715133412739
2001-04-25,284.3918953479356
2001-04-26,288.7562702200266
2001-04-27,291.9272277895544
2001-04-30,296.29798269788205
2001-05-01,293.5527173460256
2001-05-02,291.87921692490767
2001-05-03,291.50649569291784
2001-05-04,293.4777020916647
2001-05-07,296.2952086383164
2001-05-08,296.2795524841306
2001-05-09,295.2020467228079
2001-05-10,297.4710392644014
2001-05-11,297.527595111267
2001-05-14,296.5536732786799
2001-05-15,293.8645339627074
2001-05-16,294.05917497442573
2001-05-17,297.2654147281818
2001-05-18,300.58995808040083
2001-05-21,300.8499189952093
2001-05-22,305.72123332168877
2001-05-23,306.11174329923216
2001-05-24,306.7522489351342
2001-05-25,304.9059440756269
2001-05-28,305.69147740982396
2001-05-29,309.0442191342539
2001-05-30,306.69124536687815
2001-05-31,310.9494203105086
2001-06-01,309.7370552090795
2001-06-04,312.4811096399519
2001-06-05,312.04800184308726
2001-06-06,311.9741177045259
2001-06-07,313.0729170760797
2001-06-08,316.22488584655775
2001-06-11,318.96493151603397
2001-06-12,313.7664025604008
2001-06-13,312.22994636186036
2001-06-14,309.3752526851029
2001-06-15,307.2030821674676
2001-06-18,303.04813054605575
2001-06-19,301.60060326761953
2001-06-20,302.7338267610728
2001-06-21,306.8457373127481
2001-06-22,309.829410696925
2001-06-25,307.3906145523488
2001-06-26,306.43025387075556
2001-06-27,305.6529178063781
2001-06-28,311.299328116326
2001-06-29,310.854309104413
2001-07-02,310.0249417006495
2001-07-03,307.30857556191654
2001-07-04,302.272348431155
2001-07-05,302.82360537419027
2001-07-06,296.127814059289
2001-07-09,297.8779794349279
2001-07-10,290.46713400440166
2001-07-11,283.86870392452875
2001-07-12,283.95497961791403
2001-07-13,284.0208597710213
2001-07-16,282.59653511672053
2001-07-17,289.49502196297806
2001-07-18,285.1864526010485
2001-07-19,281.50788874668785
2001-07-20,283.07154261173037
2001-07-23,288.60145904976156
2001-07-24,285.1986277562465
2001-07-25,279.883889900323
2001-07-26,279.5554005448667
2001-07-27,281.3076189797391
2001-07-30,283.38657640596716
2001-07-31,283.43741608275394
2001-08-01,277.4286453663708
2001-08-02,277.1896855547069
2001-08-03,276.43579061851267
2001-08-06,279.69365424581144
2001-08-07,281.28361396481694
2001-08-08,280.4465241734951
2001-08-09,277.11376220148
2001-08-10,274.68437706183664
2001-08-13,273.6299200183298
2001-08-14,272.20918880347784
2001-08-15,268.37327158130165
2001-08-16,268.43895258339023
2001-08-17,265.03154522581553
2001-08-20,265.8559699979155
2001-08-21,263.53539225800984
2001-08-22,263.68120684222635
2001-08-23,265.6947357440962
2001-08-24,265.46231396888265
2001-08-27,266.0005368736089
2001-08-28,266.0061086798088
2001-08-29,264.7538523630937
2001-08-30,264.1046103817457
2001-08-31,264.4204443309332
2001-09-03,264.60117557095964
2001-09-04,267.9314706815658
2001-09-05,266.75178078259296
2001-09-06,262.27774868652614
2001-09-07,259.96036188519537
2001-09-10,259.43573219527036
2001-09-11,246.90892333275926
2001-09-12,247.63083245774467
2001-09-13,242.7664882673796
2001-09-14,236.90979612492296
2001-09-17,235.9786186661708
2001-09-18,236.9753264636569
2001-09-19,234.78814905107444
2001-09-20,230.27243377360077
2001-09-21,228.349210747284
2001-09-24,230.86273979829411
2001-09-25,224.63270113989464
2001-09-26,223.1596330512935
2001-09-27,223.12931339048166
2001-09-28,228.32396922037785
2001-10-01,226.45563308303227
2001-10-02,225.77898542438155
2001-10-03,223.0584147597857
2001-10-04,223.34403657302394
2001-10-05,220.8792939086793
2001-10-08,219.3669875224035
2001-10-09,219.54238688470855
2001-10-10,223.59306139574895
2001-10-11,227.2879046141044
2001-10-12,225.56676768503576
2001-10-15,226.26044637928754
2001-10-16,229.0558325269172
2001-10-17,232.78777527844647
2001-10-18,232.45682287569892
2001-10-19,234.83854016433813
2001-10-22,239.0805458640003
2001-10-23,240.02764559328753
2001-10-24,239.2919835853655
2001-10-25,238.99564665878452
2001-10-26,240.01427949129805
2001-10-29,235.68095274135132
2001-10-30,233.10920682021424
2001-10-31,236.50257418651557
2001-11-01,234.4615584033303
2001-11-02,235.40162339418694
2001-11-05,241.45978615940777
2001-11-06,244.2000433727068
2001-11-07,245.74986799567745
2001-11-08,249.56582701711415
2001-11-09,250.51479900263797
2001-11-12,248.0286817105164
2001-11-13,254.91011286536988
2001-11-14,254.84658965513492
2001-11-15,255.90964358390022
2001-11-16,255.39652657935162
2001-11-19,259.98500795055605
2001-11-20,256.1394591183224
2001-11-21,260.87664697929296
2001-11-22,261.5353397416254
2001-11-23,265.2651908312024
2001-11-26,267.6253240311165
2001-11-27,267.7114804275325
2001-11-28,262.5554791709795
2001-11-29,260.47144203649725
2001-11-30,257.7862130404705
2001-12-03,263.1856065815243
2001-12-04,264.17036755798455
2001-12-05,265.71584678603153
2001-12-06,266.02097574914416
2001-12-07,268.1201920517473
2001-12-10,271.7391079492892
2001-12-11,272.59050434576966
2001-12-12,271.4559749221388
2001-12-13,269.4985905724951
2001-12-14,267.46069625635147
2001-12-17,268.4762895366919
2001-12-18,272.7349805061964
2001-12-19,275.84787021761394
2001-12-20,275.34028253578646
2001-12-21,279.07526188282714
2001-12-24,282.99073449672125
2001-12-25,282.9470122388838
2001-12-26,284.805775169471
2001-12-27,284.31897586273925
2001-12-28,285.85576431591716
2001-12-31,283.5171467381965
2002-01-01,283.579752989884
2002-01-02,283.2520308126735
2002-01-03,289.63191491368593
2002-01-04,290.76103166658305
2002-01-07,282.90076319548524
2002-01-08,281.98498678440876
2002-01-09,279.18951986629406
2002-01-10,275.94941696589046
2002-01-11,276.31198962323873
2002-01-14,274.70715633385083
2002-01-15,279.1857803508956
2002-01-16,280.42106591155607
2002-01-17,280.0488380848808
2002-01-18,280.2963699801399
2002-01-21,281.4520317666641
2002-01-22,282.79608011459055
2002-01-23,282.0005852139017
2002-01-24,284.73772803642186
2002-01-25,287.22717919423013
2002-01-28,286.26334021223767
2002-01-29,282.9378549336027
2002-01-30,283.2860032254497
2002-01-31,283.48962887038607
2002-02-01,283.6457992321591
2002-02-04,278.4754854129004
2002-02-05,278.65089303419524
2002-02-06,278.766056182529
2002-02-07,277.24539296799384
2002-02-08,275.97534382194345
2002-02-11,272.38109167716
2002-02-12,274.42777801024704
2002-02-13,278.9263314610418
2002-02-14,280.11684584174753
2002-02-15,277.4348833476242
2002-02-18,279.8866005205576
2002-02-19,278.4855286550143
2002-02-20,279.0024019577432
2002-02-21,280.1832040188778
2002-02-22,277.8270815353827
2002-02-25,283.51234237598777
2002-02-26,284.41089253300805
2002-02-27,290.2637013067073
2002-02-28,289.34617123590317
2002-03-01,292.5592547693821
2002-03-04,293.8031693205846
2002-03-05,293.05192159617724
2002-03-06,292.8101486999905
2002-03-07,288.2911250679676
2002-03-08,291.3909895484117
2002-03-11,289.55993698227564
2002-03-12,293.580297449692
2002-03-13,293.43516647004026
2002-03-14,290.20444512964457
2002-03-15,290.6867325011288
2002-03-18,290.6373169205342
2002-03-19,289.61207733224524
2002-03-20,288.56657963979654
2002-03-21,287.7162638269922
2002-03-22,284.73769828326374
2002-03-25,282.44832653176843
2002-03-26,286.1844267670331
2002-03-27,288.91370781969715
2002-03-28,289.47341612333105
2002-03-29,289.4963572066436
2002-04-01,287.2977154283862
2002-04-02,287.57369624563086
2002-04-03,287.7179622779332
2002-04-04,286.0535227303105
2002-04-05,289.1148912140376
2002-04-08,290.2314226399787
2002-04-09,290.52700457880775
2002-04-10,291.640781801599
2002-04-11,289.0116183966367
2002-04-12,290.41085336438766
2002-04-15,287.71501316404334
2002-04-16,289.0035116128072
2002-04-17,288.53875482025427
2002-04-18,285.19605683106346
2002-04-19,287.17868091006795
2002-04-22,284.7576234470909
2002-04-23,283.79506776061066
2002-04-24,283.0113700360872
2002-04-25,278.68702213244114
2002-04-26,279.143154168174
2002-04-29,276.364917126072
2002-04-30,278.2032960328398
2002-05-01,275.9253252071338
2002-05-02,273.6380220765936
2002-05-03,267.46879419166817
2002-05-06,267.5538847151735
2002-05-07,268.90514358001775
2002-05-08,270.4133799801355
2002-05-09,265.54157620979885
2002-05-10,262.75725233546024
2002-05-13,262.5504400000891
2002-05-14,265.022619430554
2002-05-15,264.8451379349005
2002-05-16,265.50145156201677
2002-05-17,260.76739085525264
2002-05-20,258.535111885784
2002-05-21,259.53386757127953
2002-05-22,255.53901554931
2002-05-23,255.83410141800286
2002-05-24,256.0147289758547
2002-05-27,257.38282327405045
2002-05-28,256.240134782273
2002-05-29,257.17515750527775
2002-05-30,254.77004268833403
2002-05-31,254.772510696133
2002-06-03,250.54284641527093
2002-06-04,244.83279336921717
2002-06-05,243.29250892789418
2002-06-06,237.83032341931846
2002-06-07,237.75400334526924
2002-06-10,241.03733662871068
2002-06-11,239.19953435906302
2002-06-12,234.83357060768333
2002-06-13,236.51407968580276
2002-06-14,233.0276327326385
2002-06-17,239.04363385133
2002-06-18,237.14587531520442
2002-06-19,231.42400332029501
2002-06-20,223.3349067775625
2002-06-21,215.05773131661326
2002-06-24,212.17124251854003
2002-06-25,213.51699312991317
2002-06-26,204.00078281892584
2002-06-27,210.75782647090702
2002-06-28,214.13801586701896
2002-07-01,212.10708309935404
2002-07-02,207.81128795897837
2002-07-03,208.82783524825788
2002-07-04,210.94710654029015
2002-07-05,212.65650227545558
2002-07-08,209.2346212867542
2002-07-09,208.0122626502629
2002-07-10,207.74279377835447
2002-07-11,209.61663516604855
2002-07-12,211.81375513543563
2002-07-15,205.23407434559988
2002-07-16,202.90006770716707
2002-07-17,205.37006057036763
2002-07-18,207.22793961925794
2002-07-19,203.71909851156286
2002-07-22,200.4419278221767
2002-07-23,199.85985972581426
2002-07-24,200.09990438186725
2002-07-25,195.61895411981706
2002-07-26,195.7397213265035
2002-07-29,200.90070180310846
2002-07-30,196.3768617627403
2002-07-31,193.83430606328858
2002-08-01,191.47406977293718
2002-08-02,199.42365118617664
2002-08-05,193.71683727735797
2002-08-06,198.83281129512662
2002-08-07,202.75529092491217
2002-08-08,211.17628438662433
2002-08-09,203.08257677247428
2002-08-12,198.60173520348198
2002-08-13,193.84048491707048
2002-08-14,193.71393683345462
2002-08-15,196.00316852445732
2002-08-16,198.81146883064588
2002-08-19,201.56859710915603
2002-08-20,202.39591208717115
2002-08-21,203.66912893233433
2002-08-22,205.01661950011353
2002-08-23,203.23543107939582
2002-08-26,207.13139361987095
2002-08-27,203.4214625867916
2002-08-28,200.81415505542006
2002-08-29,200.3094791972072
2002-08-30,203.8340823536011
2002-09-02,202.82957088518125
2002-09-03,196.2412737239058
