Date,EM EMEA VALUE WEIGHTED
1998-06-16,901.4130784928248
1998-06-17,949.8891980107649
1998-06-18,940.5780235039831
1998-06-19,916.4290952136795
1998-06-22,903.8449669564034
1998-06-23,920.712037169379
1998-06-24,943.724824245031
1998-06-25,925.7132856137081
1998-06-26,888.5146766560161
1998-06-29,862.9995237488129
1998-06-30,863.3102776294594
1998-07-01,854.5433168291456
1998-07-02,853.2967410463042
1998-07-03,869.4472258776289
1998-07-06,864.5570593058487
1998-07-07,881.8681839864544
1998-07-08,867.6636143613414
1998-07-09,858.3210939019949
1998-07-10,866.3298088409377
1998-07-13,909.499782512273
1998-07-14,968.6530516968835
1998-07-15,980.7665770117251
1998-07-16,958.45736914663
1998-07-17,973.5087995023545
1998-07-20,976.803294715987
1998-07-21,956.7153422860407
1998-07-22,929.0330739025285
1998-07-23,905.1909967487561
1998-07-24,890.5033151570226
1998-07-27,855.9882518480608
1998-07-28,866.2332709266303
1998-07-29,871.551781622231
1998-07-30,892.3898024000121
1998-07-31,881.71044537499
1998-08-03,860.5773997327649
1998-08-04,865.8427885992833
1998-08-05,844.1964563229185
1998-08-06,828.5535020048517
1998-08-07,819.4681727097915
1998-08-10,801.1550414040755
1998-08-11,750.3304985289485
1998-08-12,749.2832621701382
1998-08-13,714.9208060211885
1998-08-14,745.6900937113272
1998-08-17,724.7442811761226
1998-08-18,725.6850535758028
1998-08-19,718.7788099394769
1998-08-20,709.8734070265223
1998-08-21,678.1710821320476
1998-08-24,676.9883855856684
1998-08-25,674.6179825356184
1998-08-26,623.3128984051201
1998-08-27,569.3087384824694
1998-08-28,574.0405394075367
1998-08-31,575.1595641774866
1998-09-01,574.0888364920041
1998-09-02,591.8494766244005
1998-09-03,573.2549295761859
1998-09-04,583.3107374419195
1998-09-07,604.6949967539218
1998-09-08,617.2459793316574
1998-09-09,604.3499572245656
1998-09-10,595.0670045406208
1998-09-11,583.2684629939716
1998-09-14,595.279977106868
1998-09-15,579.7684517636878
1998-09-16,584.2264980445508
1998-09-17,560.6418143530591
1998-09-18,559.0329220655583
1998-09-21,540.4173881532274
1998-09-22,563.4654469882704
1998-09-23,571.9495650015465
1998-09-24,588.7848071797973
1998-09-25,579.2404881058311
1998-09-28,584.9074828661412
1998-09-29,580.372582668582
1998-09-30,560.9241182945808
1998-10-01,530.5973133483355
1998-10-02,524.4468514884892
1998-10-05,524.2340859951536
1998-10-06,528.8089219674789
1998-10-07,540.0229003378474
1998-10-08,524.1132519400508
1998-10-09,527.0801667052051
1998-10-12,541.320958564625
1998-10-13,549.654927773048
1998-10-14,572.6885445017103
1998-10-15,597.7113004817937
1998-10-16,608.3677972263389
1998-10-19,601.5042706366099
1998-10-20,609.8844215989985
1998-10-21,618.7775816441641
1998-10-22,615.8208419597412
1998-10-23,615.3392256035157
1998-10-26,619.9352319542271
1998-10-27,621.2429988451926
1998-10-28,613.9775858760831
1998-10-29,620.629317696681
1998-10-30,636.0857633623548
1998-11-02,653.2680366149892
1998-11-03,656.3512651222766
1998-11-04,672.1073173143357
1998-11-05,666.4275576393452
1998-11-06,671.534437638442
1998-11-09,657.1990262525414
1998-11-10,640.8758424461834
1998-11-11,641.3317502616353
1998-11-12,632.9583924774572
1998-11-13,635.4980322814604
1998-11-16,649.2654134538755
1998-11-17,647.8617356490876
1998-11-18,651.5405556664953
1998-11-19,661.3721083526517
1998-11-20,673.283964209852
1998-11-23,692.6291190649845
1998-11-24,688.3178733108242
1998-11-25,682.1764035827189
1998-11-26,690.0308155755837
1998-11-27,683.5919496144547
1998-11-30,683.6094460251641
1998-12-01,661.6907801618213
1998-12-02,666.2283330835556
1998-12-03,649.7191871782252
1998-12-04,634.1660483187457
1998-12-07,636.5397090189639
1998-12-08,626.106380985347
1998-12-09,627.5141546276814
1998-12-10,634.3508354292579
1998-12-11,625.9716653542913
1998-12-14,617.7080463841812
1998-12-15,618.6995694348362
1998-12-16,622.5914010234367
1998-12-17,622.2778216572009
1998-12-18,618.4867596961701
