Date,EM EUROPE & MIDDLE EAST
2002-02-26,85.84075349702782
2002-02-27,86.09491651998071
2002-02-28,84.79757184593439
2002-03-01,87.24555579713687
2002-03-04,89.21226452379872
2002-03-05,89.0995829065762
2002-03-06,88.31924074661488
2002-03-07,89.76027324440902
2002-03-08,90.68712576827723
2002-03-11,89.43598977197573
2002-03-12,87.72762715247224
2002-03-13,87.44094589239738
2002-03-14,87.8298767509019
2002-03-15,88.06633785443779
2002-03-18,89.36487904451667
2002-03-19,88.4117536376763
2002-03-20,87.49604338441527
2002-03-21,89.35206268397984
2002-03-22,90.38327491533951
2002-03-25,89.6289540277352
2002-03-26,88.7046758655186
2002-03-27,89.52174273032102
2002-03-28,90.31485526133795
2002-03-29,90.1127299990641
2002-04-01,87.93280104364995
2002-04-02,86.89704898402462
2002-04-03,85.95941899598732
2002-04-04,85.0709972770866
2002-04-05,86.3233989102119
2002-04-08,86.72044075225344
2002-04-09,88.1798313345502
2002-04-10,89.00613142401967
2002-04-11,89.26576958460915
2002-04-12,88.28885607656954
2002-04-15,89.80889662138213
2002-04-16,89.63320953206278
2002-04-17,89.2925214840676
2002-04-18,89.67665165637919
2002-04-19,90.16934739571323
2002-04-22,88.67724381244297
2002-04-23,88.51019852923187
2002-04-24,87.8838243214901
2002-04-25,87.0138494776651
2002-04-26,88.46611992496098
2002-04-29,87.66635551025196
2002-04-30,86.68881710166133
2002-05-01,86.22223312970787
2002-05-02,86.5694124250293
2002-05-03,85.89655394259485
2002-05-06,85.85787863386662
2002-05-07,85.19742185615587
2002-05-08,87.38351754341527
2002-05-09,86.60358723978166
2002-05-10,85.78984579495953
2002-05-13,86.43872741390159
2002-05-14,89.17938363058123
2002-05-15,88.4252483252058
2002-05-16,88.68282505888475
2002-05-17,88.03066543741018
2002-05-20,88.74247967360233
2002-05-21,88.7395084142435
2002-05-22,86.74259439498181
2002-05-23,87.79470629716961
2002-05-24,87.11459373324699
2002-05-27,88.5883856174805
2002-05-28,85.99533152095222
2002-05-29,84.76222860130112
2002-05-30,83.45297990987774
2002-05-31,83.61782802240455
2002-06-03,83.90062396196258
2002-06-04,82.95825543926517
2002-06-05,83.56788002791923
2002-06-06,83.5878706066939
2002-06-07,82.4236999623083
2002-06-10,82.49908659397983
2002-06-11,81.97213358230732
2002-06-12,81.16393065710116
2002-06-13,81.07073676576013
