Date,WORLD ex EMU HIGH DIVIDEND YIELD
2007-05-31,1742.684619126831
2007-06-01,1754.4555216660576
2007-06-04,1750.1347639348019
2007-06-05,1735.7032090575094
2007-06-06,1723.6439330875114
2007-06-07,1704.9293238903583
2007-06-08,1719.675693273526
2007-06-11,1727.522840425598
2007-06-12,1715.4204639108868
2007-06-13,1730.099617527554
2007-06-14,1739.9300563229592
2007-06-15,1749.1159667401002
2007-06-18,1742.53020429276
2007-06-19,1743.5165863760005
2007-06-20,1731.5547836567998
2007-06-21,1730.7272668276123
2007-06-22,1710.9263622349415
2007-06-25,1708.5177696352307
2007-06-26,1704.5302082847068
2007-06-27,1708.0929657418153
2007-06-28,1714.0958866815645
2007-06-29,1712.9304602268521
2007-07-02,1709.336551325479
2007-07-03,1720.195747571724
2007-07-04,1722.5783816197709
2007-07-05,1718.7886088353425
2007-07-06,1720.962923472619
2007-07-09,1725.9336493587523
2007-07-10,1696.249889287997
2007-07-11,1693.9652987759089
2007-07-12,1719.2675001450086
2007-07-13,1726.6261220781737
2007-07-16,1727.372079023553
2007-07-17,1725.5758037965347
2007-07-18,1712.0608400909318
2007-07-19,1718.086944724272
2007-07-20,1701.0491833694816
2007-07-23,1711.1498325962502
2007-07-24,1683.8510146197007
2007-07-25,1693.2397835531397
2007-07-26,1649.8310222993061
2007-07-27,1630.3762377871058
2007-07-30,1631.5530662267288
2007-07-31,1637.8097595507027
2007-08-01,1633.434901984066
2007-08-02,1644.8714714487376
2007-08-03,1607.0424555859352
2007-08-06,1623.2149636493607
2007-08-07,1642.3244147252606
2007-08-08,1667.6795974409226
2007-08-09,1637.9571865528565
2007-08-10,1611.695325857654
2007-08-13,1629.1397967922044
2007-08-14,1609.4332923622555
2007-08-15,1603.52026966229
2007-08-16,1594.87181186356
2007-08-17,1623.696274730596
2007-08-20,1635.4959412311755
2007-08-21,1634.885839260401
2007-08-22,1651.6160556146583
2007-08-23,1654.5916593722777
2007-08-24,1655.7955915654327
2007-08-27,1649.9056727198572
2007-08-28,1615.1159950415984
2007-08-29,1631.4770557559852
2007-08-30,1633.349455883084
2007-08-31,1652.9794269514528
2007-09-03,1658.2758393069053
2007-09-04,1673.493510213361
2007-09-05,1647.7606681700322
2007-09-06,1648.6628492694042
2007-09-07,1618.8510415785076
2007-09-10,1609.9768388229184
2007-09-11,1629.999624044791
2007-09-12,1632.4529343981421
2007-09-13,1646.1007961466337
2007-09-14,1640.362169353158
2007-09-17,1623.318159102853
2007-09-18,1654.383256672973
2007-09-19,1674.2820105631972
2007-09-20,1654.592945232469
2007-09-21,1659.751903343372
2007-09-24,1653.9885535910719
2007-09-25,1641.881632250853
2007-09-26,1650.511816940796
2007-09-27,1660.707198830272
2007-09-28,1650.8339362273266
2007-10-01,1666.8567743070084
2007-10-02,1681.9279393339734
2007-10-03,1681.9537203220173
2007-10-04,1686.6329158628598
2007-10-05,1699.3170290898443
2007-10-08,1699.130028353245
2007-10-09,1708.2001755105844
2007-10-10,1696.9214395836088
2007-10-11,1695.4166373711407
2007-10-12,1701.798908445434
2007-10-15,1682.5763230441923
2007-10-16,1669.6239401098585
2007-10-17,1672.882406311689
2007-10-18,1657.138897360868
2007-10-19,1634.6529989258695
2007-10-22,1635.446989816943
2007-10-23,1644.2678157975147
2007-10-24,1639.6541280791816
2007-10-25,1642.2976666162322
2007-10-26,1656.6612228864133
2007-10-29,1667.7426931248451
2007-10-30,1657.117269879055
2007-10-31,1670.1597716726153
2007-11-01,1636.535742348303
2007-11-02,1617.0563231787721
2007-11-05,1606.518516278641
2007-11-06,1610.928626092712
2007-11-07,1573.5250144709885
2007-11-08,1564.3001578356073
2007-11-09,1545.224098100598
2007-11-12,1547.4775178053358
2007-11-13,1573.8889790911157
2007-11-14,1569.110494348826
2007-11-15,1547.310361731726
2007-11-16,1539.6803331347048
2007-11-19,1511.3237049103075
2007-11-20,1509.2433407598828
2007-11-21,1473.1517671032666
2007-11-22,1476.2792185614546
2007-11-23,1498.29070772446
2007-11-26,1478.449091388506
2007-11-27,1487.9928367941009
2007-11-28,1534.8114258810506
2007-11-29,1536.0857883464914
2007-11-30,1562.0481362806813
2007-12-03,1557.2391882643706
2007-12-04,1531.3897459905677
2007-12-05,1560.6119345609688
2007-12-06,1575.0708359229468
2007-12-07,1576.819817484114
2007-12-10,1583.7526982637276
2007-12-11,1564.9180953124337
2007-12-12,1569.0907831103746
2007-12-13,1555.9134012138938
2007-12-14,1557.0720101710258
2007-12-17,1538.094475919779
2007-12-18,1538.4809504784535
2007-12-19,1532.3528612731366
2007-12-20,1535.096145159421
2007-12-21,1554.5474047378038
2007-12-24,1559.527427671528
2007-12-25,1559.6850523628407
2007-12-26,1551.755412570622
2007-12-27,1537.4624811332285
2007-12-28,1525.7649521035212
2007-12-31,1527.371478452258
2008-01-01,1527.371478452258
2008-01-02,1501.4883773775914
2008-01-03,1500.6062169896381
2008-01-04,1471.748219558114
2008-01-07,1482.1197312343625
