Date,MSCI USA Small Cap Momentum Index
2014-07-18,3338.724682259269
2014-07-21,3330.4830373510003
2014-07-22,3368.9121755435694
2014-07-23,3389.4538360898514
2014-07-24,3393.0346835062
2014-07-25,3370.5534793863926
2014-07-28,3353.996233645474
2014-07-29,3356.0461019907393
2014-07-30,3371.429885383342
2014-07-31,3281.7858397300765
2014-08-01,3260.949410490996
2014-08-04,3293.049765355049
2014-08-05,3284.7919353480947
2014-08-06,3280.0618632907685
2014-08-07,3273.7341409752457
2014-08-08,3294.214040120673
2014-08-11,3325.9304788003046
2014-08-12,3317.1121618425514
2014-08-13,3356.703286608274
2014-08-14,3363.3097984742008
2014-08-15,3370.6203581350555
2014-08-18,3419.1680150131524
2014-08-19,3453.880992419823
2014-08-20,3458.441856974224
2014-08-21,3456.2423472063247
2014-08-22,3476.0534087142205
2014-08-25,3515.635941950993
2014-08-26,3529.61923959714
2014-08-27,3524.3289833870986
2014-08-28,3526.9523678917526
2014-08-29,3552.2875724661203
2014-09-01,3561.7516864218414
2014-09-02,3581.6878973711955
2014-09-03,3560.481446612678
2014-09-04,3584.4739792768787
2014-09-05,3606.581453448052
2014-09-08,3607.3051177859475
2014-09-09,3577.061359559791
2014-09-10,3595.040485204305
2014-09-11,3605.4214007967907
2014-09-12,3567.142656617019
2014-09-15,3525.5624681225418
2014-09-16,3558.404476998139
2014-09-17,3557.89499752234
2014-09-18,3577.410024589092
2014-09-19,3571.972184126605
2014-09-22,3518.1957309033583
2014-09-23,3483.6977667066194
2014-09-24,3533.9141030775822
2014-09-25,3489.698937769303
2014-09-26,3533.867664263936
2014-09-29,3534.927033323355
2014-09-30,3503.1371741244684
2014-10-01,3450.0987275976836
2014-10-02,3448.217923658138
2014-10-03,3526.1906750083326
2014-10-06,3473.653123378268
2014-10-07,3393.0620815288407
2014-10-08,3428.0691832717816
2014-10-09,3329.1801068698123
2014-10-10,3270.4822937781155
2014-10-13,3185.4459590368715
2014-10-14,3218.70480704008
2014-10-15,3217.6147684901375
2014-10-16,3263.9613492497338
2014-10-17,3291.801704710589
2014-10-20,3324.5144785670473
2014-10-21,3423.5953412828508
2014-10-22,3398.419997501852
2014-10-23,3461.7906177144546
2014-10-24,3471.215203965804
2014-10-27,3450.8808780778127
2014-10-28,3521.3164350657426
2014-10-29,3512.7393041827554
2014-10-30,3565.78757558274
2014-10-31,3651.5048962710207
2014-11-03,3667.3760792223507
2014-11-04,3613.6936405849647
2014-11-05,3643.7793482077914
2014-11-06,3690.401415739046
2014-11-07,3678.609448780332
2014-11-10,3687.884932859509
2014-11-11,3695.9099113904576
2014-11-12,3682.247586694931
2014-11-13,3660.8917936943544
2014-11-14,3661.1163355473464
2014-11-17,3648.993369017126
2014-11-18,3664.260067658498
2014-11-19,3642.072851246794
2014-11-20,3667.784396595987
2014-11-21,3718.6152323038373
2014-11-24,3749.4663555824095
2014-11-25,3734.5397117264342
2014-11-26,3747.606082664725
2014-11-27,3761.717967124545
2014-11-28,3748.7274031359225
2014-12-01,3679.9570103364154
2014-12-02,3746.940148923561
2014-12-03,3794.9253531559107
2014-12-04,3758.42639179135
2014-12-05,3827.7366715795642
2014-12-08,3796.5844312128706
2014-12-09,3799.6498421290453
2014-12-10,3730.385380445189
2014-12-11,3759.5360317627064
2014-12-12,3689.289209950401
2014-12-15,3656.4955016097865
2014-12-16,3608.317622735218
2014-12-17,3742.390323738351
2014-12-18,3842.969594119849
2014-12-19,3859.5596353986393
2014-12-22,3881.916897213864
2014-12-23,3885.669801320325
2014-12-24,3905.6537152369
2014-12-25,3905.6537152369
2014-12-26,3939.2407666658137
2014-12-29,3948.981563105564
2014-12-30,3932.5775504117514
2014-12-31,3918.1192756688047
2015-01-01,3918.1192756688047
2015-01-02,3930.4140994774966
2015-01-05,3914.9467664333883
2015-01-06,3873.9366270173305
2015-01-07,3972.9366895209096
2015-01-08,4055.3282237071066
2015-01-09,4022.381767320692
2015-01-12,4010.513418115022
2015-01-13,4028.782040240487
2015-01-14,4019.9871624153548
2015-01-15,4024.5079528014994
2015-01-16,4132.295763058046
2015-01-19,4084.6898968972096
2015-01-20,4095.3321185930995
2015-01-21,4072.989590436696
2015-01-22,4211.515957243174
2015-01-23,4273.621156993635
2015-01-26,4312.465953380439
2015-01-27,4239.578620264058
2015-01-28,4206.3251053358
2015-01-29,4250.6334743812795
2015-01-30,4192.789074749379
2015-02-02,4186.647492551179
2015-02-03,4207.224219408597
2015-02-04,4201.681102048864
2015-02-05,4256.350827306546
2015-02-06,4253.95632683042
2015-02-09,4219.774190435309
2015-02-10,4276.641369261196
2015-02-11,4286.495809107609
2015-02-12,4315.525260341353
2015-02-13,4316.028527209173
2015-02-16,4315.271627997948
2015-02-17,4322.81249444125
2015-02-18,4369.2227755228
2015-02-19,4358.465490970873
2015-02-20,4398.730545853451
2015-02-23,4412.848400426739
2015-02-24,4414.319494505297
2015-02-25,4408.596326316467
2015-02-26,4469.265255285005
2015-02-27,4450.511304364984
2015-03-02,4492.857264187031
2015-03-03,4468.764134869997
2015-03-04,4507.044003125247
2015-03-05,4548.856993879402
2015-03-06,4549.502912181733
2015-03-09,4574.942883616255
2015-03-10,4585.551770079282
2015-03-11,4674.289723219521
2015-03-12,4721.3318693352285
2015-03-13,4747.357961096467
2015-03-16,4780.268901906332
2015-03-17,4780.94422795656
2015-03-18,4811.948018531657
2015-03-19,4836.938382473801
2015-03-20,4795.189597390774
2015-03-23,4717.742612079764
2015-03-24,4703.540101003666
2015-03-25,4550.766264231297
2015-03-26,4578.751431572289
2015-03-27,4637.412232632035
2015-03-30,4739.939541759154
2015-03-31,4754.92150701852
2015-04-01,4744.65781211128
2015-04-02,4700.206917512252
2015-04-03,4700.206917512252
2015-04-06,4652.552585981488
2015-04-07,4699.17623782839
2015-04-08,4775.737714300388
2015-04-09,4814.3931887899025
2015-04-10,4865.243609456349
2015-04-13,4882.148005554821
2015-04-14,4822.278042824119
2015-04-15,4882.891177869893
2015-04-16,4843.596707261469
2015-04-17,4750.347242227148
2015-04-20,4808.797862438343
2015-04-21,4826.792725074282
2015-04-22,4836.54969010344
2015-04-23,4840.044119898953
2015-04-24,4791.511190421715
2015-04-27,4698.02357278949
2015-04-28,4658.496095861021
2015-04-29,4543.5903197095295
2015-04-30,4425.73826196691
2015-05-01,4473.515740565492
2015-05-04,4523.664407840937
2015-05-05,4432.72210343047
2015-05-06,4369.26458169307
2015-05-07,4444.233403407474
2015-05-08,4513.869767848369
2015-05-11,4543.128854458643
2015-05-12,4495.759227408581
2015-05-13,4459.625617144512
2015-05-14,4491.565574124451
2015-05-15,4477.868556882181
2015-05-18,4554.7652414499535
2015-05-19,4650.267006887385
2015-05-20,4670.191653437893
2015-05-21,4654.743603010027
2015-05-22,4693.079000459499
2015-05-25,4693.079000459499
2015-05-26,4711.414392965991
2015-05-27,4778.6155748716865
2015-05-28,4756.812334538905
2015-05-29,4716.248655210314
2015-06-01,4752.92828978212
2015-06-02,4653.851543318361
2015-06-03,4638.218432720783
2015-06-04,4582.5480306154495
2015-06-05,4696.647284327969
2015-06-08,4625.2750912541505
2015-06-09,4597.685832842217
2015-06-10,4631.261672117825
2015-06-11,4673.74815901444
2015-06-12,4635.624452919696
2015-06-15,4634.156497492639
2015-06-16,4670.0833872943085
2015-06-17,4681.33837658807
2015-06-18,4672.160746453845
2015-06-19,4704.086881104511
2015-06-22,4712.104909045694
2015-06-23,4807.967703869995
2015-06-24,4752.85296037672
2015-06-25,4759.117524530038
2015-06-26,4766.90527871167
2015-06-29,4654.280288015064
2015-06-30,4714.465523176118
2015-07-01,4754.088263041708
2015-07-02,4732.435096200381
2015-07-03,4734.140401401481
2015-07-06,4755.800489607612
2015-07-07,4821.023935431248
2015-07-08,4683.20835247543
2015-07-09,4720.325332462611
2015-07-10,4743.890408250652
2015-07-13,4875.577396178167
2015-07-14,4920.221672909924
2015-07-15,4931.804904414663
2015-07-16,4997.951250192513
2015-07-17,5014.292043381534
2015-07-20,5013.251778705493
2015-07-21,4954.097069526417
2015-07-22,5001.391243800643
2015-07-23,4934.069058311035
2015-07-24,4880.423915072048
2015-07-27,4761.62058944361
2015-07-28,4846.524000482797
2015-07-29,4862.315014054987
2015-07-30,4919.0950017901405
2015-07-31,4891.602063965784
2015-08-03,4911.909083009267
2015-08-04,4919.623416848867
2015-08-05,4997.185971686709
2015-08-06,4869.400082982858
2015-08-07,4847.628414032906
2015-08-10,4870.123263066959
2015-08-11,4786.399571729273
2015-08-12,4712.065136483432
2015-08-13,4734.715877315793
2015-08-14,4760.429646134548
2015-08-17,4840.947803346908
2015-08-18,4811.432771675688
2015-08-19,4761.623782473582
2015-08-20,4552.012055940662
2015-08-21,4420.82897099718
2015-08-24,4136.9966162662
2015-08-25,4197.955281551473
2015-08-26,4323.426500757768
2015-08-27,4491.555384097924
2015-08-28,4513.465185118244
2015-08-31,4464.608450469111
2015-09-01,4332.1936062884715
2015-09-02,4422.609511689524
2015-09-03,4467.153330627781
2015-09-04,4434.865939488702
2015-09-07,4417.577950567852
2015-09-08,4518.079104400445
2015-09-09,4475.647944006873
2015-09-10,4482.167614163783
2015-09-11,4486.510767359401
2015-09-14,4473.6053223863155
2015-09-15,4529.269251183347
2015-09-16,4541.636996598137
2015-09-17,4563.425611023981
2015-09-18,4483.408047924492
2015-09-21,4544.772283698818
2015-09-22,4511.818516489255
2015-09-23,4519.401641130485
2015-09-24,4432.091088313815
2015-09-25,4418.8006154097175
2015-09-28,4248.236620077048
2015-09-29,4208.789647855501
