Date,EUROPE ex UK ESG LEADERS
2009-01-02,580.4997205445962
2009-01-05,590.1846728766889
2009-01-06,596.9939740672515
2009-01-07,591.8277090776719
2009-01-08,587.4249510516917
2009-01-09,582.2823245572981
2009-01-12,572.9090911855446
2009-01-13,565.5722894437373
2009-01-14,542.0902604069349
2009-01-15,538.24408356744
2009-01-16,544.1955096490324
2009-01-19,536.0377663351388
2009-01-20,525.6044050350966
2009-01-21,524.1315245192525
2009-01-22,518.0542401911217
2009-01-23,514.2074254281538
2009-01-26,528.7768525080077
2009-01-27,526.5215454601378
2009-01-28,541.6872824165955
2009-01-29,531.3553053762251
2009-01-30,529.4502560429188
2009-02-02,518.469771896918
2009-02-03,526.7920298905849
2009-02-04,534.9891007408139
2009-02-05,531.5574386452225
2009-02-06,545.3308419436614
2009-02-09,550.7023539059275
2009-02-10,536.6624277361265
2009-02-11,535.4190182959784
2009-02-12,528.1185219968851
2009-02-13,532.3238345247822
2009-02-16,525.6259292281613
2009-02-17,507.5178434064446
2009-02-18,506.43914746545664
2009-02-19,504.7424997209811
2009-02-20,484.4732537387372
2009-02-23,478.73432543153183
2009-02-24,472.8771914948871
2009-02-25,470.94738605495144
2009-02-26,480.09143676341876
2009-02-27,472.8450745384288
2009-03-02,451.26872220093225
2009-03-03,444.4048250355066
2009-03-04,459.29314572513476
2009-03-05,440.2488328494407
2009-03-06,432.5475209210172
2009-03-09,432.6677061345247
2009-03-10,457.2662349565487
2009-03-11,462.24104179258694
2009-03-12,466.7957412461107
2009-03-13,467.829290118481
2009-03-16,480.0457628333033
2009-03-17,476.81768133927545
2009-03-18,477.79311714984885
2009-03-19,483.0171880689756
2009-03-20,483.3534248778192
2009-03-23,495.9598621300384
2009-03-24,496.4109604096783
2009-03-25,503.2399433952118
2009-03-26,504.2962338250842
2009-03-27,497.49608247740446
2009-03-30,477.75902137800585
2009-03-31,493.43842281814557
2009-04-01,502.9706078387762
2009-04-02,527.5127017105176
2009-04-03,523.7438566479866
2009-04-06,520.4514249103665
2009-04-07,516.4267640698964
2009-04-08,520.7290262088693
2009-04-09,534.6703478247122
2009-04-10,534.719327105423
2009-04-13,534.9971946947195
2009-04-14,543.4987650334132
2009-04-15,539.4110160438421
2009-04-16,550.4112027369221
2009-04-17,558.3987859606365
2009-04-20,539.1177903728235
2009-04-21,539.9597116731478
2009-04-22,547.8665676394513
2009-04-23,546.275358064089
2009-04-24,557.5179926350681
2009-04-27,557.7797924690659
2009-04-28,549.8770221264717
2009-04-29,561.6608088736367
2009-04-30,571.8325685415205
2009-05-01,572.2854954664253
2009-05-04,585.9338380466895
2009-05-05,583.8547654087449
2009-05-06,592.9290840018097
2009-05-07,590.194104081723
2009-05-08,600.442353740076
2009-05-11,590.875493220913
2009-05-12,589.665789010567
2009-05-13,575.6528719735365
2009-05-14,576.6410788743592
2009-05-15,582.1457999625554
2009-05-18,594.8459373319266
2009-05-19,603.8943208345262
2009-05-20,609.4633097410804
2009-05-21,598.4488850707461
2009-05-22,597.8144147949195
2009-05-25,599.2044933771884
2009-05-26,601.0572197761877
2009-05-27,603.3161987262337
2009-05-28,596.5559574060244
2009-05-29,596.6716071666222
2009-06-01,612.5007387151522
2009-06-02,613.746863844952
2009-06-03,601.5935860194759
2009-06-04,600.9040513027533
2009-06-05,604.3009960726068
2009-06-08,598.8136790136944
2009-06-09,601.3526326001305
2009-06-10,609.0759399624186
2009-06-11,613.987422137279
2009-06-12,612.9857559084752
2009-06-15,598.2899713591961
2009-06-16,596.202860162809
2009-06-17,582.1331059184039
2009-06-18,586.4781947123547
2009-06-19,592.202807373835
2009-06-22,574.0950237779562
2009-06-23,573.2805277020524
2009-06-24,588.394027271719
2009-06-25,584.0130879838796
2009-06-26,584.9817791948392
2009-06-29,596.2968732929315
2009-06-30,590.7723856100795
2009-07-01,603.0338416870076
2009-07-02,587.4964485954118
2009-07-03,588.0007413943293
2009-07-06,581.359495620326
2009-07-07,578.4747419340044
2009-07-08,571.7814548461076
2009-07-09,575.6607389344141
2009-07-10,568.3699905817939
2009-07-13,579.2892850481993
2009-07-14,585.1823523982284
2009-07-15,603.0154043203628
2009-07-16,604.876540993617
2009-07-17,608.2698190395862
2009-07-20,614.806960683555
2009-07-21,621.1823370694208
2009-07-22,623.637613726167
2009-07-23,636.4504181641804
2009-07-24,636.6364030717119
2009-07-27,640.3975678291845
2009-07-28,637.0145908049456
2009-07-29,641.8819486148193
2009-07-30,655.9510723105449
2009-07-31,657.6206081383615
2009-08-03,665.442933291583
2009-08-04,661.7714130962239
2009-08-05,657.813752897864
2009-08-06,661.2918063648341
2009-08-07,668.0311709148774
2009-08-10,665.854586484336
2009-08-11,656.0420160718072
2009-08-12,664.8206294090188
2009-08-13,672.1027470942179
2009-08-14,666.4606757597552
2009-08-17,652.2474346488208
2009-08-18,658.5847050433273
2009-08-19,658.4813176123979
2009-08-20,667.8043514348907
2009-08-21,683.9322120793371
2009-08-24,691.4101756411053
2009-08-25,696.6343570440348
2009-08-26,693.768241507538
2009-08-27,690.5251829592768
2009-08-28,699.3134752914947
2009-08-31,691.8581366393255
2009-09-01,681.8099374459651
2009-09-02,674.465152472075
2009-09-03,675.006043978691
2009-09-04,684.139921529465
2009-09-07,695.6834091444607
2009-09-08,698.3084878045427
2009-09-09,705.4968247908223
2009-09-10,703.8991579801692
2009-09-11,707.7402206419051
2009-09-14,706.1335177331638
2009-09-15,709.3644618663855
2009-09-16,718.9994009206705
2009-09-17,721.2674765708701
2009-09-18,720.8751386198769
2009-09-21,714.5398162934601
2009-09-22,718.7565587495588
2009-09-23,719.7890777744313
2009-09-24,709.3343418492698
2009-09-25,708.1199115220629
2009-09-28,719.9444135890595
2009-09-29,718.32740110185
2009-09-30,715.7850833685294
2009-10-01,702.8719215883432
2009-10-02,690.1569278544118
2009-10-05,696.4621085057048
2009-10-06,713.5029984737491
2009-10-07,711.7470491734433
2009-10-08,720.9856461216749
2009-10-09,721.0380513838116
2009-10-12,729.3544490396264
2009-10-13,721.542638262829
2009-10-14,737.2323158828498
2009-10-15,734.2076285339714
2009-10-16,726.3832129088111
2009-10-19,738.4512484762731
2009-10-20,734.0528503050069
2009-10-21,735.3139169238575
2009-10-22,726.3735655144762
2009-10-23,723.4299191572057
2009-10-26,712.1275412877882
2009-10-27,711.8282690687553
2009-10-28,696.3281444888286
