Date,FAR EAST ESG LEADERS
2017-12-28,1584.0418435364681
2017-12-29,1575.053809360993
2018-01-01,1575.053809360993
2018-01-02,1579.3666926632768
2018-01-03,1579.971049718351
2018-01-04,1610.1341752947994
2018-01-05,1623.3606244361176
2018-01-08,1635.998562719201
2018-01-09,1658.033069845326
2018-01-10,1665.7052398761448
2018-01-11,1650.927686200599
2018-01-12,1629.6586231213469
2018-01-15,1628.0653411624323
2018-01-16,1643.7109562570758
2018-01-17,1641.9929903058387
2018-01-18,1629.599906363112
2018-01-19,1643.4882966632877
2018-01-22,1640.1814591578918
2018-01-23,1658.3388799060288
2018-01-24,1654.4120098786566
2018-01-25,1629.6848626919302
2018-01-26,1636.2624801414765
2018-01-29,1637.976529226578
2018-01-30,1615.4548583069038
2018-01-31,1587.7362369547952
2018-02-01,1605.8231111998925
2018-02-02,1589.5282455738115
2018-02-05,1563.5837368258842
2018-02-06,1518.518133861874
2018-02-07,1531.5569082654044
2018-02-08,1550.4000256926522
2018-02-09,1526.717105348517
2018-02-12,1525.3913771792813
2018-02-13,1519.974760986051
2018-02-14,1518.33282248505
2018-02-15,1528.8042860561463
2018-02-16,1547.1277389417285
2018-02-19,1575.522284501318
2018-02-20,1562.507017310672
2018-02-21,1561.0153302965455
2018-02-22,1555.8173008166157
2018-02-23,1575.3547776356424
2018-02-26,1589.2376833390924
2018-02-27,1598.923653659994
2018-02-28,1594.855761989174
2018-03-01,1569.489673162607
2018-03-02,1542.824358658413
2018-03-05,1526.3184610662881
2018-03-06,1533.6971750128191
2018-03-07,1522.273683475871
2018-03-08,1536.4666471804137
2018-03-09,1534.1491268011243
2018-03-12,1564.1756652733109
2018-03-13,1560.8945070267687
2018-03-14,1563.7160021849388
2018-03-15,1571.7079362109425
2018-03-16,1569.1120710163564
2018-03-19,1551.0267732523548
2018-03-20,1547.1190207428642
2018-03-21,1548.2923311057702
2018-03-22,1565.9900036093084
2018-03-23,1510.9065335563068
2018-03-26,1503.975664986659
2018-03-27,1540.732820575406
2018-03-28,1532.6296785693369
2018-03-29,1540.1894009506498
2018-03-30,1552.3244385818293
2018-04-02,1545.7868129499993
2018-04-03,1542.690257025986
2018-04-04,1538.2487521511
2018-04-05,1554.0796948116338
2018-04-06,1549.7053507604226
2018-04-09,1551.3365888400194
2018-04-10,1552.5480271109209
2018-04-11,1550.6213279496171
2018-04-12,1544.622476317917
2018-04-13,1549.5312510556707
2018-04-16,1552.5107239726285
2018-04-17,1554.1463507131382
2018-04-18,1564.875879245413
2018-04-19,1569.3751851366824
2018-04-20,1572.6208860125057
2018-04-23,1569.9088033871444
2018-04-24,1577.995003123591
2018-04-25,1575.9254964019487
2018-04-26,1588.3552350279747
2018-04-27,1603.0631878989775
2018-04-30,1605.096835817399
2018-05-01,1607.3777917988732
2018-05-02,1604.499008872984
2018-05-03,1616.1665692615054
2018-05-04,1616.3666379041274
2018-05-07,1615.869784663043
2018-05-08,1632.8501698764298
2018-05-09,1616.1554248874538
2018-05-10,1620.185528371641
2018-05-11,1630.8884139620557
2018-05-14,1639.1519489723923
2018-05-15,1638.9381823228455
2018-05-16,1642.13384337989
2018-05-17,1640.888663011091
2018-05-18,1651.6353253966731
2018-05-21,1649.3141040989108
2018-05-22,1647.2160664923354
2018-05-23,1654.6777111854476
2018-05-24,1649.1848989739526
