Date,PORTUGAL SMALL VALUE
2012-11-01,386.22369500806786
2012-11-02,386.30893325906493
2012-11-05,384.65661680685884
2012-11-06,386.8204167781851
2012-11-07,383.8830792356999
2012-11-08,385.955553131737
2012-11-09,383.1137011387286
2012-11-12,381.9305156876879
2012-11-13,382.9649688259462
2012-11-14,380.7990259180061
2012-11-15,376.55734894545543
2012-11-16,370.0879590822276
2012-11-19,380.11286844971096
2012-11-20,378.57453156550025
2012-11-21,381.1892894155422
2012-11-22,378.9530043068151
2012-11-23,381.9212693803834
2012-11-26,381.47260387642257
2012-11-27,379.2278643109699
2012-11-28,378.35260014823984
2012-11-29,380.87947330311533
2012-11-30,382.9510535791285
2012-12-03,386.5698108176392
2012-12-04,390.22174032823017
2012-12-05,397.98281326993595
2012-12-06,400.6655254729736
2012-12-07,404.2713712742244
2012-12-10,403.49854379812024
2012-12-11,408.0546126514719
2012-12-12,409.6904791382368
2012-12-13,407.1334963557545
2012-12-14,408.28857835383667
2012-12-17,412.99500528354656
2012-12-18,421.5957493561939
2012-12-19,428.0288564870625
2012-12-20,427.91503395008783
2012-12-21,429.1958174606246
2012-12-24,428.10478770065026
2012-12-25,428.10478770065026
2012-12-26,428.1047877006503
2012-12-27,429.78209130295255
2012-12-28,426.2772901831634
2012-12-31,423.10992182347076
2013-01-01,423.10992182347076
2013-01-02,433.64135495625953
2013-01-03,437.3645128545768
2013-01-04,442.6720398596709
2013-01-07,449.994079215004
2013-01-08,451.8453911525856
2013-01-09,467.7441449065589
2013-01-10,477.7185012206636
2013-01-11,477.3220258914209
2013-01-14,483.5012007723036
2013-01-15,479.2983161316638
2013-01-16,473.69303932196044
2013-01-17,484.2203523924305
2013-01-18,489.23903181883895
2013-01-21,506.37739548571784
2013-01-22,508.6252060043447
2013-01-23,519.6503377156909
2013-01-24,511.5391833573489
2013-01-25,518.4195677101616
2013-01-28,520.8836522802185
2013-01-29,515.7314034128765
2013-01-30,507.88385491046
2013-01-31,501.95371816163066
2013-02-01,513.9445201933727
2013-02-04,499.60375692934116
2013-02-05,510.7676139578283
2013-02-06,514.969816001228
2013-02-07,516.2176480369302
2013-02-08,511.4179999939985
2013-02-11,517.4128776135615
2013-02-12,521.4787288167422
2013-02-13,529.1310431765106
2013-02-14,523.694253909919
2013-02-15,521.060547024789
2013-02-18,519.7842969196229
