Date,SOUTH AFRICA IMI VALUE
2000-08-31,303.85138391348374
2000-09-01,302.828314675334
2000-09-04,307.9927373899932
2000-09-05,306.0993247362058
2000-09-06,306.9575494074627
2000-09-07,307.02703617826654
2000-09-08,310.397710767974
2000-09-11,310.50104274466696
2000-09-12,306.1580984849915
2000-09-13,308.1000483447776
2000-09-14,309.3827382430776
2000-09-15,303.505461755392
2000-09-18,300.3113631917301
2000-09-19,294.9643409548491
2000-09-20,294.92627662308786
2000-09-21,288.635435288299
2000-09-22,281.85258392584325
2000-09-25,284.5996111383457
2000-09-26,285.3191370073532
2000-09-27,286.4424666807846
2000-09-28,288.35965983524585
2000-09-29,289.62754899069944
2000-10-02,292.295750652019
2000-10-03,292.56964894990824
2000-10-04,293.25042539658546
2000-10-05,291.85821517380236
2000-10-06,290.3928104737394
2000-10-09,287.99310347343453
2000-10-10,285.685138000076
2000-10-11,280.2348906890599
2000-10-12,281.14160726365435
2000-10-13,280.56131822892524
2000-10-16,286.6994657089711
2000-10-17,285.0631572879311
2000-10-18,272.414116179605
2000-10-19,281.7860888372835
2000-10-20,283.5489825179226
2000-10-23,285.25857797602515
2000-10-24,283.84410018058117
2000-10-25,282.63136213807576
2000-10-26,278.8693770766933
2000-10-27,276.40019959052677
2000-10-30,277.0961170985186
2000-10-31,283.26193810591906
2000-11-01,286.5232059936478
2000-11-02,289.85610787054526
2000-11-03,286.4545837415261
2000-11-06,286.50159463634435
2000-11-07,286.63687447395426
2000-11-08,286.54525677889
2000-11-09,281.2894630283052
2000-11-10,282.02820300842546
2000-11-13,278.5763499303002
2000-11-14,282.54932632214576
2000-11-15,281.50720571767675
2000-11-16,283.44579977219036
2000-11-17,281.62881290334525
2000-11-20,277.7246682766019
2000-11-21,279.9171392326963
2000-11-22,278.8674506569104
2000-11-23,276.00783934967563
2000-11-24,277.4036124934462
2000-11-27,278.65637105413987
2000-11-28,278.099063681858
2000-11-29,276.67407878797707
2000-11-30,265.24808089876547
2000-12-01,265.0765819955741
2000-12-04,265.4107336355693
2000-12-05,266.78276377135865
2000-12-06,275.1189991338118
2000-12-07,273.2420923601271
2000-12-08,277.558643370994
2000-12-11,285.57440808492976
2000-12-12,282.22114508973436
2000-12-13,278.70172034069975
2000-12-14,272.82412860277446
2000-12-15,268.35549232474887
2000-12-18,273.3546828574347
2000-12-19,275.52716216823336
2000-12-20,272.2300128528885
2000-12-21,270.7355184975175
2000-12-22,276.0285290463694
2000-12-25,276.0285290463694
2000-12-26,274.7875145056034
2000-12-27,278.9328403441786
2000-12-28,280.82901482860404
2000-12-29,274.1538858519803
2001-01-01,274.1538858519803
2001-01-02,271.39417096041467
2001-01-03,269.60647078429156
2001-01-04,279.1166510332198
2001-01-05,275.4977522294978
2001-01-08,275.78552600837065
2001-01-09,274.4813432253937
2001-01-10,269.21108503316134
2001-01-11,271.49205778027226
2001-01-12,272.3934882856971
2001-01-15,275.9656778222134
2001-01-16,273.72837107198865
2001-01-17,278.4277311355925
2001-01-18,275.82117917099663
2001-01-19,280.2530002323835
2001-01-22,277.3996360270869
2001-01-23,278.1065304608067
2001-01-24,282.7765083157617
2001-01-25,285.53357701807096
2001-01-26,285.3906803234818
2001-01-29,289.9586165965745
2001-01-30,294.2005278901509
2001-01-31,293.910930273517
2001-02-01,296.93274832700024
2001-02-02,300.45964411142614
2001-02-05,298.11828393102303
2001-02-06,302.3414853135874
2001-02-07,295.874773283635
2001-02-08,296.61861587991444
2001-02-09,298.36881033973856
2001-02-12,301.11939708224116
2001-02-13,302.8272171067896
2001-02-14,301.72210398498333
2001-02-15,310.1468790037324
2001-02-16,308.1346899774096
2001-02-19,311.06732750501226
2001-02-20,313.93469651649553
2001-02-21,309.51762887026
2001-02-22,309.38176332196997
2001-02-23,307.15397161573304
2001-02-26,310.8743584960428
2001-02-27,312.80803877764686
2001-02-28,308.579056043064
2001-03-01,302.6756015958523
2001-03-02,301.08519019620365
2001-03-05,304.72058168029645
2001-03-06,302.5058071353858
2001-03-07,304.4124643020204
2001-03-08,309.2887153386857
2001-03-09,307.74076346145
2001-03-12,307.37354613463003
2001-03-13,307.03699716008805
2001-03-14,298.16657919156813
2001-03-15,298.0559121177433
2001-03-16,292.14140310714566
2001-03-19,292.00649476072135
2001-03-20,294.0528890541243
2001-03-21,295.4944006988273
2001-03-22,290.98930659289687
2001-03-23,291.04994286522066
2001-03-26,295.9773230808994
2001-03-27,296.24429471084943
2001-03-28,296.72395265697236
2001-03-29,295.0006050027612
2001-03-30,287.44169621891905
2001-04-02,282.5888178831314
2001-04-03,275.58285359481937
2001-04-04,273.2316619896488
2001-04-05,281.1193544931985
2001-04-06,278.55557475947853
2001-04-09,283.5319834324184
2001-04-10,292.67463713614785
2001-04-11,300.9536878883346
2001-04-12,299.5797401282198
2001-04-13,299.5797401282198
2001-04-16,302.0010571527014
2001-04-17,300.612343738582
2001-04-18,308.3963930933873
2001-04-19,305.6977448984045
2001-04-20,300.634424432433
2001-04-23,300.44818964385394
2001-04-24,304.66696632564185
2001-04-25,305.2576888433682
2001-04-26,305.61183103648364
2001-04-27,310.81113692684016
2001-04-30,316.85630377063256
2001-05-01,315.50027431529696
2001-05-02,313.08281318746003
2001-05-03,308.059744745584
2001-05-04,310.7150791631669
2001-05-07,316.06055760933634
2001-05-08,316.76003738645863
2001-05-09,319.9295096274182
2001-05-10,323.68856537986903
2001-05-11,324.51624052345204
2001-05-14,324.7963606334847
2001-05-15,325.6584011372045
2001-05-16,330.355549044143
2001-05-17,337.6653554436566
2001-05-18,338.0170315591835
2001-05-21,346.5217503444721
2001-05-22,347.68432062583463
2001-05-23,345.5308601055322
