Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH
2018-08-24,2514.1432711882635
2018-08-27,2527.037504185735
2018-08-28,2522.9842350234094
2018-08-29,2542.3354419954467
2018-08-30,2541.2535404916616
2018-08-31,2541.8840260938487
2018-09-03,2542.6608665934077
2018-09-04,2545.9407771863894
2018-09-05,2506.6776381183395
2018-09-06,2493.5519042434908
2018-09-07,2498.6462367900535
2018-09-10,2500.211703178158
2018-09-11,2514.9406100735896
2018-09-12,2511.1540825762345
2018-09-13,2512.3717069276186
2018-09-14,2517.4499708378676
2018-09-17,2493.143403268314
2018-09-18,2504.1159557486153
2018-09-19,2508.1636659998003
2018-09-20,2511.7258218177426
2018-09-21,2508.5516474640444
2018-09-24,2500.2486078148063
2018-09-25,2507.135200403561
2018-09-26,2511.2841437054385
2018-09-27,2532.192595666102
2018-09-28,2540.0389319857145
2018-10-01,2550.2685887696225
2018-10-02,2541.2238241330083
2018-10-03,2550.292182905563
2018-10-04,2514.4379267436657
2018-10-05,2495.199883302197
2018-10-08,2482.0396515531006
2018-10-09,2480.3796421868587
2018-10-10,2384.513185887717
2018-10-11,2339.8505916754334
2018-10-12,2375.4695414453204
2018-10-15,2357.8105016150125
2018-10-16,2415.2181577987385
2018-10-17,2415.6366112255514
2018-10-18,2385.6980044092115
2018-10-19,2375.1082022087658
2018-10-22,2377.2063651123403
2018-10-23,2356.0372759925003
2018-10-24,2301.0586242580475
2018-10-25,2342.4228699359187
2018-10-26,2306.544604494935
2018-10-29,2282.0600114104654
2018-10-30,2313.617557976364
2018-10-31,2359.1873115856124
2018-11-01,2380.228769796988
2018-11-02,2374.7040440862515
2018-11-05,2365.4802685840664
2018-11-06,2372.959710134966
2018-11-07,2413.562920665056
2018-11-08,2415.206421667554
2018-11-09,2401.7907038448056
2018-11-12,2368.5566265960797
2018-11-13,2365.3209886346513
2018-11-14,2344.6561333020436
2018-11-15,2359.8912567771727
2018-11-16,2347.9694699535303
2018-11-19,2285.278304605537
2018-11-20,2254.66975681574
2018-11-21,2276.509150329329
2018-11-22,2272.8142733288264
2018-11-23,2276.047724241497
2018-11-26,2311.2595766789614
2018-11-27,2316.9805939335956
2018-11-28,2369.559917448567
2018-11-29,2352.413325382217
2018-11-30,2372.6781308519935
2018-12-03,2404.874247081028
2018-12-04,2337.2173269019713
2018-12-05,2329.298272386617
2018-12-06,2307.624869287956
2018-12-07,2264.304912430139
2018-12-10,2263.056580848646
2018-12-11,2279.8647255045294
2018-12-12,2298.436649114147
2018-12-13,2295.426412937394
2018-12-14,2263.2679452592915
2018-12-17,2212.8843142346345
2018-12-18,2212.036009129329
2018-12-19,2176.055574625335
2018-12-20,2137.2354138531987
2018-12-21,2096.41085233466
2018-12-24,2061.068801314164
2018-12-25,2061.1380710231956
2018-12-26,2139.9094429167612
2018-12-27,2147.184217386837
2018-12-28,2152.434587510736
2018-12-31,2170.863239487382
2019-01-01,2170.8875625073856
2019-01-02,2180.3006735218814
2019-01-03,2122.989283871384
2019-01-04,2193.882799173448
2019-01-07,2205.7337042835406
2019-01-08,2233.6827630622934
2019-01-09,2243.145760428666
2019-01-10,2251.0253193946064
2019-01-11,2255.292187283076
2019-01-14,2241.9615049470854
2019-01-15,2274.1477306003194
2019-01-16,2285.1468135322593
2019-01-17,2300.7725929747917
2019-01-18,2333.555799640933
2019-01-21,2333.4888776902303
2019-01-22,2306.4711429693757
2019-01-23,2303.0664334648905
2019-01-24,2315.2377212447177
2019-01-25,2333.9207339079685
2019-01-28,2308.6907955680485
2019-01-29,2307.536636427428
2019-01-30,2343.4149160099346
