Date,EASEA INDEX (EAFE ex JAPAN) IMI VALUE
2020-02-06,1018.1881153879276
2020-02-07,1013.2750127859683
2020-02-10,1008.7814436900765
2020-02-11,1018.1442564261765
2020-02-12,1026.833709300614
2020-02-13,1022.9947413179659
2020-02-14,1022.2825607022952
2020-02-17,1024.630486647327
2020-02-18,1018.2153719324606
2020-02-19,1020.3755304280452
2020-02-20,1015.0022936232831
2020-02-21,1012.993605855897
2020-02-24,978.0863664812548
2020-02-25,961.9910875378192
2020-02-26,958.8683805640969
2020-02-27,936.0104171040742
2020-02-28,901.5381587908904
2020-03-02,908.4582553340451
2020-03-03,919.7551492022789
2020-03-04,925.8956628680235
2020-03-05,915.9660866358445
2020-03-06,892.1924923583066
2020-03-09,819.9509234064773
2020-03-10,809.9870311899423
2020-03-11,798.9922561670227
2020-03-12,689.993976909646
2020-03-13,696.0599813306973
2020-03-16,653.8893562715806
2020-03-17,661.5524961624004
2020-03-18,622.4027880681648
2020-03-19,620.9543940919951
2020-03-20,635.2757618473689
2020-03-23,608.2225106484659
2020-03-24,669.4732332849768
2020-03-25,697.7919959168654
2020-03-26,722.3654003944202
2020-03-27,699.6355290638766
2020-03-30,704.4996388063115
2020-03-31,715.2835996229808
2020-04-01,694.2776639767089
2020-04-02,694.1011736793471
2020-04-03,679.1995141641358
2020-04-06,706.6856765978451
2020-04-07,728.9702590845703
2020-04-08,725.3440305672448
2020-04-09,745.8054486694562
2020-04-10,745.8054486694562
2020-04-13,745.6370315223129
2020-04-14,746.9287809369422
2020-04-15,715.3419851367315
2020-04-16,709.9193780133753
2020-04-17,731.0982501307926
2020-04-20,729.8646111160012
2020-04-21,702.1911562231093
2020-04-22,712.4314895638332
2020-04-23,723.6379952567959
2020-04-24,714.2016104074297
2020-04-27,732.1501771370179
2020-04-28,748.2901146679422
2020-04-29,771.3087832477992
2020-04-30,760.43018388792
2020-05-01,749.5022284896202
2020-05-04,725.4753841170209
2020-05-05,738.822839846116
2020-05-06,730.2295497917186
2020-05-07,735.6521079066881
2020-05-08,748.528991997457
2020-05-11,740.5921124781087
2020-05-12,742.2708004565224
2020-05-13,722.9256595879579
2020-05-14,706.3966615787959
2020-05-15,710.6477861541673
2020-05-18,743.9689300046891
2020-05-19,747.3325116240269
2020-05-20,754.3740156850234
2020-05-21,744.1332380633079
2020-05-22,736.6160513426776
2020-05-25,745.8029514758656
2020-05-26,769.4389279408484
2020-05-27,780.003135615983
2020-05-28,792.7230746062977
2020-05-29,780.8693059172632
2020-06-01,795.6837344191871
2020-06-02,817.0028805333372
2020-06-03,846.0064739167456
2020-06-04,849.9952056580119
2020-06-05,876.1499970508196
2020-06-08,879.5617724956222
2020-06-09,871.2561913496136
2020-06-10,863.8369010885656
2020-06-11,822.3448978224664
2020-06-12,815.5783062824256
2020-06-15,811.4473597153624
2020-06-16,834.5084441473149
2020-06-17,836.0938285727457
2020-06-18,829.9414154230224
2020-06-19,829.427691866924
2020-06-22,828.5041052904926
2020-06-23,845.7058336474607
2020-06-24,819.5226027084493
2020-06-25,817.672677933025
2020-06-26,812.8266345401477
2020-06-29,819.6395436937607
2020-06-30,820.2931969469959
2020-07-01,823.2958208469089
2020-07-02,838.446032382691
2020-07-03,833.5862589005286
2020-07-06,851.3022862292921
2020-07-07,842.7943821995059
2020-07-08,837.3461420038846
2020-07-09,825.499891817182
2020-07-10,833.9962144688691
2020-07-13,845.3424963196479
2020-07-14,844.8539857152759
2020-07-15,859.3093929349948
2020-07-16,856.9127239610585
2020-07-17,855.4500643906804
2020-07-20,858.5178900324084
2020-07-21,869.1366030500661
2020-07-22,866.3213739535905
2020-07-23,864.505907867887
2020-07-24,854.8478126421519
2020-07-27,858.7761084040311
2020-07-28,859.4034887001337
2020-07-29,860.485782631528
2020-07-30,842.1366682335066
2020-07-31,835.5666931093391
2020-08-03,842.740368703248
2020-08-04,851.3772800298319
2020-08-05,865.2637628070137
2020-08-06,858.024797980293
2020-08-07,853.0715286914104
2020-08-10,860.9380923367353
2020-08-11,877.9215074806087
2020-08-12,888.4800365778449
2020-08-13,882.5471021933259
2020-08-14,874.3627077079591
2020-08-17,875.4223522011545
2020-08-18,874.7764407556714
2020-08-19,878.9730749152318
2020-08-20,863.3320285179504
2020-08-21,858.0451095507608
2020-08-24,874.4892129552343
2020-08-25,872.7778008333355
2020-08-26,877.8029733589358
2020-08-27,870.8671419201078
2020-08-28,878.3213908360814
2020-08-31,876.6206810975712
2020-09-01,870.5021318642997
2020-09-02,871.9521023534562
2020-09-03,866.3215325198681
2020-09-04,856.1715529712565
2020-09-07,870.3255446941232
2020-09-08,859.4154561141753
2020-09-09,869.6103794075602
2020-09-10,868.4969312440525
2020-09-11,864.2600446763932
2020-09-14,868.7144319736932
2020-09-15,871.0806846007428
2020-09-16,874.6407164027496
2020-09-17,866.967459588083
2020-09-18,861.7131601781628
2020-09-21,823.3987787717929
2020-09-22,819.6475875289261
2020-09-23,821.230189791098
2020-09-24,811.0635827102617
2020-09-25,809.5450692987481
2020-09-28,829.6315192075438
2020-09-29,828.3899422859281
2020-09-30,828.955595078053
2020-10-01,828.7595310588775
2020-10-02,828.9479930120995
2020-10-05,845.6789687198153
2020-10-06,851.9128954337283
2020-10-07,849.9713818981517
2020-10-08,857.1316319948955
2020-10-09,863.1700718380873
2020-10-12,866.0472107738293
2020-10-13,854.6821052604682
2020-10-14,856.0628896574732
2020-10-15,835.7473756590581
2020-10-16,844.1504442018357
2020-10-19,848.7705786219735
2020-10-20,848.5523122947774
2020-10-21,844.6230491746965
2020-10-22,841.291049664261
2020-10-23,849.4976096911962
2020-10-26,837.0340594642188
2020-10-27,824.7474509863595
2020-10-28,795.8286943419818
2020-10-29,786.6746411118253
2020-10-30,790.4220721575953
2020-11-02,804.3743680831004
2020-11-03,831.6590401897473
2020-11-04,837.7938962965095
2020-11-05,853.7083958438122
2020-11-06,855.4782069926681
2020-11-09,901.1049673238028
2020-11-10,923.4152859412401
2020-11-11,926.6011895536916
2020-11-12,920.3514589573116
2020-11-13,922.9238071601919
2020-11-16,943.4495735963496
2020-11-17,949.0499767212541
2020-11-18,955.5513705197361
2020-11-19,944.0011688756016
2020-11-20,949.4055024443943
2020-11-23,952.0650660540232
2020-11-24,977.9759779471218
2020-11-25,979.7185584508651
2020-11-26,974.1909773858437
2020-11-27,979.2461314172579
2020-11-30,964.422760709463
2020-12-01,979.3918711579435
2020-12-02,984.509616631947
2020-12-03,994.5785713693762
2020-12-04,1000.2701266589016
2020-12-07,993.9746950754384
2020-12-08,992.902049145627
2020-12-09,996.2293155796516
2020-12-10,995.0849469601719
2020-12-11,982.7610987578416
2020-12-14,989.5494968871927
2020-12-15,993.8599563870121
2020-12-16,1004.8113254588378
2020-12-17,1012.9607942485976
2020-12-18,1004.8805557128557
2020-12-21,978.2001404235548
2020-12-22,981.7696533934939
2020-12-23,1000.0121681548276
2020-12-24,1002.7815335884072
2020-12-25,1002.7815335884072
2020-12-28,1007.7042117902141
2020-12-29,1015.0990879130293
2020-12-30,1017.9101401768728
2020-12-31,1008.9662812176597
2021-01-01,1008.9662812176599
2021-01-04,1016.2708230157652
2021-01-05,1019.2622275137804
2021-01-06,1042.0121677231414
2021-01-07,1050.4966495197052
