Date,ACWI SMALL CAP
2006-06-19,745.2959883386777
2006-06-20,742.3181456796591
2006-06-21,749.0140372456975
2006-06-22,750.0672333657251
2006-06-23,750.6200991842079
2006-06-26,754.2367956554077
2006-06-27,750.7697227644362
2006-06-28,748.3920367930402
2006-06-29,764.4447916614487
2006-06-30,780.062150338252
2006-07-03,785.1160650548794
2006-07-04,787.3389079273644
2006-07-05,776.1916063682972
2006-07-06,778.1950180433213
2006-07-07,775.030645558216
2006-07-10,773.4307790153703
2006-07-11,773.0000123904807
2006-07-12,765.2508871167378
2006-07-13,753.9375084208306
2006-07-14,744.6490317017509
2006-07-17,735.8918812785191
2006-07-18,731.7972558717051
2006-07-19,745.6906562645297
2006-07-20,744.4437599723411
2006-07-21,736.3716441841709
2006-07-24,744.4665044188603
2006-07-25,750.8716579577986
2006-07-26,750.31430315372
2006-07-27,752.9363332638864
2006-07-28,761.7551354631669
2006-07-31,765.0616997838117
2006-08-01,759.9887786409834
2006-08-02,766.6510034361065
2006-08-03,767.3757722679319
2006-08-04,770.2567934608205
2006-08-07,763.7105805043267
2006-08-08,761.5005437982691
2006-08-09,760.6313185894021
2006-08-10,759.5274160540963
2006-08-11,756.5709904226908
2006-08-14,758.1613824955008
2006-08-15,768.1661423748984
2006-08-16,778.4341979233844
2006-08-17,780.4327748320162
2006-08-18,780.5376908209987
2006-08-21,778.2515490715733
2006-08-22,778.716483250656
2006-08-23,774.2857137213513
2006-08-24,772.5718017772422
2006-08-25,771.6132207934572
2006-08-28,774.1119428758044
2006-08-29,778.8431490233124
2006-08-30,783.0975981232377
2006-08-31,785.2481004512998
2006-09-01,788.9156343737457
2006-09-04,793.8796503179283
2006-09-05,795.4816772584151
2006-09-06,785.6045520800327
2006-09-07,778.1164007414876
2006-09-08,778.6031661888856
2006-09-11,772.1211215847495
2006-09-12,779.7085375620337
2006-09-13,783.6870256973443
2006-09-14,784.7041898783867
2006-09-15,784.6545223700455
2006-09-18,786.3128433413318
2006-09-19,785.4743069574486
2006-09-20,787.7725510556141
2006-09-21,786.9111436076547
2006-09-22,782.0299811421222
2006-09-25,783.7701689530776
2006-09-26,786.7094752061645
2006-09-27,792.2398741064762
2006-09-28,793.3028104231832
2006-09-29,791.4039915095144
2006-10-02,791.263190093433
2006-10-03,788.2004883218192
2006-10-04,792.4656332348806
2006-10-05,801.8166192627754
2006-10-06,797.1625207615924
2006-10-09,798.8606480545022
2006-10-10,799.7534678058158
2006-10-11,796.4697415843766
2006-10-12,804.5966968131365
2006-10-13,809.8472867893089
2006-10-16,817.3251520960622
2006-10-17,812.4256353436713
2006-10-18,813.9015362631062
2006-10-19,818.8246840996646
2006-10-20,817.694410744698
2006-10-23,818.7573125678797
2006-10-24,819.9439585435924
2006-10-25,824.2594025722901
2006-10-26,830.7326500249001
2006-10-27,826.5794784154045
2006-10-30,825.4111944548082
2006-10-31,827.6118887455556
2006-11-01,823.7154055347534
2006-11-02,822.3779102203117
2006-11-03,823.0899326448127
2006-11-06,829.9406709333128
2006-11-07,834.7689301657866
2006-11-08,833.9311669514852
2006-11-09,832.0305562854408
2006-11-10,836.5097049068518
2006-11-13,835.2405963531162
2006-11-14,843.2077295696838
2006-11-15,846.3874400872766
2006-11-16,846.5305566884741
