Date,EUROPE & MIDDLE EAST IMI VALUE
2013-05-06,1290.9184465122282
2013-05-07,1298.0715917052623
2013-05-08,1306.3765745096275
2013-05-09,1306.2585941426228
2013-05-10,1311.6086009423018
2013-05-13,1307.394395927729
2013-05-14,1311.6127455873639
2013-05-15,1323.0820806834765
2013-05-16,1323.177901348196
2013-05-17,1330.361103855178
2013-05-20,1336.0160212124238
2013-05-21,1335.7520261593677
2013-05-22,1339.2310908546742
2013-05-23,1310.0671162466647
2013-05-24,1305.4231432853398
2013-05-27,1311.8151142546872
2013-05-28,1330.7756605151205
2013-05-29,1308.4848316435114
2013-05-30,1313.6139153160173
2013-05-31,1302.7059824480355
2013-06-03,1294.2547795676949
2013-06-04,1297.806749091609
2013-06-05,1277.9110800299607
2013-06-06,1262.00396179042
2013-06-07,1277.8914912385821
2013-06-10,1275.9989508580743
2013-06-11,1260.6766878479402
2013-06-12,1252.9035717661686
2013-06-13,1252.8610364590868
2013-06-14,1256.8065536565284
2013-06-17,1267.3485838601207
2013-06-18,1267.5143694106075
2013-06-19,1261.097048149714
2013-06-20,1224.6984188539332
2013-06-21,1209.616528914448
2013-06-24,1191.7675287827828
2013-06-25,1207.6072472754324
2013-06-26,1227.2809472814301
2013-06-27,1233.5431706392944
2013-06-28,1228.436607325179
2013-07-01,1241.816617134856
2013-07-02,1236.7938656761378
2013-07-03,1228.2244204105164
2013-07-04,1257.6112557766025
2013-07-05,1239.6709746541953
2013-07-08,1259.426449989862
2013-07-09,1269.4157917196178
2013-07-10,1269.6062362511807
2013-07-11,1277.0707932223274
2013-07-12,1275.3180034332709
2013-07-15,1282.1960851550677
2013-07-16,1275.7093424321529
2013-07-17,1284.3936205286025
2013-07-18,1299.7815284857697
2013-07-19,1301.1297451008625
2013-07-22,1305.6844889229815
2013-07-23,1306.3307579938166
2013-07-24,1315.0179465756455
2013-07-25,1308.723438838408
2013-07-26,1306.180587240353
2013-07-29,1304.7915822603684
2013-07-30,1304.308742109913
2013-07-31,1303.663549444231
2013-08-01,1318.2967892881823
2013-08-02,1319.3514555593272
2013-08-05,1320.5932443558845
2013-08-06,1310.4819590724508
2013-08-07,1310.5077353041079
2013-08-08,1320.7660354997295
2013-08-09,1330.7765520115204
2013-08-12,1332.0892272660546
2013-08-13,1340.129050767747
2013-08-14,1344.2880465264197
2013-08-15,1331.3610599568221
2013-08-16,1338.1313568782773
2013-08-19,1328.5974248355342
2013-08-20,1314.4175924955887
2013-08-21,1307.4538258841078
2013-08-22,1321.2817625574892
2013-08-23,1327.7151068172534
2013-08-26,1325.4899934660432
2013-08-27,1300.6838452819563
2013-08-28,1302.052672787915
2013-08-29,1312.7682848367626
2013-08-30,1299.2896651025771
2013-09-02,1323.9828028966383
2013-09-03,1319.9401186393957
2013-09-04,1324.9493971453505
2013-09-05,1338.7196875672219
2013-09-06,1346.2639696753852
2013-09-09,1346.4601068543789
2013-09-10,1364.9782123948557
2013-09-11,1371.8965773180687
2013-09-12,1372.1304763025241
2013-09-13,1374.4838099329957
2013-09-16,1382.3415977058535
2013-09-17,1374.7058771651575
2013-09-18,1379.926645771877
2013-09-19,1384.6758586150938
2013-09-20,1379.1972854899186
2013-09-23,1372.9322843490793
2013-09-24,1377.858724830736
2013-09-25,1378.942780195172
2013-09-26,1379.3234926513903
2013-09-27,1375.314541488232
2013-09-30,1366.5379085439165
2013-10-01,1380.1958398649729
2013-10-02,1375.5467294868295
2013-10-03,1370.1009482828701
2013-10-04,1375.2960677403141
2013-10-07,1373.0624564899047
2013-10-08,1364.0647811563704
2013-10-09,1360.7344537040308
2013-10-10,1385.6552525426403
2013-10-11,1390.196049252065
2013-10-14,1394.8607600654275
2013-10-15,1409.402696104597
2013-10-16,1416.107279588918
2013-10-17,1415.6265927217516
2013-10-18,1424.1629224621854
2013-10-21,1428.1996696910858
2013-10-22,1432.2817431267524
2013-10-23,1420.9449374665708
2013-10-24,1428.824193605674
2013-10-25,1427.2402092704933
2013-10-28,1421.9159277136962
2013-10-29,1432.2446142840497
2013-10-30,1433.0094498901535
2013-10-31,1438.8052944030087
2013-11-01,1436.8411975822416
2013-11-04,1442.2277776731735
2013-11-05,1438.8285478300672
2013-11-06,1446.1548020666505
2013-11-07,1445.3398459023908
2013-11-08,1442.5876607370549
2013-11-11,1446.6036066871927
2013-11-12,1438.1391780107751
2013-11-13,1430.56373461846
2013-11-14,1440.8569134104794
2013-11-15,1444.6455760522947
2013-11-18,1453.7244695209827
2013-11-19,1442.4565202635772
2013-11-20,1444.4658181405216
2013-11-21,1444.1713247730693
2013-11-22,1446.1036206682875
2013-11-25,1450.048149404271
2013-11-26,1442.0533379821875
2013-11-27,1449.1100399061102
2013-11-28,1454.390473238885
2013-11-29,1454.2142680697352
2013-12-02,1448.8821987640288
2013-12-03,1427.1223181519345
2013-12-04,1418.2237510764253
2013-12-05,1403.4210075387766
2013-12-06,1414.2191159394708
2013-12-09,1416.9670336610477
2013-12-10,1407.4455506383238
2013-12-11,1399.1611813345467
2013-12-12,1388.2372690321397
2013-12-13,1385.0528241663121
2013-12-16,1403.2081073100123
2013-12-17,1393.8947089245894
2013-12-18,1405.394214007167
2013-12-19,1430.0738164464494
2013-12-20,1438.6057310122108
2013-12-23,1449.6151859696736
2013-12-24,1453.6635752635577
2013-12-25,1453.742959671665
2013-12-26,1454.3798034735826
2013-12-27,1467.835382378987
2013-12-30,1465.2116031674163
2013-12-31,1470.6675197000206
2014-01-01,1470.7460929296847
2014-01-02,1458.8039250218887
2014-01-03,1465.7366306033343
2014-01-06,1463.395197158731
2014-01-07,1477.1924923327924
2014-01-08,1477.79300412069
2014-01-09,1473.3649431823912
2014-01-10,1480.2664553704415
2014-01-13,1483.8331848147056
2014-01-14,1487.3438930436992
2014-01-15,1506.4759689821637
2014-01-16,1504.3043934194773
2014-01-17,1514.7915527636253
2014-01-20,1511.8062070223652
2014-01-21,1509.9534074449296
2014-01-22,1511.3672647969436
2014-01-23,1498.5500427926063
2014-01-24,1464.0568262241425
2014-01-27,1453.5128209459292
2014-01-28,1464.203156109526
2014-01-29,1456.9827157190966
2014-01-30,1464.3248745383091
2014-01-31,1457.9596673447343
2014-02-03,1435.7183233100875
2014-02-04,1432.0640435910348
2014-02-05,1434.567412140323
2014-02-06,1454.8412394542538
2014-02-07,1466.1087753206202
2014-02-10,1465.9074015204292
2014-02-11,1485.3785972614878
2014-02-12,1499.8257700458626
2014-02-13,1498.1299916816592
2014-02-14,1505.846369143604
2014-02-17,1511.8276496849626
2014-02-18,1513.644938794679
2014-02-19,1517.1225563690941
2014-02-20,1517.9640023931524
2014-02-21,1525.6673656677726
2014-02-24,1532.3405003588398
2014-02-25,1531.2048065547633
2014-02-26,1528.1089434640437
2014-02-27,1527.178080016794
2014-02-28,1529.952235363109
2014-03-03,1497.0711240828025
2014-03-04,1526.8497502321445
2014-03-05,1528.5048891851575
2014-03-06,1528.843938729731
2014-03-07,1508.487939819708
2014-03-10,1500.8351930389172
2014-03-11,1501.4017774495965
2014-03-12,1487.1988598087871
2014-03-13,1471.7901786967316
2014-03-14,1460.2880641444588
2014-03-17,1478.348218639997
2014-03-18,1487.444213669281
2014-03-19,1486.21331696075
2014-03-20,1485.0461184668598
2014-03-21,1487.2100710843222
2014-03-24,1471.0391736898807
2014-03-25,1489.4337706203119
2014-03-26,1501.0813138282192
2014-03-27,1502.3665164494998
2014-03-28,1513.377497888265
2014-03-31,1516.9424334308846
2014-04-01,1527.2913479734195
2014-04-02,1529.7581972551843
2014-04-03,1531.0993758461623
2014-04-04,1541.8908899490552
2014-04-07,1524.0324174562845
2014-04-08,1519.1113116227282
2014-04-09,1526.405087468851
2014-04-10,1517.658076943264
2014-04-11,1497.782053304613
2014-04-14,1503.458488308962
2014-04-15,1488.371312598535
2014-04-16,1507.680920386987
2014-04-17,1516.1639037154282
2014-04-18,1516.1639037154282
2014-04-21,1517.0532795830507
2014-04-22,1538.024659536698
2014-04-23,1529.6580486833504
2014-04-24,1536.2099571537015
2014-04-25,1524.2844936991078
2014-04-28,1528.1940429694198
2014-04-29,1550.25236024044
2014-04-30,1550.3666654395809
2014-05-01,1551.1018702050965
