Date,UNITED KINGDOM IMI VALUE
2020-03-19,620.7922539216509
2020-03-20,632.9009303174719
2020-03-23,600.154601551112
2020-03-24,679.742569472187
2020-03-25,714.0897237681484
2020-03-26,750.7335257764199
2020-03-27,719.398552188259
2020-03-30,725.2441735466973
2020-03-31,742.3139749465101
2020-04-01,713.3500969609122
2020-04-02,715.6413957840894
2020-04-03,692.7436965073844
2020-04-06,715.7621304540796
2020-04-07,740.794391097592
2020-04-08,742.5143389704623
2020-04-09,770.3623790134441
2020-04-10,770.3623790134441
2020-04-13,772.5248430841401
2020-04-14,760.9520501845577
2020-04-15,722.290439099204
2020-04-16,720.1301936573673
2020-04-17,745.1336987545332
2020-04-20,742.061425482661
2020-04-21,706.4393764089144
2020-04-22,726.8741041246695
2020-04-23,743.1090043060676
2020-04-24,729.9942959076345
2020-04-27,744.8682093292135
2020-04-28,766.2713066593452
2020-04-29,792.0470536949357
2020-04-30,766.4587912722178
2020-05-01,739.9733523249971
2020-05-04,729.8691730270307
2020-05-05,746.6974784804235
2020-05-06,735.8756544445754
2020-05-07,744.7757952904748
2020-05-08,754.9300377479367
2020-05-11,745.2785079734629
2020-05-12,748.3218654287929
2020-05-13,726.5557079169229
2020-05-14,707.2497095946622
2020-05-15,712.5006962080116
2020-05-18,750.2482840339817
2020-05-19,748.8347111320159
2020-05-20,754.5138395129551
2020-05-21,741.5611853794691
2020-05-22,733.4852657296027
2020-05-25,733.8763936862238
2020-05-26,758.9151150566696
2020-05-27,765.782803914867
2020-05-28,775.7663144273655
2020-05-29,759.1266932112432
2020-06-01,780.2697704914641
2020-06-02,796.6023077152295
2020-06-03,823.782283177089
2020-06-04,819.075254421385
2020-06-05,854.4247086011649
2020-06-08,856.9511609128762
2020-06-09,834.8577073022597
2020-06-10,832.5687426207495
2020-06-11,786.9041364164348
2020-06-12,787.2670125379124
2020-06-15,782.4122302014756
2020-06-16,804.7302466033855
2020-06-17,802.3953693752568
2020-06-18,791.4186911975387
2020-06-19,794.3728181357718
2020-06-22,794.4387764937752
2020-06-23,810.0431056720852
2020-06-24,778.5195120257491
2020-06-25,779.3955551513018
2020-06-26,772.0538973137575
2020-06-29,778.9380534941602
2020-06-30,777.7842851705207
2020-07-01,780.9769780215736
2020-07-02,792.5672594049776
2020-07-03,781.4886359654978
2020-07-06,800.7676016229599
2020-07-07,792.0471323005537
2020-07-08,786.616418096349
2020-07-09,773.541519865427
2020-07-10,783.1065356728727
2020-07-13,790.7331815353949
2020-07-14,788.184656609894
2020-07-15,803.8196628565136
2020-07-16,799.112738990413
2020-07-17,796.4655571624157
2020-07-20,797.3740735897393
2020-07-21,807.837507203453
2020-07-22,798.2033035750793
2020-07-23,796.876429680038
2020-07-24,789.7586493889887
2020-07-27,792.1240528964006
2020-07-28,799.1194169386017
2020-07-29,798.5712769543499
2020-07-30,780.2804078344894
2020-07-31,773.7365843604093
2020-08-03,782.8014303078297
2020-08-04,792.9411408597443
2020-08-05,811.1021336153333
2020-08-06,799.407059747428
2020-08-07,791.8889155379038
2020-08-10,802.2070199962046
2020-08-11,819.8416310666988
2020-08-12,831.7099848562295
2020-08-13,820.7812208395748
2020-08-14,810.4146057689817
2020-08-17,811.9164159692318
2020-08-18,811.8784347943154
2020-08-19,813.7948252030734
2020-08-20,796.8718173917392
2020-08-21,791.3129745888061
2020-08-24,805.7377645577103
2020-08-25,796.682769054667
2020-08-26,802.9862458085096
2020-08-27,797.1436609840007
2020-08-28,803.5695452724589
2020-08-31,807.095823751076
2020-09-01,795.9581242295502
2020-09-02,794.4541071031272
2020-09-03,783.4770002810202
2020-09-04,776.5599804874977
2020-09-07,790.7722333948899
2020-09-08,776.3797665544267
2020-09-09,784.0892282131881
2020-09-10,773.2556059294212
2020-09-11,770.7615397751485
2020-09-14,775.9015279407766
2020-09-15,782.9831540639892
2020-09-16,789.3973460290077
2020-09-17,780.8878518527655
2020-09-18,773.9413920307038
2020-09-21,735.4961953987687
2020-09-22,734.5558407250538
2020-09-23,743.3180440530521
2020-09-24,732.571013118554
2020-09-25,733.374599895806
2020-09-28,754.7942432200028
2020-09-29,747.3097874158617
2020-09-30,750.7883196961184
2020-10-01,748.2521334427969
2020-10-02,756.1199435618947
2020-10-05,765.615724183275
2020-10-06,771.016957651231
2020-10-07,765.9273355330604
2020-10-08,772.5104307157422
2020-10-09,781.4139420706824
2020-10-12,781.830098507897
2020-10-13,769.2862315826478
2020-10-14,770.0545506375253
2020-10-15,749.1713792537158
2020-10-16,758.4763183135105
2020-10-19,760.4543418645886
2020-10-20,759.254092957563
2020-10-21,759.7208621882824
2020-10-22,757.8608909902214
2020-10-23,769.0947440915168
2020-10-26,758.0695160419168
2020-10-27,747.8814664954613
2020-10-28,724.0985448848825
2020-10-29,718.2379356680725
2020-10-30,723.5127957564787
2020-11-02,733.0981551478353
2020-11-03,760.4901480507336
2020-11-04,761.6166666655432
2020-11-05,770.7775801656697
2020-11-06,774.3727842491846
2020-11-09,827.0311073248462
2020-11-10,853.6289807803183
2020-11-11,861.1718840470658
2020-11-12,851.499873584216
2020-11-13,854.3908799973411
2020-11-16,878.1052891090799
2020-11-17,881.0711965259842
2020-11-18,891.1831744987319
2020-11-19,874.9359276658298
2020-11-20,880.7595239262539
2020-11-23,887.1172321881745
2020-11-24,915.4346432629734
2020-11-25,906.457110153541
2020-11-26,896.9508889977136
2020-11-27,897.9778743767715
2020-11-30,878.1815927172684
2020-12-01,900.7719036106156
2020-12-02,909.108376320594
2020-12-03,928.5474388243033
2020-12-04,934.0655253118549
2020-12-07,919.3553832920209
2020-12-08,921.882062887241
2020-12-09,926.6668792463585
2020-12-10,920.5949222188652
2020-12-11,905.4434819579145
2020-12-14,914.3192096763423
2020-12-15,921.0781574745399
2020-12-16,936.706240212169
2020-12-17,943.4308689237445
2020-12-18,929.3108983878969
2020-12-21,898.4766402529639
2020-12-22,905.081635251142
2020-12-23,931.4021850324091
2020-12-24,936.4327931018918
2020-12-25,936.432793101892
2020-12-28,930.1029736826306
2020-12-29,942.8473610973894
2020-12-30,944.8579286796485
2020-12-31,935.8620723960355
2021-01-01,935.8620723960355
2021-01-04,940.552519792098
2021-01-05,949.8361003741932
2021-01-06,983.3763062411523
2021-01-07,985.3691436828182
2021-01-08,988.3228367566091
2021-01-11,969.3931168931074
2021-01-12,975.9116537592043
2021-01-13,973.2588964869673
2021-01-14,987.1289238960095
2021-01-15,970.0753153334
2021-01-18,967.5271301982038
2021-01-19,968.6057501228554
2021-01-20,974.2744479699228
2021-01-21,975.4531855451706
2021-01-22,965.6297654062915
2021-01-25,955.8954962801125
2021-01-26,964.0685909420953
2021-01-27,952.335097514133
2021-01-28,946.472253533211
2021-01-29,929.2692418942037
2021-02-01,931.6322056601367
2021-02-02,935.7282768595147
2021-02-03,938.6049207460387
2021-02-04,936.5287616890315
2021-02-05,941.720748322661
2021-02-08,946.9833308260528
2021-02-09,953.7875358263581
2021-02-10,958.6771380243383
2021-02-11,953.233553836332
2021-02-12,961.7142379064472
2021-02-15,994.7302074727797
2021-02-16,996.9658699441756
2021-02-17,985.6161297031495
