Date,SINGAPORE IMI HIGH DIVIDEND YIELD
2012-07-04,1458.8399188548258
2012-07-05,1477.1254367767278
2012-07-06,1471.5762558384151
2012-07-09,1455.171141480246
2012-07-10,1477.549694774265
2012-07-11,1487.7715382105903
2012-07-12,1462.3544829904733
2012-07-13,1477.7931110491331
2012-07-16,1477.9655613696639
2012-07-17,1475.954738210503
2012-07-18,1486.6044718790436
2012-07-19,1501.5608361962325
2012-07-20,1488.6903002361173
2012-07-23,1464.3181322905675
2012-07-24,1476.2536283989448
2012-07-25,1473.0089385786903
2012-07-26,1481.0792209684816
2012-07-27,1494.3428851880321
2012-07-30,1510.701378253255
2012-07-31,1517.1995298225204
2012-08-01,1520.3901774074695
2012-08-02,1514.4646400616307
2012-08-03,1524.8817172563524
2012-08-06,1531.027567539754
2012-08-07,1520.6774610292437
2012-08-08,1516.3451557353094
2012-08-09,1516.162294640032
2012-08-10,1515.8143966907112
2012-08-13,1517.8483838791963
2012-08-14,1533.2248528908942
2012-08-15,1522.2641516436333
2012-08-16,1518.428659531542
2012-08-17,1518.7345932072549
2012-08-20,1519.8252029047628
2012-08-21,1528.1769795092193
2012-08-22,1514.087167132616
2012-08-23,1526.8627929244135
2012-08-24,1517.1454801944878
2012-08-27,1529.2539625804884
2012-08-28,1525.6268803700732
2012-08-29,1524.3471302271669
2012-08-30,1516.3604611645144
2012-08-31,1533.3120697347708
2012-09-03,1536.493339069276
2012-09-04,1537.0024489096347
2012-09-05,1531.437032311875
2012-09-06,1535.5361077814116
2012-09-07,1556.8723546541846
2012-09-10,1556.940861624724
2012-09-11,1565.1209680621446
2012-09-12,1574.3391792996113
2012-09-13,1576.8340109378703
2012-09-14,1599.7687406521736
2012-09-17,1600.0594960278918
2012-09-18,1594.9291917783935
2012-09-19,1602.032900024818
2012-09-20,1596.014071953643
2012-09-21,1605.6481823267804
2012-09-24,1589.4738367142595
2012-09-25,1593.754779279895
2012-09-26,1572.915240200203
2012-09-27,1581.6070981486707
2012-09-28,1587.5256819431097
2012-10-01,1584.5786213782776
2012-10-02,1588.74957813523
2012-10-03,1577.1821030497458
2012-10-04,1594.339659085658
2012-10-05,1598.9119399567721
2012-10-08,1586.9805636969613
2012-10-09,1583.8022268848551
2012-10-10,1577.6426957703727
2012-10-11,1574.461246425857
2012-10-12,1582.780122811087
2012-10-15,1582.8617696971164
2012-10-16,1584.586652265567
2012-10-17,1590.1430451884746
2012-10-18,1592.2966802543037
2012-10-19,1583.7378959618693
2012-10-22,1574.6479408014595
2012-10-23,1571.0179552183197
2012-10-24,1575.0487223062307
2012-10-25,1582.1541469993863
2012-10-26,1581.1822282425264
2012-10-29,1568.133860584467
2012-10-30,1564.343953647802
2012-10-31,1562.4094682136456
2012-11-01,1552.4448454005785
2012-11-02,1555.9761378691055
2012-11-05,1554.1967626593414
2012-11-06,1552.9078813733545
2012-11-07,1566.5274028645715
2012-11-08,1556.1225997445727
2012-11-09,1549.3399202095725
2012-11-12,1554.9171040690508
2012-11-13,1555.9980556830676
2012-11-14,1545.7030780060993
2012-11-15,1520.1733631618383
2012-11-16,1511.8199120344539
2012-11-19,1523.7946030321943
2012-11-20,1526.9864362891524
2012-11-21,1529.762045423817
2012-11-22,1538.1944131699863
2012-11-23,1550.6791447479702
2012-11-26,1556.723212405566
2012-11-27,1555.4391468639444
2012-11-28,1558.2904188140603
2012-11-29,1582.218868456012
2012-11-30,1597.3009368322082
2012-12-03,1593.9842966451113
2012-12-04,1596.052719702414
2012-12-05,1600.2189328462216
2012-12-06,1597.2189093032014
2012-12-07,1613.6916172863778
2012-12-10,1622.295553199054
2012-12-11,1623.3921404682512
2012-12-12,1636.8420525273548
2012-12-13,1639.8908667336166
2012-12-14,1640.939274885182
2012-12-17,1641.5807308275603
2012-12-18,1648.3202484722867
2012-12-19,1641.2881053301187
2012-12-20,1640.5200141340506
2012-12-21,1628.7169257601975
2012-12-24,1636.6489626421014
2012-12-25,1636.6489626421014
2012-12-26,1636.94094287825
2012-12-27,1635.8242017694663
2012-12-28,1636.3508000852291
2012-12-31,1637.0962231319668
2013-01-01,1637.0962231319668
2013-01-02,1649.1528936058664
2013-01-03,1653.9770181889712
2013-01-04,1645.0283210085136
2013-01-07,1650.13919387224
2013-01-08,1652.8791810478583
2013-01-09,1664.737362399273
2013-01-10,1689.5581474171556
2013-01-11,1695.4109014896835
2013-01-14,1675.613689434278
2013-01-15,1667.2747547950376
2013-01-16,1667.516934496109
2013-01-17,1671.4384622367447
2013-01-18,1669.0261906934215
2013-01-21,1657.995519232265
2013-01-22,1657.1997375408846
2013-01-23,1666.0912786256697
2013-01-24,1675.7619041177911
2013-01-25,1677.7672229293955
2013-01-28,1678.1149408365977
2013-01-29,1689.5180149314492
2013-01-30,1693.0276651443492
2013-01-31,1684.142704147903
2013-02-01,1680.2745399002865
2013-02-04,1680.87155756378
2013-02-05,1673.2999785116456
2013-02-06,1684.6347207416395
2013-02-07,1678.2167962657104
2013-02-08,1679.3478896594067
2013-02-11,1674.5427917241357
2013-02-12,1675.8259662771814
2013-02-13,1693.0586635287784
2013-02-14,1692.3502452294686
2013-02-15,1694.0897414928145
2013-02-18,1694.5223386746027
2013-02-19,1700.8660453439054
2013-02-20,1711.7623549946927
2013-02-21,1694.4495913596065
2013-02-22,1696.9178411065714
2013-02-25,1691.3547699357584
2013-02-26,1681.3537152402814
2013-02-27,1686.545072022675
2013-02-28,1689.81596093313
2013-03-01,1681.312343328409
2013-03-04,1656.2004524625877
2013-03-05,1660.4538993942854
2013-03-06,1673.519743056001
2013-03-07,1675.7314110956481
2013-03-08,1670.4412267530963
2013-03-11,1674.1326193565303
2013-03-12,1690.0275920454055
2013-03-13,1686.370981287799
2013-03-14,1689.6584633360205
2013-03-15,1685.7899456375171
2013-03-18,1678.5059859203166
2013-03-19,1679.2656651548111
2013-03-20,1668.2551079643129
2013-03-21,1686.262668693686
2013-03-22,1690.576534265514
2013-03-25,1701.0329666848786
2013-03-26,1709.819085077991
2013-03-27,1712.2346749255096
2013-03-28,1713.0249227941958
2013-03-29,1713.0249227941956
2013-04-01,1708.8939631318508
2013-04-02,1716.058203868913
2013-04-03,1720.048800990047
2013-04-04,1711.9601645509972
2013-04-05,1710.3337423472083
2013-04-08,1704.0294635494133
2013-04-09,1712.6971713642713
2013-04-10,1719.7145536036167
2013-04-11,1726.2459753054852
2013-04-12,1721.8774590480775
2013-04-15,1709.4920990123212
2013-04-16,1714.8066493801136
2013-04-17,1715.5186968760102
2013-04-18,1728.751567105275
2013-04-19,1725.8313464705209
2013-04-22,1728.4703402745924
2013-04-23,1720.7485531756097
2013-04-24,1725.7043941204417
2013-04-25,1741.2532595405996
2013-04-26,1741.5709068308356
2013-04-29,1750.4308021670822
2013-04-30,1772.0467532620305
2013-05-01,1769.7477264586907
2013-05-02,1755.5571126308503
2013-05-03,1741.0283588025895
2013-05-06,1741.454405196246
2013-05-07,1747.515253341505
2013-05-08,1760.324280577855
2013-05-09,1766.7111060692757
2013-05-10,1755.6247222814063
2013-05-13,1754.169168588116
2013-05-14,1759.7810643564471
2013-05-15,1756.4332013704009
2013-05-16,1746.2127721894983
2013-05-17,1738.2406317744235
2013-05-20,1746.4674631285795
2013-05-21,1735.2177397422822
2013-05-22,1745.2121517769135
2013-05-23,1705.0820136520665
2013-05-24,1706.160880746559
2013-05-27,1713.5516809381822
2013-05-28,1713.9041462714574
2013-05-29,1689.7062594659221
2013-05-30,1674.1200899424787
2013-05-31,1656.4590312438215
2013-06-03,1663.3287535825946
2013-06-04,1688.0595071435016
2013-06-05,1680.2543798612612
2013-06-06,1665.4682306441098
2013-06-07,1671.599183084523
2013-06-10,1647.7417253521912
2013-06-11,1647.0461912934293
2013-06-12,1646.1550833288184
2013-06-13,1623.8242341887526
2013-06-14,1646.406956645573
2013-06-17,1648.4538880797477
2013-06-18,1654.0631737235012
2013-06-19,1657.054674597809
2013-06-20,1603.0366814018207
2013-06-21,1604.9593595084275
2013-06-24,1578.3531501162142
2013-06-25,1601.040468934124
2013-06-26,1609.1887906925697
2013-06-27,1619.791701381654
2013-06-28,1632.5746083796687
2013-07-01,1627.0961584765264
2013-07-02,1626.4822657731936
2013-07-03,1609.3069618414713
2013-07-04,1615.302149847597
2013-07-05,1616.7631093080715
2013-07-08,1615.9466294965412
2013-07-09,1630.7873457671735
2013-07-10,1639.5470693811815
2013-07-11,1675.7661280568866
2013-07-12,1670.4265681855138
2013-07-15,1666.1423644508889
2013-07-16,1676.6053409208107
2013-07-17,1667.7667086659374
2013-07-18,1664.631744268259
2013-07-19,1669.1065776129265
2013-07-22,1685.4858618601104
2013-07-23,1692.8837072022275
2013-07-24,1701.270694278814
2013-07-25,1693.5063270680982
2013-07-26,1699.5119064431601
2013-07-29,1687.5685406508994
2013-07-30,1691.8976301823086
2013-07-31,1690.2869633351427
2013-08-01,1688.1998529876057
2013-08-02,1688.4559144162765
2013-08-05,1685.0261553576295
2013-08-06,1678.1215020573725
2013-08-07,1685.0274491567661
2013-08-08,1695.396231348171
2013-08-09,1698.0252752059282
2013-08-12,1694.5981837520185
2013-08-13,1686.157944156018
2013-08-14,1683.2058043879733
2013-08-15,1671.6930001862854
2013-08-16,1674.9320747392615
2013-08-19,1658.8215890019571
2013-08-20,1649.2995109409467
2013-08-21,1643.367831991144
2013-08-22,1636.4256785301304
2013-08-23,1646.9729165156093
2013-08-26,1644.4525111117177
2013-08-27,1621.8978130944768
2013-08-28,1619.161269629545
2013-08-29,1625.1965884515025
2013-08-30,1626.5238789270247
2013-09-02,1632.7850434817192
2013-09-03,1632.4871179035965
2013-09-04,1625.9175855624733
2013-09-05,1625.5303016601886
2013-09-06,1641.071731699192
2013-09-09,1651.1418023892973
2013-09-10,1664.377258630395
2013-09-11,1677.285146758929
2013-09-12,1688.749243271311
2013-09-13,1674.7819225775486
2013-09-16,1714.4792240603044
2013-09-17,1713.7974382179325
2013-09-18,1718.2882923557213
2013-09-19,1755.1086730243635
2013-09-20,1738.1254751175247
2013-09-23,1727.0655520456235
2013-09-24,1730.1582850794484
2013-09-25,1734.7906608508542
2013-09-26,1728.8539210997626
2013-09-27,1743.8008683803366
2013-09-30,1727.6427420706173
2013-10-01,1742.113330567237
2013-10-02,1754.3317076751046
2013-10-03,1753.7973368657224
2013-10-04,1763.3537166416857
2013-10-07,1756.3171332581016
2013-10-08,1769.135498105896
2013-10-09,1764.7941332031485
