Date,EUROPE VALUE WEIGHTED
2000-12-15,959.3566874511815
2000-12-18,966.2374177672418
2000-12-19,976.1775635113764
2000-12-20,951.9630303763236
2000-12-21,944.7492033793965
2000-12-22,944.9799684059283
2000-12-25,944.9799684059283
2000-12-26,944.0771085550207
2000-12-27,956.6878411835033
2000-12-28,963.0287016846775
2000-12-29,962.4355491394883
2001-01-01,962.4355491394883
2001-01-02,953.4189239830736
2001-01-03,948.0345887158337
2001-01-04,966.1549458621685
2001-01-05,963.2202523264472
2001-01-08,961.1117658249859
2001-01-09,956.9471066689123
2001-01-10,950.6404951502869
2001-01-11,955.9942807812241
2001-01-12,958.7654297619815
2001-01-15,962.6265224620865
2001-01-16,952.0498957973392
2001-01-17,972.327664998098
2001-01-18,966.9215525457209
2001-01-19,965.8326889702839
2001-01-22,967.5931344691147
2001-01-23,968.3346065437078
2001-01-24,977.2062902654375
2001-01-25,981.4342374365917
2001-01-26,980.5089216051985
2001-01-29,983.7390839922156
2001-01-30,983.938089590552
2001-01-31,985.0300697878998
2001-02-01,977.9013790355601
2001-02-02,974.5237336159362
2001-02-05,973.6449752664101
2001-02-06,979.8931691416094
2001-02-07,971.0699690052982
2001-02-08,973.8683388056764
2001-02-09,963.0345934520458
2001-02-12,968.9199458166102
2001-02-13,971.5605429445903
2001-02-14,966.190269870564
2001-02-15,974.6261149265935
2001-02-16,956.8523820333293
2001-02-19,954.8814617089312
2001-02-20,951.5359781137844
2001-02-21,943.8398624301062
2001-02-22,940.7440897570218
2001-02-23,929.0478011058328
2001-02-26,933.0121197153904
2001-02-27,934.0143201651249
2001-02-28,932.4489169256275
2001-03-01,925.0452595123814
2001-03-02,924.2309751225348
2001-03-05,933.1743154699917
2001-03-06,942.8709100892373
2001-03-07,944.9480766138013
2001-03-08,942.4976185650972
2001-03-09,935.2840006016723
2001-03-12,918.3010779745392
2001-03-13,907.7842069488519
2001-03-14,891.6275008392064
2001-03-15,904.0659649952111
2001-03-16,884.1134192270189
2001-03-19,876.7335821364542
2001-03-20,886.3519601829282
2001-03-21,870.5550158777392
2001-03-22,835.6277536109804
2001-03-23,850.5031387855507
2001-03-26,877.3145967259361
2001-03-27,896.9843078144925
2001-03-28,888.4315438263932
2001-03-29,894.6328641665159
2001-03-30,897.9803034233801
2001-04-02,895.8926812189823
2001-04-03,872.1778872138406
2001-04-04,873.4762270676548
2001-04-05,890.6383362236783
2001-04-06,888.4768286168809
2001-04-09,901.8025862345592
2001-04-10,921.9840305832331
2001-04-11,924.4268960191126
2001-04-12,922.8860646428965
2001-04-13,922.8860646428965
2001-04-16,924.723418307771
2001-04-17,921.5178102490443
2001-04-18,943.1309816057202
2001-04-19,940.1915062445906
2001-04-20,932.1495677732291
2001-04-23,926.6944076727594
2001-04-24,932.0351833715345
2001-04-25,929.2161643556717
2001-04-26,932.9622578697822
2001-04-27,945.5137333623292
2001-04-30,953.5198246255349
2001-05-01,950.9861678430462
2001-05-02,947.6226363432429
2001-05-03,931.2374534306737
2001-05-04,936.7730951714497
2001-05-07,942.2910010634833
2001-05-08,943.0878900483906
2001-05-09,938.7820975965542
2001-05-10,954.1708681051764
2001-05-11,952.8834829867056
2001-05-14,939.815947696652
2001-05-15,948.3499792926531
2001-05-16,949.3026026174634
2001-05-17,958.3095527790824
2001-05-18,964.2401578314378
2001-05-21,969.398624968482
2001-05-22,974.8588414753652
2001-05-23,969.2038123433007
2001-05-24,970.2576897328771
2001-05-25,966.9973369776349
2001-05-28,966.9979062523353
2001-05-29,962.321278443878
2001-05-30,952.5913643410574
2001-05-31,957.4175013238647
2001-06-01,955.0713203242849
2001-06-04,958.725152479433
2001-06-05,967.6657360146627
2001-06-06,961.5942737616433
2001-06-07,958.569639398842
2001-06-08,957.3865841693869
2001-06-11,949.3520394703451
2001-06-12,933.6670389544661
2001-06-13,940.15246903475
2001-06-14,929.2135682993245
2001-06-15,920.217811865697
2001-06-18,912.7652311136782
2001-06-19,916.4799740699608
2001-06-20,912.4567062127938
2001-06-21,912.3765778266486
2001-06-22,916.749927172511
2001-06-25,916.4039137149965
2001-06-26,903.404781961671
2001-06-27,904.2884330484062
2001-06-28,917.2365247481932
2001-06-29,924.7479983141685
2001-07-02,938.3946546509081
2001-07-03,928.9780838473685
2001-07-04,924.5641203323895
2001-07-05,920.6731981804528
2001-07-06,901.6211508416654
2001-07-09,899.7446635652119
2001-07-10,894.5363652337516
2001-07-11,884.2022643264972
2001-07-12,894.8004902425081
2001-07-13,900.5100865955444
