Date,SOUTH AFRICA SMALL CAP
2019-11-13,1387.614176643209
2019-11-14,1400.8409577525053
2019-11-15,1416.9968315105402
2019-11-18,1414.6958480529609
2019-11-19,1427.0820880464207
2019-11-20,1436.2928124012399
2019-11-21,1426.336993733392
2019-11-22,1410.3897301324969
2019-11-25,1403.853892688753
2019-11-26,1403.7968688594165
2019-11-27,1417.2756991688466
2019-11-28,1413.3585874809692
2019-11-29,1425.1349614029664
2019-12-02,1420.8596140747604
2019-12-03,1407.5099088003606
2019-12-04,1417.4736558393668
2019-12-05,1403.4104186701895
2019-12-06,1423.884222079147
2019-12-09,1425.4833401952549
2019-12-10,1392.8180528007404
2019-12-11,1416.863433824531
2019-12-12,1440.176484000662
2019-12-13,1450.927670800646
2019-12-16,1464.103236943537
2019-12-17,1484.131915401294
2019-12-18,1497.0864452033395
2019-12-19,1500.3193854729673
2019-12-20,1493.5050101611705
2019-12-23,1483.0991959050214
2019-12-24,1494.6530770571528
2019-12-25,1494.6530770571528
2019-12-26,1492.8032588924782
2019-12-27,1518.5837877957065
2019-12-30,1516.5732472531754
2019-12-31,1516.3619781912303
2020-01-01,1516.3619781912305
2020-01-02,1514.089388023627
2020-01-03,1490.9162211680841
2020-01-06,1470.7653225720528
2020-01-07,1467.8139837888448
2020-01-08,1471.0108366253467
2020-01-09,1471.3894709051365
2020-01-10,1475.5641416362753
2020-01-13,1451.1790960379483
2020-01-14,1460.784272923583
2020-01-15,1461.1071238618247
2020-01-16,1460.984718053263
2020-01-17,1461.4052172439904
2020-01-20,1448.4971121098092
2020-01-21,1433.9523606575
2020-01-22,1441.843232586439
2020-01-23,1419.3783542678048
2020-01-24,1422.0700579722914
2020-01-27,1379.1718593575376
2020-01-28,1374.069115383358
2020-01-29,1386.2078728849312
2020-01-30,1366.801987351631
2020-01-31,1341.4003815357569
2020-02-03,1336.8710074981973
2020-02-04,1355.325232937973
2020-02-05,1358.853864909127
2020-02-06,1341.9021947511212
2020-02-07,1316.6228968444018
2020-02-10,1308.7890380317922
2020-02-11,1312.4009255656122
2020-02-12,1316.0371714099867
2020-02-13,1312.0609814692614
2020-02-14,1320.3176870318837
2020-02-17,1311.1565764684065
2020-02-18,1304.467137925839
2020-02-19,1304.117497156803
2020-02-20,1283.495784018165
2020-02-21,1298.6130473386627
2020-02-24,1256.1324955800883
2020-02-25,1230.231273817378
2020-02-26,1261.2884624847316
2020-02-27,1204.095177812472
2020-02-28,1132.2325979899758
2020-03-02,1150.2234759723008
2020-03-03,1197.9170555333124
2020-03-04,1208.751600581168
2020-03-05,1181.4985219759021
2020-03-06,1159.773257189898
2020-03-09,1097.9544401660585
2020-03-10,1092.931489576469
2020-03-11,1079.2639331484222
2020-03-12,964.252402884135
2020-03-13,969.6313326617027
2020-03-16,867.6951036208347
2020-03-17,880.145216875032
2020-03-18,787.720444916824
2020-03-19,740.9580934846473
2020-03-20,774.1151425108915
2020-03-23,687.6122094151335
2020-03-24,710.0818984782352
2020-03-25,762.46704348295
2020-03-26,796.8945315983401
2020-03-27,742.4702656130341
2020-03-30,711.893581298137
2020-03-31,730.748686296597
2020-04-01,709.5685868512494
2020-04-02,711.2484320649161
2020-04-03,679.5061296467677
2020-04-06,692.2678072376834
2020-04-07,749.2746566289691
2020-04-08,756.9068274062641
2020-04-09,819.9964498943638
2020-04-10,819.9964498943638
2020-04-13,807.489827830066
2020-04-14,846.7201684464131
2020-04-15,791.7474659444899
2020-04-16,785.3188009919139
2020-04-17,782.7481137429711
2020-04-20,778.5232813578658
2020-04-21,743.1650466935268
2020-04-22,744.3617291039142
2020-04-23,757.987484124421
2020-04-24,759.0651019161845
2020-04-27,763.7337950138663
2020-04-28,767.2605024698693
2020-04-29,802.0616276325428
2020-04-30,794.3535435657393
2020-05-01,773.3614031110237
2020-05-04,769.8783334925291
2020-05-05,786.5855884500168
2020-05-06,759.4490616454104
2020-05-07,771.3576476602733
2020-05-08,795.9743096716755
2020-05-11,778.501506638702
2020-05-12,786.7641257816368
2020-05-13,764.0573994256298
2020-05-14,745.875171484243
2020-05-15,747.1814633548826
2020-05-18,762.8356176528353
2020-05-19,783.9374504789629
2020-05-20,788.826296645237
2020-05-21,794.9789698994867
2020-05-22,782.545569079859
2020-05-25,783.118083929839
2020-05-26,806.3026145352992
2020-05-27,810.468933483321
2020-05-28,823.2590948800333
2020-05-29,803.2662369569265
2020-06-01,825.2535349799714
2020-06-02,875.8895301304113
2020-06-03,915.0293304522122
2020-06-04,916.8288204660049
2020-06-05,954.1177466482343
2020-06-08,976.1705053814065
2020-06-09,981.0299814912918
2020-06-10,958.9745402260784
2020-06-11,920.6719583975704
2020-06-12,920.1593312625031
2020-06-15,888.6621984013111
2020-06-16,889.4993439505296
2020-06-17,907.5599292077768
2020-06-18,889.6302587116932
2020-06-19,912.7958949155303
2020-06-22,905.861256910287
2020-06-23,913.6294572447927
2020-06-24,902.6682882185378
2020-06-25,889.9123743516132
2020-06-26,883.8960176923963
2020-06-29,902.7413607208409
2020-06-30,896.9878812954768
2020-07-01,913.9195566140362
2020-07-02,941.0775870861812
2020-07-03,943.7018690671127
2020-07-06,955.4716394115691
2020-07-07,943.1167695058017
