Date,AUSTRALIA IMI MOMENTUM
2005-03-16,4403.037414333797
2005-03-17,4389.782712150442
2005-03-18,4408.407503453846
2005-03-21,4406.162711467447
2005-03-22,4385.37322161222
2005-03-23,4231.233420960672
2005-03-24,4185.3263874911545
2005-03-25,4185.3263874911545
2005-03-28,4170.416551924601
2005-03-29,4138.5100653271675
2005-03-30,4145.818890514727
2005-03-31,4169.254643942563
2005-04-01,4193.38859928404
2005-04-04,4141.658119148847
2005-04-05,4171.353977958177
2005-04-06,4141.113994236943
2005-04-07,4170.276855286298
2005-04-08,4209.337264573895
2005-04-11,4200.867532981164
2005-04-12,4209.54905506357
2005-04-13,4223.809728041967
2005-04-14,4127.4814560466975
2005-04-15,4039.1642277322376
2005-04-18,3944.184164846455
2005-04-19,4030.7874538100755
2005-04-20,4064.100036901401
2005-04-21,4054.2663678405834
2005-04-22,4112.530832593556
2005-04-25,4091.249608710588
2005-04-26,4082.1652897475096
2005-04-27,4053.401417225799
2005-04-28,4045.007109550565
2005-04-29,4045.0961542793248
2005-05-02,4055.2551978513684
2005-05-03,4010.0203923340378
2005-05-04,3983.472615005934
2005-05-05,4012.269942262751
2005-05-06,4005.0367057865137
2005-05-09,3989.6671630152114
2005-05-10,4008.975892638388
2005-05-11,4025.116301961512
2005-05-12,3996.386228763201
2005-05-13,3944.0927313147
2005-05-16,3876.8494305151276
2005-05-17,3863.0348629325645
2005-05-18,3902.051454209571
2005-05-19,3957.4476449588847
2005-05-20,3949.599698525964
2005-05-23,4013.717230137542
2005-05-24,4058.7628275315133
2005-05-25,4043.7186897602755
2005-05-26,4031.0574934078177
2005-05-27,4057.6608900915294
2005-05-30,4072.4606062364815
2005-05-31,4037.3464933501546
2005-06-01,4047.4156266411055
2005-06-02,4119.949632956837
2005-06-03,4150.751352794904
2005-06-06,4209.615288704608
2005-06-07,4220.145039557813
2005-06-08,4230.668255527636
2005-06-09,4220.273468801426
2005-06-10,4215.42325252328
2005-06-13,4211.275574675605
2005-06-14,4234.194849829722
2005-06-15,4263.993776540447
2005-06-16,4316.9445111612085
2005-06-17,4408.610057962428
2005-06-20,4410.985466749889
2005-06-21,4404.821486576183
2005-06-22,4384.741453328637
2005-06-23,4343.23786002071
2005-06-24,4307.630114248478
2005-06-27,4314.940669211435
2005-06-28,4335.251232515176
2005-06-29,4305.605975482338
2005-06-30,4328.073576327428
2005-07-01,4249.58612549412
2005-07-04,4264.720398953283
2005-07-05,4225.373489373195
2005-07-06,4202.669278291303
2005-07-07,4145.643390071555
2005-07-08,4154.611981352881
2005-07-11,4211.837034668595
2005-07-12,4262.287406196378
2005-07-13,4234.326994810294
2005-07-14,4275.4504617876855
2005-07-15,4243.557171786886
2005-07-18,4285.858822442499
2005-07-19,4242.063364083896
2005-07-20,4300.104796068672
2005-07-21,4406.631035360113
2005-07-22,4458.224694442884
2005-07-25,4444.243287104354
2005-07-26,4413.6811852853925
2005-07-27,4397.862714989535
2005-07-28,4385.963255046743
2005-07-29,4428.367990581985
2005-08-01,4425.654115017952
2005-08-02,4449.986811690268
2005-08-03,4468.0899548305215
2005-08-04,4475.724139143854
2005-08-05,4448.664870347304
2005-08-08,4473.277911470689
2005-08-09,4469.806382441915
2005-08-10,4494.519459512572
2005-08-11,4596.090415288268
2005-08-12,4603.793195307988
2005-08-15,4580.848411309141
2005-08-16,4599.82088702558
2005-08-17,4549.367746917401
2005-08-18,4473.996504157297
2005-08-19,4464.057024348671
2005-08-22,4550.900665133949
2005-08-23,4538.955108375575
2005-08-24,4502.603158421885
2005-08-25,4504.493333403983
2005-08-26,4531.105406511627
2005-08-29,4444.346559038058
2005-08-30,4444.785305191192
2005-08-31,4473.7793358960525
2005-09-01,4612.251121487315
2005-09-02,4611.439772100694
2005-09-05,4621.452607279862
2005-09-06,4628.616443631454
2005-09-07,4651.371130419467
2005-09-08,4647.99944631423
2005-09-09,4651.041646137727
2005-09-12,4642.0887361967225
2005-09-13,4645.86120387488
2005-09-14,4689.0183158813115
2005-09-15,4652.27903115042
2005-09-16,4687.965741445481
2005-09-19,4688.393947452764
2005-09-20,4737.077346019352
2005-09-21,4727.443380112582
2005-09-22,4691.002931231265
2005-09-23,4665.915274636519
2005-09-26,4729.84040810551
2005-09-27,4728.521709605824
2005-09-28,4748.195854475577
2005-09-29,4821.278460209244
2005-09-30,4825.978064707645
2005-10-03,4816.041083827617
2005-10-04,4820.291929968784
2005-10-05,4652.819588340489
2005-10-06,4533.409800357299
2005-10-07,4529.446412087442
2005-10-10,4576.45326581064
2005-10-11,4493.339960164503
2005-10-12,4535.841369234942
2005-10-13,4454.469997815235
2005-10-14,4444.751277344763
2005-10-17,4441.573160366506
2005-10-18,4464.516861252703
2005-10-19,4391.188869197049
2005-10-20,4408.479048151243
2005-10-21,4363.609069428884
2005-10-24,4355.896068233916
2005-10-25,4431.735765557588
2005-10-26,4489.515497567133
2005-10-27,4497.640019169576
2005-10-28,4395.528126819218
2005-10-31,4454.891440034818
2005-11-01,4460.263120219783
2005-11-02,4435.7441261177
2005-11-03,4502.683112469837
2005-11-04,4457.9214500881435
2005-11-07,4459.612328196914
2005-11-08,4515.664785795652
2005-11-09,4480.496550223434
2005-11-10,4486.842317834712
2005-11-11,4517.955121443846
2005-11-14,4527.6191585538045
2005-11-15,4540.046756693532
2005-11-16,4558.241451571829
2005-11-17,4599.290961775132
2005-11-18,4635.125138422373
2005-11-21,4657.299838637222
2005-11-22,4614.962085316977
2005-11-23,4640.890969557427
2005-11-24,4690.181643212664
2005-11-25,4664.693138129311
2005-11-28,4693.701127262073
2005-11-29,4677.122189361207
2005-11-30,4693.655458233177
2005-12-01,4647.399929367772
2005-12-02,4736.1509239114075
2005-12-05,4772.046950348442
2005-12-06,4779.539165765718
2005-12-07,4767.062824395795
2005-12-08,4722.726438600492
2005-12-09,4754.511197975236
2005-12-12,4798.321588890197
2005-12-13,4770.504547357015
2005-12-14,4819.633553999752
2005-12-15,4768.646595441381
2005-12-16,4760.494731261226
2005-12-19,4771.969381896261
2005-12-20,4743.216790479677
2005-12-21,4784.577254859721
2005-12-22,4784.521680643787
2005-12-23,4789.684550707966
2005-12-26,4789.684550707966
2005-12-27,4777.849239854407
2005-12-28,4838.691692061444
2005-12-29,4864.430509890936
2005-12-30,4868.823047382585
2006-01-02,4868.823047382585
2006-01-03,4911.614009616334
2006-01-04,5011.178154634144
2006-01-05,5007.1381943472215
2006-01-06,5016.621418019734
2006-01-09,5076.152212312268
2006-01-10,5054.356571708416
2006-01-11,5094.57482961984
2006-01-12,5090.649086202862
2006-01-13,5093.380255344796
2006-01-16,5124.341204413676
2006-01-17,5153.357727190539
2006-01-18,5010.406818454597
2006-01-19,5067.197546266867
2006-01-20,5089.835777083002
2006-01-23,5084.014507235269
2006-01-24,5081.152088273623
2006-01-25,5134.543505159963
2006-01-26,5149.217529533344
2006-01-27,5190.695583976833
2006-01-30,5217.660643860274
2006-01-31,5250.734324846774
2006-02-01,5244.676745318144
2006-02-02,5173.3986984396215
2006-02-03,5094.233638891488
2006-02-06,5090.88091757298
2006-02-07,5073.323432200218
2006-02-08,4957.327216419213
2006-02-09,5029.525574759581
2006-02-10,5015.798487299497
2006-02-13,4947.787872422575
2006-02-14,4987.132196703623
2006-02-15,4977.491675254691
2006-02-16,4912.408964418218
2006-02-17,4904.187059539026
2006-02-20,4998.919571718
2006-02-21,5041.50886537723
2006-02-22,5020.681722086099
2006-02-23,5069.546522335854
2006-02-24,5052.62864904873
2006-02-27,5089.264042257564
2006-02-28,5125.279155764002
2006-03-01,5072.4319792229235
2006-03-02,5152.98277860449
2006-03-03,5138.969933852508
2006-03-06,5123.633802864659
2006-03-07,5036.153858332274
2006-03-08,5020.591309412066
2006-03-09,5053.214815101591
2006-03-10,5024.424120624461
2006-03-13,5116.429920981319
2006-03-14,5124.0400769501075
2006-03-15,5170.698207952679
2006-03-16,5200.175289303347
2006-03-17,5151.358925008009
2006-03-20,5153.556766365457
2006-03-21,5101.048701005092
2006-03-22,5153.88430770385
2006-03-23,5136.762627538123
2006-03-24,5122.609442042428
2006-03-27,5155.172202538933
2006-03-28,5171.474424560079
2006-03-29,5137.504933872473
2006-03-30,5230.775422297155
2006-03-31,5265.791301357115
2006-04-03,5340.387681837733
2006-04-04,5345.062627059077
2006-04-05,5434.269253090412
2006-04-06,5532.896489341288
2006-04-07,5502.265264384684
2006-04-10,5455.81114116722
2006-04-11,5536.197335372532
2006-04-12,5459.416214461906
2006-04-13,5408.422185205134
