Date,MALAYSIA VALUE
2017-06-06,505.08814829057
2017-06-07,504.7856762243503
2017-06-08,503.3128905903505
2017-06-09,504.46819233978357
2017-06-12,504.46819233978357
2017-06-13,503.4458714663783
2017-06-14,507.0687604339549
2017-06-15,505.56219806638836
2017-06-16,504.75847054378835
2017-06-19,504.2020152347417
2017-06-20,501.7708499401193
2017-06-21,499.7049664770858
2017-06-22,500.40862714381217
2017-06-23,499.90915077397943
2017-06-26,499.90915077397943
2017-06-27,499.90915077397943
2017-06-28,497.29592427167137
2017-06-29,497.98279679272326
2017-06-30,496.68012969830653
2017-07-03,496.6955887479798
2017-07-04,495.50544064280706
2017-07-05,497.6165026591312
2017-07-06,496.9949956512754
2017-07-07,494.0410903205805
2017-07-10,493.15683579297206
2017-07-11,491.97305452706684
2017-07-12,492.9783315371742
2017-07-13,493.42189910173835
2017-07-14,494.44792663795494
2017-07-17,494.8956457676113
2017-07-18,494.5451874028557
2017-07-19,494.4611169773335
2017-07-20,493.76869595075203
2017-07-21,495.738969108291
2017-07-24,497.01430216691574
2017-07-25,496.52046332274574
2017-07-26,497.2085583039455
2017-07-27,499.5755324559894
2017-07-28,498.2179292360942
2017-07-31,495.82835843358964
2017-08-01,496.45420338554186
2017-08-02,498.60586666864737
2017-08-03,498.64552490159485
2017-08-04,500.16909710959254
2017-08-07,501.2604407281262
2017-08-08,502.41007251977675
2017-08-09,500.46914154349577
2017-08-10,500.5044256083301
2017-08-11,496.74580046866424
2017-08-14,497.1471551110143
2017-08-15,496.95287303497196
2017-08-16,497.4830005430457
2017-08-17,498.80393454721195
2017-08-18,499.5679924334963
2017-08-21,497.96238994735086
2017-08-22,499.19405197445377
2017-08-23,499.4163068455947
2017-08-24,499.73971341919884
2017-08-25,499.28746922260353
2017-08-28,501.2027681251236
2017-08-29,497.45141498701565
2017-08-30,501.2720604496015
2017-08-31,501.27206044960144
2017-09-01,501.27206044960155
2017-09-04,501.27206044960167
2017-09-05,500.62277573136373
2017-09-06,503.80877356954204
2017-09-07,511.92034934419587
2017-09-08,512.4899878174879
2017-09-11,513.2955987441782
2017-09-12,513.6939739864476
2017-09-13,514.9561497325219
2017-09-14,512.2278530918892
2017-09-15,515.734206824523
2017-09-18,515.9445579225377
2017-09-19,513.4793001853695
2017-09-20,512.9941818074277
2017-09-21,510.8594047219796
2017-09-22,510.8594047219796
2017-09-25,508.22029395894873
2017-09-26,507.30348680780446
2017-09-27,504.4577011303292
2017-09-28,501.2701384715065
2017-09-29,503.25830859131395
2017-10-02,502.0245795497916
2017-10-03,502.44610781379436
2017-10-04,503.9206578686892
2017-10-05,503.3712733667771
2017-10-06,504.2425304087162
2017-10-09,504.55311305190645
2017-10-10,506.1887329457874
2017-10-11,504.69000622582615
2017-10-12,503.8873874970273
2017-10-13,503.7388170930806
2017-10-16,504.2497268025543
2017-10-17,502.3077786358384
2017-10-18,502.3077786358384
2017-10-19,500.60224033583313
2017-10-20,499.0597185723985
2017-10-23,497.5622627414367
2017-10-24,496.23263066825837
2017-10-25,496.7878181599261
2017-10-26,495.7931968758433
2017-10-27,497.4626171152433
2017-10-30,497.8471726908076
2017-10-31,497.4139369969714
2017-11-01,496.51002591478266
2017-11-02,495.74570932483743
2017-11-03,495.05224957254353
2017-11-06,496.4195193467614
2017-11-07,498.3480449268742
2017-11-08,496.87751575006627
2017-11-09,501.24047936303396
2017-11-10,501.0830197444296
2017-11-13,499.56202337433507
2017-11-14,498.37774189313404
2017-11-15,497.03030468217463
2017-11-16,494.77568473840944
2017-11-17,498.85667197269544
2017-11-20,498.4654575905645
2017-11-21,498.8074463401961
2017-11-22,503.7871423099606
2017-11-23,504.1905407344289
2017-11-24,501.6436630917143
2017-11-27,501.92412779278766
2017-11-28,500.44804878768997
2017-11-29,503.8963536071581
2017-11-30,503.78931053051974
2017-12-01,503.78931053051974
2017-12-04,506.8401095307409
2017-12-05,508.3491825780734
2017-12-06,504.48408408660265
2017-12-07,501.15385459554784
2017-12-08,502.13467747834403
2017-12-11,501.8115603931678
2017-12-12,504.2330503688783
2017-12-13,506.21937411428235
2017-12-14,512.5371599397746
2017-12-15,511.0789079961032
2017-12-18,509.287766851313
2017-12-19,507.50686910919603
2017-12-20,510.6962489207806
2017-12-21,511.1815535209001
2017-12-22,513.4887334575999
2017-12-25,513.4887334575999
2017-12-26,512.880769236659
2017-12-27,517.7556535158346
2017-12-28,522.5578940740942
2017-12-29,533.6146228570325
2018-01-01,533.6146228570326
2018-01-02,529.8891428534449
2018-01-03,535.7371349301046
2018-01-04,540.5707728226553
2018-01-05,546.3247648564676
2018-01-08,552.1196964916359
2018-01-09,548.4691458138777
2018-01-10,548.3196184753599
2018-01-11,547.7149855666332
2018-01-12,552.2591101806397
2018-01-15,554.1988562523957
2018-01-16,555.3022237082529
2018-01-17,556.5470052956597
2018-01-18,554.3156592780399
2018-01-19,561.2004931860945
2018-01-22,562.4383257021404
2018-01-23,567.1739927354847
2018-01-24,567.3906012861795
2018-01-25,573.9853356557566
2018-01-26,578.3149668257072
2018-01-29,578.651551244752
2018-01-30,574.0135943990637
2018-01-31,574.0135943990637
2018-02-01,574.0135943990637
2018-02-02,574.2473005400062
2018-02-05,565.4651504242823
2018-02-06,552.0022957684446
2018-02-07,557.9063321017346
2018-02-08,557.0182010682491
2018-02-09,548.3890954156324
2018-02-12,550.0208190523116
2018-02-13,551.4591314401507
2018-02-14,553.1457563742814
2018-02-15,558.4538844510704
2018-02-16,558.4538844510703
2018-02-19,565.114520502785
2018-02-20,561.8512246048762
2018-02-21,562.960167789073
2018-02-22,561.1482988494778
2018-02-23,561.5139616638932
2018-02-26,561.7533355737567
2018-02-27,564.1182428360895
2018-02-28,556.7477526730694
2018-03-01,557.1939006563691
2018-03-02,558.6131754328801
2018-03-05,554.0960104214274
2018-03-06,554.482308842323
2018-03-07,548.8997059417093
2018-03-08,548.3764386581704
2018-03-09,548.6767503768278
2018-03-12,555.6219857751901
2018-03-13,557.0276664829897
2018-03-14,555.9305060119171
2018-03-15,551.4694805070749
2018-03-16,554.0677040719461
2018-03-19,553.0651049644956
2018-03-20,553.8708954629528
2018-03-21,555.7211158598046
2018-03-22,559.4358509950695
2018-03-23,554.9404716468849
2018-03-26,556.530179153777
2018-03-27,559.0294122927518
2018-03-28,559.5088639260094
2018-03-29,559.7014463522452
2018-03-30,563.0217250525301
2018-04-02,561.6890388848093
2018-04-03,557.3328960717599
2018-04-04,547.6404796811844
2018-04-05,555.1183103834954
2018-04-06,553.6128920273404
2018-04-09,557.8099579498554
2018-04-10,563.0947950385352
2018-04-11,566.000152172113
2018-04-12,565.845718194935
2018-04-13,563.6602323285008
2018-04-16,565.6768006609515
2018-04-17,564.3659329459798
2018-04-18,565.0698903535829
2018-04-19,569.6403007025164
2018-04-20,565.864319483852
2018-04-23,562.1404936240057
2018-04-24,557.0308810811975
2018-04-25,552.9412416440773
2018-04-26,555.0214262648249
2018-04-27,558.7671456920799
2018-04-30,561.2605668422977
2018-05-01,561.2605668422977
2018-05-02,551.3875759219208
2018-05-03,551.1026373228975
2018-05-04,547.1849622037773
2018-05-07,541.5300763626068
2018-05-08,546.5267563235016
2018-05-09,546.5267563235014
2018-05-10,546.5267563235013
