Date,CZECH REPUBLIC VALUE
2008-10-27,556.7895325624659
2008-10-28,571.2295182293062
2008-10-29,706.2803581426153
2008-10-30,731.8622523167584
2008-10-31,759.0363686668861
2008-11-03,775.7267721323954
2008-11-04,836.0114481855177
2008-11-05,791.0796818463474
2008-11-06,729.0630533082281
2008-11-07,750.3035464078566
2008-11-10,753.7647710358076
2008-11-11,713.3493465285217
2008-11-12,683.276769859947
2008-11-13,662.5519248006276
2008-11-14,698.806120531308
2008-11-17,692.376899015999
2008-11-18,652.0691277017237
2008-11-19,657.4380479628875
2008-11-20,612.64692301971
2008-11-21,617.6042839259561
2008-11-24,688.5600825925064
2008-11-25,718.6830074040855
2008-11-26,722.4256920627134
2008-11-27,733.8384541991782
2008-11-28,735.5989656265698
2008-12-01,704.5595179850775
2008-12-02,689.86241958011
2008-12-03,691.082581373443
2008-12-04,716.523036462233
2008-12-05,694.9840675519225
2008-12-08,733.7671168489379
2008-12-09,719.1523134562271
2008-12-10,747.4363135176861
2008-12-11,738.7103412402217
2008-12-12,722.5937059257551
2008-12-15,766.7364375560729
2008-12-16,771.8654717647257
2008-12-17,801.6547698702632
2008-12-18,806.0659962951984
2008-12-19,759.3790050913906
2008-12-22,758.3763621878884
2008-12-23,780.1364210100317
2008-12-24,777.0215335242495
2008-12-25,777.0215335242495
2008-12-26,783.7261202720264
2008-12-29,810.591357295717
2008-12-30,786.483919799231
2008-12-31,764.7105051157706
2009-01-01,764.7105051157706
2009-01-02,778.2346367143323
2009-01-05,787.5608106961049
2009-01-06,800.6321648816853
2009-01-07,791.5166018211785
2009-01-08,789.1794408570535
2009-01-09,776.160683826922
2009-01-12,764.624040116533
2009-01-13,742.6900816199245
2009-01-14,713.8671770812308
2009-01-15,689.0682090933121
2009-01-16,701.5424547307889
2009-01-19,682.6473772156558
2009-01-20,665.1018492429056
2009-01-21,655.2248461503095
2009-01-22,639.8215383796397
2009-01-23,605.4798127167609
2009-01-26,640.8007769407004
2009-01-27,638.272108795797
2009-01-28,660.9731718947246
2009-01-29,647.2242922418777
2009-01-30,616.8395153030232
2009-02-02,600.7303134524894
2009-02-03,592.2547563795066
2009-02-04,588.737970138066
2009-02-05,582.9922754310489
2009-02-06,583.4972636132612
2009-02-09,624.9803212547682
2009-02-10,595.9654703523097
2009-02-11,584.9838543613982
2009-02-12,566.4792483031587
2009-02-13,569.6990541686833
2009-02-16,537.4773799043708
2009-02-17,490.1572014515349
2009-02-18,484.49983836717877
2009-02-19,515.7337851267395
2009-02-20,508.4608083272727
2009-02-23,521.062942392711
2009-02-24,520.701010521496
2009-02-25,514.1006327509285
2009-02-26,518.2729039741918
2009-02-27,517.7605568016302
2009-03-02,508.79905762799376
2009-03-03,509.49323349279376
2009-03-04,528.4539628612038
2009-03-05,514.517454828978
2009-03-06,528.6229034364997
2009-03-09,528.6835164117272
2009-03-10,560.66383711492
2009-03-11,572.656727266977
2009-03-12,575.961412294838
2009-03-13,596.9504052406946
2009-03-16,596.478062127194
2009-03-17,587.6463578104459
2009-03-18,592.8717047678906
2009-03-19,641.9099987408495
2009-03-20,646.2177318443622
2009-03-23,656.2733391789304
2009-03-24,659.5789676743608
2009-03-25,667.5480506116018
2009-03-26,673.8329673281362
2009-03-27,641.1737341310103
2009-03-30,601.8966139051522
2009-03-31,617.7135892674839
2009-04-01,621.9545590475605
2009-04-02,679.1203926274748
2009-04-03,696.3600970496858
2009-04-06,698.0612643669383
2009-04-07,664.2931172201475
2009-04-08,687.1860660729874
2009-04-09,712.7561307928141
2009-04-10,705.9279371177877
2009-04-13,711.5100143323913
2009-04-14,694.7761144170094
2009-04-15,681.0418252517924
2009-04-16,691.529708860958
2009-04-17,684.7355400711015
2009-04-20,660.8097905463525
2009-04-21,652.6041574086596
2009-04-22,657.8964285025816
2009-04-23,656.9502374816575
2009-04-24,688.6304724952738
2009-04-27,671.9024060463964
2009-04-28,665.9847187476989
2009-04-29,706.9111633618548
2009-04-30,728.5433544774323
2009-05-01,731.2454923141383
2009-05-04,754.8574798744731
2009-05-05,768.48585476
2009-05-06,760.5718906016458
2009-05-07,790.8555224587932
2009-05-08,789.9631810247096
2009-05-11,769.9876702613551
2009-05-12,776.8912023422371
2009-05-13,747.1436430466694
2009-05-14,744.350282330315
2009-05-15,754.8592354653781
2009-05-18,755.156429640025
2009-05-19,772.0452946258804
2009-05-20,809.5553114577814
2009-05-21,791.8307485832028
2009-05-22,805.5283397014723
2009-05-25,807.8339719200283
2009-05-26,803.713798757449
2009-05-27,801.4308294024754
2009-05-28,793.1657412474694
2009-05-29,762.6492015293818
2009-06-01,809.3585865765151
2009-06-02,819.8942434420625
2009-06-03,806.3329807236523
2009-06-04,809.0237833280333
2009-06-05,811.700729903796
2009-06-08,795.4974571218175
2009-06-09,823.6399507320577
2009-06-10,828.884906073853
2009-06-11,831.4465699842063
2009-06-12,822.5240353571812
2009-06-15,800.7528431120908
2009-06-16,808.3410954994742
2009-06-17,808.449194066611
2009-06-18,814.9944407894933
2009-06-19,831.9624251514612
2009-06-22,815.7628433826661
2009-06-23,806.6131644924425
2009-06-24,825.9291127898176
2009-06-25,800.0909034750499
2009-06-26,816.4171722758093
2009-06-29,804.694609766034
2009-06-30,797.2230533924122
2009-07-01,817.7385996450837
2009-07-02,799.6769823332818
2009-07-03,788.3781207544679
2009-07-06,782.0043552310603
2009-07-07,799.6223002813763
2009-07-08,803.1456715373049
2009-07-09,821.0546292654606
2009-07-10,819.5748994042686
