Date,COLOMBIA EQUAL WEIGHTED
2019-04-05,17768.192694945865
2019-04-08,18046.22165062097
2019-04-09,18277.85670063435
2019-04-10,18378.593349952946
2019-04-11,18163.21731965726
2019-04-12,18065.722763669655
2019-04-15,17486.51533271225
2019-04-16,17417.49913629199
2019-04-17,17703.92326097734
2019-04-18,17708.57680279059
2019-04-19,17708.57680279059
2019-04-22,17821.548357398722
2019-04-23,17630.68789744489
2019-04-24,17534.53218640254
2019-04-25,17384.734672811635
2019-04-26,17435.98134267064
2019-04-29,17205.060871957987
2019-04-30,17089.652829996376
2019-05-01,17113.87756706435
2019-05-02,16849.924678612664
2019-05-03,16916.185419136054
2019-05-06,16835.75190697238
2019-05-07,16558.077751079614
2019-05-08,16624.967508376038
2019-05-09,16552.600918301185
2019-05-10,16596.180988786153
2019-05-13,16171.864732913538
2019-05-14,16082.98625826403
2019-05-15,15880.097945245303
2019-05-16,15876.651221555401
2019-05-17,15738.658185110267
2019-05-20,15388.306224673759
2019-05-21,15659.541643491319
2019-05-22,15620.522873846405
2019-05-23,15326.837806698604
2019-05-24,15496.71739509876
2019-05-27,15367.5249222097
2019-05-28,15200.471878930006
2019-05-29,15412.878923391652
2019-05-30,15535.466586021133
2019-05-31,15509.431257315233
2019-06-03,15474.514376109822
2019-06-04,15871.309826838624
2019-06-05,15801.413716792857
2019-06-06,15919.727563467744
2019-06-07,16246.139244800997
2019-06-10,16096.575320401042
2019-06-11,16418.12403137648
2019-06-12,16350.59714541424
2019-06-13,16458.91485881586
2019-06-14,16508.368982810516
2019-06-17,16343.315171149
2019-06-18,16720.577312006804
2019-06-19,16911.636294034764
2019-06-20,17266.500107054966
2019-06-21,17517.222093376145
2019-06-24,17413.104187824236
2019-06-25,17522.20688448264
2019-06-26,17355.135925662096
2019-06-27,17146.44821396925
2019-06-28,17145.94501495818
2019-07-01,17127.252970867743
2019-07-02,17053.26276015065
2019-07-03,17346.179436803854
2019-07-04,17480.81594621007
2019-07-05,17515.609766108333
2019-07-08,17633.05988557445
2019-07-09,17663.458753245483
2019-07-10,17823.936364061894
2019-07-11,17896.27323355087
2019-07-12,17962.979304218818
2019-07-15,17933.757713665866
2019-07-16,18034.89121792936
2019-07-17,17968.622317214606
2019-07-18,17772.647326819275
2019-07-19,18037.75384705126
2019-07-22,17862.95371261559
2019-07-23,17901.183815635526
2019-07-24,17788.639209944842
2019-07-25,17702.411625844343
2019-07-26,17301.27825919891
2019-07-29,17249.405320508322
2019-07-30,16760.727293115604
2019-07-31,16769.182469261505
2019-08-01,16250.641613059222
2019-08-02,16004.50108674243
2019-08-05,15117.547923105647
2019-08-06,15356.972455083707
2019-08-07,15381.902896073365
2019-08-08,15859.313147770094
2019-08-09,15792.04694546111
2019-08-12,15501.664024854379
2019-08-13,15970.256999315285
2019-08-14,15199.837467530437
2019-08-15,15419.042946957139
2019-08-16,15602.273792407937
2019-08-19,15647.660984323738
2019-08-20,15818.831691875666
2019-08-21,15881.562211606823
2019-08-22,15736.236309418731
2019-08-23,15432.274771577626
2019-08-26,15553.269324613353
2019-08-27,15631.10413265916
2019-08-28,15616.42768278594
2019-08-29,15783.406513200041
2019-08-30,16229.625318232946
2019-09-02,16110.009777470987
2019-09-03,16163.996191857545
2019-09-04,16446.632642995257
2019-09-05,16616.129516743033
2019-09-06,16679.142641391503
2019-09-09,16769.182276423384
2019-09-10,16680.390064028754
2019-09-11,16828.449141067857
2019-09-12,16859.794810641124
2019-09-13,16804.174060124977
2019-09-16,17008.56610306285
2019-09-17,16905.92661330192
2019-09-18,16867.35922266003
2019-09-19,16816.551545256436
2019-09-20,16696.847536969635
2019-09-23,16518.814415967885
2019-09-24,16442.543101916483
2019-09-25,16501.231200224414
2019-09-26,16554.11592850209
2019-09-27,16150.57700492907
2019-09-30,15958.751706990088
2019-10-01,15933.968085017239
2019-10-02,15921.097506279259
2019-10-03,16171.762819344953
2019-10-04,16471.348140085192
2019-10-07,16505.275590243768
2019-10-08,16396.44681739408
2019-10-09,16361.252899926892
2019-10-10,16253.68973914187
2019-10-11,16445.373497151737
2019-10-14,16452.516156310703
2019-10-15,16276.810740085537
2019-10-16,16195.13117865712
2019-10-17,16135.089457764627
2019-10-18,16369.083060214636
2019-10-21,16460.19955095161
2019-10-22,16745.49030277361
2019-10-23,16821.63159644573
2019-10-24,16938.039750947253
2019-10-25,17006.30400406832
2019-10-28,17067.68857619552
2019-10-29,17192.44364561512
2019-10-30,17156.143357667093
2019-10-31,17261.77708062779
2019-11-01,17587.58913739038
