Date,AC FAR EAST ex JAPAN IMI
2020-11-02,2339.985166695152
2020-11-03,2332.121883372886
2020-11-04,2364.485798549458
2020-11-05,2399.839667615435
2020-11-06,2405.9494061309847
2020-11-09,2434.5979675735857
2020-11-10,2412.691108210722
2020-11-11,2424.025450882989
2020-11-12,2422.31817006086
2020-11-13,2434.4945608998432
2020-11-16,2459.5678581048664
2020-11-17,2447.9482761964405
2020-11-18,2458.366956028384
2020-11-19,2456.280230946474
2020-11-20,2476.695325750886
2020-11-23,2507.546123373695
2020-11-24,2501.959236884105
2020-11-25,2477.1712509581225
2020-11-26,2499.2072073930735
2020-11-27,2497.4700281637606
2020-11-30,2439.296325441936
2020-12-01,2452.7623160831586
2020-12-02,2450.3666329312864
2020-12-03,2453.012617832859
2020-12-04,2480.38614899998
2020-12-07,2479.517525917041
2020-12-08,2481.6005807293222
2020-12-09,2494.8801034270464
2020-12-10,2477.4942566802606
2020-12-11,2488.114861656937
2020-12-14,2471.519644364305
2020-12-15,2459.5021199462676
2020-12-16,2482.0397530293894
2020-12-17,2482.827979136991
2020-12-18,2475.639996247917
2020-12-21,2478.6891679285013
2020-12-22,2454.9832557325044
2020-12-23,2468.7402347132247
2020-12-24,2458.9683353600303
2020-12-25,2462.952803584266
2020-12-28,2452.0816566914827
2020-12-29,2477.768589788519
2020-12-30,2518.754904461203
2020-12-31,2537.3472371133034
2021-01-01,2537.3472371133216
2021-01-04,2559.9432811731426
2021-01-05,2597.716508943248
2021-01-06,2582.07940745496
2021-01-07,2602.135698885637
2021-01-08,2665.2040612202436
2021-01-11,2679.45447820177
2021-01-12,2683.9701327895104
2021-01-13,2706.472101513717
2021-01-14,2721.137539094607
2021-01-15,2714.020818265501
2021-01-18,2719.1259869517476
2021-01-19,2764.6103024342383
2021-01-20,2809.5941056978536
2021-01-21,2820.2703610020535
2021-01-22,2794.6494617748335
2021-01-25,2852.458227561505
2021-01-26,2786.644816432946
2021-01-27,2778.8752567061115
2021-01-28,2711.2794602300496
2021-01-29,2669.0085001586576
2021-02-01,2750.804630289412
2021-02-02,2800.220522843148
2021-02-03,2827.8457801970976
2021-02-04,2820.0332724111177
2021-02-05,2821.6527329016235
2021-02-08,2822.6084398092444
2021-02-09,2834.9491468169495
2021-02-10,2860.6348164268443
2021-02-11,2868.7694792386496
2021-02-12,2872.024220020833
2021-02-15,2881.8077033772774
2021-02-16,2904.900259656387
2021-02-17,2940.381394121424
2021-02-18,2887.4056818446506
2021-02-19,2884.0108022162444
2021-02-22,2827.1331428074354
2021-02-23,2823.0092393777945
2021-02-24,2769.5017219876827
2021-02-25,2775.176308435986
2021-02-26,2706.856769160432
2021-03-01,2770.944942011453
2021-03-02,2750.3720566307234
2021-03-03,2788.8440082604807
2021-03-04,2720.3110430735096
2021-03-05,2737.957210160209
2021-03-08,2675.978768069395
2021-03-09,2688.768435781337
2021-03-10,2691.7888943348407
2021-03-11,2748.620146063349
2021-03-12,2734.903166934819
2021-03-15,2723.7926839448114
2021-03-16,2748.7353008989803
2021-03-17,2745.531116925231
2021-03-18,2757.275864011033
2021-03-19,2727.5969196050232
2021-03-22,2724.4450220332756
2021-03-23,2710.2923406668797
2021-03-24,2664.400051963591
2021-03-25,2667.0599327956274
2021-03-26,2701.4811676949944
2021-03-29,2713.801991053575
2021-03-30,2743.3536871324586
2021-03-31,2719.5988672806197
2021-04-01,2760.413809292814
2021-04-02,2766.8855957004475
2021-04-05,2759.237471058423
2021-04-06,2769.316028165443
2021-04-07,2737.708993534073
2021-04-08,2751.8575875181177
2021-04-09,2728.87070647682
2021-04-12,2714.8126096069263
2021-04-13,2713.1380884425544
2021-04-14,2726.490340163435
2021-04-15,2730.434558933949
2021-04-16,2743.3676652938866
2021-04-19,2746.7989366460397
2021-04-20,2744.174144190621
2021-04-21,2720.746641988355
2021-04-22,2731.4243208941853
2021-04-23,2753.854830141774
2021-04-26,2760.8081959208257
2021-04-27,2764.4178909628945
2021-04-28,2759.425432201809
2021-04-29,2756.557625833782
2021-04-30,2742.7659918415866
2021-05-03,2703.395744230668
2021-05-04,2709.2500551821186
2021-05-05,2697.303421617053
2021-05-06,2695.1246557360273
2021-05-07,2687.1756629931906
2021-05-10,2678.4382193431306
2021-05-11,2630.2789300960003
2021-05-12,2620.7427204281457
2021-05-13,2564.5312872417503
2021-05-14,2584.644943984303
2021-05-17,2580.223252544336
2021-05-18,2617.4114765079617
2021-05-19,2612.7236617480485
2021-05-20,2614.3186416053
2021-05-21,2619.9129122250956
2021-05-24,2606.8807538874016
2021-05-25,2648.6505349997738
2021-05-26,2669.4491693052546
2021-05-27,2675.7992875281343
2021-05-28,2689.794741191041
2021-05-31,2707.2222586605762
2021-06-01,2734.6744763788083
2021-06-02,2726.8300412453277
2021-06-03,2729.369583159198
2021-06-04,2714.605574174348
2021-06-07,2704.9349092203206
2021-06-08,2699.7427026546316
2021-06-09,2689.1174356601728
2021-06-10,2705.492241447553
2021-06-11,2729.753142846011
2021-06-14,2725.529514381421
2021-06-15,2718.234557015335
2021-06-16,2699.568872391098
2021-06-17,2737.5961261480443
2021-06-18,2761.22387765413
2021-06-21,2714.4709105671554
2021-06-22,2711.303955848129
2021-06-23,2731.77733736653
2021-06-24,2748.324575276862
2021-06-25,2773.7237442045102
2021-06-28,2786.0247920777297
2021-06-29,2782.6917213540733
2021-06-30,2796.561475487139
2021-07-01,2780.926203423456
2021-07-02,2752.7483499065834
2021-07-05,2749.4038288172637
2021-07-06,2752.0699760882358
2021-07-07,2743.0942450413354
2021-07-08,2676.624815377133
2021-07-09,2673.49345701677
2021-07-12,2693.623605361393
2021-07-13,2736.0025639249106
2021-07-14,2725.7905754504354
2021-07-15,2756.411567347136
2021-07-16,2741.0314479949193
2021-07-19,2700.3609527992617
2021-07-20,2691.667321059528
2021-07-21,2686.250822207303
2021-07-22,2718.006527214981
2021-07-23,2686.3891908193077
2021-07-26,2595.0201600389505
2021-07-27,2521.090498881477
2021-07-28,2556.4349890561493
2021-07-29,2599.308812986406
2021-07-30,2574.3203555286946
2021-08-02,2600.5033649243505
2021-08-03,2603.2635020913594
2021-08-04,2631.6547265279096
2021-08-05,2618.0429342026946
2021-08-06,2625.141377405574
2021-08-09,2634.855410276682
2021-08-10,2649.449381461005
2021-08-11,2633.504400511226
2021-08-12,2619.511093565079
2021-08-13,2573.922021978869
2021-08-16,2554.598537172228
2021-08-17,2526.5838245294262
2021-08-18,2550.496694049797
2021-08-19,2491.7982379177947
2021-08-20,2465.43310325725
2021-08-23,2493.563588765594
2021-08-24,2558.337428456538
