Date,ACWI ex PERU IMI
2020-11-17,3640.896950216123
2020-11-18,3624.826855459141
2020-11-19,3637.7914445050687
2020-11-20,3631.303433816204
2020-11-23,3658.118209178294
2020-11-24,3693.4558103183217
2020-11-25,3683.9671904009397
2020-11-26,3688.82068715239
2020-11-27,3690.3930517162776
2020-11-30,3651.859261943872
2020-12-01,3670.1506318427755
2020-12-02,3663.6353994795436
2020-12-03,3654.6490833708303
2020-12-04,3689.578183368415
2020-12-07,3687.381355342417
2020-12-08,3702.5113503472658
2020-12-09,3697.115812824296
2020-12-10,3684.7671207360463
2020-12-11,3683.793067260026
2020-12-14,3674.485075013721
2020-12-15,3698.0356725445845
2020-12-16,3705.4052138456796
2020-12-17,3717.188669973575
2020-12-18,3708.1419119972925
2020-12-21,3685.422250817524
2020-12-22,3694.577071753229
2020-12-23,3706.159847797799
2020-12-24,3714.857360731616
2020-12-25,3715.9885573625634
2020-12-28,3723.9279325395923
2020-12-29,3726.3977359092178
2020-12-30,3723.707943370947
2020-12-31,3747.663822256561
2021-01-01,3747.922943717183
2021-01-04,3718.0326560070603
2021-01-05,3741.4677867833975
2021-01-06,3763.6350330779205
2021-01-07,3815.3473378327485
2021-01-08,3848.5695106550243
2021-01-11,3853.193085437054
2021-01-12,3861.6361211057038
2021-01-13,3869.6756030459646
2021-01-14,3883.7563560458702
2021-01-15,3861.60245887174
2021-01-18,3866.2396330302226
2021-01-19,3881.656421227619
2021-01-20,3930.0577034456333
2021-01-21,3920.5681839405356
2021-01-22,3898.702889601447
2021-01-25,3917.8110166963233
2021-01-26,3894.511211785262
2021-01-27,3840.7330935355762
2021-01-28,3841.3430701696734
2021-01-29,3767.750665854617
2021-02-01,3845.9589719770865
2021-02-02,3912.655292902768
2021-02-03,3931.196370737711
2021-02-04,3966.3193342142713
2021-02-05,3975.9611894228283
2021-02-08,4002.6801971918285
2021-02-09,3993.9192292087037
2021-02-10,3989.7247339376977
2021-02-11,3999.4791991673324
2021-02-12,4018.0393400805824
2021-02-15,4030.5530213518355
2021-02-16,4034.3618746970246
2021-02-17,4047.085134748408
2021-02-18,4007.000131054593
2021-02-19,4001.2804165467696
2021-02-22,3966.0887453442165
2021-02-23,3958.9138645009257
2021-02-24,3982.613179981709
2021-02-25,3900.2067786836706
2021-02-26,3871.4294432743177
2021-03-01,3979.672781308704
2021-03-02,3953.7304317066246
2021-03-03,3926.260421282477
2021-03-04,3880.698154580365
2021-03-05,3948.405252911139
2021-03-08,3949.068914888884
2021-03-09,3993.013373648084
2021-03-10,4010.6199478171447
2021-03-11,4043.3470576440877
2021-03-12,4051.6077348382396
2021-03-15,4075.1444724219673
2021-03-16,4085.6409876534635
2021-03-17,4084.578236614118
2021-03-18,4047.047313492684
2021-03-19,4042.8563786884906
2021-03-22,4048.0599175699854
2021-03-23,4029.217313683978
2021-03-24,4004.9987575858504
2021-03-25,4034.1856691777202
2021-03-26,4085.6449357828083
2021-03-29,4087.6635558676385
2021-03-30,4102.758066619479
2021-03-31,4102.05445110441
2021-04-01,4144.583052062082
2021-04-02,4147.811625121432
2021-04-05,4171.726470311723
2021-04-06,4165.679351634456
2021-04-07,4145.0205608660535
2021-04-08,4166.496637144266
2021-04-09,4181.261498565154
2021-04-12,4167.781860485894
2021-04-13,4174.59264143938
2021-04-14,4162.5200505224475
2021-04-15,4197.152528076654
2021-04-16,4211.928732236086
2021-04-19,4186.444307878393
2021-04-20,4138.496174888609
2021-04-21,4164.751430802346
2021-04-22,4159.633217099935
2021-04-23,4183.436051524838
2021-04-26,4190.70413794151
2021-04-27,4187.366268547537
2021-04-28,4186.097684265931
2021-04-29,4190.574789052087
2021-04-30,4178.8943661486
2021-05-03,4175.839149672619
2021-05-04,4155.728790506586
2021-05-05,4176.750702604782
2021-05-06,4183.260259227741
2021-05-07,4194.544505343223
2021-05-10,4164.811644475831
2021-05-11,4116.886299804675
2021-05-12,4073.2637094671304
2021-05-13,4085.728453862472
2021-05-14,4129.602625314367
2021-05-17,4122.356563080563
2021-05-18,4100.852629852007
2021-05-19,4076.837783782711
2021-05-20,4114.5188080211055
2021-05-21,4126.2395005085955
2021-05-24,4142.857523026401
2021-05-25,4138.599767136379
