Date,GOLDEN DRAGON IMI
2009-01-22,604.617935892214
2009-01-23,608.5112470505493
2009-01-26,592.6798166188394
2009-01-27,590.7593100971892
2009-01-28,588.4680761646131
2009-01-29,610.6070620595461
2009-01-30,630.7741708264946
2009-02-02,619.0950883126519
2009-02-03,615.4422022186129
2009-02-04,631.0414022942532
2009-02-05,635.9508625460616
2009-02-06,653.675944190244
2009-02-09,647.6401571428407
2009-02-10,651.6289398303011
2009-02-11,651.7437456755276
2009-02-12,643.3035880964409
2009-02-13,652.3230721000665
2009-02-16,655.186828354893
2009-02-17,643.5804153553593
2009-02-18,648.8808480221726
2009-02-19,644.2917997132371
2009-02-20,632.5594957364544
2009-02-23,643.4978813962693
2009-02-24,627.3370834080314
2009-02-25,638.8481626857465
2009-02-26,628.5390372280046
2009-02-27,629.5473723871811
2009-03-02,610.2491476313605
2009-03-03,612.7118483229324
2009-03-04,632.378026713622
2009-03-05,633.6743818766369
2009-03-06,622.5575748429222
2009-03-09,615.8373683605508
2009-03-10,620.0361067347437
2009-03-11,630.8577278796005
2009-03-12,629.53176932591
2009-03-13,645.9973862322004
2009-03-16,658.4246384634055
2009-03-17,657.7818409526694
2009-03-18,657.0668479840434
2009-03-19,633.1180184102433
2009-03-20,628.6167702747554
2009-03-23,658.2906029955602
2009-03-24,674.1875045744027
2009-03-25,670.0880846990917
2009-03-26,687.0121122794152
2009-03-27,701.8090236130965
2009-03-30,678.1432839231159
2009-03-31,677.7758712397446
2009-04-01,686.454071009224
2009-04-02,710.6198726865287
2009-04-03,715.3692553234757
2009-04-06,729.3876327762994
2009-04-07,730.9773395746214
2009-04-08,713.1772526681233
2009-04-09,737.5049400079131
2009-04-10,741.8115565826446
2009-04-13,739.6571192886113
2009-04-14,765.0936461500086
2009-04-15,774.3496309053432
2009-04-16,775.0325797161772
2009-04-17,772.9811427856105
2009-04-20,788.7883637304213
2009-04-21,778.782002416997
2009-04-22,763.3609775374954
2009-04-23,773.1799746870046
2009-04-24,764.9325901145511
2009-04-27,747.1729166826171
2009-04-28,734.9672474011006
2009-04-29,742.0288969329459
2009-04-30,779.8236579170157
2009-05-01,779.7125926843296
2009-05-04,820.1041867791641
2009-05-05,823.2718749580757
2009-05-06,845.3667770827317
2009-05-07,844.1602048265465
2009-05-08,847.21789895881
2009-05-11,832.0125384637098
2009-05-12,819.8251788030632
2009-05-13,830.1115739719274
2009-05-14,811.2292850914752
2009-05-15,825.350700169179
2009-05-18,845.3460294215084
2009-05-19,856.108404345391
2009-05-20,847.2350920913984
2009-05-21,844.4456570118004
2009-05-22,827.52521360392
2009-05-25,832.7315471411555
2009-05-26,829.0793625968837
2009-05-27,866.8126748570428
2009-05-28,866.0428269039797
2009-05-29,864.2227087105599
2009-06-01,893.4609703865434
2009-06-02,870.8227559687283
2009-06-03,884.8904382933334
2009-06-04,874.4377198716309
2009-06-05,893.5556310995445
2009-06-08,884.2078066920884
2009-06-09,856.3754744490789
2009-06-10,880.4454612857182
2009-06-11,880.1837751239892
2009-06-12,878.580571125141
2009-06-15,865.0027685262103
2009-06-16,848.3135836942237
2009-06-17,847.9413731647988
2009-06-18,832.0993799310021
2009-06-19,842.3788508478469
2009-06-22,854.6881858618982
2009-06-23,824.4576485148377
2009-06-24,843.5725318207515
2009-06-25,866.1348879898036
2009-06-26,869.8930534912826
2009-06-29,865.9945992607028
2009-06-30,862.7481507455577
2009-07-01,863.0226428081548
2009-07-02,870.7160992811162
2009-07-03,873.3263448792354
2009-07-06,872.4064925996688
2009-07-07,865.2217101989929
2009-07-08,863.1862290836029
2009-07-09,865.5202376147155
2009-07-10,866.5492139655126
2009-07-13,841.5537322930612
2009-07-14,865.7274324746174
2009-07-15,876.6317221990057
2009-07-16,879.2196224015865
2009-07-17,895.4383802298761
2009-07-20,914.5552119773273
2009-07-21,914.5814376604799
2009-07-22,911.1311171955688
2009-07-23,924.6196711199967
2009-07-24,933.2833899642396
2009-07-27,946.9542907249707
2009-07-28,968.6286209715337
2009-07-29,953.301905339868
2009-07-30,952.0283838595075
2009-07-31,958.0698846534876
2009-08-03,953.7791765850279
2009-08-04,945.3245956486347
2009-08-05,930.82751796063
2009-08-06,939.9401308163806
2009-08-07,931.8542996702337
