Date,AC ASIA IMI
2021-04-08,2196.893608739642
2021-04-09,2187.6410802593477
2021-04-12,2172.1208749136895
2021-04-13,2174.981416892254
2021-04-14,2176.585674181948
2021-04-15,2183.433057604422
2021-04-16,2190.817423333742
2021-04-19,2189.4413610341758
2021-04-20,2172.2534381328587
2021-04-21,2147.4072423447415
2021-04-22,2168.857765288788
2021-04-23,2172.3114854131104
2021-04-26,2176.1741512501985
2021-04-27,2170.998542989078
2021-04-28,2169.6627454450027
2021-04-29,2167.331221912886
2021-04-30,2157.956567747996
2021-05-03,2141.2991836691363
2021-05-04,2144.127912104184
2021-05-05,2142.108560387842
2021-05-06,2151.3906283760884
2021-05-07,2147.8113732222646
2021-05-10,2150.401487389609
2021-05-11,2111.6636519069602
2021-05-12,2094.9165226111363
2021-05-13,2056.258280741047
2021-05-14,2075.251871317477
2021-05-17,2074.5250564518956
2021-05-18,2101.5065094143956
2021-05-19,2096.40482246109
2021-05-20,2095.116074715473
2021-05-21,2104.8921324956227
2021-05-24,2101.639251550017
2021-05-25,2120.6930456329974
2021-05-26,2132.751532348562
2021-05-27,2128.9193266305097
2021-05-28,2149.833107958772
2021-05-31,2150.111486489752
2021-06-01,2161.2942020296477
2021-06-02,2166.238375235514
2021-06-03,2177.1260423394956
2021-06-04,2173.249142610495
2021-06-07,2171.2557985790595
2021-06-08,2169.268831485109
2021-06-09,2159.564573182702
2021-06-10,2169.503444628846
2021-06-11,2183.8617596712866
2021-06-14,2181.4702693184504
2021-06-15,2184.2513166094027
2021-06-16,2176.0507865490176
2021-06-17,2197.23434431269
2021-06-18,2208.333557537429
2021-06-21,2164.547167828709
2021-06-22,2184.363133241871
2021-06-23,2184.3107797205707
2021-06-24,2193.1690687206956
2021-06-25,2210.008975001582
2021-06-28,2219.6703510887683
2021-06-29,2214.8142056264087
2021-06-30,2218.7284651489895
2021-07-01,2204.5121771560375
2021-07-02,2202.600009538574
2021-07-05,2201.719700015049
2021-07-06,2209.241804332774
2021-07-07,2200.98203125052
2021-07-08,2166.648973665049
2021-07-09,2157.107733744164
2021-07-12,2181.8560433424345
2021-07-13,2210.563759595354
2021-07-14,2206.686683577309
2021-07-15,2211.791386722389
2021-07-16,2202.258953311095
2021-07-19,2177.394259055271
2021-07-20,2164.839167723568
2021-07-21,2163.673273372603
2021-07-22,2181.7190192784756
2021-07-23,2167.477903467713
2021-07-26,2133.3086219757456
2021-07-27,2106.5823672091256
2021-07-28,2114.894885032216
2021-07-29,2134.8964222677455
2021-07-30,2114.0240712148643
2021-08-02,2144.7572526488098
2021-08-03,2148.934129433389
2021-08-04,2154.8325981525627
2021-08-05,2152.1945442277934
2021-08-06,2156.811876281435
2021-08-09,2162.035071077974
2021-08-10,2170.1802482226713
2021-08-11,2169.1157084051465
2021-08-12,2166.005333456257
2021-08-13,2146.0506308680774
2021-08-16,2130.548696147208
2021-08-17,2117.808442976847
2021-08-18,2130.567838196327
2021-08-19,2097.140122348747
2021-08-20,2076.03191216791
2021-08-23,2098.2477631912097
2021-08-24,2134.7384870132523
2021-08-25,2140.155906076137
2021-08-26,2131.8339160877426
2021-08-27,2128.3142361903
2021-08-30,2149.5922710481095
2021-08-31,2175.724959211309
2021-09-01,2178.91292451903
2021-09-02,2179.516340404623
2021-09-03,2196.572100481927
2021-09-06,2218.560576871264
2021-09-07,2229.393370873099
2021-09-08,2230.4933982734233
2021-09-09,2212.525272747408
2021-09-10,2232.2359353828087
2021-09-13,2226.719522049359
2021-09-14,2230.396564941861
2021-09-15,2215.0711268828654
2021-09-16,2208.2938789403665
2021-09-17,2220.3503237686496
2021-09-20,2204.0935514138064
2021-09-21,2196.3599273671266
2021-09-22,2179.370606071942
2021-09-23,2184.041616104111
2021-09-24,2198.7755421544725
2021-09-27,2198.2816791959476
2021-09-28,2192.502464722378
2021-09-29,2176.5949973162487
2021-09-30,2182.973323150963
2021-10-01,2157.152148302479
2021-10-04,2137.9578627658066
2021-10-05,2126.4299014870144
2021-10-06,2124.140247421977
2021-10-07,2148.570703034218
2021-10-08,2153.808363771921
2021-10-11,2167.0489143570517
2021-10-12,2149.434907857048
2021-10-13,2150.943078577742
2021-10-14,2158.050636284164
2021-10-15,2184.8864631192882
2021-10-18,2183.931657069644
2021-10-19,2194.3889862617307
2021-10-20,2199.1657727117295
2021-10-21,2186.285733979288
2021-10-22,2190.1286379948087
2021-10-25,2194.3444719430713
2021-10-26,2203.51779443086
2021-10-27,2193.1742633043423
2021-10-28,2168.4658099362036
2021-10-29,2175.132676957368
2021-11-01,2187.679065606841
2021-11-02,2186.459989516528
2021-11-03,2180.9459203153947
2021-11-04,2206.380049463942
