Date,FINLAND IMI GROWTH
1999-12-17,1770.537488687893
1999-12-20,1888.2476567992903
1999-12-21,1845.7208526394224
1999-12-22,1844.5098870467
1999-12-23,1888.6466072514838
1999-12-24,1888.6466072514838
1999-12-27,1906.4030444061082
1999-12-28,1923.1185737905562
1999-12-29,1941.6335511436546
1999-12-30,2022.4697171507148
1999-12-31,2022.4697171507148
2000-01-03,2129.831244270246
2000-01-04,1944.8592039910734
2000-01-05,1760.391446006972
2000-01-06,1760.391446006972
2000-01-07,1842.584908774349
2000-01-10,1884.327368722848
2000-01-11,1864.2469488176066
2000-01-12,1852.9165567907855
2000-01-13,1930.2777887124203
2000-01-14,2020.0057372061992
2000-01-17,2055.6403044875565
2000-01-18,1998.3671122925243
2000-01-19,1971.874536608309
2000-01-20,2000.6387665500854
2000-01-21,1992.3146681513847
2000-01-24,2047.3641290420378
2000-01-25,2020.8871729899417
2000-01-26,2037.5891496973125
2000-01-27,2040.8483272872263
2000-01-28,2133.727032670553
2000-01-31,2083.4298750479024
2000-02-01,2102.9962711774924
2000-02-02,2177.068437858856
2000-02-03,2175.824856006277
2000-02-04,2272.663448660886
2000-02-07,2261.8913616488862
2000-02-08,2304.406516086776
2000-02-09,2336.7387870828816
2000-02-10,2302.937519706493
2000-02-11,2276.0059412009614
2000-02-14,2193.085526636054
2000-02-15,2169.8794091043305
2000-02-16,2160.9682281097685
2000-02-17,2186.437381323196
2000-02-18,2260.9564880508447
2000-02-21,2214.5791058796367
2000-02-22,2222.942250977667
2000-02-23,2242.293478432428
2000-02-24,2319.82226134742
2000-02-25,2382.4142050914274
2000-02-28,2318.0443190447545
2000-02-29,2339.7240497780563
2000-03-01,2329.0252710412146
2000-03-02,2423.301692997987
2000-03-03,2563.999099243432
2000-03-06,2664.8123467342866
2000-03-07,2615.7870312697046
2000-03-08,2502.6848841586193
2000-03-09,2487.5512747857138
2000-03-10,2579.0757073066893
2000-03-13,2469.149334964236
2000-03-14,2548.718990395015
2000-03-15,2360.7922730722325
2000-03-16,2248.34028709497
2000-03-17,2323.2459474897864
2000-03-20,2407.09567963797
2000-03-21,2331.681039578618
2000-03-22,2427.297483433649
2000-03-23,2462.967534920667
2000-03-24,2558.283704534374
2000-03-27,2569.436154658554
2000-03-28,2596.8204890971647
2000-03-29,2600.8817099487283
2000-03-30,2342.3304769773463
2000-03-31,2407.065086654446
2000-04-03,2300.5913047660024
2000-04-04,2240.2910829346615
2000-04-05,2182.0619101999923
2000-04-06,2372.5978729848957
2000-04-07,2457.5183813991275
2000-04-10,2424.5858399949584
2000-04-11,2222.896092006779
2000-04-12,2238.7082489760955
2000-04-13,2156.39195294057
2000-04-14,2041.3753010153575
2000-04-17,2035.4844972907326
2000-04-18,2149.7488870440475
2000-04-19,2274.1743134137228
2000-04-20,2300.577312178327
2000-04-21,2300.577312178327
2000-04-24,2300.5773216020502
2000-04-25,2213.3926110865505
2000-04-26,2325.2960566440893
2000-04-27,2459.7556896233473
2000-04-28,2603.451520295949
2000-05-01,2603.4515137068092
2000-05-02,2695.224629437152
2000-05-03,2593.3035647292522
2000-05-04,2587.377550430705
2000-05-05,2574.596429092771
2000-05-08,2537.827845968405
2000-05-09,2491.1459727656884
2000-05-10,2269.4434936255193
2000-05-11,2363.732927166683
2000-05-12,2501.357982753357
2000-05-15,2388.062690137939
2000-05-16,2551.1530367396435
2000-05-17,2487.8094964442653
2000-05-18,2502.868664991112
2000-05-19,2282.4160887779394
2000-05-22,2045.4718753445093
2000-05-23,2102.969466058057
2000-05-24,2025.7506347307014
2000-05-25,2203.3122024191707
2000-05-26,2120.0836080567365
2000-05-29,2211.5525300654804
2000-05-30,2244.614054526005
2000-05-31,2304.6382819711644
2000-06-01,2304.6382852209877
2000-06-02,2576.4846078731816
2000-06-05,2502.4410234907295
2000-06-06,2433.92788633684
2000-06-07,2398.944855872731
2000-06-08,2483.449738533991
2000-06-09,2489.573578975102
2000-06-12,2523.722339095073
2000-06-13,2468.847165147657
2000-06-14,2544.7814937680473
2000-06-15,2480.4865462643443
2000-06-16,2497.1607794622523
2000-06-19,2494.8976998516146
2000-06-20,2624.8031235098324
2000-06-21,2573.1739612866722
2000-06-22,2484.924746240582
2000-06-23,2484.9247513757095
2000-06-26,2400.9282477007378
2000-06-27,2319.3089957136012
2000-06-28,2274.4131011385625
2000-06-29,2045.0366405238092
2000-06-30,2201.28640707627
2000-07-03,2262.8095882433377
2000-07-04,2320.4392031548928
2000-07-05,2233.784401033157
2000-07-06,2196.1779602965253
2000-07-07,2292.2743941347007
2000-07-10,2350.520827968396
2000-07-11,2283.9704028596416
2000-07-12,2314.0538803973745
2000-07-13,2409.572126335502
2000-07-14,2425.2520596817712
2000-07-17,2493.4738379794135
2000-07-18,2455.0935072220377
2000-07-19,2395.5881268990797
2000-07-20,2397.2614614159274
2000-07-21,2369.3263300079298
2000-07-24,2375.2389232547225
2000-07-25,2315.584809605944
2000-07-26,2327.7115108823696
2000-07-27,1898.2741133210177
2000-07-28,1952.9699820175929
2000-07-31,1979.2867402572106
2000-08-01,1958.9923748943302
2000-08-02,1882.2247954904637
2000-08-03,1765.3265976339837
2000-08-04,1866.2127297980933
2000-08-07,1768.088727432172
2000-08-08,1805.7887089811618
2000-08-09,1843.4795101579334
2000-08-10,1868.803635959659
2000-08-11,1865.749729413319
2000-08-14,1913.9558585937923
2000-08-15,1870.3859549027006
2000-08-16,1847.9349784964202
2000-08-17,1835.759294903589
2000-08-18,1896.3753699831339
2000-08-21,1886.509513153912
2000-08-22,1936.372347435901
2000-08-23,1877.59319232707
2000-08-24,1877.307900974383
2000-08-25,1883.9645603791707
2000-08-28,1890.5533048637421
2000-08-29,1877.162799328459
2000-08-30,1910.9254534612699
2000-08-31,2004.9592907824542
2000-09-01,2122.5268836104383
2000-09-04,2222.830436031772
2000-09-05,2102.260223750342
2000-09-06,2026.0348207261472
2000-09-07,2072.337571021599
2000-09-08,2000.8917845070237
2000-09-11,2024.5357147293835
2000-09-12,2025.158967915503
2000-09-13,2015.8164675577539
2000-09-14,2084.720361448456
2000-09-15,2071.5947949017395
2000-09-18,2074.5407905408047
2000-09-19,2023.2857584386645
2000-09-20,2033.0631639081003
2000-09-21,1933.2972508956257
2000-09-22,1883.3580046568372
2000-09-25,1962.5255249700103
2000-09-26,1893.8900146940766
2000-09-27,1872.6774380248442
2000-09-28,1807.1283577518022
2000-09-29,1831.5367487471015
2000-10-02,1829.3474922858748
2000-10-03,1889.4692099648644
2000-10-04,1840.6489408594794
2000-10-05,1838.7772151873448
2000-10-06,1763.3054520267983
2000-10-09,1653.6846285562417
2000-10-10,1601.5389043500102
2000-10-11,1493.3972241896422
2000-10-12,1491.3108945774222
2000-10-13,1491.9173858929844
2000-10-16,1542.2068587520178
2000-10-17,1507.2447844492767
2000-10-18,1424.9270717432519
2000-10-19,1701.4667106872937
2000-10-20,1743.2503397950293
2000-10-23,1783.7596253162433
2000-10-24,1895.2494091964722
2000-10-25,1860.6781373008434
2000-10-26,1793.0059365509344
2000-10-27,1814.260851313624
2000-10-30,1846.5048100367399
2000-10-31,1888.3709291070786
2000-11-01,1930.4679015487127
2000-11-02,1948.965951342987
2000-11-03,1958.6852890613407
2000-11-06,1939.7057059038598
2000-11-07,1869.3663691179004
2000-11-08,1868.434774867242
2000-11-09,1847.8914868134136
2000-11-10,1746.6225407846148
2000-11-13,1645.5058854699382
2000-11-14,1795.5796768668151
2000-11-15,1869.221634344586
2000-11-16,1834.1758469863069
2000-11-17,1840.652288038522
2000-11-20,1785.2869985821994
2000-11-21,1828.065905587427
2000-11-22,1786.4153238937558
2000-11-23,1806.711304083795
2000-11-24,1921.4669914408241
2000-11-27,1935.1870680385205
2000-11-28,1897.7407110105983
2000-11-29,1901.6206908732602
2000-11-30,1840.9738952257146
2000-12-01,1927.3668438937254
2000-12-04,1877.6876776975835
2000-12-05,2042.270268669875
2000-12-06,2042.2702686698744
2000-12-07,2128.696412742268
2000-12-08,2132.448936097326
2000-12-11,2197.9855175321586
2000-12-12,2172.8162037524985
2000-12-13,2113.4714669833133
2000-12-14,2079.7962210332335
2000-12-15,1969.1192980025385
2000-12-18,1956.6568217615152
2000-12-19,1994.157246090778
2000-12-20,1833.5951208478973
2000-12-21,1748.4920399734247
2000-12-22,1776.9825057562655
2000-12-25,1776.9825057562655
2000-12-26,1776.9825057562655
2000-12-27,1784.379327590959
2000-12-28,1809.304853447212
2000-12-29,1810.3999817503545
2001-01-01,1810.3999817503545
2001-01-02,1745.7992336720638
2001-01-03,1603.8351014960667
2001-01-04,1779.740143911359
2001-01-05,1787.2361727901782
2001-01-08,1729.2988627117165
2001-01-09,1590.9636233611286
2001-01-10,1572.5553635580802
2001-01-11,1665.3793679920554
2001-01-12,1706.322374540572
2001-01-15,1705.6540343408928
2001-01-16,1614.7208226638254
2001-01-17,1692.0816781195524
2001-01-18,1685.9692220519512
2001-01-19,1676.6542067584114
2001-01-22,1637.6231593996913
2001-01-23,1607.3466846744573
2001-01-24,1625.3674814337685
2001-01-25,1581.7265211777117
2001-01-26,1562.9719855050248
2001-01-29,1542.9407441821263
2001-01-30,1459.0072184643982
2001-01-31,1488.1827040401386
2001-02-01,1419.2915795642416
2001-02-02,1397.3774261605051
2001-02-05,1364.535650343987
2001-02-06,1414.2515769788442
2001-02-07,1329.8763361089232
2001-02-08,1309.5028474774533
2001-02-09,1194.2443039150805
2001-02-12,1237.6500997444205
2001-02-13,1227.18937931847
2001-02-14,1137.4952344723822
2001-02-15,1246.5451669107165
2001-02-16,1155.7717515299105
2001-02-19,1123.6655121416452
2001-02-20,1125.6126701931519
