Date,BELGIUM IMI GROWTH
2020-02-12,2297.7626817966634
2020-02-13,2293.3686537487606
2020-02-14,2291.982886042357
2020-02-17,2288.1415504883066
2020-02-18,2287.170512078985
2020-02-19,2297.094969844285
2020-02-20,2290.6425543491164
2020-02-21,2267.597539704843
2020-02-24,2180.1153262413345
2020-02-25,2128.8832586294748
2020-02-26,2125.7142610695373
2020-02-27,1962.181005526647
2020-02-28,1844.2196588925365
2020-03-02,1887.2482646345516
2020-03-03,1908.6807282828922
2020-03-04,1917.181681523928
2020-03-05,1887.9874203999684
2020-03-06,1821.0218858319427
2020-03-09,1676.825843162759
2020-03-10,1669.1213862703194
2020-03-11,1679.558210713166
2020-03-12,1454.9461631742256
2020-03-13,1486.5748045473936
2020-03-16,1378.336184423071
2020-03-17,1351.1619865239904
2020-03-18,1325.986211357922
2020-03-19,1392.911992861429
2020-03-20,1514.2341245276248
2020-03-23,1460.9877790535215
2020-03-24,1533.2516690063849
2020-03-25,1570.5953202091746
2020-03-26,1618.7566993437747
2020-03-27,1538.7601948007602
2020-03-30,1549.9072517648208
2020-03-31,1606.0060299304585
2020-04-01,1581.5428362407308
2020-04-02,1591.9435165060986
2020-04-03,1590.58522011858
2020-04-06,1654.078506374604
2020-04-07,1685.8225790800109
2020-04-08,1694.7903920273975
2020-04-09,1704.4191039623668
2020-04-10,1704.419103962367
2020-04-13,1704.4191039623663
2020-04-14,1713.279547082103
2020-04-15,1656.3917831750352
2020-04-16,1668.5920038253607
2020-04-17,1699.5696301996275
2020-04-20,1702.0955595542387
2020-04-21,1630.3057084358027
2020-04-22,1642.2445545605485
2020-04-23,1675.3363337169737
2020-04-24,1647.4145778478567
2020-04-27,1699.7757930184707
2020-04-28,1742.692867860442
2020-04-29,1778.420350351072
2020-04-30,1728.8494191150705
2020-05-01,1728.8494191150705
2020-05-04,1639.8114032352923
2020-05-05,1660.4788764403067
2020-05-06,1662.8738033627988
2020-05-07,1685.5147382981613
2020-05-08,1689.146160657343
2020-05-11,1697.2546971802142
2020-05-12,1693.5255732484527
2020-05-13,1646.7367790780895
2020-05-14,1602.7820249479237
2020-05-15,1630.0888045103177
2020-05-18,1684.2901768836225
2020-05-19,1650.7195744155183
2020-05-20,1655.8858538718077
2020-05-21,1627.085715373863
2020-05-22,1642.3643391642518
2020-05-25,1672.596781221654
2020-05-26,1732.903859138422
2020-05-27,1765.5996604926418
2020-05-28,1810.273368193939
2020-05-29,1782.0284690092524
2020-06-01,1784.4385932238345
2020-06-02,1800.0852989840105
2020-06-03,1812.6814710935007
2020-06-04,1819.1285546521965
2020-06-05,1815.0736996250796
2020-06-08,1800.597713809005
2020-06-09,1801.4752685323297
2020-06-10,1800.1740098056332
2020-06-11,1752.5988671153168
2020-06-12,1751.9945925327959
2020-06-15,1820.1392329814444
2020-06-16,1865.0415967552788
2020-06-17,1870.333380073198
2020-06-18,1850.4742168193898
2020-06-19,1838.986511721838
2020-06-22,1859.5493247985041
2020-06-23,1871.1318729804755
2020-06-24,1819.2423184057116
2020-06-25,1839.542392536417
2020-06-26,1820.1989892995384
2020-06-29,1807.066026589656
2020-06-30,1818.2775659875904
2020-07-01,1831.5169895219776
2020-07-02,1853.1108998960553
2020-07-03,1852.2205715709538
2020-07-06,1879.4036895015406
2020-07-07,1887.030872176317
2020-07-08,1872.7505196357645
2020-07-09,1879.7372892498756
2020-07-10,1868.6740349829972
2020-07-13,1900.029374634227
2020-07-14,1877.9877280928445
2020-07-15,1889.0562932174241
2020-07-16,1887.2124984889924
2020-07-17,1905.3831049833104
2020-07-20,1927.3893122514537
2020-07-21,1921.3832710492593
2020-07-22,1902.8825886993322
2020-07-23,1903.782214193296
2020-07-24,1861.3089913731606
2020-07-27,1862.1110377876155
2020-07-28,1870.8105680572608
