Date,KUKJE (ACWI ex KOREA) VALUE
2012-02-10,1641.0437702076208
2012-02-13,1654.035569316126
2012-02-14,1644.8838020875924
2012-02-15,1648.4067157225827
2012-02-16,1654.371012651427
2012-02-17,1668.631359231884
2012-02-20,1679.0738841819245
2012-02-21,1676.694282614975
2012-02-22,1667.130147687723
2012-02-23,1671.4817007780778
2012-02-24,1680.740297214515
2012-02-27,1676.9091676051864
2012-02-28,1683.833719686626
2012-02-29,1680.6762865385394
2012-03-01,1687.428159732443
2012-03-02,1681.920005212112
2012-03-05,1673.2356831664163
2012-03-06,1636.6888395057906
2012-03-07,1641.4873729085487
2012-03-08,1664.6383353417793
2012-03-09,1666.905503200801
2012-03-12,1663.7497607496323
2012-03-13,1691.3857119143872
2012-03-14,1688.2833059063853
2012-03-15,1698.2919236513487
2012-03-16,1705.360668487242
2012-03-19,1709.0663113596434
2012-03-20,1697.5402659297963
2012-03-21,1690.6281037213562
2012-03-22,1679.0107304776307
2012-03-23,1684.387880987232
2012-03-26,1701.2474340166182
2012-03-27,1700.3557318102294
2012-03-28,1687.9047121197773
2012-03-29,1676.0918883916427
2012-03-30,1685.8520178370409
2012-04-02,1698.2392839289646
2012-04-03,1688.0027088620272
2012-04-04,1657.7845592067652
2012-04-05,1652.8815382671758
2012-04-06,1651.5766352703872
2012-04-09,1638.937792321097
2012-04-10,1612.748935413723
2012-04-11,1621.4359502479278
2012-04-12,1642.0615736319178
2012-04-13,1623.059843
2012-04-16,1623.718808815285
2012-04-17,1646.4086831638342
2012-04-18,1640.9542892615782
2012-04-19,1633.7026477951963
2012-04-20,1640.0263260791392
2012-04-23,1619.234295918141
2012-04-24,1633.3557910914349
2012-04-25,1644.6779770481282
2012-04-26,1653.950157398597
2012-04-27,1659.7277475280512
2012-04-30,1656.4016515854007
2012-05-01,1661.5021064809043
2012-05-02,1652.3669192261864
2012-05-03,1643.2287917187307
2012-05-04,1622.2088275971053
2012-05-07,1618.1210052865993
2012-05-08,1606.1880020038973
