Date,BULGARIA
2017-01-10,147.14350548632277
2017-01-11,144.5012491100334
2017-01-12,144.57033193237825
2017-01-13,144.0155411159459
2017-01-16,143.97185189857132
2017-01-17,146.09801310332801
2017-01-18,146.09806292894675
2017-01-19,145.02803042379966
2017-01-20,145.25649143065291
2017-01-23,146.20228083335803
2017-01-24,145.093323757389
2017-01-25,145.23609778341017
2017-01-26,145.8643348173451
2017-01-27,144.43620390776755
2017-01-30,143.77874601125322
2017-01-31,143.98780682696437
2017-02-01,140.05879446271297
2017-02-02,142.52797827251226
2017-02-03,143.85601907081846
2017-02-06,144.60333560983602
2017-02-07,144.98879151163268
2017-02-08,143.3951924910842
2017-02-09,142.02660876239645
2017-02-10,141.17529270792988
2017-02-13,140.10393451500383
2017-02-14,138.92105811809785
2017-02-15,137.79023202205786
2017-02-16,139.87878253137904
2017-02-17,139.54383731246057
2017-02-20,141.81318660030092
2017-02-21,142.7337424227286
2017-02-22,142.85756243209735
2017-02-23,142.6225735574779
2017-02-24,140.27841515795708
2017-02-27,142.90180624109334
2017-02-28,141.61714473667396
2017-03-01,140.37420341088395
2017-03-02,138.6772196984964
2017-03-03,139.14897459690107
2017-03-06,140.11548192468052
2017-03-07,142.90029167728602
2017-03-08,143.93581160789154
2017-03-09,143.94191352086267
2017-03-10,145.96828095214659
2017-03-13,143.4303498755067
2017-03-14,143.65866149970356
2017-03-15,144.4222640360621
2017-03-16,146.81996158931537
2017-03-17,149.89096245591344
2017-03-20,150.05556873804613
2017-03-21,151.7687812874122
2017-03-22,150.73614814133674
2017-03-23,150.17190046005922
2017-03-24,151.19288238024214
2017-03-27,150.00506730738985
2017-03-28,149.01363347163135
2017-03-29,144.00277296737184
2017-03-30,141.57090330804664
2017-03-31,140.2515470204303
2017-04-03,139.52034314845113
2017-04-04,142.72841497715226
2017-04-05,144.31279277394836
2017-04-06,145.28650519698692
2017-04-07,148.17388003066645
2017-04-10,144.87431231379412
2017-04-11,146.57019179029143
2017-04-12,145.04800475518095
2017-04-13,147.22033928486943
2017-04-14,147.22033928486945
2017-04-17,147.0047254332955
2017-04-18,144.5305676250859
2017-04-19,145.77416600798176
2017-04-20,145.00667605114356
2017-04-21,146.6750382259399
2017-04-24,148.04808610545612
2017-04-25,147.3688790239559
2017-04-26,146.98909157073206
2017-04-27,147.16979048533648
2017-04-28,150.6729111840539
2017-05-01,150.7862432712494
2017-05-02,149.26632010555772
2017-05-03,150.81249461936275
2017-05-04,150.66147653378852
2017-05-05,150.57918508452144
2017-05-08,149.8090774641965
2017-05-09,150.86884223929462
2017-05-10,153.1142011213783
2017-05-11,151.19499597629044
2017-05-12,150.89520413078796
2017-05-15,152.29322580859082
2017-05-16,154.8357557108262
2017-05-17,156.33194966683243
2017-05-18,156.49712562426137
2017-05-19,156.1938758074323
2017-05-22,156.48473035763325
2017-05-23,158.16562052417828
2017-05-24,157.52803825835664
2017-05-25,158.9557174056249
2017-05-26,158.87447287409907
2017-05-29,158.65035634728048
2017-05-30,160.40479459243866
2017-05-31,160.5810120890271
2017-06-01,162.1359376383405
2017-06-02,167.85274119512255
2017-06-05,167.82321174878084
2017-06-06,169.5952376477053
2017-06-07,172.40464648366853
2017-06-08,171.26176461249239
2017-06-09,169.62021953358393
2017-06-12,172.71993514578122
2017-06-13,172.83544609938997
2017-06-14,173.43924245064622
2017-06-15,172.34343887407653
2017-06-16,172.21944630006888
2017-06-19,175.72669787551956
2017-06-20,175.2976527274959
2017-06-21,174.1695179677802
2017-06-22,173.75067457651062
2017-06-23,175.35267227621276
2017-06-26,177.24256822170852
2017-06-27,179.85302577110102
2017-06-28,183.7367994269626
2017-06-29,183.01912908941222
2017-06-30,183.1505799453008
