Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
1999-07-29,1205.550541709875
1999-07-30,1204.4260480531664
1999-08-02,1201.0399655008562
1999-08-03,1215.0755273115954
1999-08-04,1212.6908990630097
1999-08-05,1205.7114574317302
1999-08-06,1204.142583225783
1999-08-09,1191.3955540743575
1999-08-10,1169.875732850239
1999-08-11,1154.2713513192607
1999-08-12,1167.0916758257692
1999-08-13,1166.951334283162
1999-08-16,1190.5800604037986
1999-08-17,1174.7569633925048
1999-08-18,1193.763577547928
1999-08-19,1201.0742092985558
1999-08-20,1204.2859398066835
1999-08-23,1212.541298985032
1999-08-24,1215.047313921392
1999-08-25,1198.415764309581
1999-08-26,1205.5054389990885
1999-08-27,1195.5645275044533
1999-08-30,1200.6499148762728
1999-08-31,1188.8581089097231
1999-09-01,1198.8838667405394
1999-09-02,1197.0584153572106
1999-09-03,1181.4103103284247
1999-09-06,1196.1302160689713
1999-09-07,1199.3825391935995
1999-09-08,1198.8967470380685
1999-09-09,1242.6393751473088
1999-09-10,1233.2554963562798
1999-09-13,1233.4416419608779
1999-09-14,1231.2263998140995
1999-09-15,1193.8554285887528
1999-09-16,1182.3686406067222
1999-09-17,1193.3667887718282
1999-09-20,1182.362647284798
1999-09-21,1185.3569047788103
1999-09-22,1180.4505034234282
1999-09-23,1193.851705081563
1999-09-24,1181.5352014947896
1999-09-27,1174.2188499008716
1999-09-28,1177.9389376385861
1999-09-29,1173.259755197528
1999-09-30,1157.7911393681354
1999-10-01,1171.814994140131
1999-10-04,1178.2451666290765
1999-10-05,1186.030431403606
1999-10-06,1179.8974732915717
1999-10-07,1186.5785797525796
1999-10-08,1184.5648558866878
1999-10-11,1177.7756754739298
1999-10-12,1171.6403340266554
1999-10-13,1166.2576672547236
1999-10-14,1164.804274040037
1999-10-15,1144.0136106444609
1999-10-18,1123.4646537273964
1999-10-19,1117.3873820433414
1999-10-20,1140.1355712282502
1999-10-21,1140.3476599325302
1999-10-22,1159.430667651988
1999-10-25,1171.3258002603234
1999-10-26,1156.3280693438437
1999-10-27,1149.9972995603005
1999-10-28,1156.059116765412
1999-10-29,1172.1202331436282
1999-11-01,1179.0876819546656
1999-11-02,1180.4643749453837
1999-11-03,1185.5441917445712
1999-11-04,1186.8506813201866
1999-11-05,1173.0188484272771
1999-11-08,1176.572252783809
1999-11-09,1192.818330161738
1999-11-10,1210.63559162762
1999-11-11,1223.6165754985213
1999-11-12,1234.709726795541
1999-11-15,1228.0946926773127
1999-11-16,1213.8580924317046
1999-11-17,1224.9883851875793
1999-11-18,1229.36066844631
1999-11-19,1244.3408231023636
1999-11-22,1257.009236922274
1999-11-23,1259.4186492630884
1999-11-24,1253.6224209611776
1999-11-25,1244.4317063064564
1999-11-26,1255.3904550841974
1999-11-29,1257.3086629944453
1999-11-30,1237.8425303081642
1999-12-01,1246.0144213947813
1999-12-02,1253.8090225567526
1999-12-03,1256.8504518007082
1999-12-06,1258.6253088417584
1999-12-07,1257.5553779605848
1999-12-08,1261.9873292045422
1999-12-09,1270.9239169299244
1999-12-10,1260.198029277526
1999-12-13,1263.5189685322855
1999-12-14,1264.3568586409833
1999-12-15,1257.2453167204212
1999-12-16,1267.0352268627958
1999-12-17,1280.9174563044844
1999-12-20,1284.3073756446695
1999-12-21,1278.0343954185944
1999-12-22,1282.414273353869
1999-12-23,1275.0833479032292
1999-12-24,1285.9175292100974
1999-12-27,1285.4054478136807
1999-12-28,1287.1480016108821
1999-12-29,1290.1147959431007
1999-12-30,1300.9456494400713
1999-12-31,1300.9456494400713
2000-01-03,1303.3153636917248
2000-01-04,1284.855359689148
2000-01-05,1250.4536168132288
2000-01-06,1226.2467012473094
2000-01-07,1252.2359422933184
2000-01-10,1266.3626079066162
2000-01-11,1249.9610004593485
2000-01-12,1237.196461091178
2000-01-13,1241.2777256421969
2000-01-14,1253.8535184349796
2000-01-17,1262.9828523651736
2000-01-18,1268.4152754060856
2000-01-19,1248.1390373826257
2000-01-20,1251.3428653433355
2000-01-21,1232.876680486912
2000-01-24,1226.931023535575
2000-01-25,1214.2686637108725
2000-01-26,1215.499859686075
2000-01-27,1218.232040317212
2000-01-28,1198.140439745112
2000-01-31,1182.2642926278488
2000-02-01,1175.3970467608503
2000-02-02,1181.261166273116
2000-02-03,1175.430136078249
2000-02-04,1168.6357145300178
2000-02-07,1178.2714893341308
2000-02-08,1159.8994420560157
2000-02-09,1161.8103682812393
2000-02-10,1151.1164435844753
2000-02-11,1141.2762957593625
2000-02-14,1122.7836204179414
2000-02-15,1125.679393363036
2000-02-16,1147.2710173217663
2000-02-17,1139.600790096104
2000-02-18,1119.5620744182493
2000-02-21,1113.2739694972418
2000-02-22,1107.7291563362576
2000-02-23,1110.2128585531989
2000-02-24,1103.399473017995
2000-02-25,1117.8473404618971
2000-02-28,1100.043422972309
2000-02-29,1109.705842825728
2000-03-01,1111.7229720047771
2000-03-02,1112.007416741192
2000-03-03,1100.0328701877515
2000-03-06,1083.192062725179
2000-03-07,1095.1682690316038
2000-03-08,1101.4980096714098
2000-03-09,1097.5932941404399
2000-03-10,1105.1930034239217
2000-03-13,1103.0113278007495
2000-03-14,1095.3904787588006
2000-03-15,1099.0153799347504
2000-03-16,1112.9353024760383
2000-03-17,1123.4041972449659
2000-03-20,1108.666907138047
2000-03-21,1112.047392757816
2000-03-22,1121.7512263207818
2000-03-23,1118.6488648207483
2000-03-24,1131.6398183685067
2000-03-27,1131.975826084016
2000-03-28,1134.5425548645878
2000-03-29,1129.9961298588303
2000-03-30,1124.6750862886017
2000-03-31,1113.1498936821292
2000-04-03,1129.7148699150628
2000-04-04,1142.6280825521922
2000-04-05,1162.494451793814
2000-04-06,1161.32038613013
2000-04-07,1147.4154104457089
2000-04-10,1151.9934638672316
2000-04-11,1151.2043749873676
2000-04-12,1162.1405348050369
2000-04-13,1154.2426889673804
2000-04-14,1154.5064592218787
2000-04-17,1116.6902226409757
2000-04-18,1140.3740694891064
2000-04-19,1155.157464000085
2000-04-20,1152.0946166690003
2000-04-21,1152.0946166690003
2000-04-24,1153.3099280877962
2000-04-25,1158.0177328632874
2000-04-26,1152.9465485348114
2000-04-27,1144.431421214455
2000-04-28,1139.7405413576698
2000-05-01,1125.2358244205398
2000-05-02,1141.7267307086609
2000-05-03,1147.6799725914457
2000-05-04,1145.541484799171
2000-05-05,1168.8593037638252
2000-05-08,1159.5727343069548
2000-05-09,1149.3493687420419
2000-05-10,1137.6923966465938
2000-05-11,1132.516725411024
2000-05-12,1150.2513451436353
2000-05-15,1138.25893753849
2000-05-16,1153.6037118125737
2000-05-17,1126.5306426459342
2000-05-18,1113.2745909439918
2000-05-19,1124.8138562038566
2000-05-22,1127.772911510086
2000-05-23,1142.5624572040203
2000-05-24,1131.9952885788935
2000-05-25,1129.7012007730543
2000-05-26,1125.1569441975048
2000-05-29,1136.8767912202302
2000-05-30,1137.9039239904416
2000-05-31,1132.9567778770145
2000-06-01,1140.9534458143362
2000-06-02,1158.4152468721713
2000-06-05,1169.8245240273147
