Date,EM EMEA HIGH DIVIDEND YIELD
2000-08-02,1595.292652634485
2000-08-03,1584.423799374854
2000-08-04,1589.2632815940274
2000-08-07,1591.3834391420717
2000-08-08,1591.9278081306686
2000-08-09,1589.5645623469168
2000-08-10,1625.3579502633386
2000-08-11,1633.0895495043505
2000-08-14,1655.5430668033512
2000-08-15,1653.80666359905
2000-08-16,1668.0057792854539
2000-08-17,1661.715235967195
2000-08-18,1656.0874104830616
2000-08-21,1667.8432777712019
2000-08-22,1680.4258240083454
2000-08-23,1681.2517959238678
2000-08-24,1682.4668014548179
2000-08-25,1679.7792373477555
2000-08-28,1681.9696011890376
2000-08-29,1691.53686805237
2000-08-30,1685.2640861262614
2000-08-31,1700.0189209710663
2000-09-01,1713.5212397933185
2000-09-04,1735.1462108325404
2000-09-05,1711.01611992829
2000-09-06,1698.3451230723254
2000-09-07,1681.6383264247474
2000-09-08,1689.6093095738524
2000-09-11,1670.1294596473567
2000-09-12,1645.7324740852976
2000-09-13,1659.728633350615
2000-09-14,1662.6172539793072
2000-09-15,1646.7108020439878
2000-09-18,1617.1965034935974
2000-09-19,1591.2330052786972
2000-09-20,1575.3488546177828
2000-09-21,1548.5934995547454
2000-09-22,1561.423659744866
2000-09-25,1568.9876814856855
2000-09-26,1586.8003454058166
2000-09-27,1599.6023444769894
2000-09-28,1609.0722090986023
2000-09-29,1626.1831900551654
2000-10-02,1635.9715758591392
2000-10-03,1622.7450622262127
2000-10-04,1609.3713812933806
2000-10-05,1590.0004303395483
2000-10-06,1589.4451883413215
2000-10-09,1582.8335451022447
2000-10-10,1560.5438951614854
2000-10-11,1543.8153718922426
2000-10-12,1504.6553651858858
2000-10-13,1498.2109678354707
2000-10-16,1513.0358523332754
2000-10-17,1504.0597995125288
2000-10-18,1448.9537002513428
2000-10-19,1482.7669423895097
2000-10-20,1498.1797872311363
2000-10-23,1493.4735002070458
2000-10-24,1479.393562015824
2000-10-25,1452.5601469069818
2000-10-26,1449.5632104860751
2000-10-27,1457.0192003439884
2000-10-30,1463.3956399241586
2000-10-31,1488.6995402412956
2000-11-01,1528.777545668884
