Date,BRIC IMI GROWTH
2018-10-30,1384.4372687174339
2018-10-31,1436.2561350126289
2018-11-01,1475.4350323921408
2018-11-02,1514.8511054821158
2018-11-05,1490.0663067218118
2018-11-06,1487.8090830467381
2018-11-07,1492.838425321726
2018-11-08,1478.1525125771805
2018-11-09,1457.7731889761758
2018-11-12,1450.2110522733253
2018-11-13,1461.3751857440138
2018-11-14,1469.0131343009007
2018-11-15,1501.2914939190566
2018-11-16,1498.284160022191
2018-11-19,1483.6461078856823
2018-11-20,1460.2757552640244
2018-11-21,1483.7758991635026
2018-11-22,1486.5004609394618
2018-11-23,1480.2301364031791
2018-11-26,1496.2918416048685
2018-11-27,1514.928201255354
2018-11-28,1542.9792782383768
2018-11-29,1528.478910996057
2018-11-30,1547.0163892728651
2018-12-03,1573.390790858795
2018-12-04,1559.9029185070256
2018-12-05,1547.1002400245627
2018-12-06,1501.1367534882543
2018-12-07,1501.7905021542126
2018-12-10,1474.907768398512
2018-12-11,1492.400685523973
2018-12-12,1509.477059712931
2018-12-13,1520.3391617398925
2018-12-14,1503.712748085245
2018-12-17,1482.9973057402672
2018-12-18,1468.2191722850844
2018-12-19,1453.739282619315
2018-12-20,1446.4811962855567
2018-12-21,1443.457682776405
2018-12-24,1432.5546024529883
2018-12-25,1431.5863591013642
2018-12-26,1445.565348967048
2018-12-27,1444.8112278338779
2018-12-28,1459.7719480341264
2018-12-31,1461.885411848504
2019-01-01,1462.1253199102136
2019-01-02,1467.6154921350567
2019-01-03,1444.232709895069
2019-01-04,1478.6528417504487
2019-01-07,1488.9941992713989
2019-01-08,1494.1467153691417
2019-01-09,1517.7819758870298
2019-01-10,1522.5153698184954
2019-01-11,1525.3491609116913
2019-01-14,1507.6476746165615
2019-01-15,1533.2368458645565
2019-01-16,1549.3173934091822
2019-01-17,1551.8773162146433
2019-01-18,1573.4245430388032
2019-01-21,1572.7636064540525
2019-01-22,1548.2387886977056
2019-01-23,1547.6467263406362
2019-01-24,1564.9214485399502
2019-01-25,1579.3723862121606
2019-01-28,1566.3288961124579
2019-01-29,1571.1192236510153
2019-01-30,1592.9582838626757
2019-01-31,1609.9239456508974
2019-02-01,1616.1273606089574
2019-02-04,1620.3170888726481
2019-02-05,1636.495553657144
2019-02-06,1630.66185118087
2019-02-07,1622.1598807563107
2019-02-08,1623.0546031224899
2019-02-11,1633.29098648371
2019-02-12,1642.900879538338
2019-02-13,1642.5875980127994
2019-02-14,1636.5641040664304
2019-02-15,1620.3322975206843
2019-02-18,1616.2642976852994
2019-02-19,1619.4920676326478
2019-02-20,1630.3173239055209
2019-02-21,1632.2312036560809
2019-02-22,1655.3337881422287
2019-02-25,1669.3996653844367
2019-02-26,1663.4411206639077
2019-02-27,1656.3340754241792
2019-02-28,1643.5212383270994
2019-03-01,1645.8780069255172
2019-03-04,1673.9255339940823
2019-03-05,1698.323849103243
2019-03-06,1696.5643851780803
2019-03-07,1676.035477345745
2019-03-08,1658.1704780362784
2019-03-11,1696.890297400541
2019-03-12,1702.5649376780184
2019-03-13,1694.6868675510625
2019-03-14,1689.125772112201
2019-03-15,1701.3101149028707
2019-03-18,1725.3251080783034
2019-03-19,1726.2772137028594
2019-03-20,1716.6543844144078
2019-03-21,1705.9850030024402
2019-03-22,1691.3215891967084
2019-03-25,1675.757731373363
2019-03-26,1686.5144107317267
2019-03-27,1677.3652801505532
2019-03-28,1689.9831784389212
2019-03-29,1722.600354216462
2019-04-01,1738.1280369289634
2019-04-02,1745.271024331741
2019-04-03,1750.6781728861567
2019-04-04,1754.3992814398503
2019-04-05,1767.680871332833
2019-04-08,1769.0439175948318
2019-04-09,1778.638766723455
2019-04-10,1784.0599801484746
2019-04-11,1767.785350690534
2019-04-12,1768.2537001285825
2019-04-15,1750.7610284034859
2019-04-16,1766.340984185643
2019-04-17,1767.5600381035347
2019-04-18,1774.7681498583013
2019-04-19,1774.817604719065
2019-04-22,1767.2741095116548
2019-04-23,1782.3826026352647
2019-04-24,1777.0612850163573
2019-04-25,1776.0890193634625
2019-04-26,1778.4881041545084
2019-04-29,1784.6170498709146
2019-04-30,1776.109714932249
2019-05-01,1775.8245971720326
2019-05-02,1784.8078492451502
2019-05-03,1794.1380014956353
2019-05-06,1746.4055348044465
2019-05-07,1729.4731766028237
2019-05-08,1724.2818333371429
2019-05-09,1694.6530644653963
2019-05-10,1698.2188613317817
2019-05-13,1662.0275485816778
2019-05-14,1667.3256400696885
2019-05-15,1676.9650933436635
2019-05-16,1671.5048830677742
2019-05-17,1636.5871469894396
2019-05-20,1613.9884931368938
2019-05-21,1628.2188919739076
2019-05-22,1625.2459142544697
2019-05-23,1591.6749142320016
2019-05-24,1587.2652605993703
2019-05-27,1596.599144631974
2019-05-28,1607.900737023036
2019-05-29,1604.1120351736022
2019-05-30,1611.956390369447
2019-05-31,1611.7962085029726
2019-06-03,1618.4776381767313
2019-06-04,1616.4589247079437
2019-06-05,1605.8945672249924
2019-06-06,1600.004997431794
2019-06-07,1604.0826341001452
2019-06-10,1635.7458475134388
2019-06-11,1657.5301520716412
2019-06-12,1639.0114811981587
2019-06-13,1648.2758942527053
2019-06-14,1636.0767829842507
2019-06-17,1631.4437564333828
2019-06-18,1667.3017187211362
2019-06-19,1680.530317505563
2019-06-20,1697.6356286610624
2019-06-21,1691.770243820564
2019-06-24,1685.332861695536
2019-06-25,1665.7713943599108
2019-06-26,1679.41678046487
2019-06-27,1693.9130891196053
2019-06-28,1690.2882517473504
2019-07-01,1717.4711664057518
2019-07-02,1734.4635587530292
2019-07-03,1735.7826735694075
2019-07-04,1747.7776890517418
2019-07-05,1747.4902927181238
2019-07-08,1717.5686341499402
2019-07-09,1718.2694112137074
2019-07-10,1719.792238317358
2019-07-11,1719.911646038259
2019-07-12,1713.984366484446
2019-07-15,1727.8362232688037
2019-07-16,1737.725030562057
2019-07-17,1737.9297907259281
2019-07-18,1726.0847078540621
2019-07-19,1726.7785713400613
2019-07-22,1721.1022722614434
2019-07-23,1743.8417151046028
2019-07-24,1754.6731525044302
2019-07-25,1752.7963385827125
2019-07-26,1756.2312948586623
2019-07-29,1753.3879672465978
2019-07-30,1744.260121114633
2019-07-31,1735.8810520760471
2019-08-01,1722.7488618789853
2019-08-02,1678.0500719523409
2019-08-05,1606.305670990939
2019-08-06,1618.0948601205037
2019-08-07,1617.7443617321865
2019-08-08,1648.4213207339246
2019-08-09,1636.5310781593846
2019-08-12,1625.3320891703145
2019-08-13,1632.2705888187788
2019-08-14,1625.1975155303462
2019-08-15,1629.1084639131518
2019-08-16,1652.166418621683
2019-08-19,1677.3087132961696
2019-08-20,1675.9680156976801
2019-08-21,1677.546423691011
2019-08-22,1660.0910353901897
2019-08-23,1640.224254059921
2019-08-26,1629.0748668979086
2019-08-27,1640.015259218629
2019-08-28,1641.2543556288545
2019-08-29,1661.8684965290695
2019-08-30,1688.4039305064678
2019-09-02,1698.1492448616364
2019-09-03,1674.4101248819654
2019-09-04,1692.003472500071
2019-09-05,1711.1733737835295
2019-09-06,1715.501716175499
2019-09-09,1714.0897947428773
2019-09-10,1705.3226574541952
2019-09-11,1728.7964126134218
2019-09-12,1736.110005526817
2019-09-13,1733.631635980766
2019-09-16,1737.609526568741
2019-09-17,1721.6771600178974
2019-09-18,1726.9101844251381
2019-09-19,1717.7610273850069
2019-09-20,1740.1873793659809
2019-09-23,1735.5277073292189
2019-09-24,1718.6494297313402
2019-09-25,1723.6861354188707
2019-09-26,1735.172498727672
2019-09-27,1706.8418460450648
2019-09-30,1711.4138140263558
2019-10-01,1697.2539112036159
2019-10-02,1682.3129605953643
2019-10-03,1693.8565437194486
2019-10-04,1699.5310426602355
2019-10-07,1685.5419756780414
2019-10-08,1674.9583095916041
2019-10-09,1678.1868554853154
2019-10-10,1681.6755469986726
2019-10-11,1708.16549512077
2019-10-14,1712.3623041068506
2019-10-15,1723.5096237730281
2019-10-16,1732.3314804851177
2019-10-17,1730.0010178855396
2019-10-18,1712.023924969289
2019-10-21,1719.6093719227595
2019-10-22,1723.6968707546741
2019-10-23,1719.667605061926
2019-10-24,1736.505914337082
2019-10-25,1742.312159065988
2019-10-28,1764.398398063746
2019-10-29,1757.4742860747738
2019-10-30,1759.3358631072424
2019-10-31,1756.1981681211182
2019-11-01,1765.920701855812
2019-11-04,1790.707418939669
2019-11-05,1808.7218609377007
2019-11-06,1805.774426868576
2019-11-07,1825.6131166765579
2019-11-08,1808.068923612727
2019-11-11,1793.8931045183572
2019-11-12,1798.2782140096483
2019-11-13,1777.8723315851253
2019-11-14,1772.0501371702412
2019-11-15,1769.6605855527057
2019-11-18,1768.2691682335644
2019-11-19,1777.5503040765159
2019-11-20,1769.2154580332358
2019-11-21,1765.9886833488465
2019-11-22,1785.3493540336008
2019-11-25,1803.9527459919857
2019-11-26,1800.916634392114
2019-11-27,1819.9711057689365
2019-11-28,1823.8091119141886
2019-11-29,1802.8744318533231
2019-12-02,1791.0511078734526
2019-12-03,1785.222670514848
2019-12-04,1784.1360063025957
2019-12-05,1803.2790561141912
2019-12-06,1825.8167538658197
2019-12-09,1814.6329798869385
2019-12-10,1810.0167384336928
2019-12-11,1830.3173147561838
2019-12-12,1842.1035439241537
2019-12-13,1859.7947877628499
2019-12-16,1866.4041610290637
2019-12-17,1885.7268637060147
2019-12-18,1904.7127549492886
2019-12-19,1904.896726597664
2019-12-20,1913.0669118177489
2019-12-23,1924.5549244228691
2019-12-24,1920.7388226379037
2019-12-25,1921.0465460371147
2019-12-26,1929.271399983318
2019-12-27,1925.8061533811156
2019-12-30,1915.65306918097
2019-12-31,1901.4102149226112
2020-01-01,1901.6553664998455
2020-01-02,1947.7966390835918
2020-01-03,1942.809206682109
2020-01-06,1922.6441122728797
2020-01-07,1944.3183173958128
2020-01-08,1950.5240386635437
2020-01-09,1986.7950964471775
2020-01-10,1996.49946530996
2020-01-13,2021.4395584676572
2020-01-14,2010.6416374411087
2020-01-15,2000.6374031558712
2020-01-16,2008.4513887063313
2020-01-17,2030.9708171608106
2020-01-20,2031.149398236351
2020-01-21,1989.1145579727565
2020-01-22,2007.9335223357743
2020-01-23,1992.9318854124326
2020-01-24,1984.866354760643
2020-01-27,1949.3277285322781
2020-01-28,1973.5440311394902
2020-01-29,1967.5677954747066
2020-01-30,1924.1782097438615
2020-01-31,1899.4036549769446
2020-02-03,1922.813980933921
2020-02-04,1979.204713886693
2020-02-05,1984.5340333432002
2020-02-06,2000.575440243018
2020-02-07,1985.396283805953
2020-02-10,1987.0757258292026
2020-02-11,2014.2902507537215
2020-02-12,2045.520479551882
2020-02-13,2048.997318836947
2020-02-14,2043.783318337159
2020-02-17,2056.271975982766
2020-02-18,2039.501056652964
2020-02-19,2064.265583621854
2020-02-20,2045.2966532333726
2020-02-21,2015.0511335883557
2020-02-24,1972.091468418833
2020-02-25,1977.6658451105513
2020-02-26,1958.4069909072427
2020-02-27,1910.4662833902416
2020-02-28,1872.6713675452165
2020-03-02,1875.13882033118
2020-03-03,1873.1674505504304
2020-03-04,1891.0059559387746
2020-03-05,1882.6712166847083
2020-03-06,1812.1006472841516
2020-03-09,1696.2808079385413
2020-03-10,1746.87061993914
2020-03-11,1720.0702826031531
2020-03-12,1615.8046709548842
2020-03-13,1672.32916269541
2020-03-16,1524.80729157347
2020-03-17,1567.121164262462
2020-03-18,1504.8443195295997
2020-03-19,1525.8375763967767
2020-03-20,1577.4056468020704
2020-03-23,1484.7810318793688
2020-03-24,1563.7978841105719
2020-03-25,1616.0850433099151
2020-03-26,1625.7939490058022
2020-03-27,1584.7446167795654
2020-03-30,1574.0251435158348
2020-03-31,1605.2359520294856
2020-04-01,1572.8271507841687
2020-04-02,1601.0767442758845
2020-04-03,1587.3520721910743
2020-04-06,1635.6156199118739
2020-04-07,1667.8676243769908
2020-04-08,1662.730075673794
2020-04-09,1679.987066030451
2020-04-10,1677.8339587331707
2020-04-13,1683.240561906098
2020-04-14,1695.6732196455148
2020-04-15,1702.4008678520338
2020-04-16,1733.0250566698758
2020-04-17,1738.5999701338187
2020-04-20,1745.0904401233663
2020-04-21,1707.8263750113463
2020-04-22,1744.8770489938663
2020-04-23,1738.472683900858
2020-04-24,1706.2263355029613
2020-04-27,1732.080623239248
2020-04-28,1745.0919384092317
2020-04-29,1771.131115826944
2020-04-30,1748.4491415930343
2020-05-01,1709.8155350081438
2020-05-04,1673.4292975177116
2020-05-05,1705.7459626141192
2020-05-06,1723.3784944458278
2020-05-07,1721.5512685272724
2020-05-08,1745.1646338691785
2020-05-11,1769.245814014309
2020-05-12,1749.5178303467922
2020-05-13,1757.4618525523497
2020-05-14,1762.1256951023795
