Date,EM FAR EAST IMI GROWTH
2013-03-29,1169.5915663794437
2013-04-01,1165.2958072548709
2013-04-02,1165.3031529488399
2013-04-03,1164.4445708657345
2013-04-04,1158.2201222650715
2013-04-05,1126.4632763519885
2013-04-08,1116.729617358327
2013-04-09,1120.9922549598325
2013-04-10,1126.6899495182558
2013-04-11,1135.8688768515694
2013-04-12,1131.3096389170826
2013-04-15,1123.980824010826
2013-04-16,1124.4693613088612
2013-04-17,1131.5907629911135
2013-04-18,1120.0397090375357
2013-04-19,1139.8519154987346
2013-04-22,1151.6792943844234
2013-04-23,1139.906236662482
2013-04-24,1154.0329733106848
2013-04-25,1160.6560555606006
2013-04-26,1159.0669497862007
2013-04-29,1155.3177606210763
2013-04-30,1162.5715850202928
2013-05-01,1162.2578690352311
2013-05-02,1171.634327698961
2013-05-03,1170.526076943929
2013-05-06,1186.1562186239587
2013-05-07,1188.2857706612008
2013-05-08,1192.505802320046
2013-05-09,1200.3975493615571
2013-05-10,1200.5492193294251
2013-05-13,1188.9043954708757
2013-05-14,1193.6479032636205
2013-05-15,1206.2280958768604
2013-05-16,1202.6608687913001
2013-05-17,1211.1674247704173
2013-05-20,1218.0850476196665
2013-05-21,1217.5608543334524
2013-05-22,1215.9481832871638
2013-05-23,1183.4617301946441
2013-05-24,1183.678174608505
2013-05-27,1187.6082907783561
2013-05-28,1201.4645317196157
2013-05-29,1190.3915473176187
2013-05-30,1180.2468332857861
2013-05-31,1184.2208796083464
2013-06-03,1164.8548375697137
2013-06-04,1165.2572464796874
2013-06-05,1157.9286090224439
2013-06-06,1139.2179427378162
2013-06-07,1123.7965641806295
2013-06-10,1125.7301029194418
2013-06-11,1097.4112599414452
2013-06-12,1092.8747229976395
2013-06-13,1073.4066795533224
2013-06-14,1084.9130709569888
2013-06-17,1087.8472930884093
2013-06-18,1085.4452809566826
2013-06-19,1078.6972225655084
2013-06-20,1063.0418607845056
2013-06-21,1053.187650809262
2013-06-24,1030.6064955455572
2013-06-25,1023.7252842845712
2013-06-26,1049.7818122441065
2013-06-27,1073.4519220635943
2013-06-28,1099.8918042045234
2013-07-01,1096.683172423312
2013-07-02,1092.357467308492
2013-07-03,1073.5817379874013
2013-07-04,1083.7734445654596
2013-07-05,1094.3640949461505
2013-07-08,1067.6116612702506
2013-07-09,1081.6092103238284
2013-07-10,1082.253257544952
2013-07-11,1104.7720199245762
2013-07-12,1105.5207519344422
2013-07-15,1109.6988099644352
2013-07-16,1104.3001293666366
2013-07-17,1112.43726614844
2013-07-18,1105.586106196559
2013-07-19,1089.993604918894
2013-07-22,1086.1059987703784
2013-07-23,1105.5114273876445
2013-07-24,1106.6599580070256
2013-07-25,1101.4412115209207
2013-07-26,1101.347693362089
2013-07-29,1089.3237709392768
2013-07-30,1095.533165031497
2013-07-31,1086.0510956650644
2013-08-01,1092.4836935149358
2013-08-02,1090.706294315489
2013-08-05,1100.076256295127
2013-08-06,1087.2550080765657
2013-08-07,1070.4010224125363
2013-08-08,1068.028784140107
2013-08-09,1074.9003063469565
2013-08-12,1086.7333294841471
2013-08-13,1110.5696942567877
2013-08-14,1108.822280339344
