Date,MSCI World IMI with USA Gross Index
2006-03-30,1262.8877274680162
2006-03-31,1260.6087722977095
2006-04-03,1266.4297773829062
2006-04-04,1258.067359768605
2006-04-05,1262.51297395515
2006-04-06,1269.1758709668638
2006-04-07,1269.6990167763854
2006-04-10,1271.1398530553588
2006-04-11,1259.2144623358488
2006-04-12,1258.070627276318
2006-04-13,1261.9750448295763
2006-04-14,1262.0170851517623
2006-04-17,1246.108325933189
2006-04-18,1260.4771818075249
2006-04-19,1264.6782648287992
2006-04-20,1267.1619620486024
2006-04-21,1269.496729410632
2006-04-24,1262.140683583079
2006-04-25,1257.5557559756833
2006-04-26,1258.2445434937054
2006-04-27,1252.337743096124
2006-04-28,1246.3452391124733
2006-05-01,1245.970044257102
2006-05-02,1252.8054593318195
2006-05-03,1249.7969253078631
2006-05-04,1248.5757181491995
2006-05-05,1257.9522934969423
2006-05-08,1262.869625309096
2006-05-09,1261.9281357205996
2006-05-10,1255.7910476598856
2006-05-11,1242.9402983240313
2006-05-12,1220.604183044531
2006-05-15,1215.9561094913756
2006-05-16,1211.248876511409
2006-05-17,1196.2014350088866
2006-05-18,1183.460576392073
2006-05-19,1190.722214085662
2006-05-22,1167.6436795148757
2006-05-23,1169.7737540006785
2006-05-24,1170.8954419763616
2006-05-25,1181.6645369575579
2006-05-26,1198.8597930612536
2006-05-29,1197.7986605930964
2006-05-30,1171.9950480079897
2006-05-31,1179.4928130466521
2006-06-01,1190.8404028675673
2006-06-02,1190.0638230379145
2006-06-05,1173.8358741155714
2006-06-06,1167.2186707598416
2006-06-07,1163.9109807221785
2006-06-08,1156.685734582943
2006-06-09,1162.9018958411143
2006-06-12,1155.0638498305884
2006-06-13,1133.4958886361585
2006-06-14,1134.8062942473036
2006-06-15,1159.4002924726014
2006-06-16,1158.6063034807012
2006-06-19,1158.0904082308386
2006-06-20,1156.841139704398
2006-06-21,1159.836368060669
2006-06-22,1165.8410165032499
2006-06-23,1169.5859544592165
2006-06-26,1170.2423337033927
2006-06-27,1159.8157306227024
2006-06-28,1165.235938882751
2006-06-29,1188.0855465767404
2006-06-30,1183.905011392144
2006-07-03,1189.7852982237343
2006-07-04,1192.706003385671
2006-07-05,1185.2319055282028
2006-07-06,1187.252906736723
2006-07-07,1179.3782299051989
2006-07-10,1187.460015521316
2006-07-11,1185.0731257109214
2006-07-12,1179.784468326268
2006-07-13,1164.5218179790395
2006-07-14,1156.4172379407532
2006-07-17,1158.7743788312298
2006-07-18,1156.3895462688247
2006-07-19,1171.848090356559
2006-07-20,1166.0508030054175
2006-07-21,1154.2410236306698
2006-07-24,1174.4513227262003
2006-07-25,1181.8766292095434
2006-07-26,1182.927460076589
2006-07-27,1179.8170599514026
2006-07-28,1190.0707518553788
2006-07-31,1190.2964640919663
2006-08-01,1184.3736023982735
2006-08-02,1189.1244126769616
2006-08-03,1188.4692544242578
2006-08-04,1186.2263578150232
2006-08-07,1179.311017919453
2006-08-08,1180.674415662157
2006-08-09,1178.6795394291514
2006-08-10,1185.2556090501623
2006-08-11,1182.6780935700187
2006-08-14,1188.7088558371267
2006-08-15,1199.129969769137
2006-08-16,1205.4117032684449
2006-08-17,1207.0901012638033
2006-08-18,1211.2564486146894
2006-08-21,1201.213130812259
2006-08-22,1211.0956971877097
2006-08-23,1207.5534695511265
2006-08-24,1207.3990202438433
2006-08-25,1209.1500559504273
2006-08-28,1209.8291864860958
2006-08-29,1216.4526924057443
2006-08-30,1214.2208959053598
2006-08-31,1217.7020139480885
2006-09-01,1222.9399528418974
2006-09-04,1224.0913086345558
2006-09-05,1228.2956030195348
2006-09-06,1216.3295865816012
2006-09-07,1210.2758159866653
2006-09-08,1217.5169414506302
2006-09-11,1208.8707437540957
2006-09-12,1219.9543138486658
2006-09-13,1225.3908792495288
