Date,ACFM AMERICA INDEX
2013-08-23,1932.9495418777815
2013-08-26,1929.866642814383
2013-08-27,1895.6754029851784
2013-08-28,1909.45613708372
2013-08-29,1931.0236097650725
2013-08-30,1930.3908759149333
2013-09-02,1931.2011106093742
2013-09-03,1942.5626201017512
2013-09-04,1952.8704097451296
2013-09-05,1968.8604670285863
2013-09-06,1966.3151803930512
2013-09-09,1972.7103871316144
2013-09-10,1984.6615528897025
2013-09-11,1984.9675329984145
2013-09-12,1976.6605650269935
2013-09-13,1988.9542127396865
2013-09-16,1986.5259466390808
2013-09-17,1996.1300772892641
2013-09-18,2019.6525401454574
2013-09-19,1990.417374027475
2013-09-20,1979.2295548198317
2013-09-23,1974.3338388172872
2013-09-24,1970.258324184298
2013-09-25,1963.04117410863
2013-09-26,1973.0719297494115
2013-09-27,1957.155584664132
2013-09-30,1946.6507651203005
2013-10-01,1964.6878951916497
2013-10-02,1953.8201642907204
2013-10-03,1931.74913423058
2013-10-04,1949.1969805036251
2013-10-07,1937.918655918571
2013-10-08,1910.6247019533537
2013-10-09,1921.8451415773793
2013-10-10,1962.173548330465
2013-10-11,1968.121972043348
2013-10-14,1972.9445688196465
2013-10-15,1972.841159805595
2013-10-16,2000.3783890078046
2013-10-17,1989.2576739156746
2013-10-18,1997.8706345562664
2013-10-21,2001.0856791596063
2013-10-22,1997.9078433324353
2013-10-23,1985.2049615391513
2013-10-24,1987.7676509491835
2013-10-25,1997.4130070429806
2013-10-28,2001.0462652096196
2013-10-29,2013.6345158955971
2013-10-30,2004.4167887686706
2013-10-31,2022.383736614886
2013-11-01,2041.9127840161495
2013-11-04,2046.5280225816027
2013-11-05,2044.522052743862
2013-11-06,2044.7481541785905
2013-11-07,2039.65907258011
2013-11-08,2067.114166603576
2013-11-11,2059.9616906773663
2013-11-12,2049.8647236556894
2013-11-13,2071.982447871678
2013-11-14,2074.3112957146295
2013-11-15,2081.7320526141993
2013-11-18,2067.8198155235236
2013-11-19,2062.2205643527586
2013-11-20,2064.6927097142766
2013-11-21,2078.5581623023504
2013-11-22,2078.5730678306845
2013-11-25,2077.500994435331
2013-11-26,2068.1092975619067
2013-11-27,2071.1436813115565
2013-11-28,2067.321123590436
2013-11-29,2064.334979605645
2013-12-02,2066.49038042481
2013-12-03,2053.71635313675
2013-12-04,2055.4672036183742
2013-12-05,2033.2504507968076
2013-12-06,2050.4008037997437
2013-12-09,2049.624830046735
2013-12-10,2037.1718996265215
2013-12-11,2010.048083476096
2013-12-12,2008.7775293514264
2013-12-13,2013.282931043111
2013-12-16,2023.0344410135071
2013-12-17,2020.6594634600817
2013-12-18,2046.458279048331
2013-12-19,2059.9403123092343
2013-12-20,2068.7939403865885
2013-12-23,2075.3512636810397
2013-12-24,2087.690294985234
2013-12-25,2087.690294985234
2013-12-26,2092.176830439686
2013-12-27,2079.334708835882
2013-12-30,2074.1171827616504
2013-12-31,2087.912246524772
2014-01-01,2087.912246524772
2014-01-02,2087.685238002969
2014-01-03,2093.421012749857
2014-01-06,2082.512701306236
2014-01-07,2100.1319415001203
2014-01-08,2100.3049535929476
2014-01-09,2100.875121149492
2014-01-10,2093.95925183153
2014-01-13,2072.8947902225964
2014-01-14,2087.3581711597617
2014-01-15,2112.4182277749896
2014-01-16,2108.754545576756
2014-01-17,2108.3825003175225
2014-01-20,2108.3609430136194
2014-01-21,2115.2441172754907
2014-01-22,2114.203042356106
2014-01-23,2076.2074651079593
2014-01-24,2033.1291486806972
2014-01-27,2024.129846940591
2014-01-28,2037.018201393675
2014-01-29,2020.386751591872
2014-01-30,2054.122846014996
2014-01-31,2054.3833681185024
2014-02-03,2004.8791153811767
2014-02-04,2020.190934267677
2014-02-05,2013.9321862616018
2014-02-06,2031.0590930356389
2014-02-07,2053.9042489958033
2014-02-10,2051.692874745174
2014-02-11,2069.435236018279
2014-02-12,2084.6226903278216
2014-02-13,2084.6341564619565
2014-02-14,2092.1843227425693
2014-02-17,2089.4393475725306
2014-02-18,2084.5908243311274
2014-02-19,2072.1344823411728
2014-02-20,2090.659769272505
2014-02-21,2082.101152532596
2014-02-24,2098.288928719951
2014-02-25,2093.1045412180165
2014-02-26,2102.9569263892295
2014-02-27,2111.234563122381
2014-02-28,2096.562089713524
2014-03-03,2088.0162853596166
2014-03-04,2122.0322541054334
2014-03-05,2122.7344896094155
2014-03-06,2112.901803742109
2014-03-07,2107.255640847805
2014-03-10,2102.0636920374477
2014-03-11,2094.3161548031608
2014-03-12,2089.6281155651113
2014-03-13,2063.9815031468834
2014-03-14,2058.6712142609226
2014-03-17,2076.8196354198835
2014-03-18,2095.104628895612
2014-03-19,2082.737347441099
2014-03-20,2112.9718572735255
2014-03-21,2108.5442472338314
2014-03-24,2098.312395307609
2014-03-25,2108.5254110797564
2014-03-26,2093.19431638217
2014-03-27,2100.611128798632
2014-03-28,2108.772260259638
2014-03-31,2121.63920159552
2014-04-01,2134.4642856678947
2014-04-02,2145.9272593717483
2014-04-03,2149.7175980881375
2014-04-04,2129.647055162754
2014-04-07,2100.903013830632
2014-04-08,2103.1559853590506
2014-04-09,2119.5658430056237
2014-04-10,2070.258993019417
2014-04-11,2050.98775320465
2014-04-14,2076.5632237699097
2014-04-15,2085.938513830381
2014-04-16,2110.129378758906
2014-04-17,2109.881886473878
2014-04-18,2109.881886473878
2014-04-21,2121.5901179904326
2014-04-22,2131.229969982904
2014-04-23,2120.704891395973
2014-04-24,2126.0718480868877
2014-04-25,2106.174887400454
2014-04-28,2110.400483266821
2014-04-29,2126.6037482548095
2014-04-30,2125.870082626501
2014-05-01,2126.3867613307175
2014-05-02,2126.7038402688827
2014-05-05,2128.188418457008
2014-05-06,2103.1346849366996
2014-05-07,2116.5989769355915
2014-05-08,2121.954152905001
2014-05-09,2140.6359102186593
2014-05-12,2162.022674880029
2014-05-13,2171.1442960625504
2014-05-14,2162.034309855164
2014-05-15,2142.0042035204738
2014-05-16,2150.683382255672
2014-05-19,2155.9198678221583
2014-05-20,2145.4341065772505
2014-05-21,2167.0398639176165
2014-05-22,2174.8913111347
2014-05-23,2187.3636280421756
2014-05-26,2184.7962674003197
2014-05-27,2200.319637908337
2014-05-28,2201.0667811958983
2014-05-29,2209.379555455367
2014-05-30,2205.9737388248786
2014-06-02,2214.1242435069817
2014-06-03,2212.354361619924
2014-06-04,2215.750532962328
2014-06-05,2230.0178814359565
2014-06-06,2238.494633456309
2014-06-09,2249.831663585633
2014-06-10,2257.603266661669
2014-06-11,2253.9078136677613
2014-06-12,2237.4700131038553
2014-06-13,2247.821995759034
2014-06-16,2243.081367742526
2014-06-17,2250.79701249718
2014-06-18,2263.064140869294
2014-06-19,2257.280119017981
2014-06-20,2270.723797808707
2014-06-23,2268.453941351555
2014-06-24,2253.0429240002245
2014-06-25,2256.5820918341756
2014-06-26,2262.5824778470446
2014-06-27,2259.5548677769534
2014-06-30,2252.0882186527097
2014-07-01,2267.7863912840003
2014-07-02,2273.3627838915268
2014-07-03,2292.6315810014344
2014-07-04,2296.9115470579927
2014-07-07,2286.0945240820697
2014-07-08,2268.49182461153
2014-07-09,2274.8711718580253
2014-07-10,2272.1978954863553
2014-07-11,2275.132885463008
2014-07-14,2282.0695870084137
2014-07-15,2286.020288572186
2014-07-16,2301.9576099500377
2014-07-17,2280.2752600656177
2014-07-18,2305.1382151086946
2014-07-21,2298.92709184743
2014-07-22,2319.9832101640936
2014-07-23,2324.789120833764
