Date,ACWI ex RUSSIA
2019-10-28,1734.585174031229
2019-10-29,1731.7938028621304
2019-10-30,1733.6029455122587
2019-10-31,1726.0984044193838
2019-11-01,1738.067212646782
2019-11-04,1749.6687378033723
2019-11-05,1762.2736538801464
2019-11-06,1763.3529134240084
2019-11-07,1772.9799683988538
2019-11-08,1776.8108405054581
2019-11-11,1770.7445929020844
2019-11-12,1777.613542452857
2019-11-13,1774.6591346219698
2019-11-14,1773.9747647183895
2019-11-15,1779.347126586339
2019-11-18,1777.5500204459984
2019-11-19,1778.1625867509194
2019-11-20,1772.5958873626785
2019-11-21,1766.4685247440123
2019-11-22,1776.5275391323596
2019-11-25,1792.7492668896327
2019-11-26,1794.2296512045202
2019-11-27,1803.3067990688073
2019-11-28,1801.1361051282104
2019-11-29,1789.4254779214043
2019-12-02,1771.1102317079988
2019-12-03,1759.7798126045257
2019-12-04,1767.482354030003
2019-12-05,1770.3289992725986
2019-12-06,1790.7594065745332
2019-12-09,1785.26875853476
2019-12-10,1779.8725677128023
2019-12-11,1785.8375144254746
2019-12-12,1792.997471366284
2019-12-13,1800.4170874294193
2019-12-16,1812.556229265599
2019-12-17,1812.346436583803
2019-12-18,1815.92084035814
2019-12-19,1822.1634393532145
2019-12-20,1833.9437516761045
2019-12-23,1834.8925734248674
2019-12-24,1834.8321678559807
2019-12-25,1834.4241790461
2019-12-26,1839.9102129170994
2019-12-27,1834.2547462010552
2019-12-30,1819.834440395439
2019-12-31,1819.215345432725
2020-01-01,1819.216456211393
2020-01-02,1837.7464185570086
2020-01-03,1834.0797917450143
2020-01-06,1828.7633154455652
2020-01-07,1835.988253587595
2020-01-08,1841.6818809232009
2020-01-09,1857.2133205658793
2020-01-10,1854.6622508782805
2020-01-13,1860.593257369242
2020-01-14,1863.015455237324
2020-01-15,1859.295543640078
2020-01-16,1871.164180464514
2020-01-17,1886.607925729301
2020-01-20,1888.1783904971783
2020-01-21,1877.84083277737
2020-01-22,1883.8104706961026
2020-01-23,1883.9867267662196
2020-01-24,1879.4453468761385
2020-01-27,1851.3543206814013
2020-01-28,1864.3857096644574
2020-01-29,1864.5778299515393
2020-01-30,1852.6575852215803
