Date,ACWI ex SPAIN
2019-05-29,2806.219164943696
2019-05-30,2815.648799545625
2019-05-31,2788.617695010098
2019-06-03,2776.1474252310954
2019-06-04,2806.405736810608
2019-06-05,2820.853789329473
2019-06-06,2825.4566970665323
2019-06-07,2840.144463940512
2019-06-10,2860.8748639648024
2019-06-11,2869.7143371287107
2019-06-12,2860.16634276207
2019-06-13,2874.7048766077264
2019-06-14,2877.758597362902
2019-06-17,2876.204505022825
2019-06-18,2915.067456751279
2019-06-19,2924.963313774879
2019-06-20,2936.770915297893
2019-06-21,2922.694829546606
2019-06-24,2905.2691152076577
2019-06-25,2887.676250136889
2019-06-26,2884.094030988758
2019-06-27,2898.7604926297527
2019-06-28,2907.853719581764
2019-07-01,2943.8008275024167
2019-07-02,2959.311011230692
2019-07-03,2979.361439275486
2019-07-04,2983.1548232169976
2019-07-05,2986.2920300424535
2019-07-08,2970.7215990789728
2019-07-09,2971.128225080245
2019-07-10,2970.5123718748687
2019-07-11,2977.106285478561
2019-07-12,2984.7621162203636
2019-07-15,2986.504858156674
2019-07-16,2990.086964229447
2019-07-17,2976.010951129329
2019-07-18,2977.7091651999426
2019-07-19,2974.410497560536
2019-07-22,2976.874790271218
2019-07-23,3011.0963101569514
2019-07-24,3022.857860168957
2019-07-25,3005.4939540434802
2019-07-26,3023.2463886442156
2019-07-29,3017.0638737926074
2019-07-30,3003.7646573398674
2019-07-31,2984.1082461801125
2019-08-01,2982.824006511696
2019-08-02,2936.3125598220295
2019-08-05,2840.7345404158077
2019-08-06,2854.9555302095473
2019-08-07,2853.310262144637
2019-08-08,2901.597734673086
2019-08-09,2886.851776878669
2019-08-12,2859.1845532924203
2019-08-13,2885.823247160548
2019-08-14,2836.6989016628127
2019-08-15,2843.6528485993745
2019-08-16,2878.178553416867
2019-08-19,2911.5735815759017
2019-08-20,2899.581201343358
2019-08-21,2918.8120239700506
2019-08-22,2915.2337966275204
2019-08-23,2862.1883989865833
2019-08-26,2869.5987654336755
2019-08-27,2873.665857898657
2019-08-28,2889.3070014572927
2019-08-29,2919.439041037824
2019-08-30,2945.7451323677765
2019-09-02,2955.40206844136
2019-09-03,2941.3528640961804
2019-09-04,2957.5020302313073
2019-09-05,2988.312591188016
2019-09-06,2994.7296539175395
