Date,MSCI ACWI ex USA ex China ex Hong Kong Index
2020-04-20,921.8017158361688
2020-04-21,895.8690701179995
2020-04-22,908.2942372263798
2020-04-23,917.1792044337456
2020-04-24,910.1478570958869
2020-04-27,927.079157583657
2020-04-28,938.6800781272581
2020-04-29,954.1850624083763
2020-04-30,942.6303016484771
2020-05-01,925.89897618521
2020-05-04,913.5516670435076
2020-05-05,929.6470706678065
2020-05-06,930.2635757894568
2020-05-07,934.2980931598499
2020-05-08,942.9465787238443
2020-05-11,944.802797005529
2020-05-12,941.49153597663
2020-05-13,931.5396776996371
2020-05-14,916.7563921214818
2020-05-15,919.9475630682562
2020-05-18,939.4200312051544
2020-05-19,940.7357645909971
2020-05-20,947.7307507143904
2020-05-21,945.0985303891094
2020-05-22,942.0659016198952
2020-05-25,954.4566903708624
2020-05-26,966.2345488196435
2020-05-27,971.28673617299
2020-05-28,980.4657010378914
2020-05-29,966.1339475562478
2020-06-01,978.7513397236868
2020-06-02,990.6816705639484
2020-06-03,1009.6680974221979
2020-06-04,1001.2100909047826
2020-06-05,1019.6707116188464
2020-06-08,1026.4613230699008
2020-06-09,1019.6980278267026
2020-06-10,1017.7876487880143
2020-06-11,983.9933606066305
2020-06-12,985.3461380380708
2020-06-15,971.1912071264327
2020-06-16,1001.2857590403387
2020-06-17,1006.6656948168875
2020-06-18,1002.5993419186485
2020-06-19,1007.9501469534949
2020-06-22,1001.3667955203823
2020-06-23,1008.9084215200023
2020-06-24,993.876756485795
2020-06-25,994.5282446516577
2020-06-26,993.4830465902521
2020-06-29,989.0903235667749
2020-06-30,993.0293244384267
2020-07-01,993.872679233837
2020-07-02,1009.5293094212775
2020-07-03,1008.055190953723
2020-07-06,1018.714352531721
2020-07-07,1014.5305622541078
2020-07-08,1007.9234218883463
2020-07-09,1006.9028550733682
2020-07-10,1007.6279786680528
2020-07-13,1015.5414988523773
2020-07-14,1008.8265991378322
2020-07-15,1024.2890354508595
2020-07-16,1017.5539091251133
2020-07-17,1019.8663333244916
2020-07-20,1023.7624786420027
2020-07-21,1030.4283346560003
2020-07-22,1019.6691271368571
2020-07-23,1018.7576647460721
2020-07-24,1008.8391123140287
2020-07-27,1007.238883356496
2020-07-28,1011.6293218097011
2020-07-29,1008.1129312894391
2020-07-30,994.5335672833907
2020-07-31,980.0986527710379
2020-08-03,992.6470724432634
2020-08-04,999.7982957931108
2020-08-05,1001.0764694982856
2020-08-06,1000.8030865553329
2020-08-07,1000.7682669560706
2020-08-10,1005.932605171415
2020-08-11,1018.3086315742526
2020-08-12,1024.410952466708
2020-08-13,1023.2254022572524
2020-08-14,1017.4535945456033
2020-08-17,1017.3150269829637
2020-08-18,1014.1126159251061
2020-08-19,1017.8812603160615
2020-08-20,1006.8266159116416
2020-08-21,1010.7186046932294
2020-08-24,1019.857235443089
2020-08-25,1020.1745543005167
2020-08-26,1027.1645396783917
2020-08-27,1023.1635695936217
2020-08-28,1017.8880505059997
2020-08-31,1007.7598393396352
2020-09-01,1008.2475646310289
2020-09-02,1022.4470180646503
2020-09-03,1015.9086880824594
2020-09-04,1005.5003048919166
2020-09-07,1011.7715998562032
2020-09-08,1008.2296377862411
2020-09-09,1013.6942221724634
2020-09-10,1010.8941540970085
2020-09-11,1014.4496363803818
2020-09-14,1019.1317006081836
2020-09-15,1024.120491855116
2020-09-16,1030.4439327465577
2020-09-17,1024.8141515484242
2020-09-18,1020.4980685293405
2020-09-21,1003.1762621959314
2020-09-22,1003.3441035762162
2020-09-23,1004.6091788686873
2020-09-24,994.3344446525184
2020-09-25,997.7882983763226
2020-09-28,1012.7380174373076
2020-09-29,1007.5610039340969
2020-09-30,1003.6314591431698
2020-10-01,1006.2701527254393
2020-10-02,1006.0400312374143
2020-10-05,1013.9520595803186
2020-10-06,1016.5207380451325
2020-10-07,1018.4441968095188
2020-10-08,1027.933748920165
2020-10-09,1029.2688750936504
2020-10-12,1034.3363847801902
2020-10-13,1034.8951813571268
2020-10-14,1033.3546313665533
2020-10-15,1020.716719166045
2020-10-16,1023.0891484997924
2020-10-19,1023.0074035337678
2020-10-20,1017.7479628060537
2020-10-21,1013.9420755444448
2020-10-22,1013.1234579569269
2020-10-23,1016.5487839408368
2020-10-26,1005.7532976358854
2020-10-27,999.7817527674168
2020-10-28,982.6946002560306
2020-10-29,982.4936920314933
2020-10-30,977.4157378735289
2020-11-02,990.827577171711
2020-11-03,1005.0175936633437
2020-11-04,1019.7283366966844
2020-11-05,1033.0216971078269
2020-11-06,1034.0095208040025
2020-11-09,1062.5458721632579
2020-11-10,1072.1364724329837
2020-11-11,1086.5740198745448
2020-11-12,1077.6287575777258
2020-11-13,1076.4323054827132
2020-11-16,1092.745601542119
2020-11-17,1092.3800322852846
2020-11-18,1096.2481687293555
2020-11-19,1092.081878498759
2020-11-20,1095.275565752619
2020-11-23,1097.9219556277403
2020-11-24,1108.4070852179832
2020-11-25,1108.4934914812238
2020-11-26,1111.1321312344387
2020-11-27,1112.1836124782274
2020-11-30,1096.5442320723332
2020-12-01,1103.0923262026677
2020-12-02,1104.6274534183538
2020-12-03,1105.8110823332868
2020-12-04,1113.757080861579
2020-12-07,1114.1669815990142
2020-12-08,1116.26892069408
2020-12-09,1123.3398841945393
2020-12-10,1118.8073027967334
2020-12-11,1117.105954773643
2020-12-14,1117.5917139802555
2020-12-15,1117.5005783770218
2020-12-16,1124.2496617168492
2020-12-17,1127.6708665697092
