Date,ACWI ex THAILAND
2017-11-17,2570.072152083003
2017-11-20,2580.223906079239
2017-11-21,2602.226642870631
2017-11-22,2593.6097172156074
2017-11-23,2583.9412576152317
2017-11-24,2570.9679759969135
2017-11-27,2568.2504341513986
2017-11-28,2591.8284771725907
2017-11-29,2593.950629372391
2017-11-30,2585.3474361128037
2017-12-01,2587.62684699005
2017-12-04,2593.5710053343423
2017-12-05,2589.524842157037
2017-12-06,2588.3682909141935
2017-12-07,2594.1154350747047
2017-12-08,2616.5846892549375
2017-12-11,2618.0185371961948
2017-12-12,2633.197668166448
2017-12-13,2629.743930673051
2017-12-14,2618.8951788945874
2017-12-15,2629.3859514723567
2017-12-18,2642.817590178431
2017-12-19,2635.3288831532814
2017-12-20,2618.663684605738
2017-12-21,2630.0483274960875
2017-12-22,2636.366085926641
2017-12-25,2636.7177942982303
2017-12-26,2628.568691886503
2017-12-27,2628.814606344901
2017-12-28,2626.0616086905356
2017-12-29,2608.3172406283156
2018-01-01,2608.0992170122677
2018-01-02,2619.3463242653474
2018-01-03,2636.047388691318
2018-01-04,2645.6739118233404
2018-01-05,2671.6628630536034
2018-01-08,2688.1552108428405
2018-01-09,2702.7128873299157
2018-01-10,2689.607888078732
2018-01-11,2685.4534778600614
2018-01-12,2680.8055022441067
2018-01-15,2663.0088524963126
2018-01-16,2668.223647278597
2018-01-17,2679.256306682109
2018-01-18,2677.9476584045724
2018-01-19,2694.085964190989
2018-01-22,2704.387073646994
2018-01-23,2708.5415840377814
2018-01-24,2693.10862257006
2018-01-25,2670.4854322653177
2018-01-26,2703.2498369772147
2018-01-29,2703.1492386987406
2018-01-30,2664.768235205491
2018-01-31,2655.8511122759905
2018-02-01,2651.1879347433946
2018-02-02,2610.421008170665
2018-02-05,2536.5222315835913
2018-02-06,2538.49545339191
2018-02-07,2550.7441011824117
2018-02-08,2495.5596431484964
2018-02-09,2498.6872807221507
2018-02-12,2522.70610114984
2018-02-13,2514.3767465676233
2018-02-14,2536.7610202454994
2018-02-15,2553.498948060307
2018-02-16,2566.6638610810455
2018-02-19,2575.699595895966
2018-02-20,2575.359035219687
2018-02-21,2575.4203596494704
2018-02-22,2572.3261035955793
2018-02-23,2606.592584086506
2018-02-26,2630.1437410561903
2018-02-27,2617.9062300960873
2018-02-28,2598.266808771583
2018-03-01,2571.4102646310844
2018-03-02,2541.236291321367
2018-03-05,2554.245691180294
2018-03-06,2556.116736394205
2018-03-07,2552.6687722142183
2018-03-08,2580.093570975823
2018-03-09,2610.895929189918
2018-03-12,2620.2369219861384
2018-03-13,2593.844828756779
2018-03-14,2589.925683603459
2018-03-15,2596.6238886644164
2018-03-16,2605.3676560760596
2018-03-19,2567.1441385874527
2018-03-20,2581.656453097614
2018-03-21,2580.7835625459093
2018-03-22,2530.229710589209
2018-03-23,2474.5154899768127
2018-03-26,2495.3963603351294
2018-03-27,2491.3119012297157
2018-03-28,2487.8712226243188
2018-03-29,2519.7497051590167
2018-03-30,2521.5354591113614
2018-04-02,2488.53645754093
2018-04-03,2507.096653193486
2018-04-04,2511.99840405761
2018-04-05,2550.5507225041597
2018-04-06,2512.8976752341546
2018-04-09,2512.3551699374093
2018-04-10,2538.631772890275
2018-04-11,2523.701552168739
2018-04-12,2546.9345888474377
2018-04-13,2541.2920983033646
2018-04-16,2543.3521091693156
2018-04-17,2566.1457744343966
2018-04-18,2570.2746529493006
2018-04-19,2566.7881363768356
2018-04-20,2563.274111911756
2018-04-23,2570.299197684247
2018-04-24,2553.6917847689415
2018-04-25,2554.016684875528
2018-04-26,2585.210627806007
2018-04-27,2595.098873124372
2018-04-30,2591.32550242613
2018-05-01,2607.825752275662
2018-05-02,2604.3399649914995
2018-05-03,2596.150607038045
2018-05-04,2621.0308861910244
2018-05-07,2634.1259639173954
2018-05-08,2646.419483125908
2018-05-09,2663.3951110861394
2018-05-10,2677.7871713469585
2018-05-11,2675.3319620238267
2018-05-14,2675.9291483891443
2018-05-15,2677.1615874985832
2018-05-16,2699.438389648696
2018-05-17,2698.718724944494
2018-05-18,2697.189292602025
2018-05-21,2712.8197455339405
2018-05-22,2707.093211213746
2018-05-23,2714.217036559243
2018-05-24,2704.592173196164
2018-05-25,2713.444415904968
2018-05-28,2717.5284948040903
2018-05-29,2700.690352258292
2018-05-30,2705.76493799622
2018-05-31,2685.8647058039646
2018-06-01,2709.571439997013
2018-06-04,2720.9810674321097
2018-06-05,2723.9789108653445
2018-06-06,2719.2489113856445
