Date,EM ASIA ESG LEADERS
2018-12-26,2120.1535384474746
2018-12-27,2134.432339178061
2018-12-28,2145.2392145586878
2018-12-31,2151.727284222466
2019-01-01,2153.1234932303373
2019-01-02,2130.4765357141805
2019-01-03,2097.63797008315
2019-01-04,2119.527752960032
2019-01-07,2144.4790714563765
2019-01-08,2143.914381004114
2019-01-09,2174.051364572248
2019-01-10,2179.965498348106
2019-01-11,2195.8976293119053
2019-01-14,2171.2643205843488
2019-01-15,2212.381112512931
2019-01-16,2226.632471172995
2019-01-17,2235.0211138849295
2019-01-18,2252.237894107571
2019-01-21,2258.169186047219
2019-01-22,2242.055710490768
2019-01-23,2233.770318365236
2019-01-24,2254.4875031281867
2019-01-25,2284.7618490811146
2019-01-28,2274.233902546269
2019-01-29,2271.556821896744
2019-01-30,2290.9678645604404
2019-01-31,2301.743045803379
2019-02-01,2308.379754858796
2019-02-04,2309.5297086803566
2019-02-05,2323.6106230363225
2019-02-06,2334.336702402636
2019-02-07,2332.179652484897
2019-02-08,2326.288828730215
2019-02-11,2347.745680994588
2019-02-12,2345.9107593823715
2019-02-13,2352.7845501764327
2019-02-14,2345.9944998293095
2019-02-15,2317.3839091607574
2019-02-18,2328.563166663403
2019-02-19,2314.9024411448945
2019-02-20,2341.5386766013726
2019-02-21,2350.4753145268146
2019-02-22,2367.5095780474007
2019-02-25,2392.6693667510144
2019-02-26,2388.7798266494665
2019-02-27,2375.8750820327946
2019-02-28,2354.0934491618923
2019-03-01,2361.149885825689
2019-03-04,2385.35307553596
2019-03-05,2398.7584639758034
2019-03-06,2398.3786474695776
2019-03-07,2392.2828136838334
2019-03-08,2351.3263822387457
2019-03-11,2377.4862121445944
2019-03-12,2388.349708894421
2019-03-13,2378.5691699718204
2019-03-14,2376.107745411163
2019-03-15,2389.98849153879
2019-03-18,2416.78250081829
2019-03-19,2416.974998111438
2019-03-20,2415.7432793487333
2019-03-21,2415.0566284983265
2019-03-22,2429.856999687379
2019-03-25,2380.809347931706
2019-03-26,2394.6016640973357
2019-03-27,2399.8262609883946
2019-03-28,2405.67831542344
2019-03-29,2437.533128809333
2019-04-01,2452.0086977348483
2019-04-02,2467.124615660012
2019-04-03,2472.499818028057
2019-04-04,2475.2598390099556
2019-04-05,2483.648144183131
