Date,BRIC ESG LEADERS
2021-06-21,2960.1526410414513
2021-06-22,2933.50952305108
2021-06-23,2964.0693645992233
2021-06-24,2986.4993410776838
2021-06-25,3018.957533622629
2021-06-28,3048.457024366008
2021-06-29,3031.768628420872
2021-06-30,3034.2293587513227
2021-07-01,3025.0754083571405
2021-07-02,2979.966949782863
2021-07-05,2940.7853951958355
2021-07-06,2937.4142287672244
2021-07-07,2930.2967466684277
2021-07-08,2835.4908480269637
2021-07-09,2850.308672653883
2021-07-12,2869.04623244663
2021-07-13,2926.2697904183206
2021-07-14,2925.51274353789
2021-07-15,2952.9687749026225
2021-07-16,2941.5740425422932
2021-07-19,2884.068803102289
2021-07-20,2882.6697731681884
2021-07-21,2880.9740593541687
2021-07-22,2918.8500521261208
2021-07-23,2887.039809267222
2021-07-26,2750.7816440086317
2021-07-27,2603.2580899368927
2021-07-28,2664.3398929800387
2021-07-29,2759.030873433446
2021-07-30,2716.4713720994105
2021-08-02,2741.8145274136773
2021-08-03,2736.280248083713
2021-08-04,2764.1984583243693
2021-08-05,2741.925225274742
2021-08-06,2752.052603452098
2021-08-09,2758.6756090248928
2021-08-10,2815.2471309238185
2021-08-11,2806.5584002294872
2021-08-12,2792.239222260181
2021-08-13,2758.824637539212
2021-08-16,2719.8391217845583
2021-08-17,2683.8876835908304
2021-08-18,2694.9100805053454
2021-08-19,2639.5776989614747
2021-08-20,2607.6109510195824
2021-08-23,2614.7708058214394
2021-08-24,2711.4024248130017
2021-08-25,2718.62628090099
2021-08-26,2688.3303390545716
2021-08-27,2680.656460409739
2021-08-30,2702.0066131891726
2021-08-31,2763.8286136369984
2021-09-01,2759.446152136131
2021-09-02,2783.9665008066827
2021-09-03,2760.908744946307
2021-09-06,2804.3491124170687
2021-09-07,2827.9728121793873
2021-09-08,2823.7266508921966
2021-09-09,2754.0443779062584
2021-09-10,2784.295210957249
2021-09-13,2752.726631695373
2021-09-14,2731.570741296252
2021-09-15,2696.421816456031
2021-09-16,2678.7072729570245
2021-09-17,2709.3162448150633
2021-09-20,2645.1884709377077
2021-09-21,2648.7809546081003
2021-09-22,2653.927877275494
2021-09-23,2687.794585655258
2021-09-24,2669.855780255985
2021-09-27,2675.402071510282
2021-09-28,2699.8132398926496
2021-09-29,2702.0006083445496
2021-09-30,2693.812278775908
2021-10-01,2694.5668789001143
2021-10-04,2645.224699818804
2021-10-05,2655.1349556775226
2021-10-06,2638.0490425437265
2021-10-07,2721.7851268703616
2021-10-08,2750.572265975165
2021-10-11,2800.704042523935
2021-10-12,2768.203244433111
2021-10-13,2774.1708453553233
2021-10-14,2778.284966672963
2021-10-15,2816.153449924143
2021-10-18,2829.920045324074
2021-10-19,2837.6568021412245
2021-10-20,2877.6309932985127
2021-10-21,2850.081902718145
2021-10-22,2853.447422819499
2021-10-25,2868.62692153943
2021-10-26,2855.8306706277126
2021-10-27,2807.122176467379
2021-10-28,2772.4467162317906
2021-10-29,2767.2303327583936
2021-11-01,2745.955451728804
2021-11-02,2738.4403725362436
2021-11-03,2744.275193887533
2021-11-04,2787.2134549676093
2021-11-05,2749.0017476520406
2021-11-08,2734.878864294936
2021-11-09,2740.4125454971972
2021-11-10,2786.526507155791
2021-11-11,2819.016421580437
2021-11-12,2835.6102189349717
2021-11-15,2838.153279957179
2021-11-16,2883.689309713197
2021-11-17,2894.4798047899812
2021-11-18,2825.8857838394056
2021-11-19,2788.3686061691265
2021-11-22,2776.5104630926976
2021-11-23,2744.959711512272
2021-11-24,2751.4568720110465
2021-11-25,2768.9345980136072
2021-11-26,2660.0912960473247
2021-11-29,2664.135390668227
2021-11-30,2645.279485169988
2021-12-01,2645.2908551653086
2021-12-02,2661.344717309543
2021-12-03,2627.1406952906195
2021-12-06,2564.9371954970225
2021-12-07,2654.71161372248
2021-12-08,2645.6436912776253
2021-12-09,2679.410686891366
2021-12-10,2649.4003984654673
2021-12-13,2636.6476229139607
2021-12-14,2611.084633853695
2021-12-15,2584.3808824372272
2021-12-16,2585.5066423284106
2021-12-17,2545.7708250725545
2021-12-20,2485.001441441875
2021-12-21,2531.7463129156185
2021-12-22,2538.007506919532
2021-12-23,2559.8955227848282
2021-12-24,2549.4564721276074
2021-12-27,2554.6925741091036
2021-12-28,2562.2737845084393
2021-12-29,2519.9299641236516
2021-12-30,2541.1181503951293
2021-12-31,2582.8292048796857
2022-01-03,2590.7710501442743
2022-01-04,2581.2121070575463
2022-01-05,2517.6348185381416
2022-01-06,2534.720000713595
2022-01-07,2567.655918667534
2022-01-10,2597.742076991959
2022-01-11,2614.218101283334
2022-01-12,2671.471527810909
2022-01-13,2645.481639748309
2022-01-14,2637.686000246544
2022-01-17,2625.2491780497953
2022-01-18,2598.7574688186505
2022-01-19,2592.7490954449713
